
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d63762231.pomdpx
  loading time : 4.77s 

SARSOP initializing ...
  initialization time : 1581.58s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1581.58 0       0        0.542428   1.64017    1.09774     100      1        
 1585.13 1       50       0.650164   1.4758     0.825639    60       8        
 1586.16 3       100      0.763398   1.47578    0.712386    26       10       
 1589.03 5       161      0.8628     1.47576    0.612959    18       14       
 1591.04 6       200      0.891621   1.47573    0.584109    7        16       
 1595.73 8       251      0.968046   1.4757     0.507655    5        20       
 1608.99 10      311      1.01561    1.47562    0.460018    8        27       
 1616.38 11      350      1.02675    1.47559    0.448844    14       30       
 1626.47 13      400      1.04772    1.47552    0.427798    10       34       
 1643.87 15      455      1.10349    1.4754     0.37191     4        41       
 1660.41 17      511      1.1436     1.47527    0.331665    6        47       
 1670.87 19      555      1.20319    1.47519    0.272009    6        55       
 1688.01 21      600      1.21744    1.47518    0.257734    6        60       
 1697.21 22      650      1.24604    1.47509    0.229047    6        62       
 1721.96 24      705      1.27281    1.47495    0.202144    6        68       
 1752.47 26      750      1.28529    1.4749     0.189609    7        75       
 1768.1  27      800      1.30544    1.47475    0.169311    7        78       
 1799.16 29      855      1.32331    1.47467    0.151362    7        84       
 1839.3  30      900      1.33131    1.47463    0.143311    8        91       
 1862.39 32      950      1.34665    1.47444    0.127793    8        95       
 1897.83 34      1007     1.35837    1.47433    0.115957    7        100      
 1912.37 35      1050     1.36387    1.47431    0.110443    8        102      
 1933.27 37      1100     1.37379    1.47428    0.10049     9        105      
 1965.14 39      1157     1.38251    1.47423    0.0917226   11       109      
 1987.66 40      1200     1.38673    1.4742     0.0874701   8        112      
 2012    42      1250     1.39439    1.47411    0.0797181   10       115      
 2037.11 44      1307     1.40089    1.47406    0.0731745   9        118      
 2064.2  45      1350     1.40356    1.474      0.0704393   9        121      
 2093.96 47      1400     1.4095     1.47393    0.0644283   10       124      
 2125.74 49      1457     1.41473    1.47383    0.0591006   12       128      
 2153.44 50      1500     1.41689    1.4738     0.0569062   13       131      
 2183.29 52      1550     1.42096    1.47375    0.0527956   10       134      
 2213.31 54      1607     1.42463    1.47371    0.0490729   11       137      
 2252.84 55      1650     1.42669    1.47368    0.0469906   11       141      
 2290.35 57      1700     1.43012    1.47365    0.0435241   11       145      
 2327.87 59      1759     1.4329     1.47361    0.0407108   11       148      
 2339.35 60      1800     1.43428    1.4736     0.0393133   11       149      
 2369.89 62      1850     1.43678    1.47358    0.0367972   11       152      
 2427.65 64      1909     1.43931    1.47355    0.0342385   13       157      
 2436.68 65      1950     1.4404     1.47354    0.0331383   12       158      
 2499.85 67      2001     1.44199    1.47348    0.0314912   13       163      
 2557.17 69      2065     1.44377    1.47345    0.0296888   12       168      
 2586.21 70      2100     1.44471    1.47345    0.0287368   12       170      
 2668.51 72      2161     1.4468     1.47341    0.0266117   14       176      
 2695.57 73      2200     1.44769    1.47337    0.0256732   15       178      
 2744.83 75      2257     1.44918    1.47334    0.0241513   15       182      
 2760.91 76      2300     1.44989    1.47332    0.0234296   14       183      
 2830.25 78      2353     1.45124    1.47329    0.0220484   13       187      
 2887.24 79      2400     1.45191    1.47328    0.0213701   14       191      
 2937.98 81      2450     1.45309    1.47323    0.0201406   16       195      
 3002.96 83      2513     1.45421    1.47321    0.018996    18       199      
 3003.32 84      2550     1.45467    1.4732     0.0185239   19       199      
 3049.16 86      2609     1.45559    1.47319    0.0175999   18       202      
 3081.53 87      2650     1.45614    1.47318    0.0170394   19       204      
 3132.1  89      2705     1.45736    1.47314    0.0157759   18       208      
 3163.06 90      2750     1.45774    1.47313    0.0153907   17       210      
 3206.01 92      2801     1.45846    1.47311    0.0146532   20       213      
 3254.83 94      2865     1.45912    1.4731     0.0139718   18       216      
 3296.98 95      2900     1.45952    1.47308    0.0135625   19       219      
 3371.42 97      2961     1.46011    1.47305    0.0129494   21       223      
 3391.82 98      3000     1.46037    1.47304    0.012678    22       224      
 3441.44 100     3057     1.46093    1.47303    0.012096    21       227      
 3461.19 101     3100     1.46119    1.47302    0.0118244   21       228      
 3528.89 103     3153     1.46173    1.47301    0.011282    21       232      
 3566.1  104     3200     1.46197    1.473      0.0110338   21       234      
Writing policy file: ./4d63762231_106_3624.63.policy
Intermediate policy written(interval: 2000)
 3624.63 106     3253     1.46238    1.47297    0.010586    20       237      
 3689.17 107     3300     1.46262    1.47296    0.0103383   21       241      
 3734.16 109     3351     1.46308    1.47294    0.00986015  22       243      
 3823.84 111     3400     1.46327    1.47294    0.00967114  23       248      
 3872.73 112     3450     1.46367    1.47292    0.00925497  23       251      
 4004.37 114     3500     1.46386    1.47292    0.00905816  26       258      
 4035.01 115     3550     1.46424    1.4729     0.00866165  26       259      
 4114.73 117     3615     1.46455    1.47288    0.00832586  25       263      
 4176.07 118     3650     1.46477    1.47286    0.00808424  25       266      
 4302.37 120     3715     1.46503    1.47284    0.00781491  24       271      
 4362.01 121     3750     1.46518    1.47283    0.00765605  25       274      
 4477.02 123     3800     1.46533    1.47283    0.0074913   24       279      
 4496.25 124     3851     1.46563    1.47282    0.00718134  24       280      
 4557    125     3900     1.46575    1.47281    0.00706011  25       283      
 4648.22 127     3953     1.46603    1.47279    0.00676794  25       286      
 4727.02 128     4000     1.4662     1.47279    0.00658211  23       289      
 4841.05 130     4055     1.46648    1.47277    0.00629528  25       294      
 4865.41 131     4100     1.4666     1.47277    0.0061763   26       295      
 4986.82 133     4153     1.46684    1.47276    0.00592762  28       300      
 5073.24 134     4200     1.46695    1.47276    0.00581183  28       303      
 5134.86 136     4251     1.46713    1.47276    0.0056232   28       305      
 5234.32 137     4300     1.46722    1.47275    0.00552595  32       309      
 5290.35 139     4353     1.46744    1.47274    0.00529878  31       311      
