
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4dc3762231.pomdpx
  loading time : 3.99s 

SARSOP initializing ...
  initialization time : 293.51s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 293.51  0       0        1.26079    2.25436    0.993571    100      1        
 293.97  3       50       1.84172    2.09452    0.2528      123      27       
 295.12  5       100      1.94183    2.09433    0.152502    158      54       
 296.21  8       159      2.00326    2.09416    0.0908972   196      76       
 298.11  10      207      2.02666    2.09393    0.0672779   219      100      
 300.53  12      255      2.04313    2.09368    0.0505547   68       123      
 303.09  14      303      2.05283    2.09357    0.0407421   43       146      
 304.68  16      350      2.06144    2.09351    0.0320777   58       168      
 307.1   18      403      2.06557    2.09349    0.0279166   38       189      
 311.01  20      459      2.06785    2.09341    0.0255585   36       217      
 314.95  21      500      2.06987    2.09334    0.0234703   26       243      
 318.17  23      550      2.07164    2.0933     0.0216548   29       261      
 321.25  25      600      2.07337    2.09327    0.0198986   23       279      
 325.44  27      655      2.07472    2.09323    0.0185142   22       302      
 330.83  29      711      2.07585    2.09317    0.0173205   28       328      
 335.14  30      750      2.07618    2.09314    0.0169587   22       348      
 339.02  32      800      2.0773     2.09312    0.0158206   32       366      
 344.8   34      851      2.07761    2.09302    0.0154071   36       388      
 352.2   36      907      2.0781     2.09295    0.0148467   33       415      
 360.65  37      950      2.07829    2.09294    0.0146489   34       443      
 365.21  39      1000     2.07897    2.09287    0.0138974   29       458      
 372.47  41      1057     2.07946    2.09285    0.0133884   33       481      
 378.6   42      1100     2.07961    2.09284    0.0132262   28       500      
 384.34  44      1150     2.07998    2.09277    0.0127924   32       518      
 392.38  46      1207     2.08025    2.09275    0.0125009   35       542      
 401.03  47      1250     2.08034    2.09274    0.0123992   41       566      
 406.93  49      1300     2.08059    2.09268    0.0120951   41       581      
 416.44  51      1357     2.08072    2.09267    0.0119488   48       605      
 424.54  52      1400     2.0808     2.09266    0.0118614   46       625      
 433.01  54      1450     2.08094    2.09262    0.01168     45       645      
 444.02  56      1507     2.08107    2.09257    0.0114991   54       670      
 455.3   57      1550     2.08113    2.09257    0.011439    45       694      
 464.3   59      1600     2.08123    2.09252    0.0112884   49       712      
 474.88  61      1653     2.08132    2.09251    0.0111877   43       733      
 488.54  63      1711     2.08138    2.09249    0.011115    55       758      
 500.63  64      1750     2.08164    2.09244    0.0107993   56       781      
 509.83  66      1801     2.08175    2.09243    0.0106735   54       798      
 524.27  68      1861     2.08182    2.09242    0.0105976   51       824      
 536.09  69      1900     2.08186    2.09241    0.0105526   52       844      
 545.69  71      1950     2.08192    2.09239    0.0104764   54       860      
 562.61  73      2009     2.08202    2.09235    0.0103238   63       887      
 579.12  74      2050     2.08207    2.09235    0.0102767   61       911      
 590.59  76      2100     2.08224    2.09232    0.0100813   66       928      
 608.15  78      2159     2.08238    2.0923     0.00992248  61       953      
 622.48  79      2200     2.08241    2.09229    0.0098847   67       974      
 634.05  81      2251     2.08247    2.09228    0.00981336  60       991      
