
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/c633cac26e8.pomdpx
  loading time : 0.60s 

SARSOP initializing ...
  initialization time : 80.13s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 80.13   0       0        0.593186   1.80058    1.20739     50       1        
 80.48   2       50       1.05043    1.70684    0.656406    14       22       
 81.11   4       100      1.28049    1.70675    0.426265    15       36       
 82.64   6       150      1.42841    1.70668    0.278267    19       54       
 84.81   8       200      1.51664    1.7066     0.189961    17       69       
 87.71   10      250      1.57175    1.70656    0.13481     12       84       
 90.67   12      300      1.61055    1.70651    0.0959557   11       94       
 95.88   14      350      1.63053    1.70649    0.0759603   14       111      
 102.2   16      400      1.64607    1.70643    0.0603521   12       128      
 108.44  18      450      1.66097    1.70637    0.0454035   12       141      
 117.37  20      500      1.67062    1.70631    0.0356896   12       159      
 127.04  22      550      1.67772    1.70629    0.0285657   11       176      
 133.83  24      600      1.68198    1.70625    0.0242682   13       193      
 142.59  26      650      1.68567    1.70622    0.020553    14       210      
 155.57  28      700      1.68859    1.70615    0.0175627   15       225      
 171.07  30      750      1.6912     1.70613    0.0149289   15       242      
 185.08  33      809      1.69424    1.70607    0.0118297   13       258      
 197.49  35      857      1.69552    1.70603    0.0105048   17       270      
 212.56  37      905      1.69647    1.70602    0.00954877  18       283      
 232.29  39      950      1.69743    1.70599    0.00855851  19       301      
 249.2   41      1000     1.69837    1.70595    0.00757838  18       314      
 275.29  44      1050     1.69897    1.70592    0.00695174  19       335      
 290.92  46      1105     1.69987    1.70585    0.00597951  19       348      
 302.52  48      1150     1.70046    1.70582    0.0053652   22       361      
 321.5   50      1200     1.701      1.7058     0.00479829  21       384      
 339.62  53      1257     1.70156    1.70571    0.00414208  21       402      
 352.37  55      1300     1.7018     1.70567    0.00387062  24       416      
 369.12  57      1350     1.70211    1.7056     0.00349077  25       433      
 394.82  60      1405     1.70255    1.70554    0.00299199  25       454      
 414.79  62      1450     1.70281    1.70551    0.0026974   27       473      
 442.77  64      1500     1.70298    1.70546    0.00247675  28       497      
 469.74  67      1557     1.70329    1.7054     0.00210532  29       517      
 488.57  69      1601     1.70347    1.70538    0.00190709  30       533      
 517.07  71      1650     1.70363    1.70533    0.00169953  31       557      
 546.52  74      1700     1.70376    1.70531    0.00154928  31       579      
 588.78  76      1759     1.70391    1.70527    0.00136146  33       598      
 625.74  78      1805     1.704      1.70524    0.00124571  34       620      
 652.22  80      1853     1.70411    1.70523    0.00112385  33       639      
 678.28  82      1901     1.7042     1.70522    0.00102395  33       656      
 721.14  84      1950     1.70428    1.70521    0.000932172 35       675      
 751.23  86      2000     1.70435    1.70521    0.000860804 37       694      
 797.35  88      2050     1.7044     1.7052     0.000794527 37       718      
 830.37  90      2100     1.70446    1.70519    0.000738402 36       739      
 872.35  92      2150     1.70451    1.70519    0.000684374 36       762      
 906.69  94      2200     1.70454    1.70518    0.000640914 36       781      
 948.92  96      2250     1.70458    1.70518    0.00059999  37       803      
 980.21  99      2309     1.70463    1.70518    0.000549726 36       818      
 1021.61 101     2357     1.70467    1.70518    0.000505204 36       838      
 1063.64 103     2405     1.7047     1.70518    0.000473799 36       858      
 1107.39 105     2453     1.70474    1.70518    0.000433918 36       877      
 1152.32 107     2500     1.70477    1.70518    0.000407638 36       899      
 1202.76 109     2550     1.70479    1.70517    0.000379224 37       921      
 1270.43 112     2600     1.70481    1.70517    0.000360603 36       947      
 1320.29 114     2655     1.70484    1.70516    0.000325011 37       965      
 1373.04 116     2701     1.70485    1.70516    0.000303184 36       985      
 1434.47 118     2750     1.70487    1.70515    0.000283866 37       1006     
 1494.7  120     2800     1.70489    1.70515    0.000265088 37       1028     
 1553.67 122     2850     1.7049     1.70515    0.00025108  36       1049     
 1610.87 124     2900     1.70491    1.70515    0.000236861 37       1069     
 1707.96 127     2959     1.70493    1.70515    0.000216578 37       1091     
 1806.55 129     3007     1.70494    1.70514    0.000202484 36       1112     
 1900.03 131     3057     1.70495    1.70514    0.000193042 36       1133     
 2015.99 133     3103     1.70496    1.70514    0.000181328 37       1152     
 2105.74 135     3150     1.70497    1.70514    0.000173678 37       1172     
 2188.66 137     3200     1.70497    1.70514    0.000165718 37       1191     
 2356.39 139     3250     1.70498    1.70514    0.000156422 36       1213     
 2516.32 142     3300     1.70499    1.70514    0.000148859 37       1235     
 2610.78 144     3359     1.705      1.70513    0.000138307 39       1255     
 2757.92 146     3405     1.705      1.70513    0.000131252 38       1276     
 2869.98 148     3451     1.70501    1.70513    0.000127516 38       1295     
 2956.15 150     3500     1.70501    1.70513    0.000122776 39       1317     
 3077.85 152     3550     1.70501    1.70513    0.000118278 38       1339     
 3267.73 155     3611     1.70502    1.70513    0.000109948 36       1363     
 3364.3  157     3659     1.70502    1.70513    0.000105256 38       1384     
 3478.33 159     3705     1.70503    1.70513    0.000102006 37       1404     
 3590.12 161     3751     1.70503    1.70513    0.000100011 38       1421     
 3705.42 163     3800     1.70503    1.70513    9.77868e-05 38       1445     
 3798.12 166     3859     1.70503    1.70513    9.43561e-05 40       1464     
 3893.09 168     3901     1.70503    1.70513    9.22111e-05 38       1482     
 4016.5  170     3950     1.70504    1.70512    8.92388e-05 38       1504     
 4119.77 172     4000     1.70504    1.70512    8.51356e-05 38       1525     
 4225.83 175     4050     1.70504    1.70512    8.34156e-05 39       1547     
 4327.2  177     4107     1.70504    1.70512    8.03127e-05 38       1565     
 4450.88 179     4157     1.70505    1.70512    7.68294e-05 37       1586     
 4541.32 181     4203     1.70505    1.70512    7.57373e-05 38       1603     
 4660.33 183     4250     1.70505    1.70512    7.36866e-05 37       1622     
 4800.84 185     4300     1.70505    1.70512    7.27813e-05 38       1647     
 4912.17 188     4357     1.70505    1.70512    7.08969e-05 38       1667     
 5003.04 190     4401     1.70505    1.70512    6.91063e-05 39       1684     
Writing policy file: ./c633cac26e8_192_5103.39.policy
Intermediate policy written(interval: 5000)
 5103.39 192     4450     1.70505    1.70512    6.83509e-05 38       1703     
 5244.73 194     4500     1.70505    1.70512    6.68077e-05 38       1725     
 5453.92 196     4550     1.70505    1.70512    6.62836e-05 40       1748     
 5563.64 199     4605     1.70505    1.70512    6.56209e-05 40       1766     
 5675.06 201     4650     1.70505    1.70512    6.5412e-05  40       1782     
 5799.22 204     4709     1.70505    1.70512    6.41937e-05 39       1803     
 5920.81 206     4751     1.70506    1.70512    6.35745e-05 39       1819     
 6076.18 208     4800     1.70506    1.70512    6.29965e-05 39       1843     
 6283.55 210     4850     1.70506    1.70512    6.19222e-05 41       1864     
 6346.2  213     4903     1.70506    1.70512    6.12982e-05 39       1873     
 6462.9  215     4950     1.70506    1.70512    6.02481e-05 38       1892     
 6732.18 217     5000     1.70506    1.70512    5.98401e-05 38       1915     
 6881.19 220     5053     1.70506    1.70512    5.92108e-05 38       1931     
 7005.01 222     5100     1.70506    1.70512    5.86942e-05 39       1949     
 7126.03 224     5150     1.70506    1.70512    5.77196e-05 39       1969     
 7221.5  227     5203     1.70506    1.70512    5.73087e-05 39       1984     
 7355.38 229     5250     1.70506    1.70512    5.69295e-05 39       2005     
 7506.15 231     5300     1.70506    1.70512    5.60583e-05 39       2026     
