id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,r,sigma_m,sigma_g,noise,K,C,model,precision,timeout,timeInterval,max_state,max_obs,max_action,min_state,min_obs,min_action,cost,beta
c673cac26e8,0.63,16.46,20038,3.45367e-05,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:05:42,0.5,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c683cac26e8,0.5,16.49,20046.8,0.00245026,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:05:50,1,0.1,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6b3cac26e8,0.58,33.19,20072.9,8.11689e-06,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:06:09,0.5,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c693cac26e8,0.78,17.42,20114.8,0.0400375,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:06:55,0.5,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c733cac26e8,0.65,27.04,20126,0.00146858,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:07:04,1,0.1,0.1,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6a3cac26e8,0.56,21.2,20143.7,0.151869,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:07:21,1,0.5,0.1,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6f3cac26e8,0.72,30.92,20141.8,0.00344281,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:07:23,1,0.1,0.1,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6d3cac26e8,0.92,36.68,20144.8,0.0230153,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:07:28,0.5,0.5,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6c3cac26e8,1,46.69,20154,0.000443302,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:07:33,1,0.1,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c5f3cac26e8,0.94,26.6,20176,0.00131895,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:08:02,0.5,0.1,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c753cac26e8,0.62,60.08,20204.8,4.69808e-05,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:08:21,1,0.1,0.5,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c6e3cac26e8,0.55,51.25,20214.9,0.073634,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:08:35,1,0.5,0.5,uniform,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c603cac26e8,0.5,30.92,20213.7,0.00469955,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:08:36,1,0.1,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c633cac26e8,0.6,80.13,20322.1,3.27402e-05,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:10:19,0.5,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c643cac26e8,0.58,74.87,20370.2,0.000261665,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:11:10,1,0.1,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c713cac26e8,1.07,71.57,20399.2,0.000118218,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:11:44,1,0.1,0.5,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c623cac26e8,0.53,34.87,20407.4,0.240381,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:11:52,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c723cac26e8,0.96,72.57,20419.9,0.0411789,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:11:56,1,0.5,0.5,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c613cac26e8,0.66,27.9,20611.2,0.0730887,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:15:13,0.5,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c663cac26e8,1.09,74.88,20642.7,0.249811,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:15:47,1,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c743cac26e8,0.66,29.11,21092.4,0.0987828,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:23:16,1,0.5,0.1,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c783cac26e8,1,40.72,21218.6,0.240324,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:25:23,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,quadaratic,0.01
c703cac26e8,0.81,31.39,21318.7,0.128873,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:27:01,1,0.5,0.1,lognormal,0.66,0.05,allen,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c763cac26e8,1.11,77.37,21373.7,0.162574,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:27:58,1,0.5,0.5,lognormal,0.66,0.05,bh,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c653cac26e8,0.61,76.06,21394.2,0.113512,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:28:19,0.5,0.5,0.5,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,none,NA
c773cac26e8,1.01,34.91,21908.5,0.241745,  Preset timeout reached,50,50,50,0.95,2016-10-10 09:36:49,1,0.5,0.1,lognormal,0.66,NA,ricker,1e-07,20000,5000,1,1,1,0,0,0,linear,0.01
