
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/compact-sethi-120/449f158a8abb.pomdpx
  loading time : 7.34s 

SARSOP initializing ...
  initialization time : 886.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 886     0       0        1.25781    1.8934     0.63559     120      1        
 886.8   1       50       1.4005     1.50724    0.106736    137      32       
 888.01  3       115      1.46656    1.50721    0.0406525   184      59       
 889.49  4       163      1.47497    1.50717    0.0322005   208      83       
 890.96  5       211      1.47979    1.50714    0.0273451   211      102      
 892.03  6       257      1.48323    1.50713    0.0238946   70       114      
 892.82  7       303      1.48647    1.5071     0.0206225   91       130      
 894.27  8       350      1.48929    1.50707    0.0177771   39       153      
 894.86  9       400      1.49382    1.50707    0.013244    60       179      
 896.01  10      450      1.49554    1.50706    0.0115239   60       197      
 897.07  11      500      1.49679    1.50706    0.0102719   46       210      
 898.71  12      550      1.49755    1.50703    0.00948208  47       227      
 901.52  13      600      1.49831    1.50702    0.00870486  53       250      
 904     14      650      1.4991     1.50701    0.00790423  44       268      
 907.86  15      700      1.49958    1.507      0.00742228  46       291      
 910.08  16      750      1.50034    1.507      0.00666224  46       304      
 913.68  17      800      1.50058    1.50699    0.00641013  50       322      
 917.59  18      850      1.50072    1.50699    0.00627411  47       340      
 921.72  19      900      1.50089    1.50696    0.00606579  47       357      
 926.82  20      950      1.50135    1.50693    0.0055749   48       376      
 933.04  21      1000     1.50174    1.50692    0.00518378  50       401      
 939.8   23      1050     1.50188    1.50692    0.00503594  52       423      
 945.04  24      1119     1.50222    1.50691    0.00469324  53       440      
 950.84  25      1163     1.50226    1.50691    0.00464954  55       458      
 956.95  26      1209     1.50251    1.5069     0.00439336  53       476      
 962.4   27      1253     1.50262    1.5069     0.00427612  53       493      
 967.9   28      1300     1.5027     1.50689    0.00419513  53       511      
 974.67  29      1350     1.50294    1.50687    0.00393254  57       533      
 979.05  30      1400     1.50302    1.50687    0.00385715  57       545      
 982.97  32      1469     1.50376    1.50687    0.00310701  55       569      
 985     33      1517     1.50381    1.50686    0.00305407  56       580      
 988.1   34      1567     1.50387    1.50685    0.00298121  57       595      
 990.89  35      1617     1.50393    1.50685    0.00291683  55       607      
 992.5   36      1667     1.50396    1.50685    0.00288675  60       613      
 996.29  37      1717     1.50398    1.50684    0.00286737  62       628      
 1000.59 38      1767     1.504      1.50684    0.00284204  63       644      
 1002.53 39      1817     1.50402    1.50684    0.00282369  62       650      
 1007.82 40      1867     1.50406    1.50684    0.00277528  62       668      
 1014.92 41      1915     1.50408    1.50684    0.00275232  63       690      
 1020.36 42      1963     1.5041     1.50683    0.00273871  63       706      
 1023.54 43      2011     1.50411    1.50683    0.00272221  65       714      
 1032.7  44      2059     1.50413    1.5068     0.00267434  63       737      
 1042.28 45      2105     1.50414    1.5068     0.00266102  66       760      
 1052.75 46      2153     1.50425    1.50678    0.00252685  65       783      
 1063.32 47      2203     1.50428    1.50677    0.00249275  63       805      
 1072.85 48      2253     1.50429    1.50677    0.00247364  64       825      
 1077.9  49      2303     1.5043     1.50677    0.00246307  63       834      
 1081.91 50      2351     1.50431    1.50676    0.00245502  64       841      
 1091.04 51      2400     1.50431    1.50676    0.00244745  69       858      
 1095.28 52      2450     1.50432    1.50676    0.00243961  68       868      
 1098.74 54      2515     1.50446    1.5067     0.00224696  45       879      
 1102.1  55      2569     1.50448    1.5067     0.00222767  39       887      
 1108.64 56      2621     1.50448    1.5067     0.00222116  39       905      
 1111.48 57      2673     1.50448    1.5067     0.00221578  41       912      
 1116.84 58      2723     1.50449    1.5067     0.00220744  41       927      
 1122.44 59      2773     1.5045     1.5067     0.00220085  47       941      
 1132.52 60      2825     1.5045     1.5067     0.00219708  46       964      
 1143.17 60      2850     1.5045     1.5067     0.00219708  51       988      
 1153.22 61      2900     1.5045     1.5067     0.00219194  46       1010     
 1162.47 62      2950     1.5045     1.50669    0.00218947  53       1029     
 1167.16 63      3000     1.50452    1.50669    0.00216692  51       1038     
 1171.01 64      3050     1.50452    1.50669    0.00216467  53       1045     
 1175.49 65      3100     1.50452    1.50669    0.00216323  54       1053     
 1178.49 66      3150     1.50452    1.50669    0.00216288  58       1058     
 1182.1  67      3200     1.50454    1.50669    0.00214806  54       1064     
 1188.72 68      3250     1.50455    1.50668    0.00213253  58       1076     
 1191.21 69      3300     1.50457    1.50668    0.00211851  53       1080     
 1193.66 70      3350     1.50457    1.50668    0.00211544  53       1084     
 1196    71      3400     1.50458    1.50668    0.00210074  54       1088     
 1198.82 72      3450     1.50459    1.50668    0.00209349  54       1093     
 1201.06 73      3500     1.50459    1.50668    0.00209156  54       1097     
 1203.83 74      3550     1.50459    1.50668    0.00208808  57       1102     
 1206.96 75      3600     1.50459    1.50668    0.00208692  60       1108     
 1209.37 76      3650     1.50459    1.50668    0.00208383  61       1112     
 1212.67 77      3700     1.50459    1.50668    0.00208246  62       1118     
 1215.1  78      3750     1.5046     1.50668    0.00208121  68       1122     
 1218.53 79      3801     1.50461    1.50668    0.00206376  60       1128     
 1230.16 80      3851     1.50461    1.50668    0.00206225  65       1150     
 1233.26 81      3901     1.50462    1.50668    0.00205912  64       1155     
 1236.84 82      3951     1.50462    1.50667    0.00205834  68       1161     
 1248.86 83      4003     1.50462    1.50667    0.0020578   73       1182     
 1252.14 84      4053     1.50462    1.50667    0.00205335  69       1186     
 1255.67 85      4101     1.50462    1.50667    0.00204854  66       1191     
 1259.31 86      4151     1.50462    1.50667    0.00204518  67       1196     
 1263.75 87      4203     1.50463    1.50667    0.0020379   70       1202     
 1268.02 88      4253     1.50463    1.50667    0.00203613  68       1208     
 1270.79 89      4303     1.50463    1.50667    0.0020356   71       1212     
 1276.24 90      4353     1.50463    1.50667    0.00203555  78       1219     
 1280.66 91      4403     1.50464    1.50667    0.00202701  77       1225     
 1284.43 92      4453     1.50464    1.50667    0.0020237   82       1230     
 1288.57 93      4503     1.50464    1.50667    0.00202113  75       1235     
 1295.62 94      4553     1.50465    1.50667    0.00201956  73       1246     
 1308.83 95      4603     1.50466    1.50666    0.00200549  78       1266     
 1322.75 96      4651     1.50466    1.50666    0.00200418  84       1286     
 1335.2  97      4703     1.50467    1.50666    0.00198478  83       1303     
 1340.41 98      4753     1.50467    1.50666    0.00198354  83       1309     
 1347.39 99      4803     1.50468    1.50666    0.00198225  84       1318     
 1351.57 100     4851     1.50468    1.50666    0.00197835  86       1323     
 1355.84 101     4901     1.50468    1.50666    0.00197755  88       1328     
 1360.99 102     4951     1.50468    1.50665    0.001974    92       1334     
 1364.37 103     5001     1.50469    1.50665    0.00196547  82       1338     
 1371.96 104     5050     1.50469    1.50665    0.00196508  83       1347     
 1377.48 105     5100     1.50469    1.50665    0.00196378  82       1353     
 1383.28 106     5150     1.50469    1.50665    0.0019619   85       1360     
 1387.5  107     5200     1.50469    1.50665    0.00196071  87       1365     
 1390.46 108     5250     1.50469    1.50665    0.00196038  88       1368     
 1393.26 109     5300     1.50469    1.50665    0.00196033  88       1371     
 1397.48 110     5350     1.50469    1.50665    0.00195901  84       1376     
 1407.23 111     5400     1.50469    1.50665    0.00195732  84       1389     
 1423.12 112     5450     1.50469    1.50665    0.00195674  86       1408     
 1427.7  113     5500     1.50469    1.50665    0.00195657  87       1413     
 1432.29 114     5550     1.50469    1.50665    0.00195589  91       1418     
 1437.75 115     5600     1.5047     1.50665    0.00195456  98       1424     
 1443.26 116     5650     1.5047     1.50665    0.00195431  97       1430     
 1450.18 117     5700     1.5047     1.50665    0.0019542   100      1438     
 1454.86 118     5750     1.5047     1.50665    0.00195407  100      1443     
 1460.07 119     5800     1.5047     1.50665    0.00195316  102      1448     
 1464.89 120     5850     1.5047     1.50665    0.00195301  108      1453     
 1468.26 121     5900     1.5047     1.50665    0.00195292  114      1456     
 1475.2  122     5950     1.5047     1.50665    0.00195224  107      1463     
 1478.53 123     6000     1.5047     1.50665    0.00194639  97       1466     
