
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/compact-sethi-120/449f29ae28ed.pomdpx
  loading time : 7.43s 

SARSOP initializing ...
  initialization time : 963.83s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 963.83  0       0        3.08141    4.72807    1.64666     120      1        
 964.53  4       50       3.77075    4.02155    0.250795    37       30       
 965.33  6       100      3.89707    4.02136    0.124295    73       53       
 966.09  9       153      3.95301    4.02122    0.068208    116      69       
 966.32  10      201      3.95943    4.02122    0.0617881   116      75       
 968.07  12      250      3.97462    4.02104    0.0464155   148      101      
 970.18  14      301      3.98864    4.0209     0.0322535   100      123      
 972.73  16      350      3.9926     4.02078    0.0281882   44       149      
 974.56  19      409      3.99956    4.02058    0.02102     40       171      
 976.99  20      450      4.00113    4.02057    0.0194349   43       198      
 978.55  22      500      4.0045     4.02054    0.0160462   40       215      
 980.39  23      550      4.00557    4.02053    0.014956    45       235      
 983.1   25      611      4.00815    4.02051    0.0123596   40       261      
 985.62  27      657      4.00884    4.02047    0.0116261   34       282      
 988.07  29      705      4.00942    4.02043    0.0110113   31       303      
 990.72  31      757      4.01013    4.02031    0.0101747   24       324      
 993.37  33      803      4.01104    4.02024    0.00920223  22       345      
 996.85  35      865      4.01176    4.02022    0.00845798  34       372      
 999.48  37      900      4.01185    4.02021    0.00835435  37       391      
 1002.8  39      959      4.01211    4.02017    0.00805636  35       412      
 1006.14 41      1005     4.01225    4.02009    0.00783876  32       432      
 1009.67 43      1051     4.01241    4.02008    0.00766455  33       452      
 1013.8  44      1105     4.0127     4.02006    0.00735801  41       478      
 1017.27 46      1151     4.01281    4.02005    0.00723511  44       496      
 1022.22 48      1205     4.0132     4.01998    0.00677956  37       521      
 1025.83 50      1255     4.01336    4.01995    0.00658606  38       538      
 1030.68 52      1305     4.01341    4.01994    0.00652226  36       560      
 1035.27 54      1353     4.01349    4.01991    0.00642439  36       580      
 1041.28 56      1407     4.01358    4.01989    0.00631985  31       605      
 1046.42 58      1461     4.01366    4.01987    0.00620817  33       626      
 1051.89 60      1507     4.01372    4.01985    0.00612634  40       647      
 1056.69 62      1557     4.01376    4.01983    0.00607552  45       665      
 1062.76 64      1607     4.01383    4.01977    0.00593757  41       687      
 1069.76 65      1650     4.01384    4.01976    0.00591563  40       713      
 1073.16 67      1700     4.01395    4.01974    0.00579062  43       726      
 1077.88 69      1750     4.01398    4.01973    0.00574563  57       743      
 1083.59 71      1805     4.014      4.01972    0.00572578  51       763      
 1090.72 72      1850     4.01402    4.01972    0.00569989  49       788      
 1093.88 74      1903     4.01413    4.01971    0.00557701  47       799      
 1099.79 76      1950     4.01415    4.0197     0.00554275  52       819      
 1105.63 78      2000     4.01418    4.01968    0.00550212  61       838      
 1112.3  79      2050     4.01422    4.01968    0.00545593  57       861      
 1119.79 81      2100     4.01425    4.01967    0.00542486  55       884      
 1124.88 82      2150     4.01426    4.01967    0.00540207  68       899      
 1129.32 84      2200     4.01428    4.01966    0.0053766   48       911      
 1137.88 86      2259     4.01432    4.01965    0.00533777  55       935      
 1144.98 87      2300     4.01444    4.0196     0.00516363  65       955      
 1152    89      2350     4.01445    4.01959    0.00514406  64       973      
 1159.92 91      2401     4.01446    4.01958    0.00512594  63       994      
 1167.92 93      2455     4.01448    4.01957    0.00509119  56       1013     
 1179.2  94      2500     4.01448    4.01957    0.00508537  60       1043     
 1184.65 96      2555     4.01451    4.01956    0.005047    66       1056     
 1192.9  98      2603     4.01452    4.01956    0.00503344  61       1075     
 1201.01 100     2653     4.01456    4.01952    0.00495869  62       1093     
 1208.8  101     2700     4.01459    4.01952    0.00492883  67       1113     
 1218.84 103     2753     4.01461    4.0195     0.00488524  71       1136     
 1229.25 105     2805     4.01462    4.01949    0.00487111  78       1159     
 1241.79 107     2850     4.01462    4.01948    0.00485597  99       1187     
 1247.79 108     2905     4.01464    4.01947    0.00482941  82       1200     
 1258.38 110     2957     4.01465    4.01946    0.00481555  73       1223     
 1266.54 111     3001     4.01465    4.01946    0.00480728  72       1241     
 1275.23 113     3051     4.01466    4.01946    0.00480259  66       1259     
 1290.03 114     3100     4.01466    4.01946    0.0047968   85       1292     
 1296.03 115     3150     4.01467    4.01945    0.00477769  85       1307     
 1304.01 117     3200     4.01468    4.01944    0.00476306  78       1322     
 1315.29 119     3250     4.01468    4.01944    0.00475173  78       1344     
 1325.9  121     3307     4.01469    4.0194     0.00470946  73       1364     
 1337.15 123     3357     4.0147     4.01938    0.00467935  76       1385     
 1348.93 125     3407     4.0147     4.01937    0.00466588  80       1406     
 1358.96 127     3455     4.0147     4.01936    0.00465991  85       1422     
 1368.65 129     3505     4.0147     4.01936    0.00465654  85       1437     
 1380.82 131     3557     4.01472    4.01934    0.0046234   91       1456     
 1394.65 133     3607     4.01472    4.01933    0.00461218  87       1476     
