
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/compact-sethi-120/449f340f847e.pomdpx
  loading time : 7.84s 

SARSOP initializing ...
  initialization time : 1036.09s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1036.09 0       0        4.06339    6.43226    2.36886     120      1        
 1037    4       55       5.33201    5.56989    0.237884    47       29       
 1037.64 6       121      5.4082     5.56974    0.161542    73       45       
 1038.43 7       150      5.44155    5.56968    0.128125    100      61       
 1040.75 9       213      5.49101    5.56946    0.0784565   141      91       
 1042.37 10      251      5.50383    5.56932    0.0654851   107      109      
 1045.07 11      300      5.51495    5.56928    0.0543297   52       136      
 1047.1  14      357      5.52919    5.56913    0.0399385   40       156      
 1049.19 15      400      5.536      5.56907    0.033069    46       178      
 1051.81 17      450      5.54062    5.56887    0.0282564   45       202      
 1054.81 19      500      5.54373    5.5688     0.0250702   42       226      
 1057.91 22      557      5.54686    5.56874    0.021881    36       247      
 1061.5  24      600      5.54842    5.56866    0.0202374   30       269      
 1065.94 26      659      5.55118    5.56847    0.0172907   32       293      
 1069.57 28      707      5.55172    5.56832    0.0165942   31       315      
 1073.2  30      753      5.55221    5.56822    0.0160184   28       335      
 1077.13 32      800      5.553      5.56819    0.0151858   25       355      
 1081.98 34      850      5.55375    5.56815    0.014395    28       379      
 1087.83 36      900      5.55407    5.56805    0.0139718   30       404      
 1092.89 38      953      5.55525    5.56801    0.0127649   29       424      
 1099.67 40      1011     5.55567    5.5679     0.0122315   32       450      
 1104.64 42      1061     5.55585    5.56788    0.0120282   34       467      
 1111.67 44      1107     5.55602    5.5678     0.0117801   32       490      
 1118.46 46      1153     5.55635    5.56766    0.0113092   32       512      
 1127.56 47      1200     5.55644    5.56766    0.0112164   39       542      
 1130.49 49      1250     5.55712    5.5676     0.010483    39       552      
 1137.56 51      1303     5.55722    5.56751    0.0102934   44       577      
 1144.17 53      1355     5.55735    5.56749    0.010136    42       598      
 1152.29 54      1400     5.55739    5.56748    0.0100912   49       624      
 1157.36 56      1453     5.55779    5.56746    0.00966882  44       639      
 1164.41 58      1505     5.5579     5.56744    0.00953414  54       660      
 1173.02 60      1555     5.55795    5.56735    0.00939729  45       683      
 1181.05 62      1609     5.55801    5.56734    0.00933154  48       703      
 1189.15 64      1661     5.55806    5.56732    0.00925479  53       723      
 1198.09 65      1700     5.55809    5.56731    0.00922669  55       744      
 1209.28 67      1750     5.55812    5.56722    0.00910209  64       768      
 1219.95 69      1815     5.55831    5.56715    0.00883759  64       792      
 1228.67 70      1859     5.55839    5.56715    0.00875347  63       813      
 1238.14 71      1900     5.55841    5.56709    0.00868187  70       836      
 1243.71 73      1950     5.55844    5.56709    0.00865043  66       848      
 1250.66 75      2000     5.55847    5.56708    0.00860789  68       863      
 1260.25 77      2051     5.5585     5.56706    0.00856395  63       883      
