
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/compact-sethi-120/449f774b97a3.pomdpx
  loading time : 8.38s 

SARSOP initializing ...
  initialization time : 1930.82s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1930.82 0       0        3.70474    6.41238    2.70765     120      1        
 1932.58 3       51       4.99031    5.55102    0.560714    34       27       
 1935.39 6       109      5.2939     5.55094    0.257033    70       51       
 1938.21 7       150      5.32969    5.55089    0.221196    63       67       
 1941.16 9       200      5.38998    5.55081    0.160834    28       82       
 1946.66 11      250      5.43843    5.5507     0.112274    30       105      
 1953.84 12      300      5.46171    5.55066    0.088943    37       127      
 1960.88 13      350      5.47555    5.55065    0.0750953   33       149      
 1969.07 15      405      5.49648    5.55062    0.0541394   30       171      
 1977.35 17      459      5.50862    5.55053    0.0419093   30       194      
 1990.48 18      509      5.51427    5.55051    0.0362385   34       216      
 2003.72 19      559      5.51814    5.5505     0.0323624   34       237      
 2017.4  20      607      5.52175    5.55046    0.0287097   32       259      
 2029.57 21      650      5.52471    5.55044    0.0257354   31       281      
 2046.07 22      700      5.52726    5.55042    0.0231596   31       304      
 2067.85 23      750      5.52987    5.55039    0.0205187   27       330      
 2081.45 25      811      5.53284    5.55033    0.0174837   28       348      
 2105.51 26      861      5.53408    5.55032    0.0162316   35       372      
 2123.26 27      903      5.53535    5.55025    0.0149043   37       392      
 2144.81 28      950      5.53617    5.55024    0.0140666   35       416      
 2163.4  30      1005     5.53737    5.55019    0.0128234   36       438      
 2189    31      1050     5.53808    5.55017    0.0120916   38       459      
 2218.41 32      1101     5.53873    5.55014    0.0114125   42       483      
 2253.25 33      1153     5.53936    5.55012    0.0107609   46       508      
 2290.63 35      1200     5.5397     5.55011    0.0104103   43       540      
 2320.26 36      1267     5.54076    5.55004    0.00927504  44       559      
 2357.72 37      1319     5.54116    5.55001    0.00884403  50       585      
 2392.52 38      1369     5.54147    5.54997    0.00849503  49       608      
 2404.78 39      1400     5.54173    5.54995    0.00822188  47       619      
 2447.65 41      1473     5.54232    5.54993    0.00761538  51       650      
 2468.09 42      1505     5.54259    5.54989    0.00730872  50       665      
 2515.29 43      1559     5.54282    5.54989    0.00706266  50       692      
 2559.57 44      1613     5.54311    5.54982    0.00670941  56       718      
 2586.87 45      1650     5.54329    5.5498     0.00650758  54       740      
 2625.51 46      1700     5.54353    5.5498     0.00627034  57       761      
 2676.38 47      1750     5.54374    5.54979    0.00604259  55       791      
 2711.27 49      1811     5.54397    5.54974    0.00577164  55       811      
 2758.29 50      1865     5.54413    5.54973    0.00560035  53       836      
 2808.36 51      1919     5.54425    5.54972    0.00546949  59       860      
 2834.5  52      1950     5.5443     5.54971    0.00540513  61       878      
 2877.14 53      2000     5.54445    5.5497     0.00524378  67       902      
 2930.17 54      2050     5.54453    5.54967    0.00513839  67       925      
 2983.82 55      2100     5.54461    5.54964    0.00503033  64       957      
 3040.4  56      2150     5.54471    5.54961    0.00489481  64       981      
 3101.68 57      2200     5.5448     5.5496     0.0048038   64       1006     
 3126.28 59      2255     5.54488    5.54957    0.00469413  66       1019     
 3168.47 61      2300     5.54495    5.54955    0.00459295  65       1047     
 3210.25 62      2350     5.54501    5.54951    0.0044954   67       1071     
 3265.37 63      2400     5.54512    5.54947    0.00434327  67       1094     
 3332.16 65      2471     5.54523    5.54941    0.00418228  65       1124     
 3362.95 66      2505     5.54528    5.54941    0.00412432  64       1141     
 3432.32 67      2561     5.54535    5.54936    0.00401651  60       1168     
 3494.66 68      2615     5.5454     5.54935    0.00394876  58       1195     
 3526.51 69      2650     5.54542    5.54932    0.00390388  61       1215     
 3599.02 71      2723     5.5455     5.5493     0.00379409  57       1246     
 3666.14 71      2750     5.5455     5.5493     0.00379409  58       1273     
 3713.77 72      2800     5.54554    5.54928    0.00374388  58       1292     
 3755.5  74      2865     5.54561    5.54927    0.00366146  63       1309     
 3821.04 75      2919     5.54564    5.54926    0.00362411  66       1335     
 3897.24 76      2977     5.54567    5.54924    0.00356852  67       1362     
Writing policy file: compact-sethi-120/449f774b97a3_76_3947.91.policy
Intermediate policy written(interval: 2000)
 3947.91 76      3000     5.54567    5.54924    0.00356852  60       1382     
 3973.82 78      3055     5.54572    5.54923    0.00350884  65       1395     
 4020.3  79      3100     5.54575    5.54923    0.00347236  64       1417     
 4070.5  80      3150     5.54579    5.54922    0.00343585  63       1438     
 4121.56 82      3209     5.54583    5.54918    0.00335292  61       1462     
 4170.28 83      3255     5.54585    5.54918    0.00332757  61       1482     
 4234.56 84      3300     5.54587    5.54917    0.00330572  58       1512     
 4282.78 86      3367     5.54591    5.54914    0.00323041  62       1534     
 4356.22 87      3423     5.54593    5.54913    0.00320083  64       1560     
 4404.35 88      3467     5.54595    5.54913    0.00318101  64       1579     
 4430.38 89      3500     5.54596    5.54912    0.00316775  67       1592     
 4487.8  90      3551     5.54598    5.54912    0.00313956  66       1615     
 4554.62 91      3603     5.54599    5.54911    0.00311445  68       1640     
 4624.72 92      3657     5.546      5.5491     0.00309584  72       1663     
 4691.38 93      3711     5.54601    5.5491     0.0030827   73       1688     
 4740.01 94      3750     5.54602    5.54909    0.00307318  73       1713     
 4801.85 96      3813     5.54605    5.54908    0.00302672  70       1736     
 4826.38 97      3850     5.54606    5.54907    0.00301602  70       1750     
 4902.38 98      3907     5.54607    5.54907    0.00299875  75       1776     
 4946.61 99      3950     5.54608    5.54906    0.00298849  75       1800     
 4978.98 101     4000     5.54609    5.54905    0.0029609   78       1817     
 5052.5  102     4055     5.5461     5.54904    0.00294025  76       1842     
 5113.38 103     4100     5.5461     5.54904    0.00293317  75       1867     
 5166.17 104     4150     5.54611    5.54903    0.00292609  76       1887     
 5237.29 106     4200     5.54612    5.54903    0.00290724  75       1915     
 5255.89 107     4255     5.54613    5.54902    0.00288597  73       1924     
 5312.86 108     4300     5.54614    5.54901    0.00286775  71       1946     
 5377.78 109     4353     5.54614    5.54899    0.00284936  78       1971     
 5433.03 110     4403     5.54615    5.54899    0.00283911  75       1992     
 5489.35 111     4455     5.54617    5.54898    0.00281654  78       2016     
 5540.43 112     4505     5.54618    5.54898    0.00280433  78       2035     
 5587.89 114     4561     5.54618    5.54896    0.00278516  79       2061     
 5624.74 115     4600     5.54618    5.54896    0.00277673  79       2079     
 5683.4  116     4650     5.54619    5.54896    0.00276978  79       2101     
 5747.23 118     4719     5.5462     5.54894    0.00274669  74       2128     
 5822.96 119     4777     5.5462     5.54894    0.00273489  78       2155     
 5876.61 119     4800     5.5462     5.54894    0.00273489  77       2172     
 5902.75 121     4853     5.54621    5.54893    0.00272581  79       2183     
Writing policy file: compact-sethi-120/449f774b97a3_122_5980.43.policy
Intermediate policy written(interval: 2000)
 5980.43 122     4903     5.54621    5.54893    0.00272108  83       2206     
 6066.43 123     4961     5.54622    5.54892    0.00269716  78       2233     
 6111.85 124     5000     5.54623    5.54892    0.00268823  82       2250     
 6161.44 126     5063     5.54623    5.54891    0.00268089  82       2270     
 6196.64 127     5100     5.54624    5.54891    0.00267727  82       2285     
 6277.87 129     5169     5.54624    5.54891    0.00266692  88       2311     
 6301.25 130     5200     5.54624    5.5489     0.00266411  88       2320     
 6381.8  131     5250     5.54624    5.5489     0.00265988  87       2343     
 6427.45 133     5300     5.54625    5.5489     0.00265394  88       2361     
 6544.66 134     5350     5.54625    5.5489     0.00264891  82       2392     
 6603.19 135     5400     5.54625    5.5489     0.00264454  81       2409     
 6657.66 136     5450     5.54625    5.5489     0.00264127  87       2425     
 6727.15 137     5500     5.54626    5.54889    0.00263686  90       2442     
 6820.36 138     5550     5.54626    5.54889    0.00263292  94       2463     
 6906.62 139     5600     5.54626    5.54889    0.00262189  92       2486     
 6990.22 140     5650     5.54627    5.54887    0.00260722  91       2508     
 7070.67 141     5700     5.54628    5.54887    0.0025941   86       2534     
 7149.68 143     5763     5.54628    5.54887    0.0025882   80       2553     
 7242.19 144     5813     5.54628    5.54887    0.00258499  80       2575     
 7294.6  145     5850     5.54629    5.54886    0.00257561  83       2593     
 7389.68 146     5900     5.54629    5.54886    0.00257316  80       2617     
 7487.31 147     5950     5.54629    5.54885    0.00255906  83       2639     
 7555.31 148     6000     5.54629    5.54884    0.00254949  92       2656     
 7638.64 149     6050     5.5463     5.54884    0.00254666  95       2676     
 7715.94 151     6115     5.5463     5.54884    0.00254019  92       2693     
 7756.13 152     6151     5.5463     5.54883    0.00253289  95       2706     
 7860.42 153     6203     5.5463     5.54883    0.00252735  95       2729     
 7978.52 154     6263     5.5463     5.54882    0.00251813  101      2756     
Writing policy file: compact-sethi-120/449f774b97a3_155_8042.98.policy
Intermediate policy written(interval: 2000)
 8042.98 155     6301     5.5463     5.54882    0.00251252  105      2773     
 8116.09 157     6361     5.54631    5.54881    0.00250162  106      2794     
 8219.38 158     6415     5.54631    5.54881    0.00249777  102      2813     
 8249.3  159     6450     5.54631    5.5488     0.00249549  104      2821     
 8317.15 160     6500     5.54631    5.5488     0.00249206  100      2836     
 8381.52 162     6551     5.54631    5.5488     0.00248303  100      2854     
 8517.12 163     6600     5.54631    5.54879    0.00247798  97       2885     
 8623.29 164     6650     5.54631    5.54879    0.00247463  96       2906     
 8716.63 165     6700     5.54631    5.54879    0.00247296  93       2926     
 8824.25 166     6750     5.54632    5.54879    0.00246987  98       2948     
 8941.07 167     6800     5.54632    5.54878    0.0024671   98       2970     
 8993.78 169     6857     5.54632    5.54878    0.00246462  103      2980     
 9084.38 170     6905     5.54632    5.54878    0.00246329  108      2996     
 9197.24 171     6955     5.54632    5.54878    0.00246181  108      3017     
 9304.4  172     7003     5.54632    5.54878    0.0024599   111      3038     
 9397.13 174     7057     5.54632    5.54876    0.00244152  112      3061     
 9458.26 175     7100     5.54632    5.54876    0.00243904  112      3073     
 9583.35 176     7150     5.54633    5.54876    0.00243297  111      3097     
 9706.33 177     7200     5.54633    5.54876    0.00243139  113      3121     
 9817.22 178     7250     5.54633    5.54876    0.00243005  113      3139     
 9946.11 179     7300     5.54633    5.54876    0.00242906  113      3161     
 10020.2 181     7351     5.54633    5.54875    0.00241914  111      3179     
Writing policy file: compact-sethi-120/449f774b97a3_182_10144.1.policy
Intermediate policy written(interval: 2000)
 10144.1 182     7400     5.54633    5.54875    0.00241835  114      3200     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10144.100000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10144.1 182     7400     5.54633    5.54875    0.00241835  114      3200     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : compact-sethi-120/449f774b97a3.policyx

