
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/compact-sethi-120/449f7b945e46.pomdpx
  loading time : 7.46s 

SARSOP initializing ...
  initialization time : 879.31s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 879.31  0       0        1.2544     1.48474    0.230335    120      1        
 880.09  1       61       1.28301    1.3266     0.0435959   148      19       
 881.35  2       123      1.28806    1.32658    0.0385184   169      37       
 882.94  2       150      1.28806    1.32658    0.0385184   189      56       
 883.78  3       200      1.29935    1.32656    0.0272028   177      63       
 885.33  4       250      1.30571    1.32655    0.0208323   58       76       
 886.26  5       300      1.30776    1.32653    0.0187711   44       89       
 888.11  6       350      1.31349    1.32653    0.0130336   36       114      
 889.08  7       400      1.31653    1.32652    0.00998939  30       124      
 890.96  8       459      1.31802    1.32651    0.00848403  30       141      
 892.63  9       519      1.3192     1.32649    0.00728887  26       156      
 894.67  10      579      1.31982    1.32647    0.00665844  25       172      
 895.61  10      600      1.31982    1.32647    0.00665844  21       179      
 898.26  11      650      1.32042    1.32647    0.00604797  27       195      
 900.43  12      700      1.32098    1.32645    0.00546919  22       207      
 903.15  13      755      1.32159    1.32643    0.00484504  17       224      
 905.82  14      811      1.32224    1.32642    0.00417889  19       240      
 909.06  15      867      1.32257    1.32642    0.00384607  19       258      
 912     16      923      1.32274    1.32642    0.00367279  18       273      
 915.02  17      950      1.32274    1.32642    0.00367279  28       295      
 916.84  17      1000     1.32337    1.32642    0.00304089  28       305      
 919.38  18      1050     1.32363    1.32641    0.00277833  26       318      
 922.21  19      1100     1.32374    1.32641    0.00267641  23       330      
 927.29  20      1155     1.32393    1.32641    0.00248142  18       351      
 931.04  21      1213     1.32404    1.32641    0.00236887  20       365      
 932.87  22      1271     1.32411    1.3264     0.00229089  24       371      
 941.01  23      1300     1.32411    1.3264     0.00229089  24       399      
 944.36  23      1350     1.3242     1.32639    0.0021864   24       410      
