
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e02b300d89.pomdpx
  loading time : 8.91s 

SARSOP initializing ...
  initialization time : 2649.71s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2649.71 0       0        2.41368    3.6157     1.20202     120      1        
 2652.33 1       65       2.65053    2.89618    0.245654    29       9        
 2653.04 2       131      2.6777     2.89614    0.218438    30       11       
 2653.13 2       150      2.6777     2.89614    0.218438    38       11       
 2654.17 3       200      2.71126    2.89612    0.184855    33       14       
 2654.51 4       265      2.73039    2.89612    0.165725    30       14       
 2655.45 5       333      2.75186    2.8961     0.144246    31       16       
 2655.53 5       350      2.75186    2.8961     0.144246    37       16       
 2656.09 6       401      2.76657    2.8961     0.12953     30       17       
 2656.44 7       469      2.7829     2.8961     0.113203    30       17       
 2656.59 7       500      2.7829     2.8961     0.113203    39       17       
 2656.86 8       550      2.79407    2.8961     0.102032    33       17       
 2657.59 9       605      2.80658    2.8961     0.0895221   8        18       
 2658.06 10      673      2.81246    2.896      0.0835434   8        19       
 2658.16 10      700      2.81246    2.896      0.0835434   8        19       
 2658.97 11      750      2.82162    2.89599    0.0743644   8        20       
 2659.21 12      809      2.83042    2.89599    0.0655666   9        20       
 2659.65 13      877      2.8344     2.89589    0.0614966   10       21       
 2659.73 13      900      2.8344     2.89589    0.0614966   9        21       
 2661.61 14      950      2.83797    2.89587    0.0578939   9        24       
 2662.59 15      1013     2.84242    2.89586    0.0534381   8        25       
 2663.54 16      1081     2.84526    2.89585    0.0505911   7        26       
 2663.61 16      1100     2.84526    2.89585    0.0505911   7        26       
 2665.18 17      1150     2.85018    2.89584    0.045661    7        28       
 2665.73 18      1217     2.85281    2.89576    0.0429494   7        29       
 2666.65 18      1250     2.85281    2.89576    0.0429494   9        30       
 2666.87 19      1300     2.85522    2.89574    0.0405294   9        30       
 2667.45 20      1353     2.85698    2.89568    0.0386959   8        31       
 2667.75 21      1421     2.85865    2.89568    0.0370201   8        31       
 2667.87 21      1450     2.85865    2.89568    0.0370201   8        31       
 2672.07 22      1500     2.86138    2.89567    0.0342889   8        35       
 2672.35 23      1557     2.86314    2.89566    0.0325177   8        35       
 2674.12 24      1625     2.86608    2.89566    0.0295805   8        36       
 2674.23 24      1650     2.86608    2.89566    0.0295805   8        36       
 2674.53 25      1700     2.86762    2.89566    0.0280371   9        36       
 2675.2  26      1761     2.86882    2.8956     0.0267813   11       37       
 2677.85 27      1829     2.86993    2.89559    0.0256623   10       39       
 2677.93 27      1850     2.86993    2.89559    0.0256623   10       39       
 2681.49 28      1900     2.87087    2.89559    0.0247277   9        42       
 2684.21 29      1965     2.87167    2.89559    0.0239279   9        44       
 2689.08 30      2000     2.87167    2.89559    0.0239279   9        47       
 2689.33 30      2050     2.87309    2.89558    0.0224922   9        47       
 2694.09 31      2105     2.87389    2.89553    0.0216394   10       50       
 2698.66 32      2175     2.87685    2.89553    0.0186836   7        52       
 2698.76 32      2200     2.87685    2.89553    0.0186836   7        52       
 2703.8  33      2250     2.87774    2.89553    0.017786    11       54       
 2704.12 34      2311     2.87868    2.8955     0.0168206   11       54       
 2709.26 35      2379     2.87935    2.8955     0.016145    9        56       
 2709.36 35      2400     2.87935    2.8955     0.016145    9        56       
