
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e03400b12e.pomdpx
  loading time : 8.27s 

SARSOP initializing ...
  initialization time : 1525.80s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1525.8  0       0        1.87625    2.47236    0.596108    120      1        
 1529.15 1       79       1.9819     2.05518    0.0732823   24       12       
 1529.26 1       100      1.9819     2.05518    0.0732823   37       12       
 1530.25 2       163      1.98936    2.05512    0.0657637   32       15       
 1530.44 2       200      1.98936    2.05512    0.0657637   40       15       
 1531.5  3       250      1.99251    2.05502    0.062504    41       18       
 1532.89 4       331      1.99798    2.05501    0.0570254   36       21       
 1533.01 4       350      1.99798    2.05501    0.0570254   48       21       
 1534.09 5       415      2.0045     2.05498    0.0504819   32       23       
 1534.29 5       450      2.0045     2.05498    0.0504819   15       23       
 1534.61 6       500      2.00688    2.05498    0.0480984   13       23       
 1535.69 7       585      2.01398    2.05498    0.0409989   10       25       
 1535.76 7       600      2.01398    2.05498    0.0409989   10       25       
 1536.79 8       671      2.01692    2.05493    0.038007    10       27       
 1536.9  8       700      2.01692    2.05493    0.038007    7        27       
 1537.9  9       757      2.02164    2.05493    0.0332827   10       29       
 1538.65 10      841      2.02309    2.05492    0.0318302   11       30       
 1538.7  10      850      2.02309    2.05492    0.0318302   11       30       
 1540.22 11      927      2.02481    2.05489    0.0300813   12       33       
 1540.33 11      950      2.02481    2.05489    0.0300813   11       33       
 1541.04 12      1013     2.02818    2.05489    0.0267147   12       34       
 1541.21 12      1050     2.02818    2.05489    0.0267147   11       34       
 1542.28 13      1100     2.0303     2.05485    0.0245471   12       36       
 1543.62 14      1183     2.03198    2.05484    0.0228598   11       38       
 1543.7  14      1200     2.03198    2.05484    0.0228598   9        38       
 1545.25 15      1271     2.03295    2.05481    0.0218602   11       40       
 1545.4  15      1300     2.03295    2.05481    0.0218602   11       40       
 1547.58 16      1357     2.03534    2.0548     0.0194574   10       42       
 1551.34 16      1400     2.03534    2.0548     0.0194574   12       45       
 1552.92 17      1450     2.03611    2.05475    0.018637    10       46       
 1554.4  18      1531     2.03745    2.05468    0.0172276   13       47       
 1554.51 18      1550     2.03745    2.05468    0.0172276   13       47       
 1556    19      1617     2.03848    2.05467    0.0161863   14       48       
 1556.16 19      1650     2.03848    2.05467    0.0161863   15       48       
 1559.66 20      1705     2.03908    2.05465    0.0155787   13       51       
 1563.66 21      1791     2.04053    2.0546     0.0140714   13       54       
 1563.72 21      1800     2.04053    2.0546     0.0140714   13       54       
 1569.93 22      1883     2.04108    2.05457    0.0134941   13       58       
 1570.03 22      1900     2.04108    2.05457    0.0134941   14       58       
 1573.43 23      1969     2.04161    2.05457    0.0129543   14       60       
 1573.59 23      2000     2.04161    2.05457    0.0129543   13       60       
 1580.52 24      2061     2.042      2.05456    0.012559    15       64       
 1580.71 24      2100     2.042      2.05456    0.012559    15       64       
 1584.29 25      2150     2.04313    2.05455    0.0114195   14       66       
 1591.73 26      2233     2.04354    2.05452    0.0109872   16       70       
 1591.84 26      2250     2.04354    2.05452    0.0109872   15       70       
 1598    27      2319     2.04434    2.05446    0.0101173   16       73       
 1598.18 27      2350     2.04434    2.05446    0.0101173   15       73       
 1604.54 28      2405     2.04459    2.05446    0.00986897  18       76       
 1611.69 29      2491     2.04524    2.05443    0.00918973  15       79       
 1633.19 29      2500     2.04524    2.05443    0.00918973  15       88       
 1729.86 30      2571     2.04816    2.05427    0.00610472  11       118      
