
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e0493cd52b.pomdpx
  loading time : 8.08s 

SARSOP initializing ...
  initialization time : 238.73s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 238.73  0       0        1.4035     1.6842     0.280694    120      1        
 239.69  3       53       1.53419    1.6051     0.0709036   115      27       
 240.87  5       107      1.5476     1.6039     0.0562952   146      54       
 242.29  8       150      1.55786    1.60324    0.0453845   172      79       
 244.07  12      200      1.57151    1.60296    0.0314499   195      103      
 245.97  16      253      1.57721    1.6025     0.025296    114      117      
 247.23  19      300      1.57805    1.60234    0.0242889   121      137      
 249.31  23      361      1.58295    1.60219    0.0192421   138      160      
 250.31  26      400      1.58348    1.60196    0.0184794   160      174      
 253.37  29      457      1.58496    1.60186    0.0169009   141      197      
 255.88  32      500      1.58698    1.60179    0.0148103   133      214      
 257.66  35      551      1.58728    1.60176    0.0144809   130      234      
 260.07  38      600      1.58787    1.60169    0.0138192   110      254      
 262.86  41      650      1.58889    1.60164    0.0127495   108      270      
 265.53  44      711      1.58946    1.60159    0.0121226   118      294      
 266.4   47      750      1.58946    1.60156    0.0120918   141      304      
 269.95  50      803      1.58968    1.60148    0.0118038   140      320      
 272.34  52      850      1.58988    1.60147    0.0115858   89       342      
 276.3   55      903      1.59041    1.60141    0.011007    85       363      
 280.62  58      950      1.59108    1.60138    0.010305    101      384      
 282.3   61      1001     1.59152    1.60135    0.00982969  74       399      
 286.99  64      1050     1.59171    1.60133    0.00961194  74       421      
 291.95  67      1100     1.59186    1.6013     0.00943898  87       438      
 293.58  69      1151     1.59186    1.60124    0.00938373  97       457      
 296.64  72      1201     1.59203    1.60123    0.00919262  105      474      
 306.34  74      1250     1.59231    1.60122    0.00890706  105      497      
 313.69  77      1301     1.59246    1.6012     0.00873779  110      516      
 322.45  79      1350     1.5925     1.60118    0.00867476  107      540      
 324.56  81      1400     1.5926     1.60117    0.0085673   95       553      
 328.2   84      1451     1.59277    1.60114    0.00836978  104      567      
 344.22  86      1503     1.59293    1.60113    0.00820713  104      593      
 354.94  88      1559     1.59299    1.6011     0.0081055   112      613      
 365.28  90      1600     1.59304    1.60109    0.00805226  118      627      
 368.13  94      1650     1.59304    1.60108    0.00804212  140      640      
 381.87  96      1709     1.59322    1.60107    0.00785209  143      661      
 394.95  99      1761     1.59324    1.60106    0.00782049  134      680      
 400.61  101     1801     1.59328    1.60103    0.00775608  140      696      
 425.5   103     1853     1.59332    1.60101    0.00769116  141      721      
 440.88  105     1900     1.59334    1.601      0.00766394  159      739      
 459.04  108     1955     1.59338    1.60098    0.00760198  138      758      
 474.22  110     2000     1.59344    1.60097    0.00753223  130      777      
 499.5   112     2050     1.59346    1.60096    0.00750466  139      799      
 521.87  114     2100     1.59348    1.60095    0.00747235  161      823      
 546.76  116     2150     1.59356    1.60092    0.00735245  161      842      
 569.44  119     2200     1.59356    1.60091    0.00734458  173      866      
 573.38  122     2253     1.59358    1.6009     0.00731928  181      872      
 614.7   124     2309     1.59361    1.60089    0.00727643  181      899      
 642.65  125     2350     1.59368    1.60088    0.00720823  180      925      
 649.79  127     2400     1.59371    1.60087    0.00715926  192      941      
 660.89  129     2450     1.59373    1.60085    0.00712873  192      960      
 675.2   131     2500     1.59376    1.60085    0.00709534  203      976      
