
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e059c2d0d7.pomdpx
  loading time : 8.21s 

SARSOP initializing ...
  initialization time : 943.27s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 943.27  0       0        1.51734    2.51556    0.998225    120      1        
 945.5   1       61       1.7526     1.93805    0.185456    43       13       
 947.01  1       100      1.7526     1.93805    0.185456    57       17       
 947.57  2       150      1.77235    1.938      0.165655    54       17       
 948.99  3       221      1.78455    1.938      0.153452    53       19       
 949.14  3       250      1.78455    1.938      0.153452    68       19       
 950.87  4       301      1.7939     1.938      0.144099    23       21       
 951.28  5       381      1.80163    1.938      0.136364    17       21       
 951.35  5       400      1.80163    1.938      0.136364    18       21       
 953.73  6       463      1.81507    1.93799    0.122918    11       24       
 953.84  6       500      1.81507    1.93799    0.122918    11       24       
 955.47  7       550      1.82814    1.93799    0.109853    11       26       
 957.51  8       627      1.83899    1.93799    0.0989997   11       28       
 957.59  8       650      1.83899    1.93799    0.0989997   11       28       
 961.34  9       709      1.84688    1.93798    0.0911032   10       31       
 963.87  10      750      1.84688    1.93798    0.0911032   12       33       
 964.1   10      800      1.85321    1.93797    0.0847597   12       33       
 969.87  11      873      1.85724    1.93796    0.0807261   10       36       
 969.97  11      900      1.85724    1.93796    0.0807261   11       36       
 974.3   12      955      1.85949    1.93795    0.0784624   11       38       
 975.9   13      1037     1.864      1.93795    0.073945    11       39       
 975.95  13      1050     1.864      1.93795    0.073945    10       39       
 979.66  14      1119     1.86777    1.93794    0.0701755   9        41       
 979.76  14      1150     1.86777    1.93794    0.0701755   10       41       
 984.75  15      1201     1.87062    1.93794    0.0673133   10       43       
 990.42  16      1283     1.87222    1.93794    0.0657141   12       45       
 990.5   16      1300     1.87222    1.93794    0.0657141   12       45       
 995.34  17      1365     1.87463    1.93793    0.0632987   12       47       
 995.47  17      1400     1.87463    1.93793    0.0632987   13       47       
 1001.82 18      1450     1.87775    1.93792    0.060173    11       49       
 1013.55 19      1529     1.88083    1.93792    0.0570866   12       53       
 1013.64 19      1550     1.88083    1.93792    0.0570866   12       53       
 1024.94 20      1611     1.88311    1.93791    0.0548042   10       56       
 1028.94 20      1650     1.88311    1.93791    0.0548042   12       57       
 1033.27 21      1700     1.88435    1.93791    0.0535629   13       58       
 1040.08 22      1775     1.8861     1.93791    0.0518038   13       60       
 1040.2  22      1800     1.8861     1.93791    0.0518038   14       60       
 1049.28 23      1857     1.88801    1.9379     0.0498966   12       62       
 1052.13 24      1939     1.88964    1.9379     0.0482647   11       63       
 1052.2  24      1950     1.88964    1.9379     0.0482647   13       63       
 1062.23 25      2021     1.89113    1.9379     0.046767    11       65       
 1062.37 25      2050     1.89113    1.9379     0.046767    10       65       
 1070.46 26      2103     1.89249    1.93789    0.045396    11       67       
 1081.55 27      2185     1.89411    1.93788    0.0437777   13       69       
 1081.65 27      2200     1.89411    1.93788    0.0437777   14       69       
 1090.33 28      2267     1.89537    1.93788    0.0425123   14       71       
 1090.5  28      2300     1.89537    1.93788    0.0425123   14       71       
 1108.31 29      2350     1.89689    1.93788    0.0409854   12       74       
 1117.97 30      2431     1.89818    1.93787    0.0396973   12       76       
 1118.07 30      2450     1.89818    1.93787    0.0396973   13       76       
 1127.58 31      2513     1.89928    1.93787    0.0385935   14       78       
 1127.76 31      2550     1.89928    1.93787    0.0385935   13       78       
 1140.95 32      2600     1.8998     1.93787    0.0380698   14       80       
 1160.72 33      2677     1.9007     1.93786    0.0371635   13       84       
 1160.84 33      2700     1.9007     1.93786    0.0371635   13       84       
 1175.11 34      2759     1.90137    1.93786    0.0364904   13       86       
 1178.95 35      2800     1.90137    1.93786    0.0364904   13       87       
 1179.23 35      2850     1.90214    1.93786    0.0357198   12       87       
 1194.41 36      2923     1.90273    1.93786    0.0351297   15       89       
 1194.56 36      2950     1.90273    1.93786    0.0351297   14       89       
 1202.53 37      3005     1.90304    1.93785    0.0348126   15       90       
 1206.82 38      3087     1.90339    1.93785    0.0344634   15       91       
 1206.91 38      3100     1.90339    1.93785    0.0344634   15       91       
 1231.87 39      3169     1.9039     1.93784    0.0339388   15       94       
 1232.05 39      3200     1.9039     1.93784    0.0339388   16       94       
 1249.12 40      3251     1.90431    1.93784    0.0335362   17       96       
 1266.55 41      3335     1.90483    1.93784    0.0330105   15       99       
 1266.66 41      3350     1.90483    1.93784    0.0330105   15       99       
 1284.18 42      3417     1.90532    1.93784    0.0325209   15       101      
 1284.36 42      3450     1.90532    1.93784    0.0325209   13       101      
 1288.9  43      3500     1.90579    1.93784    0.0320472   14       102      
 1298.93 44      3581     1.90637    1.93783    0.0314673   15       103      
 1299.06 44      3600     1.90637    1.93783    0.0314673   15       103      
 1314.04 45      3663     1.90686    1.93783    0.0309726   11       105      
 1314.26 45      3700     1.90686    1.93783    0.0309726   12       105      
 1323.95 46      3750     1.9072     1.93783    0.0306305   14       106      
 1348.69 47      3827     1.90768    1.93783    0.0301437   14       109      
 1348.83 47      3850     1.90768    1.93783    0.0301437   14       109      
 1359.56 48      3909     1.90817    1.93782    0.0296592   13       110      
 1364.74 49      3950     1.90817    1.93782    0.0296592   17       111      
 1365.08 49      4000     1.9085     1.93782    0.0293229   14       111      
 1376.83 50      4073     1.90877    1.93782    0.029053    16       112      
 1377.01 50      4100     1.90877    1.93782    0.029053    15       112      
 1393.95 51      4155     1.9092     1.93782    0.0286165   15       114      
 1406.92 52      4237     1.90944    1.93782    0.0283748   17       115      
 1407.04 52      4250     1.90944    1.93782    0.0283748   17       115      
 1426.01 53      4319     1.90958    1.93781    0.0282337   15       117      
 1426.21 53      4350     1.90958    1.93781    0.0282337   17       117      
 1437.09 54      4403     1.91003    1.9378     0.0277761   15       119      
 1454.58 55      4485     1.9105     1.9378     0.0273      11       121      
 1454.7  55      4500     1.9105     1.9378     0.0273      11       121      
 1467.15 56      4567     1.91079    1.93779    0.0269919   16       122      
 1467.35 56      4600     1.91079    1.93779    0.0269919   15       122      
 1498.42 57      4651     1.9113     1.93778    0.0264771   16       125      
 1510.39 58      4733     1.91161    1.93777    0.0261627   15       126      
 1510.52 58      4750     1.91161    1.93777    0.0261627   14       126      
 1539.02 59      4815     1.91192    1.93776    0.0258444   16       128      
 1539.25 59      4850     1.91192    1.93776    0.0258444   18       128      
 1560.08 60      4900     1.91231    1.93776    0.025446    15       130      
 1594.53 61      4981     1.9127     1.93775    0.0250491   15       133      
 1594.66 61      5000     1.9127     1.93775    0.0250491   15       133      
 1600.62 62      5063     1.91304    1.93775    0.0247057   15       134      
 1600.84 62      5100     1.91304    1.93775    0.0247057   14       134      
 1635.35 63      5150     1.91343    1.93774    0.0243045   20       137      
 1642.13 64      5227     1.91365    1.93773    0.0240812   20       138      
 1642.32 64      5250     1.91365    1.93773    0.0240812   20       138      
 1672.1  65      5309     1.91379    1.93773    0.0239362   16       140      
 1693.77 66      5350     1.91379    1.93773    0.0239362   18       142      
 1694.15 66      5400     1.91402    1.93773    0.023704    17       142      
 1715.77 67      5473     1.91429    1.93772    0.0234328   16       144      
 1715.96 67      5500     1.91429    1.93772    0.0234328   17       144      
 1747.41 68      5555     1.91454    1.93772    0.0231729   19       146      
 1754.51 69      5637     1.91474    1.93771    0.022972    19       147      
 1754.65 69      5650     1.91474    1.93771    0.022972    19       147      
 1761.71 70      5719     1.91488    1.93771    0.0228289   19       148      
 1761.93 70      5750     1.91488    1.93771    0.0228289   18       148      
 1797.43 71      5801     1.91506    1.9377     0.022645    17       150      
 1841.44 72      5883     1.91513    1.93769    0.0225575   21       153      
 1841.61 72      5900     1.91513    1.93769    0.0225575   20       153      
 1880.29 73      5965     1.91526    1.93768    0.0224206   20       155      
 1880.55 73      6000     1.91526    1.93768    0.0224206   19       155      
 1899.69 74      6050     1.91539    1.93768    0.0222896   19       156      
 1962.31 75      6129     1.91546    1.93767    0.0222125   21       159      
 1962.5  75      6150     1.91546    1.93767    0.0222125   20       159      
 1970.65 76      6211     1.91554    1.93767    0.0221301   23       160      
 1970.96 76      6250     1.91554    1.93767    0.0221301   24       160      
 1994.54 77      6300     1.9156     1.93767    0.022063    24       161      
 2028.12 78      6375     1.91569    1.93766    0.021972    23       163      
 2028.35 78      6400     1.91569    1.93766    0.021972    23       163      
 2061.65 79      6459     1.91581    1.93766    0.0218495   22       165      
 2089.59 80      6500     1.91581    1.93766    0.0218495   21       166      
 2090.01 80      6550     1.91604    1.93766    0.0216155   19       166      
 2098.15 81      6623     1.91625    1.93766    0.0214092   20       167      
 2098.36 81      6650     1.91625    1.93766    0.0214092   18       167      
 2119.69 82      6705     1.91637    1.93766    0.0212875   20       168      
 2149.17 83      6787     1.91646    1.93766    0.021199    20       169      
 2149.34 83      6800     1.91646    1.93766    0.021199    19       169      
 2186.62 84      6869     1.91658    1.93765    0.0210698   21       171      
 2186.87 84      6900     1.91658    1.93765    0.0210698   20       171      
 2210.82 85      6951     1.91669    1.93765    0.0209521   21       172      
 2268.94 86      7035     1.91679    1.93764    0.0208526   21       175      
 2269.11 86      7050     1.91679    1.93764    0.0208526   21       175      
 2298.79 87      7119     1.917      1.93764    0.0206466   19       177      
 2299.04 87      7150     1.917      1.93764    0.0206466   17       177      
 2325.53 88      7201     1.91716    1.93764    0.0204784   18       178      
 2334.73 89      7283     1.91731    1.93764    0.0203316   19       179      
 2334.91 89      7300     1.91731    1.93764    0.0203316   18       179      
 2386.17 90      7365     1.91735    1.93763    0.0202776   20       181      
 2386.44 90      7400     1.91735    1.93763    0.0202776   20       181      
 2447.47 91      7450     1.91747    1.93762    0.0201543   21       184      
 2470.92 92      7529     1.91755    1.93762    0.0200679   24       185      
 2471.14 92      7550     1.91755    1.93762    0.0200679   23       185      
 2505.75 93      7611     1.91763    1.93762    0.0199935   23       187      
 2533.15 93      7650     1.91763    1.93762    0.0199935   23       188      
 2563.61 94      7700     1.91768    1.93761    0.0199293   22       189      
 2648.94 95      7775     1.91772    1.9376     0.019879    26       192      
 2649.19 95      7800     1.91772    1.9376     0.019879    26       192      
 2687.5  96      7857     1.91778    1.9376     0.0198151   24       194      
 2749.22 97      7939     1.91783    1.9376     0.0197651   28       196      
 2749.43 97      7950     1.91783    1.9376     0.0197651   28       196      
 2784.83 98      8021     1.91787    1.93759    0.0197162   32       197      
 2785.14 98      8050     1.91787    1.93759    0.0197162   32       197      
 2826.17 99      8105     1.91794    1.93759    0.0196508   23       199      
 2919.55 100     8187     1.91806    1.93758    0.0195191   24       202      
 2919.73 100     8200     1.91806    1.93758    0.0195191   24       202      
 2987.97 101     8269     1.91812    1.93758    0.0194564   21       204      
 2988.25 101     8300     1.91812    1.93758    0.0194564   20       204      
 2999.11 102     8351     1.91817    1.93757    0.0194058   21       205      
 3041.44 103     8433     1.91827    1.93757    0.0192991   22       207      
 3041.65 103     8450     1.91827    1.93757    0.0192991   20       207      
 3111.3  104     8515     1.91832    1.93757    0.0192522   23       209      
 3111.62 104     8550     1.91832    1.93757    0.0192522   22       209      
 3156.71 105     8600     1.9184     1.93756    0.0191563   21       211      
 3189.98 106     8679     1.91845    1.93756    0.0191095   22       212      
 3190.22 106     8700     1.91845    1.93756    0.0191095   23       212      
 3320.54 107     8761     1.91848    1.93756    0.0190726   25       215      
 3351.19 107     8800     1.91848    1.93756    0.0190726   25       216      
