
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e060f777f.pomdpx
  loading time : 8.19s 

SARSOP initializing ...
  initialization time : 300.61s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 300.61  0       0        1.57629    2.1757     0.599415    120      1        
 301.32  3       57       1.98635    2.12306    0.136717    42       25       
 301.93  5       100      2.03994    2.12273    0.0827985   36       44       
 302.84  8       150      2.05656    2.12273    0.0661685   52       64       
 303.56  10      207      2.07826    2.1227     0.0444358   50       79       
 304.52  12      255      2.0864     2.12263    0.0362265   61       93       
 307.14  14      300      2.0918     2.12248    0.0306789   67       114      
 309.02  17      355      2.09928    2.12241    0.0231384   71       128      
 313.01  19      400      2.10133    2.12235    0.0210199   62       150      
 318.01  22      450      2.10463    2.1223     0.0176666   46       178      
 321.39  24      511      2.10596    2.12229    0.0163353   63       192      
 327.84  26      555      2.10614    2.12221    0.0160717   58       214      
 336.41  28      600      2.10671    2.12215    0.015433    61       237      
 346.4   30      650      2.10691    2.12213    0.0152223   58       259      
 356.76  32      700      2.10778    2.1221     0.0143217   44       285      
 369.33  35      759      2.10815    2.12205    0.0138985   46       309      
 383.16  37      805      2.10833    2.12204    0.0137029   48       331      
 399.59  39      851      2.10844    2.12199    0.0135572   46       354      
 414.26  41      900      2.10908    2.12197    0.0128815   40       377      
 430.78  43      950      2.10919    2.12195    0.0127518   49       401      
 451.73  45      1000     2.10934    2.12193    0.012587    57       426      
 474.29  47      1050     2.10938    2.12192    0.0125394   55       450      
 499.82  49      1100     2.10945    2.1219     0.0124443   63       474      
 529.55  51      1150     2.1095     2.12187    0.0123715   67       499      
 560.96  53      1200     2.10951    2.12186    0.0123481   69       522      
 596.5   55      1250     2.10958    2.12184    0.0122591   72       545      
 632.76  57      1300     2.10959    2.12181    0.0122205   70       567      
 671.04  59      1350     2.1096     2.1218     0.0121953   73       590      
 718.09  61      1400     2.10962    2.12179    0.0121756   82       615      
 770.97  63      1450     2.10962    2.12178    0.0121645   102      639      
 830.22  65      1500     2.10963    2.12178    0.0121526   101      664      
 887.86  67      1550     2.10966    2.12177    0.0121165   96       688      
 947.53  69      1600     2.10967    2.12176    0.0120912   87       712      
 995.43  72      1661     2.10988    2.12175    0.0118656   85       730      
 1034.95 74      1711     2.1099     2.12174    0.0118409   80       752      
 1080.05 76      1750     2.10991    2.12173    0.0118228   89       775      
 1129.48 78      1811     2.10993    2.12173    0.0117985   94       797      
 1182.66 80      1861     2.10995    2.12172    0.011768    100      820      
 1239.49 82      1911     2.10995    2.1217     0.0117499   98       844      
 1298.65 84      1961     2.10997    2.1217     0.0117307   101      868      
 1363.47 86      2011     2.10999    2.12169    0.0116984   102      892      
 1431.5  88      2061     2.11       2.12168    0.0116822   101      915      
 1501.75 90      2100     2.11       2.12167    0.0116726   105      938      
 1572.14 92      2161     2.11002    2.12167    0.0116488   111      959      
 1658.48 94      2211     2.11003    2.12165    0.0116204   112      984      
 1746.12 96      2250     2.11003    2.12165    0.011619    112      1008     
 1838.45 97      2300     2.11003    2.12165    0.0116136   119      1031     
 1931.15 99      2350     2.11003    2.12164    0.0116063   133      1054     
 2029.93 102     2400     2.11003    2.12163    0.0115993   140      1075     
 2142.13 104     2461     2.11005    2.12161    0.0115625   144      1098     
 2250.61 106     2509     2.11005    2.12161    0.0115568   147      1120     
 2389.96 108     2561     2.11006    2.1216     0.0115483   163      1145     
 2523.53 110     2609     2.11006    2.1216     0.0115344   176      1168     
 2671.08 112     2661     2.11006    2.12158    0.0115167   185      1192     
 2749.68 114     2700     2.11015    2.12158    0.0114349   184      1212     
 2831.11 115     2750     2.11015    2.12158    0.0114224   179      1235     
 2937.6  117     2800     2.11016    2.12157    0.0114097   159      1258     
 3026.01 119     2850     2.11016    2.12156    0.0114027   170      1280     
 3125.03 121     2900     2.11016    2.12156    0.0113931   170      1302     
 3214.01 123     2950     2.11017    2.12156    0.0113885   168      1322     
 3327.65 125     3000     2.11017    2.12155    0.0113854   167      1346     
 3437.51 127     3050     2.11017    2.12155    0.0113819   175      1368     
 3538.4  129     3100     2.11017    2.12155    0.0113805   170      1386     
 3653.96 131     3150     2.11018    2.12154    0.0113648   166      1409     
 3774.42 133     3200     2.11018    2.12154    0.0113618   161      1430     
 3911.5  135     3250     2.11019    2.12154    0.0113474   162      1454     
 4037.06 137     3300     2.11019    2.12153    0.0113375   165      1476     
 4180.67 139     3350     2.11019    2.12153    0.0113352   169      1499     
 4310.44 141     3400     2.1102     2.12152    0.011326    180      1519     
 4447.89 143     3450     2.1102     2.12152    0.0113248   186      1541     
 4620.62 145     3500     2.1102     2.12152    0.0113243   185      1564     
 4778.87 147     3550     2.1102     2.12152    0.0113214   199      1586     
 4948.99 149     3600     2.1102     2.12152    0.0113184   201      1609     
 5130.82 151     3650     2.1102     2.12152    0.0113156   201      1632     
 5289.16 153     3700     2.1102     2.12151    0.0113044   208      1655     
 5465.12 155     3750     2.11021    2.1215     0.0112951   215      1676     
 5588.97 157     3800     2.11027    2.1215     0.0112339   216      1694     
 5722.17 159     3850     2.11027    2.1215     0.0112313   210      1716     
 5872.86 161     3900     2.11028    2.1215     0.011224    208      1737     
 6015.4  163     3950     2.11028    2.1215     0.0112213   195      1758     
 6157.82 165     4000     2.11028    2.1215     0.0112136   189      1781     
 6281.53 167     4050     2.11029    2.1215     0.0112058   197      1802     
 6406.94 169     4100     2.11029    2.12149    0.0112008   204      1824     
 6546.93 171     4150     2.1103     2.12149    0.0111955   207      1847     
 6706.44 173     4200     2.11031    2.12149    0.011183    211      1870     
 6836.09 175     4250     2.11031    2.12148    0.0111751   214      1888     
 6957.49 177     4300     2.11039    2.12148    0.0110892   208      1911     
 7078.21 179     4350     2.1104     2.12148    0.0110846   196      1933     
 7190.87 181     4400     2.1104     2.12148    0.0110833   198      1954     
 7322.46 183     4450     2.1104     2.12148    0.0110821   202      1975     
 7457.57 185     4500     2.1104     2.12148    0.0110814   193      1996     
 7590.24 187     4550     2.1104     2.12148    0.0110805   202      2018     
 7712.68 189     4600     2.1104     2.12148    0.0110767   209      2042     
 7836.63 191     4650     2.1104     2.12147    0.011075    215      2064     
 7947.88 193     4700     2.1104     2.12147    0.0110695   228      2086     
 8079.66 195     4750     2.1104     2.12147    0.0110682   234      2110     
