
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e06a6e2c67.pomdpx
  loading time : 8.00s 

SARSOP initializing ...
  initialization time : 1854.63s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1854.63 0       0        1.63965    2.2969     0.657256    120      1        
 1857.47 1       79       1.7254     1.87144    0.14604     30       11       
 1857.58 1       100      1.7254     1.87144    0.14604     40       11       
 1858.51 2       161      1.75264    1.87143    0.118789    29       14       
 1859.02 2       200      1.75264    1.87143    0.118789    35       16       
 1859.61 3       250      1.77118    1.87142    0.100243    35       17       
 1860.92 4       325      1.78019    1.87142    0.0912347   27       21       
 1861.02 4       350      1.78019    1.87142    0.0912347   30       21       
 1861.53 5       407      1.78644    1.87142    0.0849782   29       22       
 1862.51 6       491      1.79766    1.87142    0.0737554   9        24       
 1862.55 6       500      1.79766    1.87142    0.0737554   9        24       
 1862.91 7       573      1.80384    1.87142    0.0675797   7        24       
 1863.01 7       600      1.80384    1.87142    0.0675797   5        24       
 1863.52 8       657      1.81205    1.87142    0.0593655   5        25       
 1864.49 9       741      1.81726    1.87141    0.0541528   6        27       
 1864.53 9       750      1.81726    1.87141    0.0541528   6        27       
 1865.16 10      825      1.8213     1.87141    0.0501119   6        28       
 1865.26 10      850      1.8213     1.87141    0.0501119   6        28       
 1866.27 11      909      1.8237     1.87141    0.04771     8        30       
 1867.77 11      950      1.8237     1.87141    0.04771     11       33       
 1868    12      1000     1.82765    1.87141    0.0437646   5        33       
 1868.8  13      1077     1.83078    1.87141    0.0406298   6        34       
 1868.89 13      1100     1.83078    1.87141    0.0406298   6        34       
 1870.13 14      1161     1.83258    1.87141    0.0388318   8        36       
 1870.26 14      1200     1.83258    1.87141    0.0388318   9        36       
 1870.94 15      1250     1.8342     1.87141    0.0372058   7        37       
 1872.66 16      1329     1.83502    1.87141    0.0363892   8        40       
 1872.74 16      1350     1.83502    1.87141    0.0363892   8        40       
 1875.21 17      1415     1.83793    1.87141    0.0334748   7        43       
 1875.34 17      1450     1.83793    1.87141    0.0334748   7        43       
 1876.28 18      1500     1.8402     1.87141    0.0312076   6        44       
 1878.83 19      1583     1.84134    1.87141    0.0300641   7        47       
 1878.9  19      1600     1.84134    1.87141    0.0300641   7        47       
 1881.14 20      1669     1.84425    1.87141    0.0271606   6        49       
 1881.25 20      1700     1.84425    1.87141    0.0271606   6        49       
 1883.27 21      1753     1.84529    1.87141    0.026121    7        51       
 1884.72 22      1839     1.84635    1.87141    0.0250541   8        52       
 1884.78 22      1850     1.84635    1.87141    0.0250541   8        52       
 1886.32 23      1925     1.84797    1.87141    0.0234404   8        53       
 1886.42 23      1950     1.84797    1.87141    0.0234404   7        53       
 1890.12 24      2009     1.84933    1.87141    0.0220729   8        56       
 1890.28 24      2050     1.84933    1.87141    0.0220729   10       56       
 1891.83 25      2100     1.85043    1.87141    0.0209813   8        57       
 1896.12 26      2181     1.85127    1.87141    0.0201346   8        60       
 1896.21 26      2200     1.85127    1.87141    0.0201346   8        60       
 1901.18 27      2267     1.8524     1.87141    0.0190022   9        63       
 1901.32 27      2300     1.8524     1.87141    0.0190022   10       63       
 1904.37 28      2351     1.85306    1.87141    0.0183484   9        65       
 1908.2  29      2435     1.8535     1.87141    0.0179017   9        67       
 1908.28 29      2450     1.8535     1.87141    0.0179017   9        67       
 1912.18 30      2519     1.85416    1.87141    0.0172448   9        69       
 1912.31 30      2550     1.85416    1.87141    0.0172448   9        69       
 1918    31      2605     1.85494    1.87141    0.0164656   9        72       
 1918.5  32      2689     1.85551    1.87141    0.0158934   10       72       
 1918.57 32      2700     1.85551    1.87141    0.0158934   10       72       
 1922    33      2775     1.85606    1.8714     0.0153419   10       74       
 1922.11 33      2800     1.85606    1.8714     0.0153419   10       74       
 1926.32 34      2861     1.85641    1.8714     0.0149975   9        76       
 1926.49 34      2900     1.85641    1.8714     0.0149975   10       76       
