
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e07ed1c023.pomdpx
  loading time : 7.65s 

SARSOP initializing ...
  initialization time : 253.46s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 253.46  0       0        3.1717     4.39326    1.22156     120      1        
 254.28  2       55       3.398      3.44322    0.0452164   74       29       
 255.57  3       100      3.40523    3.44316    0.0379356   66       57       
 256.36  5       150      3.42467    3.44315    0.0184808   113      70       
 258.15  6       200      3.42702    3.44315    0.0161307   151      95       
 261.17  8       250      3.42934    3.44315    0.0138043   68       124      
 263.6   9       311      3.43109    3.4431     0.0120109   84       144      
 265.76  10      357      3.43284    3.44309    0.0102488   49       160      
 267.78  11      401      3.43341    3.44309    0.0096779   40       175      
 270.82  12      450      3.43405    3.44308    0.00902825  44       197      
 275.1   13      500      3.43425    3.44308    0.00882839  36       221      
 280.74  14      550      3.43444    3.44308    0.00863538  33       249      
 286.37  16      621      3.43489    3.44305    0.0081671   34       273      
 291.49  17      665      3.43498    3.44305    0.00807093  35       293      
 294.99  18      707      3.43504    3.44305    0.00800857  35       307      
 300.52  19      750      3.43509    3.44304    0.00795307  36       327      
 306.61  20      800      3.43513    3.44304    0.00791494  52       348      
 313.32  21      850      3.43514    3.44304    0.00789445  47       367      
 318.52  23      919      3.43522    3.44303    0.00781695  37       382      
 326.09  24      961      3.43528    3.44303    0.00775145  31       401      
 333.2   25      1003     3.43532    3.44303    0.00771855  38       417      
 342.03  26      1050     3.43533    3.44303    0.00770009  38       438      
 356.59  27      1100     3.43535    3.44303    0.00768458  41       468      
 368.77  29      1169     3.43555    3.44299    0.0074323   46       491      
 377.73  30      1209     3.43556    3.44299    0.00742455  49       505      
 386.52  31      1250     3.43557    3.44298    0.00741867  56       519      
 405.39  32      1300     3.43559    3.44298    0.00738821  47       548      
 419.76  34      1369     3.4356     3.44298    0.00737574  56       568      
 431.51  35      1409     3.43596    3.44298    0.00702039  54       586      
 444.67  36      1451     3.43597    3.44298    0.0070099   53       604      
 458.72  37      1500     3.43597    3.44297    0.00700376  51       622      
 479.12  38      1550     3.43599    3.44297    0.00697491  50       647      
 496.15  39      1600     3.43604    3.44296    0.00692491  53       667      
