
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e11dbae8f7.pomdpx
  loading time : 8.71s 

SARSOP initializing ...
  initialization time : 2449.11s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2449.11 0       0        1.63004    2.15195    0.521912    120      1        
 2454.98 1       75       1.68989    1.79582    0.10593     32       13       
 2455.13 1       100      1.68989    1.79582    0.10593     34       13       
 2456.86 2       155      1.71052    1.79577    0.0852489   34       16       
 2459.59 3       235      1.72339    1.79574    0.0723492   33       20       
 2459.68 3       250      1.72339    1.79574    0.0723492   36       20       
 2464.08 4       317      1.73512    1.79574    0.0606125   14       25       
 2464.25 4       350      1.73512    1.79574    0.0606125   9        25       
 2467.17 5       400      1.74116    1.79572    0.0545625   7        28       
 2470.82 6       479      1.74754    1.79572    0.0481766   8        31       
 2470.92 6       500      1.74754    1.79572    0.0481766   6        31       
 2475.31 7       561      1.75448    1.79572    0.0412391   7        34       
 2477.01 7       600      1.75448    1.79572    0.0412391   7        35       
 2478.93 8       650      1.75715    1.79572    0.0385639   7        36       
 2487.1  9       727      1.76218    1.79571    0.0335373   9        40       
 2487.23 9       750      1.76218    1.79571    0.0335373   7        40       
 2497.07 10      809      1.76458    1.79571    0.0311347   11       44       
 2508.52 10      850      1.76458    1.79571    0.0311347   11       48       
 2508.89 11      900      1.7681     1.7957     0.0276013   9        48       
 2518.45 12      977      1.76948    1.7957     0.0262138   10       51       
 2518.58 12      1000     1.76948    1.7957     0.0262138   10       51       
 2535.65 13      1061     1.77174    1.7957     0.0239546   10       56       
 2542.87 13      1100     1.77174    1.7957     0.0239546   9        58       
 2551.43 14      1150     1.77293    1.79569    0.0227675   9        60       
 2565.3  15      1229     1.77472    1.79569    0.020972    11       63       
 2565.43 15      1250     1.77472    1.79569    0.020972    11       63       
 2589.21 16      1313     1.77584    1.79569    0.0198472   9        68       
 2589.41 16      1350     1.77584    1.79569    0.0198472   9        68       
 2599.81 17      1400     1.77639    1.79569    0.0192975   13       70       
 2621.99 18      1481     1.77755    1.79569    0.0181435   12       74       
 2622.13 18      1500     1.77755    1.79569    0.0181435   12       74       
 2645.41 19      1565     1.77871    1.79569    0.0169789   11       78       
 2645.62 19      1600     1.77871    1.79569    0.0169789   11       78       
 2669.24 20      1650     1.77925    1.79568    0.016432    13       82       
 2701.98 21      1733     1.77969    1.79568    0.015988    13       87       
 2702.11 21      1750     1.77969    1.79568    0.015988    13       87       
 2735.19 22      1817     1.78011    1.79568    0.01557     13       92       
 2735.39 22      1850     1.78011    1.79568    0.01557     13       92       
 2773.08 23      1903     1.78139    1.79568    0.0142904   15       97       
 2788.54 24      1987     1.7824     1.79568    0.0132781   12       99       
 2788.65 24      2000     1.7824     1.79568    0.0132781   12       99       
 2827.5  25      2071     1.78308    1.79568    0.012604    11       104      
 2827.69 25      2100     1.78308    1.79568    0.012604    12       104      
 2861.01 26      2155     1.78396    1.79568    0.0117208   12       108      
 2905.17 27      2239     1.78444    1.79568    0.0112379   14       113      
 2905.28 27      2250     1.78444    1.79568    0.0112379   14       113      
 2949.37 28      2325     1.78473    1.79567    0.0109381   14       118      
 2949.56 28      2350     1.78473    1.79567    0.0109381   15       118      
 2997.83 29      2411     1.78514    1.79567    0.010532    15       123      
 3018.35 29      2450     1.78514    1.79567    0.010532    15       125      
 3047.76 30      2500     1.78544    1.79566    0.0102179   16       128      
 3110.16 31      2583     1.78559    1.79565    0.0100624   16       134      
 3110.31 31      2600     1.78559    1.79565    0.0100624   16       134      
 3164.97 32      2669     1.78572    1.79565    0.00992192  17       139      
 3165.22 32      2700     1.78572    1.79565    0.00992192  19       139      
 3221.77 33      2755     1.78633    1.79564    0.00931643  15       144      
 3256.97 34      2839     1.78677    1.79564    0.00886766  15       147      
 3257.11 34      2850     1.78677    1.79564    0.00886766  15       147      
 3315.98 35      2925     1.7873     1.79563    0.00833561  15       152      
 3316.19 35      2950     1.7873     1.79563    0.00833561  16       152      
 3378.29 36      3011     1.78758    1.79562    0.00804383  17       157      
 3404.51 36      3050     1.78758    1.79562    0.00804383  17       159      
 3443.21 37      3100     1.78774    1.79561    0.00786591  18       162      
 3497.62 38      3183     1.78792    1.7956     0.00768395  20       166      
 3497.81 38      3200     1.78792    1.7956     0.00768395  20       166      
 3563.83 39      3269     1.78804    1.7956     0.00755742  19       171      
 3564.11 39      3300     1.78804    1.7956     0.00755742  20       171      
 3636.77 40      3355     1.78819    1.79559    0.00740314  17       176      
 3695.04 41      3441     1.78827    1.79558    0.00731322  20       180      
 3695.19 41      3450     1.78827    1.79558    0.00731322  21       180      
 3756.01 42      3527     1.78861    1.79558    0.00697227  20       184      
 3756.23 42      3550     1.78861    1.79558    0.00697227  20       184      
 3846.81 43      3613     1.7888     1.79557    0.00676771  16       190      
