
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e1208ee730.pomdpx
  loading time : 7.59s 

SARSOP initializing ...
  initialization time : 757.63s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 757.63  0       0        1.46421    2.45652    0.992317    120      1        
 759.49  1       61       1.73431    1.89195    0.157637    50       18       
 760.04  1       100      1.73431    1.89195    0.157637    62       21       
 760.39  2       150      1.74638    1.89195    0.145566    61       21       
 761.25  3       221      1.75742    1.89195    0.134531    52       23       
 761.37  3       250      1.75742    1.89195    0.134531    65       23       
 762.33  4       303      1.77182    1.89194    0.120122    53       25       
 764.09  5       385      1.78086    1.89194    0.111077    66       28       
 764.17  5       400      1.78086    1.89194    0.111077    77       28       
 766.68  6       467      1.78857    1.89194    0.103368    21       31       
 766.78  6       500      1.78857    1.89194    0.103368    23       31       
 769.55  7       550      1.7933     1.89193    0.0986345   23       34       
 772.99  8       631      1.79838    1.89193    0.0935551   19       37       
 773.06  8       650      1.79838    1.89193    0.0935551   17       37       
 775.64  9       713      1.80153    1.89193    0.0903985   13       39       
 775.89  9       750      1.80153    1.89193    0.0903985   12       40       
 779.04  10      800      1.80739    1.89192    0.0845232   13       43       
 781.47  11      877      1.81176    1.89191    0.0801448   14       45       
 781.55  11      900      1.81176    1.89191    0.0801448   10       45       
 785.04  12      959      1.81486    1.8919     0.0770378   13       47       
 786.85  13      1000     1.81486    1.8919     0.0770378   15       48       
 787.07  13      1050     1.81633    1.89188    0.0755509   11       48       
 787.79  14      1123     1.81938    1.89187    0.0724955   13       49       
 787.88  14      1150     1.81938    1.89187    0.0724955   12       49       
 791.81  15      1205     1.82199    1.89187    0.0698791   14       51       
 796.21  16      1287     1.82366    1.89186    0.0682003   12       53       
 796.27  16      1300     1.82366    1.89186    0.0682003   11       53       
 801.51  17      1369     1.8271     1.89185    0.0647533   13       56       
 801.62  17      1400     1.8271     1.89185    0.0647533   11       56       
 806.43  18      1451     1.82961    1.89184    0.0622305   14       58       
 809.88  19      1533     1.83162    1.89184    0.0602116   13       60       
 809.96  19      1550     1.83162    1.89184    0.0602116   12       60       
 815.32  20      1615     1.83413    1.89182    0.0576833   17       62       
 815.47  20      1650     1.83413    1.89182    0.0576833   14       62       
 816.54  21      1700     1.83658    1.89181    0.0552279   12       63       
 822.59  22      1779     1.83872    1.8918     0.0530788   15       65       
 822.68  22      1800     1.83872    1.8918     0.0530788   11       65       
 828.94  23      1861     1.83966    1.89179    0.0521268   13       67       
 829.09  23      1900     1.83966    1.89179    0.0521268   16       67       
 831.86  24      1950     1.84219    1.89177    0.0495784   14       69       
 838.56  25      2027     1.84409    1.89176    0.0476708   14       71       
 838.66  25      2050     1.84409    1.89176    0.0476708   12       71       
 839.97  26      2109     1.84545    1.89175    0.0463082   14       72       
 846.9   27      2150     1.84545    1.89175    0.0463082   13       74       
 847.14  27      2200     1.84667    1.89174    0.0450727   14       74       
 854.72  28      2273     1.8476     1.89174    0.0441347   17       76       
 854.84  28      2300     1.8476     1.89174    0.0441347   15       76       
 861.67  29      2357     1.8493     1.89173    0.0424334   14       79       
 865.92  30      2439     1.85061    1.89172    0.0411103   16       80       
 865.99  30      2450     1.85061    1.89172    0.0411103   13       80       
 872.84  31      2521     1.85144    1.89172    0.0402727   11       82       
 872.97  31      2550     1.85144    1.89172    0.0402727   12       82       
 877.57  32      2603     1.85206    1.89171    0.0396528   18       83       
 885.77  33      2687     1.85338    1.8917     0.0383191   16       86       
 885.85  33      2700     1.85338    1.8917     0.0383191   12       86       
 889.66  34      2771     1.85478    1.8917     0.0369178   12       88       
 889.78  34      2800     1.85478    1.8917     0.0369178   12       88       
 899.05  35      2853     1.85562    1.8917     0.0360768   15       90       
 905.64  36      2937     1.85689    1.89169    0.0347975   14       92       
