
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e151d3d83f.pomdpx
  loading time : 8.22s 

SARSOP initializing ...
  initialization time : 1060.76s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1060.76 0       0        1.3889     1.55379    0.164895    120      1        
 1063.02 1       50       1.39021    1.41193    0.0217162   36       16       
 1064.46 1       100      1.39406    1.41165    0.0175916   51       16       
 1067.96 2       199      1.39657    1.41152    0.014949    49       26       
 1067.97 2       200      1.39657    1.41152    0.014949    50       26       
 1071.14 3       299      1.39855    1.41148    0.0129254   20       35       
 1071.15 3       300      1.39855    1.41148    0.0129254   15       35       
 1076.6  4       397      1.39998    1.41147    0.0114932   16       47       
 1076.64 4       400      1.39998    1.41147    0.0114932   15       47       
 1081.02 5       497      1.40121    1.41147    0.0102537   13       54       
 1081.05 5       500      1.40121    1.41147    0.0102537   13       54       
 1085.91 6       597      1.40216    1.41147    0.009306    14       61       
 1085.94 6       600      1.40216    1.41147    0.009306    14       61       
 1092.09 7       697      1.40305    1.41147    0.00841228  11       68       
 1092.12 7       700      1.40305    1.41147    0.00841228  11       68       
 1094.5  8       795      1.40376    1.41147    0.00770383  12       71       
 1094.54 8       800      1.40376    1.41147    0.00770383  12       71       
 1096.59 9       893      1.40427    1.41146    0.00719484  11       73       
 1096.64 9       900      1.40427    1.41146    0.00719484  11       73       
 1100.56 10      993      1.40477    1.41146    0.0066936   10       77       
 1100.61 10      1000     1.40477    1.41146    0.0066936   10       77       
 1107.32 11      1091     1.40513    1.41136    0.00622798  13       84       
 1113.69 11      1100     1.40513    1.41136    0.00622798  13       91       
 1121.61 12      1189     1.4055     1.41135    0.0058468   13       97       
 1121.77 12      1200     1.4055     1.41135    0.0058468   12       97       
 1131.36 13      1289     1.40584    1.41135    0.00550634  14       104      
 1131.6  13      1300     1.40584    1.41135    0.00550634  13       104      
 1137.33 14      1389     1.4061     1.41134    0.00524784  14       108      
 1137.41 14      1400     1.4061     1.41134    0.00524784  13       108      
 1143.32 15      1489     1.40634    1.41134    0.00500228  14       112      
 1143.4  15      1500     1.40634    1.41134    0.00500228  13       112      
 1151.95 16      1589     1.40653    1.41134    0.00481216  15       117      
 1152.04 16      1600     1.40653    1.41134    0.00481216  14       117      
 1165.78 17      1689     1.40671    1.41133    0.00461878  13       124      
 1166    17      1700     1.40671    1.41133    0.00461878  13       124      
 1174.56 18      1789     1.4069     1.41132    0.00442295  15       130      
 1174.85 18      1800     1.4069     1.41132    0.00442295  15       130      
 1181.66 19      1889     1.40707    1.41132    0.00425225  14       134      
 1186.02 19      1900     1.40707    1.41132    0.00425225  13       137      
 1193.95 20      1977     1.40712    1.41131    0.00418625  15       141      
 1194.15 20      2000     1.40712    1.41131    0.00418625  15       141      
 1207.03 21      2077     1.40723    1.41131    0.00407299  16       148      
 1207.16 21      2100     1.40723    1.41131    0.00407299  16       148      
 1214.28 22      2177     1.40737    1.41131    0.00393959  16       151      
 1214.6  22      2200     1.40737    1.41131    0.00393959  16       151      
 1227.03 23      2277     1.40749    1.4113     0.00381073  16       157      
 1227.26 23      2300     1.40749    1.4113     0.00381073  16       157      
 1234.37 24      2377     1.40761    1.4113     0.00369293  18       160      
 1234.53 24      2400     1.40761    1.4113     0.00369293  18       160      
 1252.5  25      2477     1.40769    1.4113     0.00361007  19       167      
 1252.66 25      2500     1.40769    1.4113     0.00361007  19       167      
 1262.3  26      2577     1.40777    1.4113     0.00353181  16       171      
 1262.62 26      2600     1.40777    1.4113     0.00353181  16       171      
 1275.75 27      2677     1.40786    1.4113     0.00344005  16       177      
 1275.98 27      2700     1.40786    1.4113     0.00344005  16       177      
 1288.55 28      2777     1.40795    1.4113     0.00334613  17       182      
 1288.71 28      2800     1.40795    1.4113     0.00334613  17       182      
 1298.24 29      2877     1.40805    1.4113     0.00324886  18       186      
 1298.38 29      2900     1.40805    1.4113     0.00324886  18       186      
 1305.71 30      2977     1.40815    1.4113     0.00315153  16       189      
 1307.73 30      3000     1.40815    1.4113     0.00315153  16       190      
 1316.28 31      3077     1.40824    1.4113     0.00305957  17       194      
