
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e17cbb70bc.pomdpx
  loading time : 8.46s 

SARSOP initializing ...
  initialization time : 210.91s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 210.91  0       0        1.39367    1.53019    0.136517    120      1        
 211.26  3       50       1.42772    1.44145    0.0137219   100      27       
 211.94  5       100      1.43393    1.44142    0.007493    121      57       
 212.56  8       150      1.43661    1.44105    0.00443337  156      81       
 213.87  10      200      1.43809    1.44102    0.00293214  170      107      
 215.85  13      257      1.43902    1.44099    0.00197633  222      130      
 218.49  15      303      1.43926    1.44098    0.00171335  194      152      
 221.86  17      350      1.43943    1.44097    0.00154611  213      176      
 224.53  20      401      1.43982    1.44094    0.00112546  158      197      
 227.93  22      463      1.4399     1.44093    0.00103006  181      219      
 230.45  23      500      1.43991    1.44093    0.00101655  200      235      
 234.89  25      557      1.43995    1.44092    0.000966428 213      258      
 240.43  26      600      1.43997    1.44092    0.000947106 199      284      
 245.56  28      655      1.44       1.44091    0.000908981 164      306      
 252.05  29      700      1.44001    1.4409     0.000892434 106      335      
 256.34  31      753      1.44005    1.44089    0.000848758 83       352      
 263.54  32      800      1.44005    1.44089    0.00084178  91       381      
 267.52  34      851      1.44007    1.44089    0.000822276 107      397      
 272.87  36      900      1.44008    1.44081    0.000729322 99       418      
 280.4   38      967      1.44009    1.44081    0.000723172 97       445      
 285.16  39      1003     1.44009    1.44081    0.000722461 79       461      
 289.84  40      1050     1.44009    1.44081    0.000721255 87       476      
 296.18  42      1117     1.44009    1.44081    0.000715066 86       496      
 301.76  43      1153     1.44009    1.44081    0.000714729 89       512      
 307.95  44      1200     1.4401     1.44081    0.000711352 85       530      
 313.51  46      1265     1.4401     1.44081    0.000703559 76       546      
 319.93  47      1303     1.44011    1.44081    0.000700392 79       564      
 328.27  48      1350     1.44011    1.44081    0.000699787 86       587      
 337.57  50      1413     1.44011    1.4408     0.00069251  80       611      
 344.38  51      1450     1.44011    1.4408     0.000691219 83       628      
 354.9   52      1500     1.44012    1.4408     0.000678702 95       654      
 362.89  54      1559     1.44013    1.4408     0.000672354 91       672      
 367.45  55      1600     1.44013    1.4408     0.000671907 89       682      
 376.56  56      1650     1.44013    1.4408     0.000666161 85       704      
 385.51  58      1713     1.44013    1.4408     0.000664906 93       724      
 389.18  59      1751     1.44013    1.4408     0.000664727 94       732      
 399.22  60      1800     1.44013    1.4408     0.000664208 96       754      
 406.31  62      1861     1.44013    1.4408     0.000663164 96       769      
 409.53  63      1900     1.44014    1.4408     0.000663047 92       775      
 421.44  64      1950     1.44014    1.4408     0.000662819 95       799      
 428.17  66      2009     1.44014    1.4408     0.000662142 88       811      
 437.9   67      2050     1.44014    1.4408     0.000662046 92       830      
 453.06  69      2100     1.44014    1.4408     0.000660892 104      859      
 457.41  70      2155     1.44014    1.4408     0.000657975 97       866      
 466.39  71      2200     1.44014    1.4408     0.00065764  95       883      
 473.84  73      2265     1.44014    1.4408     0.000657027 104      896      
 476.58  74      2301     1.44014    1.4408     0.000656936 100      900      
 487.38  75      2350     1.44014    1.4408     0.000656638 105      919      
 493.84  77      2409     1.44014    1.4408     0.00065612  113      929      
 502.75  78      2450     1.44014    1.4408     0.000655909 106      945      
 508.21  80      2513     1.44014    1.4408     0.000655861 107      954      
 510.93  81      2550     1.44014    1.4408     0.000655861 113      958      
 516.8   83      2617     1.44014    1.4408     0.000655854 112      967      
 520.15  84      2655     1.44014    1.4408     0.000655851 116      972      
 523     85      2700     1.44014    1.4408     0.000655851 116      976      
 528.6   87      2757     1.44014    1.44079    0.000655339 107      985      
 535.76  88      2800     1.44014    1.44079    0.000655181 112      996      
 544.94  90      2863     1.44014    1.44079    0.000654199 107      1010     
 548.68  91      2901     1.44014    1.44079    0.000653916 109      1015     
 552.33  92      2950     1.44014    1.44079    0.000653913 122      1020     
 559.54  94      3009     1.44014    1.44079    0.000653912 116      1031     
 561.88  95      3050     1.44014    1.44079    0.000653911 124      1034     
 566.1   97      3113     1.44014    1.44079    0.000653875 106      1040     
 569.08  98      3150     1.44014    1.44079    0.000652932 111      1045     
 587.13  100     3215     1.44014    1.44079    0.00064924  109      1074     
 597.83  101     3253     1.44014    1.44079    0.000647972 111      1091     
 611.86  102     3300     1.44014    1.44079    0.000645903 113      1112     
 623.32  104     3357     1.44015    1.44079    0.000639482 114      1128     
 634.51  105     3400     1.44015    1.44079    0.000639049 133      1145     
 647.35  107     3463     1.44015    1.44079    0.000637815 126      1164     
 652.66  108     3500     1.44015    1.44079    0.000637798 118      1171     
 658.63  109     3550     1.44015    1.44079    0.000637774 127      1179     
 667.98  111     3605     1.44015    1.44079    0.000637634 131      1192     
 679.51  112     3650     1.44015    1.44079    0.000637513 128      1207     
 689.06  114     3711     1.44015    1.44079    0.000637118 133      1219     
 700.56  115     3750     1.44015    1.44079    0.000636981 131      1234     
 706.9   117     3815     1.44015    1.44079    0.00063695  122      1241     
 717.77  118     3850     1.44015    1.44079    0.000636906 127      1255     
 739.01  120     3900     1.44015    1.44079    0.000636701 134      1281     
 750.38  121     3951     1.44015    1.44079    0.000636648 140      1295     
 771.77  122     4000     1.44015    1.44079    0.000636554 138      1323     
 776.03  124     4055     1.44015    1.44079    0.000636477 144      1327     
 797.33  125     4100     1.44015    1.44079    0.000636462 152      1352     
 805.88  127     4159     1.44015    1.44079    0.000636097 144      1361     
 808.44  128     4200     1.44015    1.44079    0.000636096 148      1363     
 816.22  130     4263     1.44015    1.44079    0.000636093 149      1371     
 826.99  131     4301     1.44015    1.44079    0.000636084 142      1383     
 836.05  132     4350     1.44015    1.44079    0.000636084 154      1393     
 840.57  134     4407     1.44015    1.44079    0.000635521 141      1397     
 846.22  135     4450     1.44015    1.44079    0.000635119 147      1403     
 854.19  137     4509     1.44015    1.44078    0.000633507 135      1412     
 856.81  138     4550     1.44015    1.44078    0.000633302 142      1414     
 865.13  140     4613     1.44015    1.44078    0.000633286 130      1423     
 868.6   141     4650     1.44015    1.44078    0.000633286 132      1426     
 875.73  143     4717     1.44015    1.44078    0.000633285 125      1433     
 878.25  144     4751     1.44015    1.44078    0.000633271 131      1435     
 887.02  145     4800     1.44015    1.44078    0.000633034 129      1445     
 901.43  147     4855     1.44015    1.44078    0.000631703 133      1462     
 908.09  148     4900     1.44015    1.44078    0.00063155  131      1469     
 924.12  150     4959     1.44015    1.44078    0.000631541 138      1486     
 942.31  151     5000     1.44015    1.44078    0.000631523 130      1506     
 954.7   153     5059     1.44015    1.44078    0.000629985 142      1519     
 960.13  154     5100     1.44015    1.44078    0.000629965 140      1524     
 966.9   156     5167     1.44015    1.44078    0.000629963 132      1530     
 971.6   157     5203     1.44015    1.44078    0.00062996  130      1534     
 974.46  158     5250     1.44015    1.44078    0.000629959 132      1536     
 980.89  160     5305     1.44015    1.44078    0.000629948 131      1542     
 986.64  161     5350     1.44015    1.44078    0.000629948 143      1547     
 995.05  163     5407     1.44015    1.44078    0.000629624 124      1555     
 1001.48 164     5450     1.44015    1.44078    0.000629623 135      1561     
 1012.18 166     5511     1.44015    1.44078    0.00062962  126      1572     
 1015.78 167     5550     1.44015    1.44078    0.000629569 130      1575     
 1021.95 169     5609     1.44015    1.44078    0.000629567 137      1581     
 1028.1  170     5650     1.44015    1.44078    0.000629567 138      1587     
 1042.99 172     5709     1.44015    1.44078    0.000629197 150      1602     
 1046.8  173     5750     1.44015    1.44078    0.000629189 151      1605     
 1054.02 175     5809     1.44015    1.44078    0.000629189 139      1611     
 1057.06 176     5850     1.44015    1.44078    0.000629189 140      1613     
 1063.03 178     5907     1.44015    1.44078    0.000629187 141      1618     
 1067.95 179     5950     1.44015    1.44078    0.000629185 140      1622     
 1079.73 181     6007     1.44015    1.44078    0.000629141 138      1634     
 1086.51 182     6050     1.44015    1.44078    0.000629095 140      1640     
 1098.61 184     6109     1.44015    1.44078    0.000628146 148      1651     
 1104.93 185     6150     1.44015    1.44078    0.000627999 156      1656     
 1120.74 187     6209     1.44015    1.44078    0.000627992 159      1670     
 1135.64 188     6250     1.44015    1.44078    0.00062797  154      1684     
 1151.42 190     6307     1.44015    1.44078    0.000627381 166      1699     
 1157.38 191     6350     1.44015    1.44078    0.000627026 173      1703     
 1167.19 193     6409     1.44015    1.44078    0.00062648  162      1711     
 1184.45 194     6450     1.44015    1.44078    0.000624375 168      1727     
 1192.38 196     6509     1.44015    1.44078    0.000624368 169      1733     
 1196.69 197     6550     1.44015    1.44078    0.000624368 178      1736     
 1202.64 199     6609     1.44015    1.44078    0.000624368 174      1740     
 1208.8  200     6650     1.44015    1.44078    0.000624367 172      1745     
 1222.65 202     6713     1.44015    1.44078    0.000624237 175      1756     
 1228.41 203     6750     1.44015    1.44078    0.000624237 184      1760     
 1236.9  205     6813     1.44015    1.44078    0.00062422  151      1766     
 1241.08 206     6850     1.44015    1.44078    0.00062422  153      1769     
 1245.76 208     6911     1.44015    1.44078    0.000624211 158      1772     
 1250.97 209     6950     1.44015    1.44078    0.000624211 161      1776     
 1259.82 211     7011     1.44015    1.44078    0.00062421  153      1783     
 1264.09 212     7050     1.44015    1.44078    0.00062421  163      1786     
 1283.13 214     7109     1.44015    1.44078    0.000623911 160      1802     
 1299.54 215     7150     1.44016    1.44078    0.000615793 171      1816     
 1306.98 217     7207     1.44016    1.44078    0.000615787 165      1821     
 1310.65 218     7250     1.44016    1.44078    0.000615783 164      1823     
 1320.29 220     7303     1.44016    1.44078    0.000615641 170      1830     
 1336.5  221     7350     1.44016    1.44078    0.000615631 173      1843     
 1344.43 223     7401     1.44016    1.44078    0.000615273 185      1848     
 1351.89 224     7450     1.44016    1.44078    0.000615273 185      1853     
 1368.35 226     7503     1.44016    1.44078    0.000615239 183      1866     
 1389.46 227     7550     1.44016    1.44078    0.000615238 196      1883     
 1397.03 229     7600     1.44016    1.44078    0.000615237 190      1888     
 1416.61 231     7650     1.44016    1.44078    0.000615234 194      1903     
 1425.21 232     7700     1.44016    1.44078    0.00061475  183      1909     
 1442    234     7750     1.44016    1.44078    0.000614749 197      1922     
 1446.4  235     7800     1.44016    1.44078    0.000614749 191      1924     
 1462.97 237     7865     1.44016    1.44078    0.000614693 201      1936     
 1475.49 238     7900     1.44016    1.44078    0.0006142   201      1945     
 1486.18 240     7963     1.44016    1.44077    0.000611361 182      1952     
 1491.51 241     8000     1.44016    1.44077    0.000611204 189      1955     
 1497.84 243     8061     1.44016    1.44077    0.000611171 179      1959     
 1505.07 244     8100     1.44016    1.44077    0.000611171 188      1964     
 1517.63 246     8159     1.44016    1.44077    0.000611171 171      1973     
 1532.46 247     8200     1.44016    1.44077    0.00061117  175      1984     
 1559.9  249     8257     1.44016    1.44077    0.000610969 183      2006     
 1567.82 250     8300     1.44016    1.44077    0.000610968 187      2011     
 1574.7  252     8355     1.44016    1.44077    0.000610966 183      2015     
 1584.03 253     8400     1.44016    1.44077    0.000610966 187      2021     
 1594.68 255     8455     1.44016    1.44077    0.000610965 188      2028     
 1598.75 256     8500     1.44016    1.44077    0.000610965 190      2030     
 1606.64 258     8551     1.44016    1.44077    0.000610962 181      2035     
 1615.34 259     8600     1.44016    1.44077    0.000610957 188      2041     
 1620.91 261     8651     1.44016    1.44077    0.000610957 185      2044     
 1632.24 263     8700     1.44016    1.44077    0.000610957 185      2052     
 1640.17 264     8751     1.44016    1.44077    0.000610956 186      2057     
 1649.12 266     8815     1.44016    1.44077    0.000610952 192      2063     
 1656.87 267     8850     1.44016    1.44077    0.000610952 189      2068     
 1663.87 269     8915     1.44016    1.44077    0.000610885 183      2072     
 1672.07 270     8950     1.44016    1.44077    0.000610384 180      2077     
 1698.55 271     9000     1.44017    1.44077    0.00060611  167      2096     
 1702.86 273     9050     1.44017    1.44077    0.000604313 174      2098     
 1708.43 275     9113     1.44017    1.44077    0.000604313 176      2101     
 1713.49 276     9150     1.44017    1.44077    0.000604313 179      2104     
 1722.95 278     9213     1.44017    1.44077    0.000604306 176      2110     
 1728.13 279     9250     1.44017    1.44077    0.000604306 178      2113     
 1742.15 281     9315     1.44017    1.44077    0.000604304 169      2122     
 1748.99 282     9350     1.44017    1.44077    0.000604295 173      2126     
 1763.68 284     9415     1.44017    1.44077    0.000602781 175      2135     
 1768.24 285     9450     1.44017    1.44077    0.000602781 173      2137     
 1778.34 287     9517     1.44017    1.44077    0.000602781 174      2143     
 1782.41 288     9551     1.44017    1.44077    0.00060278  180      2145     
 1791.88 289     9600     1.44017    1.44077    0.00060278  187      2151     
 1800.48 291     9651     1.44017    1.44077    0.00060278  178      2156     
 1808.51 293     9715     1.44017    1.44077    0.00060278  187      2161     
 1814.96 294     9750     1.44017    1.44077    0.000602779 180      2165     
 1822.19 296     9813     1.44017    1.44077    0.000602778 178      2169     
 1827.92 297     9850     1.44017    1.44077    0.000602778 176      2172     
 1852.3  299     9909     1.44017    1.44077    0.000602739 182      2188     
 1869.35 300     9950     1.44017    1.44077    0.000602662 182      2200     
 1882.86 302     10007    1.44017    1.44077    0.00060266  182      2209     
 1896.72 303     10050    1.44017    1.44077    0.00060266  183      2217     
 1918.09 305     10107    1.44017    1.44077    0.000602522 182      2231     
 1925.32 306     10150    1.44017    1.44077    0.000602273 181      2235     
 1939.14 308     10207    1.44017    1.44077    0.000596397 190      2244     
 1943.66 309     10250    1.44017    1.44077    0.000596397 191      2246     
 1956.2  311     10307    1.44017    1.44077    0.000596397 191      2253     
 1962.08 312     10350    1.44017    1.44077    0.000596397 204      2256     
 1966.86 314     10407    1.44017    1.44077    0.000596397 206      2258     
 1973.67 315     10450    1.44017    1.44077    0.000596397 210      2262     
 1981.18 317     10507    1.44017    1.44077    0.000596397 207      2266     
 1988.77 318     10550    1.44017    1.44077    0.000596374 212      2270     
 1996.52 320     10609    1.44017    1.44077    0.000596374 214      2274     
 2003.92 321     10650    1.44017    1.44077    0.000596374 216      2278     
 2013.2  323     10707    1.44017    1.44077    0.000596374 214      2283     
 2023.43 324     10750    1.44017    1.44077    0.000596374 221      2289     
 2040.02 326     10807    1.44017    1.44077    0.000596372 218      2299     
 2056.35 327     10850    1.44017    1.44077    0.000596365 218      2309     
 2083.81 329     10909    1.44017    1.44077    0.000596105 216      2326     
 2088.75 330     10950    1.44017    1.44077    0.000596105 223      2328     
 2098.39 332     11005    1.44017    1.44077    0.000596105 227      2333     
 2117.01 333     11050    1.44017    1.44077    0.000596048 232      2345     
 2149.97 335     11107    1.44017    1.44077    0.000594792 231      2365     
 2161.24 336     11150    1.44017    1.44076    0.000594445 242      2371     
 2172.2  338     11213    1.44017    1.44076    0.000594441 245      2377     
 2175.28 339     11250    1.44017    1.44076    0.000594373 238      2378     
 2200.23 341     11311    1.44017    1.44076    0.000590018 242      2393     
 2226.22 342     11350    1.44017    1.44076    0.000586415 243      2409     
 2239.94 344     11415    1.44017    1.44076    0.000586411 234      2416     
 2247.9  345     11451    1.44017    1.44076    0.000586405 234      2420     
 2256.5  346     11500    1.44017    1.44076    0.000586405 232      2424     
 2267.19 348     11557    1.44017    1.44076    0.000586405 234      2429     
 2274.56 349     11600    1.44017    1.44076    0.000586405 220      2432     
 2287.07 351     11657    1.44017    1.44076    0.000586405 226      2438     
 2295.52 352     11700    1.44017    1.44076    0.000586404 227      2442     
 2310.94 354     11757    1.44017    1.44076    0.000586402 226      2450     
 2316.18 355     11800    1.44017    1.44076    0.000586402 226      2452     
 2325.14 357     11855    1.44017    1.44076    0.000586399 230      2456     
 2332.19 358     11900    1.44017    1.44076    0.000586399 231      2459     
 2347.74 360     11959    1.44017    1.44076    0.000586239 224      2467     
 2353.26 361     12000    1.44017    1.44076    0.000586239 227      2469     
 2372.91 363     12059    1.44017    1.44076    0.000586237 219      2479     
 2376.82 364     12100    1.44017    1.44076    0.000586237 218      2480     
 2387.53 366     12159    1.44017    1.44076    0.000586236 216      2485     
 2396.23 367     12200    1.44017    1.44076    0.000586227 224      2489     
 2409.67 369     12257    1.44017    1.44076    0.000585219 232      2496     
 2422.23 370     12300    1.44017    1.44076    0.000585205 237      2503     
 2435.56 372     12355    1.44017    1.44076    0.000585133 234      2510     
 2440.88 373     12400    1.44017    1.44076    0.000585133 232      2512     
 2451.9  375     12455    1.44017    1.44076    0.000585133 228      2517     
 2459.46 376     12500    1.44017    1.44076    0.000585133 230      2520     
 2477.45 378     12553    1.44017    1.44076    0.000584717 228      2529     
 2484.46 379     12600    1.44017    1.44076    0.000584717 234      2532     
 2491.55 381     12651    1.44017    1.44076    0.000584716 231      2535     
 2501.36 382     12700    1.44017    1.44076    0.00058469  235      2540     
 2508.1  384     12751    1.44017    1.44076    0.00058469  242      2543     
 2516.56 385     12800    1.44017    1.44076    0.00058469  246      2547     
 2528.73 387     12850    1.44017    1.44076    0.000584583 246      2553     
 2542.63 389     12900    1.44017    1.44076    0.000584578 245      2560     
 2556.98 390     12955    1.44017    1.44076    0.000584578 247      2567     
 2565.96 391     13000    1.44017    1.44076    0.000584578 250      2571     
 2572.12 393     13051    1.44017    1.44076    0.000584578 251      2573     
 2589.03 395     13115    1.44017    1.44076    0.000584376 255      2582     
 2596.34 396     13150    1.44017    1.44076    0.000583731 257      2585     
 2605.87 398     13213    1.44017    1.44076    0.000583718 254      2589     
 2614.8  399     13250    1.44017    1.44076    0.000583718 258      2593     
 2628.41 401     13315    1.44017    1.44076    0.000583717 263      2599     
 2633.91 402     13350    1.44017    1.44076    0.000583717 265      2601     
 2644.97 404     13411    1.44017    1.44076    0.000583717 263      2606     
 2652.04 405     13450    1.44017    1.44076    0.000583682 265      2609     
 2660.1  407     13511    1.44017    1.44076    0.000583682 269      2612     
 2666.27 408     13550    1.44017    1.44076    0.000583644 268      2614     
 2682.17 410     13609    1.44017    1.44076    0.000583643 267      2622     
 2693.49 411     13650    1.44017    1.44076    0.000583643 273      2627     
 2722.91 413     13707    1.44017    1.44076    0.000583642 269      2642     
 2727.45 414     13750    1.44017    1.44076    0.000583642 268      2643     
 2740.4  416     13807    1.44017    1.44076    0.000583623 272      2649     
 2746.24 417     13850    1.44017    1.44076    0.000583623 273      2651     
 2760.02 419     13909    1.44017    1.44076    0.000583623 275      2657     
 2768.11 420     13950    1.44017    1.44076    0.000583453 267      2660     
 2785.04 422     14009    1.44017    1.44076    0.000583452 258      2668     
 2794.54 423     14050    1.44017    1.44076    0.000583424 250      2672     
 2811.35 425     14109    1.44017    1.44076    0.000583418 253      2680     
 2840.15 426     14150    1.44017    1.44076    0.000583396 255      2695     
 2867.88 428     14207    1.44017    1.44076    0.00058304  259      2709     
 2897.58 429     14250    1.44017    1.44076    0.000582915 263      2724     
 2915.71 431     14303    1.44018    1.44075    0.000577347 264      2732     
 2946.78 432     14350    1.44018    1.44075    0.000577073 255      2748     
 2958.36 434     14403    1.44018    1.44075    0.000576905 256      2752     
 2964.7  435     14450    1.44018    1.44075    0.000576905 255      2754     
 2974.12 437     14501    1.44018    1.44075    0.000576905 245      2757     
 2987.9  438     14550    1.44018    1.44075    0.000576905 248      2763     
 2996.06 440     14601    1.44018    1.44075    0.000576755 250      2766     
 3029.51 442     14650    1.44018    1.44075    0.000576754 255      2783     
 3040.7  443     14701    1.44018    1.44075    0.000576754 258      2787     
 3054.6  445     14750    1.44018    1.44075    0.000576754 270      2793     
 3061.02 446     14801    1.44018    1.44075    0.000576754 265      2795     
 3072.01 448     14865    1.44018    1.44075    0.000576751 273      2799     
 3084.29 449     14900    1.44018    1.44075    0.000576674 281      2804     
 3124.15 451     14965    1.44018    1.44075    0.00057334  251      2824     
 3152.35 452     15000    1.44021    1.44075    0.00053785  237      2839     
 3166.29 454     15067    1.44021    1.44075    0.000537084 238      2846     
 3186.66 455     15103    1.44021    1.44075    0.000536089 240      2858     
 3191.62 456     15150    1.44021    1.44075    0.000536082 249      2860     
 3201.52 458     15207    1.44021    1.44075    0.000536082 247      2865     
 3204.56 459     15250    1.44021    1.44075    0.000536081 252      2866     
 3222.8  461     15315    1.44021    1.44075    0.000536081 238      2875     
 3224.19 462     15350    1.44021    1.44075    0.000536081 232      2875     
 3231.08 464     15400    1.44021    1.44075    0.000536081 239      2878     
 3237.59 465     15453    1.44021    1.44075    0.000536078 237      2881     
 3244.2  466     15500    1.44021    1.44075    0.000536078 239      2884     
 3259.87 468     15563    1.44021    1.44075    0.000536078 237      2892     
 3264.65 469     15600    1.44021    1.44075    0.000536078 239      2894     
 3276.36 470     15650    1.44021    1.44075    0.000536077 246      2900     
 3288.43 472     15707    1.44021    1.44075    0.000536077 248      2906     
 3293.66 473     15750    1.44021    1.44075    0.000536077 248      2908     
 3307.81 475     15813    1.44021    1.44075    0.000536077 245      2915     
 3320.1  476     15853    1.44021    1.44075    0.000536077 247      2921     
 3328.61 477     15900    1.44021    1.44075    0.000536077 244      2925     
 3342.17 479     15961    1.44021    1.44075    0.000536077 238      2931     
 3351.33 480     16000    1.44021    1.44075    0.000536077 236      2935     
 3364.65 482     16067    1.44021    1.44075    0.000536075 241      2941     
 3369.84 483     16101    1.44021    1.44075    0.000536075 241      2943     
 3377.16 484     16150    1.44021    1.44075    0.000536075 246      2946     
 3384.59 486     16205    1.44021    1.44075    0.000536075 242      2949     
 3392.92 487     16250    1.44021    1.44075    0.000536075 244      2953     
 3403.82 489     16309    1.44021    1.44075    0.000536074 242      2958     
 3408.87 490     16350    1.44021    1.44075    0.000536074 244      2960     
