
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e21f1939.pomdpx
  loading time : 7.90s 

SARSOP initializing ...
  initialization time : 341.96s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 341.96  0       0        1.45496    1.50552    0.0505514   120      1        
 342.71  2       50       1.45671    1.46153    0.00482343  121      32       
 343.74  3       100      1.45859    1.46152    0.00292484  169      57       
 344.95  5       150      1.4594     1.46151    0.00211172  210      82       
 346.69  7       200      1.46003    1.46149    0.00146174  229      106      
 348.88  9       253      1.46033    1.46148    0.00115379  202      128      
 351.99  10      300      1.46038    1.46147    0.00108797  213      158      
 354.91  12      359      1.46049    1.46146    0.000965645 262      181      
 358.07  13      400      1.46055    1.46144    0.000895303 245      204      
 362.19  14      450      1.4606     1.46143    0.000835115 253      235      
 366.07  16      509      1.46064    1.46142    0.000778578 308      256      
 370.35  17      550      1.46065    1.46141    0.000758455 345      277      
 376.87  18      600      1.46067    1.4614     0.000733927 380      307      
 384.07  20      650      1.46068    1.4614     0.000712725 377      336      
 391.14  21      713      1.46072    1.46139    0.000663166 437      358      
 398     22      755      1.46074    1.46138    0.000644301 474      378      
 406.04  23      800      1.46075    1.46138    0.000634224 514      399      
 417.59  24      850      1.46075    1.46138    0.000627334 558      427      
 429.76  25      900      1.46075    1.46138    0.000622765 594      454      
 442.78  26      950      1.46076    1.46138    0.000612835 612      480      
 459.34  28      1019     1.46078    1.46137    0.000591788 670      504      
 473.49  29      1063     1.46078    1.46137    0.000588798 657      525      
 487.17  30      1107     1.46078    1.46137    0.000584128 700      544      
 502.97  31      1151     1.46079    1.46137    0.000579877 741      563      
 524.29  32      1200     1.46079    1.46136    0.00057279  780      590      
 543.54  33      1250     1.4608     1.46136    0.000564816 830      617      
 568.45  34      1300     1.4608     1.46136    0.000562843 868      643      
 590.52  36      1371     1.4608     1.46136    0.000555621 939      665      
 608.36  37      1415     1.46081    1.46136    0.000550468 972      686      
 636.87  38      1461     1.46081    1.46136    0.000546329 944      708      
 652.56  39      1505     1.46081    1.46136    0.000543812 988      723      
 670.25  40      1550     1.46081    1.46136    0.000542756 1033     741      
 695.53  41      1600     1.46082    1.46136    0.000535886 1050     768      
 733.24  42      1650     1.46082    1.46136    0.000535154 1043     792      
 760.11  43      1700     1.46082    1.46136    0.000534701 1093     819      
 790.35  45      1769     1.46082    1.46135    0.000532235 1080     842      
 814.08  46      1815     1.46083    1.46135    0.000526762 1126     863      
 836.24  47      1857     1.46083    1.46135    0.000525813 1168     883      
 873.78  48      1901     1.46083    1.46135    0.000523094 1079     899      
 898.35  49      1950     1.46083    1.46135    0.000522391 1128     921      
 927.25  50      2000     1.46083    1.46135    0.00051997  1178     948      
 954.14  51      2050     1.46085    1.46135    0.000501781 1223     970      
 983.92  52      2100     1.46085    1.46135    0.000500637 1273     995      
 1035.38 53      2150     1.46085    1.46135    0.000499818 1180     1020     
 1069.82 55      2221     1.46085    1.46134    0.000493801 1251     1040     
 1097.49 56      2267     1.46085    1.46134    0.000492405 1297     1060     
 1122.01 58      2317     1.46085    1.46133    0.000477271 1182     1077     
 1151.19 59      2365     1.46085    1.46133    0.000476683 1230     1098     
 1181.75 60      2411     1.46085    1.46133    0.000476217 1213     1120     
 1211.62 61      2459     1.46085    1.46133    0.000471753 1261     1140     
 1265.82 62      2505     1.46086    1.46133    0.000469487 1249     1162     
