
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e22aafb3fe.pomdpx
  loading time : 8.86s 

SARSOP initializing ...
  initialization time : 1259.80s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1259.8  0       0        1.48706    2.43893    0.95187     120      1        
 1261.65 2       50       1.7868     2.19001    0.40321     59       24       
 1264.34 4       100      1.98692    2.19       0.203074    53       44       
 1266.29 6       150      2.06082    2.18999    0.129175    56       56       
 1272.64 8       200      2.09888    2.18997    0.0910949   22       81       
 1280.76 11      250      2.12089    2.18997    0.0690734   21       101      
 1297.02 13      300      2.14231    2.18996    0.0476472   18       126      
 1312.62 14      350      2.15622    2.18994    0.0337155   15       147      
 1325.15 16      400      2.16231    2.18994    0.027628    18       162      
 1347.54 18      450      2.16928    2.18993    0.0206517   15       184      
 1376.32 20      500      2.17321    2.18992    0.0167052   13       208      
 1406.66 22      550      2.17661    2.1899     0.0132959   15       231      
 1440.57 24      600      2.17851    2.1899     0.0113843   13       253      
 1476.14 26      650      2.17999    2.18989    0.00990119  14       274      
 1514.73 28      700      2.18232    2.18989    0.00756714  15       297      
 1553.8  30      750      2.18349    2.18988    0.00638841  16       319      
 1595.69 32      800      2.18411    2.18987    0.00576274  17       341      
 1647.63 34      850      2.18471    2.18986    0.00514843  18       365      
 1697.94 36      900      2.18555    2.18985    0.00430292  19       387      
 1738.5  38      950      2.18601    2.18984    0.00383414  21       405      
 1788.6  40      1000     2.18634    2.18984    0.00350096  21       425      
 1839.53 42      1050     2.18661    2.18982    0.00321531  22       445      
 1891.82 44      1100     2.18689    2.18982    0.00292725  21       464      
 1957.8  46      1150     2.18709    2.18982    0.0027247   25       487      
 2019.5  48      1200     2.18723    2.18981    0.0025839   23       509      
 2076.48 50      1250     2.18766    2.18981    0.00214726  21       529      
 2127.68 52      1300     2.18778    2.1898     0.00202194  22       547      
 2185.25 54      1351     2.18788    2.1898     0.00191453  25       567      
 2262.04 56      1403     2.188      2.1898     0.00179242  27       592      
 2342.38 58      1455     2.18808    2.18978    0.00170414  28       615      
 2425.94 60      1507     2.18815    2.18978    0.00163062  30       638      
