
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e24737061d.pomdpx
  loading time : 7.85s 

SARSOP initializing ...
  initialization time : 480.04s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 480.04  0       0        2.62774    3.33255    0.704813    120      1        
 482.41  2       81       2.64156    2.64394    0.00238494  65       36       
 483.63  2       100      2.64156    2.64394    0.00238494  78       49       
 484.98  3       150      2.64175    2.64387    0.00212176  93       59       
 487.37  4       211      2.64196    2.64381    0.00185668  91       78       
 490.45  5       275      2.64207    2.64376    0.00168342  55       100      
 494.32  5       300      2.64207    2.64376    0.00168342  60       122      
 497.14  6       350      2.64255    2.64376    0.00120941  49       135      
 499.09  7       417      2.64258    2.64372    0.00114234  46       143      
 506.43  7       450      2.64258    2.64372    0.00114234  36       170      
 509.55  8       500      2.64261    2.6437     0.00109371  29       180      
 516.59  9       567      2.64268    2.6437     0.00102099  31       200      
 521.61  9       600      2.64268    2.6437     0.00102099  34       212      
 525.75  10      650      2.64273    2.64367    0.000938377 24       221      
 528.85  11      717      2.64276    2.64367    0.000904443 26       228      
 532.87  11      750      2.64276    2.64367    0.000904443 24       236      
 535.05  12      800      2.6428     2.64367    0.000864464 25       240      
 539.1   13      867      2.64283    2.64367    0.000833673 25       247      
 545.5   13      900      2.64283    2.64367    0.000833673 23       261      
 550.08  14      950      2.64288    2.64367    0.000781744 24       272      
 551.86  15      1013     2.64298    2.64367    0.000688313 25       276      
 556.59  15      1050     2.64298    2.64367    0.000688313 25       286      
 559.64  16      1100     2.64301    2.64367    0.00065447  23       291      
 563.85  17      1167     2.64303    2.64366    0.00063016  22       298      
 579.42  17      1200     2.64303    2.64366    0.00063016  25       322      
 587.46  18      1250     2.64304    2.64366    0.00061935  26       332      
 608.7   19      1319     2.64306    2.64366    0.000601738 22       362      
 634.33  19      1350     2.64306    2.64366    0.000601738 25       390      
 646.93  20      1400     2.64307    2.64366    0.000591578 30       402      
 662.81  21      1467     2.64307    2.64366    0.000585102 25       417      
 675.1   21      1500     2.64307    2.64366    0.000585102 31       430      
 678.36  22      1550     2.64309    2.64366    0.000565312 33       433      
 689.78  23      1615     2.64309    2.64366    0.000563841 36       442      
 719.3   23      1650     2.64309    2.64366    0.000563841 38       466      
 729.81  24      1700     2.6431     2.64365    0.000557042 30       474      
 741.16  25      1763     2.64311    2.64365    0.000546061 28       483      
 757.27  25      1800     2.64311    2.64365    0.000546061 32       494      
 769.27  26      1850     2.64312    2.64365    0.000537776 28       505      
 782.07  27      1911     2.64317    2.64365    0.000487525 27       514      
 792.72  28      1987     2.64318    2.64365    0.000471068 28       525      
 801.97  28      2000     2.64318    2.64365    0.000471068 27       535      
 827.2   29      2063     2.64319    2.64365    0.000463629 27       557      
 864.99  30      2100     2.64319    2.64365    0.000463629 30       588      
 873.28  30      2150     2.6432     2.64365    0.000448969 29       594      
 883.69  31      2213     2.64323    2.64365    0.000426725 36       602      
 904.4   31      2250     2.64323    2.64365    0.000426725 37       615      
 913.44  32      2300     2.64323    2.64365    0.000423797 38       623      
 927.5   33      2369     2.64324    2.64365    0.000415568 37       633      
 936.96  33      2400     2.64324    2.64365    0.000415568 39       640      
 945.93  34      2450     2.64324    2.64365    0.000413778 37       646      
 952.97  35      2521     2.64324    2.64365    0.000412061 33       650      
 980.11  35      2550     2.64324    2.64365    0.000412061 40       667      
 993.78  36      2600     2.64324    2.64365    0.000405294 35       675      
 1005.11 37      2673     2.64325    2.64365    0.000404602 43       682      
 1005.38 37      2700     2.64325    2.64365    0.000404602 38       682      
 1013.91 38      2751     2.64325    2.64365    0.000404363 41       687      
 1036.27 39      2829     2.64325    2.64365    0.000401515 36       701      
 1036.48 39      2850     2.64325    2.64365    0.000401515 32       701      
 1057.05 40      2905     2.64325    2.64365    0.000397764 34       714      
 1083.93 41      2981     2.64327    2.64365    0.000377447 35       731      
 1090.18 41      3000     2.64327    2.64365    0.000377447 34       735      
 1110.64 42      3057     2.64327    2.64365    0.000374993 31       746      
 1116.47 43      3133     2.64328    2.64365    0.000374122 31       750      
 1124.54 43      3150     2.64328    2.64365    0.000374122 29       755      
 1135.69 44      3209     2.64328    2.64365    0.000369682 32       761      
 1159.08 45      3285     2.64328    2.64365    0.00036702  35       775      
 1159.31 45      3300     2.64328    2.64365    0.00036702  34       775      
 1169.99 46      3359     2.64328    2.64365    0.000366456 33       782      
 1175.59 47      3435     2.64328    2.64365    0.000365967 33       786      
 1175.8  47      3450     2.64328    2.64365    0.000365967 35       786      
 1189.62 48      3511     2.64328    2.64365    0.000364296 35       795      
 1233.67 49      3585     2.64329    2.64365    0.000363474 35       821      
 1234.97 49      3600     2.64329    2.64365    0.000363474 35       822      
 1249.98 50      3659     2.64329    2.64365    0.000362545 40       831      
 1270.94 51      3735     2.64329    2.64365    0.000361669 35       844      
 1271.24 51      3750     2.64329    2.64365    0.000361669 36       844      
 1281.49 52      3811     2.64329    2.64365    0.000361503 38       850      
 1296.61 53      3887     2.64329    2.64365    0.000359634 35       859      
 1308    53      3900     2.64329    2.64365    0.000359634 34       866      
 1312.98 54      3961     2.64329    2.64365    0.000358233 33       869      
 1338.89 55      4035     2.6433     2.64365    0.000351503 33       887      
 1341.17 55      4050     2.6433     2.64365    0.000351503 31       889      
 1351.13 56      4109     2.64331    2.64365    0.000333203 34       896      
 1367.76 57      4185     2.64332    2.64365    0.000331033 33       908      
 1374.3  57      4200     2.64332    2.64365    0.000331033 36       912      
 1380.68 58      4263     2.64332    2.64365    0.000322852 34       917      
 1408.42 58      4300     2.64332    2.64365    0.000322852 32       938      
 1418.72 59      4350     2.64333    2.64365    0.000319454 31       945      
 1439.2  60      4415     2.64333    2.64365    0.000318021 32       960      
 1462.17 60      4450     2.64333    2.64365    0.000318021 31       978      
 1464.84 61      4500     2.64333    2.64365    0.000315884 30       980      
 1477.74 62      4567     2.64333    2.64365    0.00031528  31       990      
 1495.21 62      4600     2.64333    2.64365    0.00031528  31       1002     
 1508.85 63      4650     2.64333    2.64365    0.000314103 30       1010     
 1527.84 64      4719     2.64333    2.64365    0.000313044 32       1024     
 1558.07 64      4750     2.64333    2.64365    0.000313044 33       1044     
 1576.23 65      4800     2.64333    2.64365    0.000312594 35       1055     
 1605.34 66      4869     2.64333    2.64364    0.00031057  37       1074     
 1628.89 66      4900     2.64333    2.64364    0.00031057  38       1091     
 1637.82 67      4950     2.64333    2.64364    0.000310312 39       1097     
 1650.83 68      5021     2.64333    2.64364    0.00030961  37       1106     
 1661.57 68      5050     2.64333    2.64364    0.00030961  37       1113     
 1674.48 69      5100     2.64333    2.64364    0.000309138 42       1121     
 1685.75 70      5173     2.64333    2.64364    0.00030876  37       1129     
 1693.42 70      5200     2.64333    2.64364    0.00030876  38       1135     
 1699.39 71      5250     2.64334    2.64364    0.000308271 36       1139     
 1704.06 72      5325     2.64334    2.64364    0.000307515 36       1143     
 1704.36 72      5350     2.64334    2.64364    0.000307515 36       1143     
 1711.93 73      5401     2.64334    2.64364    0.000307234 35       1149     
 1718.86 74      5477     2.64334    2.64364    0.000307099 39       1154     
 1719.31 74      5500     2.64334    2.64364    0.000307099 39       1154     
 1727.88 75      5553     2.64334    2.64364    0.000307082 45       1160     
 1735.8  76      5629     2.64334    2.64364    0.000307024 43       1166     
 1736.12 76      5650     2.64334    2.64364    0.000307024 44       1166     
 1742.18 77      5705     2.64334    2.64364    0.000307007 49       1170     
 1769.85 78      5779     2.64334    2.64364    0.000307005 52       1188     
 1775.34 78      5800     2.64334    2.64364    0.000307005 51       1192     
 1778.71 79      5853     2.64334    2.64364    0.000306985 48       1194     
 1790.98 80      5927     2.64334    2.64364    0.000306816 49       1201     
 1791.32 80      5950     2.64334    2.64364    0.000306816 50       1201     
 1800.03 81      6003     2.64334    2.64364    0.000306413 43       1206     
 1803.44 82      6077     2.64334    2.64364    0.000306352 41       1208     
 1803.85 82      6100     2.64334    2.64364    0.000306352 42       1208     
 1809.18 83      6151     2.64334    2.64364    0.000306293 41       1211     
 1814.91 84      6227     2.64334    2.64364    0.000306207 43       1215     
 1822.35 84      6250     2.64334    2.64364    0.000306207 45       1220     
 1833.01 85      6303     2.64334    2.64364    0.000306124 41       1227     
 1842.05 86      6381     2.64334    2.64364    0.000305262 39       1233     
 1842.37 86      6400     2.64334    2.64364    0.000305262 39       1233     
 1847.44 87      6455     2.64334    2.64364    0.000304286 39       1236     
 1869.18 88      6529     2.64334    2.64364    0.00030378  38       1250     
 1871.55 88      6550     2.64334    2.64364    0.00030378  39       1252     
 1885.88 89      6605     2.64334    2.64364    0.000303205 36       1261     
 1903.42 90      6679     2.64334    2.64364    0.000302932 37       1272     
 1906.32 90      6700     2.64334    2.64364    0.000302932 37       1274     
 1914.18 91      6753     2.64334    2.64364    0.000301604 35       1279     
 1917.76 92      6827     2.64334    2.64364    0.000301449 39       1281     
 1921.13 92      6850     2.64334    2.64364    0.000301449 37       1283     
 1929.64 93      6901     2.64334    2.64364    0.000301358 35       1288     
