
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e25ef5b1c0.pomdpx
  loading time : 7.73s 

SARSOP initializing ...
  initialization time : 832.71s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 832.71  0       0        1.34583    1.4172     0.0713703   120      1        
 833.47  0       50       1.35274    1.364      0.0112544   13       5        
 835.17  1       107      1.357      1.364      0.00700193  8        7        
 835.27  1       150      1.357      1.364      0.00700193  20       7        
 835.73  2       215      1.35888    1.364      0.00511227  9        9        
 835.82  2       250      1.35888    1.364      0.00511227  11       9        
 836.21  3       325      1.36037    1.36397    0.00360588  10       10       
 836.27  3       350      1.36037    1.36397    0.00360588  13       10       
 836.85  4       437      1.36144    1.36396    0.00251645  11       12       
 836.89  4       450      1.36144    1.36396    0.00251645  13       12       
 837.46  5       547      1.362      1.36391    0.0019184   11       14       
 837.47  5       550      1.362      1.36391    0.0019184   14       14       
 837.87  5       600      1.362      1.36391    0.0019184   20       16       
 838.15  6       655      1.36241    1.36391    0.00150057  12       16       
 838.28  6       700      1.36241    1.36391    0.00150057  13       16       
 838.87  7       765      1.36276    1.36389    0.00113054  10       18       
 838.97  7       800      1.36276    1.36389    0.00113054  10       18       
 839.98  8       877      1.36298    1.36385    0.000862823 10       22       
 840.05  8       900      1.36298    1.36385    0.000862823 10       22       
 841.13  9       989      1.36304    1.36382    0.000780089 11       25       
 841.17  9       1000     1.36304    1.36382    0.000780089 10       25       
 842.33  10      1103     1.36316    1.3638     0.000641425 9        28       
 842.34  10      1104     1.36316    1.3638     0.000641425 9        28       
 842.47  10      1150     1.36316    1.3638     0.000641425 9        28       
 843.3   11      1215     1.36329    1.3638     0.000507073 9        30       
 843.4   11      1250     1.36329    1.3638     0.000507073 9        30       
 843.77  12      1325     1.36335    1.36379    0.000438889 9        31       
 843.86  12      1350     1.36335    1.36379    0.000438889 9        31       
 844.79  13      1437     1.36344    1.36379    0.000354583 9        33       
 844.84  13      1450     1.36344    1.36379    0.000354583 9        33       
 845.53  14      1547     1.3635     1.36379    0.000294342 9        34       
 845.55  14      1550     1.3635     1.36379    0.000294342 9        34       
 845.69  14      1600     1.3635     1.36379    0.000294342 9        34       
 846.48  15      1659     1.36355    1.36379    0.000240911 9        36       
 846.6   15      1700     1.36355    1.36379    0.000240911 9        36       
 846.9   16      1769     1.36358    1.36379    0.000209928 9        36       
 846.99  16      1800     1.36358    1.36379    0.000209928 9        36       
 847.35  17      1879     1.3636     1.36379    0.00019174  9        37       
 847.42  17      1900     1.3636     1.36379    0.00019174  9        37       
 847.91  18      1989     1.36361    1.36379    0.000179831 9        38       
 847.95  18      2000     1.36361    1.36379    0.000179831 9        38       
 848.37  19      2101     1.36364    1.36379    0.000150734 9        38       
 848.38  19      2102     1.36364    1.36379    0.000150734 9        38       
 848.52  19      2150     1.36364    1.36379    0.000150734 9        38       
 848.87  20      2211     1.36366    1.36379    0.000130313 9        38       
 848.99  20      2250     1.36366    1.36379    0.000130313 9        38       
 849.51  21      2319     1.36367    1.36379    0.0001223   9        39       
 849.61  21      2350     1.36367    1.36379    0.0001223   9        39       
 851.63  22      2433     1.36369    1.36379    9.5311e-05  9        43       
 851.69  22      2450     1.36369    1.36379    9.5311e-05  9        43       
 852.95  23      2543     1.36371    1.36379    8.09677e-05 9        45       
 852.99  23      2550     1.36371    1.36379    8.09677e-05 9        45       
 854.94  24      2655     1.36371    1.36379    7.38118e-05 9        48       
 854.97  24      2656     1.36371    1.36379    7.38118e-05 9        48       
 855.1   24      2700     1.36371    1.36379    7.38118e-05 9        48       
 856.53  25      2765     1.36372    1.36379    6.30485e-05 9        50       
 856.64  25      2800     1.36372    1.36379    6.30485e-05 9        50       
 859.22  26      2877     1.36374    1.36379    4.70202e-05 9        54       
 859.3   26      2900     1.36374    1.36379    4.70202e-05 9        54       
 859.75  27      2983     1.36374    1.36379    4.31404e-05 9        55       
 859.82  27      3000     1.36374    1.36379    4.31404e-05 9        55       
 861.29  28      3091     1.36375    1.36379    4.01882e-05 9        57       
 861.34  28      3100     1.36375    1.36379    4.01882e-05 9        57       
 864.29  29      3203     1.36375    1.36379    3.50231e-05 10       60       
 864.32  29      3204     1.36375    1.36379    3.50231e-05 9        60       
 864.47  29      3250     1.36375    1.36379    3.50231e-05 9        60       
 869.89  30      3317     1.36376    1.36378    2.84698e-05 9        65       
 870.01  30      3350     1.36376    1.36378    2.84698e-05 9        65       
 872.02  31      3425     1.36376    1.36378    2.46173e-05 9        67       
 872.11  31      3450     1.36376    1.36378    2.46173e-05 9        67       
