
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e270edcd3f.pomdpx
  loading time : 8.31s 

SARSOP initializing ...
  initialization time : 1485.89s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1485.89 0       0        2.53818    3.80066    1.26248     120      1        
 1487.01 1       61       2.68782    2.88018    0.192361    36       10       
 1490.51 2       129      2.7253     2.88013    0.154825    38       28       
 1490.57 2       150      2.7253     2.88013    0.154825    48       28       
 1491.89 3       200      2.74962    2.8801     0.130487    41       35       
 1496.24 4       267      2.77141    2.88007    0.10866     15       50       
 1496.99 4       300      2.77141    2.88007    0.10866     14       52       
 1499.18 5       350      2.79062    2.88006    0.0894419   14       57       
 1506.07 6       407      2.80418    2.88005    0.0758665   13       69       
 1508.56 7       477      2.81644    2.88005    0.0636069   12       73       
 1509.24 7       500      2.81644    2.88005    0.0636069   10       74       
 1514.96 8       550      2.82439    2.88004    0.0556508   10       81       
 1518.44 9       617      2.83051    2.88004    0.0495264   11       85       
 1541.5  9       650      2.83051    2.88004    0.0495264   13       107      
 1555.12 10      700      2.83533    2.88002    0.0446895   12       118      
 1571.05 11      757      2.84351    2.88001    0.0365016   11       129      
 1575.21 12      827      2.8465     2.88001    0.0335115   14       132      
 1585.35 12      850      2.8465     2.88001    0.0335115   14       139      
 1600.57 13      900      2.84927    2.88001    0.0307429   11       148      
 1624.06 14      969      2.85383    2.88001    0.026179    12       161      
 1624.18 14      1000     2.85383    2.88001    0.026179    13       161      
 1644.12 15      1050     2.8565     2.88001    0.023506    14       171      
 1667.88 16      1111     2.85841    2.88       0.0215909   14       182      
 1706.12 17      1183     2.86095    2.88       0.0190484   14       198      
 1725.91 17      1200     2.86095    2.88       0.0190484   14       207      
 1758.32 18      1253     2.86276    2.87998    0.0172275   14       219      
 1763.38 19      1321     2.86493    2.87998    0.0150571   16       221      
 1804.73 19      1350     2.86493    2.87998    0.0150571   18       237      
 1841.91 20      1400     2.86601    2.87998    0.0139716   16       249      
 1879.95 21      1463     2.86771    2.87998    0.0122667   14       261      
 1943.43 22      1533     2.86842    2.87997    0.0115518   16       281      
 1943.55 22      1550     2.86842    2.87997    0.0115518   15       281      
 1952.56 23      1603     2.86973    2.87997    0.0102436   17       284      
 2016.56 24      1673     2.87035    2.87997    0.00961944  19       304      
 2025.3  24      1700     2.87035    2.87997    0.00961944  17       307      
 2056.18 25      1750     2.87132    2.87997    0.00865636  16       317      
