
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e351fc3cbe.pomdpx
  loading time : 8.14s 

SARSOP initializing ...
  initialization time : 1742.52s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1742.52 0       0        1.8115     3.03163    1.22013     120      1        
 1743.91 1       65       2.03533    2.31037    0.27504     36       11       
 1744.29 1       100      2.03533    2.31037    0.27504     37       14       
 1744.65 2       150      2.07363    2.31037    0.236732    35       15       
 1745.03 3       213      2.10229    2.31037    0.208078    38       16       
 1745.41 4       250      2.10229    2.31037    0.208078    40       18       
 1745.65 4       300      2.12309    2.31037    0.187281    37       18       
 1745.93 5       361      2.14015    2.31037    0.170218    38       18       
 1746.38 6       435      2.15486    2.31037    0.155505    37       19       
 1746.45 6       450      2.15486    2.31037    0.155505    38       19       
 1746.7  7       509      2.16721    2.31037    0.14316     37       19       
 1747.55 8       585      2.18605    2.31036    0.124304    38       22       
 1747.62 8       600      2.18605    2.31036    0.124304    41       22       
 1748.26 9       661      2.2001     2.31035    0.110256    37       24       
 1749.15 10      737      2.20616    2.31035    0.104195    11       27       
 1749.2  10      750      2.20616    2.31035    0.104195    10       27       
 1750.08 11      813      2.21501    2.31034    0.0953351   9        30       
 1750.19 11      850      2.21501    2.31034    0.0953351   9        30       
 1750.37 12      900      2.22142    2.31034    0.088918    7        30       
 1751.01 13      965      2.22488    2.31034    0.0854579   7        32       
 1751.11 13      1000     2.22488    2.31034    0.0854579   8        32       
 1751.32 14      1050     2.22823    2.31034    0.0821155   6        32       
 1752.35 15      1117     2.23367    2.31034    0.0766631   7        35       
 1752.45 15      1150     2.23367    2.31034    0.0766631   8        35       
 1753.24 16      1200     2.23597    2.31033    0.0743648   7        37       
 1753.51 17      1269     2.23778    2.31033    0.072552    8        37       
 1753.61 17      1300     2.23778    2.31033    0.072552    8        37       
 1754.64 18      1350     2.24031    2.31033    0.0700212   8        40       
 1754.9  19      1421     2.24199    2.31033    0.0683423   8        40       
 1754.99 19      1450     2.24199    2.31033    0.0683423   8        40       
 1755.74 20      1500     2.24317    2.31033    0.0671573   7        42       
 1756.63 21      1573     2.24459    2.31033    0.0657389   8        44       
 1756.72 21      1600     2.24459    2.31033    0.0657389   9        44       
 1757.63 22      1650     2.24574    2.31033    0.0645832   7        46       
 1758.73 23      1725     2.2495     2.31032    0.0608175   7        48       
 1758.81 23      1750     2.2495     2.31032    0.0608175   7        48       
 1759.42 24      1801     2.25198    2.31032    0.058345    8        49       
 1759.7  25      1877     2.25432    2.31032    0.0559974   8        49       
