
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e365f0aee3.pomdpx
  loading time : 8.62s 

SARSOP initializing ...
  initialization time : 979.06s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 979.06  0       0        1.61387    2.31145    0.69758     120      1        
 979.92  3       59       2.06822    2.25366    0.185438    15       24       
 980.63  5       101      2.1465     2.25365    0.107157    18       36       
 982.28  7       150      2.18283    2.25363    0.0707988   64       58       
 985.42  9       200      2.21105    2.25362    0.0425625   46       86       
 987.98  12      259      2.22961    2.25359    0.0239857   37       103      
 991.12  14      307      2.2355     2.25357    0.0180725   24       117      
 997.95  16      361      2.23968    2.25355    0.0138775   20       143      
 1004.08 18      411      2.24334    2.25355    0.0102137   18       162      
 1014.03 20      450      2.24426    2.25355    0.00928597  19       187      
 1023.41 21      500      2.24611    2.25353    0.0074176   12       206      
 1035.59 23      550      2.24772    2.25353    0.00580798  19       227      
 1049.56 25      600      2.24835    2.25352    0.00517538  17       248      
 1064.67 27      650      2.24904    2.2535     0.00446359  17       271      
 1077.18 30      700      2.24949    2.2535     0.00400916  16       289      
 1093.06 32      750      2.2503     2.25349    0.00319737  21       309      
 1112.09 33      800      2.25056    2.25349    0.00292703  20       333      
 1131.38 35      850      2.25089    2.25348    0.00258764  18       354      
 1153.85 37      900      2.25111    2.25347    0.00236606  19       374      
 1170.08 39      950      2.25145    2.25347    0.00202274  25       390      
 1193.55 41      1000     2.25164    2.25346    0.001829    24       411      
 1221.08 43      1050     2.25175    2.25345    0.00169964  19       433      
 1253.28 45      1100     2.25191    2.25344    0.00153271  20       455      
 1284.51 47      1151     2.25201    2.25343    0.00142143  19       476      
 1320.86 49      1201     2.25212    2.25343    0.00130642  20       498      
 1357.54 51      1253     2.25217    2.25343    0.00125407  20       519      
 1404.74 53      1307     2.25225    2.25342    0.0011663   20       544      
 1445.7  55      1357     2.25232    2.25341    0.00109425  22       564      
 1488.9  57      1407     2.25235    2.25341    0.00105585  20       585      
 1542.05 59      1459     2.25242    2.2534     0.00098631  22       610      
 1579.41 61      1511     2.25244    2.2534     0.000953758 23       627      
 1626.78 63      1559     2.25246    2.2534     0.000938823 23       648      
 1664.35 65      1611     2.2525     2.25339    0.000897266 22       665      
 1714.11 67      1661     2.25251    2.25339    0.000876084 22       687      
 1757.92 69      1700     2.25252    2.25339    0.000868705 27       705      
 1797.28 70      1750     2.25262    2.25338    0.000764079 31       722      
 1829.82 72      1800     2.25263    2.25338    0.000747814 29       736      
 1890.6  74      1853     2.25265    2.25338    0.000732769 29       759      
 1944.16 76      1909     2.25266    2.25338    0.000719768 28       779      
 2001.33 77      1950     2.25266    2.25338    0.000712513 31       800      
 2052.61 79      2000     2.25267    2.25337    0.000699472 33       818      
 2096    81      2051     2.25268    2.25337    0.000687161 32       833      
 2163.5  83      2105     2.25269    2.25337    0.000678751 32       855      
 2238.59 85      2159     2.2527     2.25336    0.000668098 30       879      
 2320.48 87      2211     2.2527     2.25336    0.000662317 32       903      
 2392.99 88      2250     2.2527     2.25336    0.000655709 35       925      
 2460.15 90      2300     2.25271    2.25335    0.000649521 33       945      
 2523.75 92      2350     2.25272    2.25334    0.000628508 33       965      
 2586.24 94      2403     2.25272    2.25334    0.000624659 36       982      
 2670.07 96      2459     2.25272    2.25334    0.000616278 33       1004     
 2705.22 98      2513     2.25273    2.25334    0.000609428 33       1013     
 2757.76 99      2550     2.25273    2.25334    0.00060766  33       1026     
 2825.49 101     2600     2.25273    2.25334    0.000605945 34       1043     
 2901.79 103     2651     2.25273    2.25334    0.000602336 30       1063     
 2965.18 105     2707     2.25273    2.25333    0.000600593 33       1080     
 3049.06 107     2759     2.25274    2.25333    0.000593878 36       1102     
