
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e3776cfca2.pomdpx
  loading time : 8.26s 

SARSOP initializing ...
  initialization time : 1523.80s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1523.8  0       0        1.5801     2.17964    0.59954     120      1        
 1526.08 1       79       1.65755    1.79287    0.135312    26       13       
 1526.76 1       100      1.65755    1.79287    0.135312    37       17       
 1528.46 2       163      1.67451    1.79286    0.118349    27       21       
 1528.6  2       200      1.67451    1.79286    0.118349    31       21       
 1528.98 3       250      1.68696    1.79285    0.105895    30       22       
 1529.53 4       333      1.70404    1.79285    0.0888114   28       23       
 1529.6  4       350      1.70404    1.79285    0.0888114   34       23       
 1530.12 5       419      1.71631    1.79285    0.0765388   29       24       
 1530.24 5       450      1.71631    1.79285    0.0765388   37       24       
 1530.68 6       505      1.72458    1.79285    0.0682754   29       25       
 1531.62 7       591      1.73008    1.79284    0.0627685   10       28       
 1531.66 7       600      1.73008    1.79284    0.0627685   10       28       
 1532.61 8       677      1.73289    1.79284    0.0599537   10       32       
 1532.69 8       700      1.73289    1.79284    0.0599537   8        32       
 1533.6  9       765      1.73934    1.79284    0.0534985   6        35       
 1533.71 9       800      1.73934    1.79284    0.0534985   5        35       
 1534.35 10      851      1.74264    1.79284    0.0501991   6        37       
 1535.23 11      939      1.74843    1.79284    0.0444075   6        39       
 1535.28 11      950      1.74843    1.79284    0.0444075   6        39       
 1536.15 12      1025     1.7508     1.79283    0.0420384   6        41       
 1536.24 12      1050     1.7508     1.79283    0.0420384   6        41       
 1537.14 13      1113     1.75397    1.79283    0.0388608   7        43       
 1537.27 13      1150     1.75397    1.79283    0.0388608   8        43       
 1538.07 14      1201     1.7569     1.79283    0.0359337   7        45       
 1539.05 15      1289     1.75958    1.79283    0.0332502   7        47       
 1539.1  15      1300     1.75958    1.79283    0.0332502   7        47       
 1540.25 16      1377     1.76172    1.79283    0.0311133   7        49       
 1540.34 16      1400     1.76172    1.79283    0.0311133   7        49       
 1541.17 17      1465     1.7635     1.79283    0.0293333   7        50       
 1541.29 17      1500     1.7635     1.79283    0.0293333   7        50       
 1541.59 18      1553     1.76443    1.79283    0.0284021   7        50       
 1543.11 19      1641     1.76623    1.79283    0.0265977   7        52       
 1543.16 19      1650     1.76623    1.79283    0.0265977   7        52       
 1544.73 20      1729     1.76779    1.79283    0.0250319   8        54       
 1544.82 20      1750     1.76779    1.79283    0.0250319   8        54       
 1545.8  21      1817     1.76963    1.79283    0.0231975   8        55       
 1545.92 21      1850     1.76963    1.79283    0.0231975   8        55       
 1546.67 22      1905     1.7707     1.79283    0.0221223   8        56       
 1547.58 23      1993     1.77114    1.79282    0.0216848   10       57       
 1547.62 23      2000     1.77114    1.79282    0.0216848   10       57       
 1549.42 24      2081     1.7722     1.79282    0.0206228   7        59       
 1549.5  24      2100     1.7722     1.79282    0.0206228   7        59       
 1550.64 25      2169     1.77314    1.79282    0.0196835   7        60       
 1550.76 25      2200     1.77314    1.79282    0.0196835   7        60       
 1551.89 26      2257     1.77409    1.79282    0.0187293   9        61       
 1552.05 26      2300     1.77409    1.79282    0.0187293   11       61       
 1552.3  27      2350     1.77468    1.79282    0.0181402   9        61       
 1554.66 28      2433     1.77572    1.79282    0.0170952   7        63       
 1554.73 28      2450     1.77572    1.79282    0.0170952   7        63       
 1555.08 29      2521     1.77642    1.79282    0.0163961   9        63       
 1555.2  29      2550     1.77642    1.79282    0.0163961   9        63       
 1557.6  30      2609     1.77666    1.79282    0.016159    12       65       
 1557.76 30      2650     1.77666    1.79282    0.016159    10       65       
 1560.36 31      2700     1.77765    1.79282    0.0151679   9        67       
 1561.62 32      2785     1.77833    1.79282    0.0144911   9        68       
 1561.69 32      2800     1.77833    1.79282    0.0144911   9        68       
 1563.08 33      2873     1.77896    1.79282    0.0138594   10       69       
 1563.19 33      2900     1.77896    1.79282    0.0138594   10       69       
 1564.32 34      2961     1.77944    1.79282    0.0133768   10       70       
 1564.47 34      3000     1.77944    1.79282    0.0133768   10       70       
 1565.89 35      3050     1.77986    1.79282    0.0129611   11       71       
 1567.58 36      3137     1.78017    1.79282    0.0126474   10       72       
 1567.66 36      3150     1.78017    1.79282    0.0126474   10       72       
 1568.03 37      3225     1.78032    1.79282    0.0124988   12       72       
 1568.14 37      3250     1.78032    1.79282    0.0124988   12       72       
 1569.76 38      3313     1.78099    1.79282    0.0118262   9        73       
 1569.9  38      3350     1.78099    1.79282    0.0118262   9        73       
 1570.2  39      3401     1.78143    1.79282    0.011386    10       73       
 1570.58 40      3489     1.78184    1.79282    0.0109741   9        73       
 1570.64 40      3500     1.78184    1.79282    0.0109741   9        73       
 1572.34 41      3577     1.78203    1.79282    0.0107893   12       74       
 1572.45 41      3600     1.78203    1.79282    0.0107893   12       74       
 1574.38 42      3665     1.7826     1.79282    0.010217    9        75       
 1574.52 42      3700     1.7826     1.79282    0.010217    9        75       
 1577.86 43      3753     1.78299    1.79282    0.00982155  8        77       
 1578.23 44      3841     1.78319    1.79282    0.00962694  10       77       
 1578.29 44      3850     1.78319    1.79282    0.00962694  10       77       
 1580.08 45      3929     1.78343    1.79282    0.00938265  12       78       
 1580.18 45      3950     1.78343    1.79282    0.00938265  12       78       
 1580.55 46      4017     1.78362    1.79282    0.00919445  13       78       
 1580.7  46      4050     1.78362    1.79282    0.00919445  13       78       
 1582.48 47      4105     1.7838     1.79282    0.00901896  13       79       
 1587.96 48      4150     1.7838     1.79282    0.00901896  14       82       
 1588.22 48      4200     1.78415    1.79281    0.00866837  13       82       
 1592.24 49      4285     1.78454    1.79281    0.00827382  13       84       
 1592.34 49      4300     1.78454    1.79281    0.00827382  13       84       
 1596.68 50      4373     1.78486    1.79281    0.00795838  11       86       
 1596.82 50      4400     1.78486    1.79281    0.00795838  11       86       
