
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e43f82f089.pomdpx
  loading time : 8.01s 

SARSOP initializing ...
  initialization time : 957.84s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 957.84  0       0        1.49225    2.31478    0.822535    120      1        
 959.78  1       59       1.69623    1.81252    0.116291    39       27       
 960.78  2       100      1.69623    1.81252    0.116291    45       37       
 961.47  2       150      1.71736    1.81252    0.0951627   48       43       
 962.51  3       219      1.74104    1.81252    0.0714831   44       50       
 962.61  3       250      1.74104    1.81252    0.0714831   51       50       
 963.31  4       303      1.75297    1.81252    0.0595468   44       54       
 964.55  5       385      1.76568    1.81252    0.0468353   39       60       
 964.61  5       400      1.76568    1.81252    0.0468353   44       60       
 965.6   6       469      1.7719     1.81252    0.0406213   17       65       
 966.35  6       500      1.7719     1.81252    0.0406213   15       70       
 967.59  7       551      1.77982    1.81252    0.0326923   11       76       
 968.26  8       635      1.78246    1.81252    0.0300529   13       78       
 968.31  8       650      1.78246    1.81252    0.0300529   11       78       
 970.41  9       717      1.78739    1.81252    0.0251257   11       87       
 970.49  9       750      1.78739    1.81252    0.0251257   13       87       
 971.21  10      801      1.78937    1.81252    0.0231414   9        89       
 973.03  11      883      1.79287    1.81252    0.0196402   9        94       
 973.09  11      900      1.79287    1.81252    0.0196402   10       94       
 974.25  12      967      1.7941     1.81251    0.0184116   10       97       
 975.14  12      1000     1.7941     1.81251    0.0184116   10       100      
 977.85  13      1051     1.79648    1.81251    0.0160376   13       107      
 978.95  14      1135     1.79741    1.81251    0.0151032   16       109      
 979.03  14      1150     1.79741    1.81251    0.0151032   10       109      
 983.24  15      1217     1.79926    1.81251    0.0132561   11       117      
 983.33  15      1250     1.79926    1.81251    0.0132561   11       117      
 983.5   16      1301     1.79986    1.81251    0.0126498   12       117      
 989.13  17      1385     1.80179    1.81251    0.010721    11       127      
 989.19  17      1400     1.80179    1.81251    0.010721    13       127      
 990.81  18      1469     1.80244    1.81251    0.0100701   9        129      
 992.11  18      1500     1.80244    1.81251    0.0100701   12       131      
 999.56  19      1553     1.80389    1.81251    0.00862158  10       141      
 999.81  20      1637     1.80439    1.81251    0.00811797  9        141      
 999.88  20      1650     1.80439    1.81251    0.00811797  8        141      
 1011.22 21      1719     1.80562    1.81251    0.00688961  10       155      
 1011.32 21      1750     1.80562    1.81251    0.00688961  11       155      
 1013.54 22      1803     1.80597    1.81251    0.00654244  12       157      
 1029.61 23      1887     1.80673    1.81251    0.00578573  11       175      
 1029.68 23      1900     1.80673    1.81251    0.00578573  11       175      
 1029.89 24      1971     1.80698    1.81251    0.00553497  15       175      
 1041.68 24      2000     1.80698    1.81251    0.00553497  13       187      
 1048.61 25      2055     1.80745    1.81251    0.00506309  14       194      
