
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e44a4a4bf7.pomdpx
  loading time : 7.93s 

SARSOP initializing ...
  initialization time : 1747.28s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1747.28 0       0        1.25098    1.40195    0.150972    120      1        
 1748.44 0       50       1.25334    1.25423    0.0008891   8        7        
 1750.04 0       100      1.25334    1.25423    0.0008891   6        12       
 1752.65 1       207      1.25384    1.25422    0.000376366 12       15       
 1752.66 1       208      1.25384    1.25422    0.000376366 13       15       
 1752.88 1       250      1.25384    1.25422    0.000376366 22       15       
 1753.15 1       300      1.25384    1.25422    0.000376366 17       15       
 1758.22 2       437      1.25394    1.25421    0.000270685 7        24       
 1758.24 2       438      1.25394    1.25421    0.000270685 7        24       
 1758.32 2       450      1.25394    1.25421    0.000270685 7        24       
 1758.61 2       500      1.25394    1.25421    0.000270685 7        24       
 1762.93 2       550      1.25394    1.25421    0.000270685 9        32       
 1765.73 3       669      1.25396    1.25421    0.000247674 10       34       
 1765.75 3       670      1.25396    1.25421    0.000247674 10       34       
 1765.95 3       700      1.25396    1.25421    0.000247674 10       34       
 1766.25 3       750      1.25396    1.25421    0.000247674 10       34       
 1777.4  4       905      1.25402    1.2542     0.000185375 8        45       
 1777.43 4       906      1.25402    1.2542     0.000185375 8        45       
 1777.45 4       907      1.25402    1.2542     0.000185375 9        45       
 1777.73 4       950      1.25402    1.2542     0.000185375 7        45       
 1778.03 4       1000     1.25402    1.2542     0.000185375 7        45       
 1787.7  5       1133     1.25402    1.2542     0.000178092 8        53       
 1787.73 5       1134     1.25402    1.2542     0.000178092 8        53       
 1787.83 5       1150     1.25402    1.2542     0.000178092 8        53       
 1788.14 5       1200     1.25402    1.2542     0.000178092 8        53       
 1805.33 5       1250     1.25402    1.2542     0.000178092 14       64       
 1806.86 6       1369     1.25404    1.2542     0.000166893 12       64       
 1806.89 6       1370     1.25404    1.2542     0.000166893 12       64       
 1807.11 6       1400     1.25404    1.2542     0.000166893 12       64       
 1807.45 6       1450     1.25404    1.2542     0.000166893 12       64       
 1833.89 7       1607     1.25404    1.2542     0.000160476 12       76       
 1833.93 7       1608     1.25404    1.2542     0.000160476 12       76       
 1833.97 7       1609     1.25404    1.2542     0.000160476 12       76       
 1834.28 7       1650     1.25404    1.2542     0.000160476 12       76       
 1834.66 7       1700     1.25404    1.2542     0.000160476 12       76       
 1872.85 8       1847     1.25407    1.2542     0.000130527 11       89       
 1872.9  8       1848     1.25407    1.2542     0.000130527 11       89       
 1872.94 8       1850     1.25407    1.2542     0.000130527 11       89       
 1873.3  8       1900     1.25407    1.2542     0.000130527 11       89       
 1873.66 8       1950     1.25407    1.2542     0.000130527 11       89       
 1909.4  9       2083     1.25408    1.2542     0.000121487 14       100      
 1909.47 9       2084     1.25408    1.2542     0.000121487 14       100      
 1909.62 9       2100     1.25408    1.2542     0.000121487 14       100      
 1910    9       2150     1.25408    1.2542     0.000121487 14       100      
 1949.62 9       2200     1.25408    1.2542     0.000121487 14       111      
 1960.17 10      2323     1.25408    1.2542     0.000114569 15       113      
 1960.22 10      2324     1.25408    1.2542     0.000114569 15       113      
 1960.45 10      2350     1.25408    1.2542     0.000114569 15       113      
 1960.87 10      2400     1.25408    1.2542     0.000114569 15       113      
 2008.71 11      2561     1.25408    1.2542     0.000112522 16       124      
 2008.77 11      2562     1.25408    1.2542     0.000112522 16       124      
