
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e4e25b86c.pomdpx
  loading time : 7.90s 

SARSOP initializing ...
  initialization time : 272.95s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 272.95  0       0        1.45103    1.57145    0.120415    120      1        
 273.44  2       50       1.4841     1.50521    0.0211098   126      30       
 274.18  5       107      1.49775    1.5052     0.00744711  182      55       
 274.89  7       153      1.50074    1.50515    0.0044073   208      78       
 276.51  10      209      1.50179    1.50482    0.00302868  253      106      
 278.59  13      255      1.50246    1.50478    0.00231809  209      129      
 281.1   15      300      1.50293    1.50477    0.0018412   199      152      
 283.85  18      355      1.5034     1.50469    0.00128801  200      178      
 287.89  19      400      1.50351    1.50469    0.00118216  194      207      
 290.84  21      451      1.50363    1.50467    0.00104026  201      226      
 296.55  23      500      1.50368    1.50465    0.000969699 215      255      
 302.28  25      561      1.50371    1.50465    0.000933455 192      281      
 307.73  26      600      1.50373    1.50464    0.000906096 171      303      
 315.73  27      650      1.50376    1.50464    0.000874628 146      334      
 321.1   30      707      1.50378    1.50462    0.000842115 94       354      
 327.7   31      750      1.50379    1.50462    0.000823383 99       376      
 337.68  33      800      1.50381    1.50461    0.00080587  92       406      
 344.23  34      855      1.50382    1.50461    0.000786536 105      424      
 353.31  36      900      1.50383    1.5046     0.000774708 98       449      
 364.26  38      965      1.50383    1.5046     0.00076664  84       476      
 372.3   40      1009     1.50384    1.50458    0.000745726 91       497      
 382.17  41      1050     1.50384    1.50458    0.000744722 98       519      
 395.97  42      1100     1.50384    1.50458    0.000742091 84       550      
 403.71  44      1161     1.50384    1.50458    0.000734578 82       566      
 412.96  45      1201     1.50385    1.50458    0.000731846 79       585      
 424.73  46      1250     1.50385    1.50458    0.000730177 80       613      
 437.26  48      1300     1.5039     1.50458    0.000678358 67       642      
 442.02  49      1361     1.5039     1.50457    0.000674243 65       652      
 452.01  50      1403     1.5039     1.50457    0.00067206  75       672      
 462.23  51      1450     1.5039     1.50457    0.000669554 79       693      
 473.83  52      1500     1.50391    1.50457    0.000661233 83       716      
 486.8   54      1567     1.50391    1.50457    0.000653896 89       740      
 497.96  55      1609     1.50391    1.50457    0.000653449 91       760      
 509.85  56      1651     1.50392    1.50457    0.000649328 80       781      
