
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e52c10f2b4.pomdpx
  loading time : 8.26s 

SARSOP initializing ...
  initialization time : 1528.43s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1528.43 0       0        1.66735    2.05295    0.385595    120      1        
 1531.19 1       87       1.74079    1.81417    0.0733829   19       9        
 1531.24 1       100      1.74079    1.81417    0.0733829   22       9        
 1531.73 2       173      1.74921    1.81416    0.0649505   19       10       
 1531.84 2       200      1.74921    1.81416    0.0649505   24       10       
 1532.13 3       259      1.75567    1.81416    0.0584881   19       10       
 1532.28 3       300      1.75567    1.81416    0.0584881   27       10       
 1532.53 4       350      1.76124    1.81416    0.0529165   24       10       
 1533.04 5       433      1.76907    1.81416    0.0450916   18       11       
 1533.1  5       450      1.76907    1.81416    0.0450916   24       11       
 1533.54 6       521      1.77456    1.81416    0.0395927   19       12       
 1533.65 6       550      1.77456    1.81416    0.0395927   26       12       
 1534.09 7       609      1.78018    1.81416    0.0339821   20       13       
 1534.25 7       650      1.78018    1.81416    0.0339821   27       13       
 1534.53 8       700      1.78253    1.81409    0.0315581   22       14       
 1535.11 9       785      1.78607    1.81409    0.0280116   19       15       
 1535.17 9       800      1.78607    1.81409    0.0280116   23       15       
 1535.58 10      873      1.78786    1.81403    0.0261716   19       16       
 1535.68 10      900      1.78786    1.81403    0.0261716   24       16       
 1536.65 11      961      1.78943    1.814      0.0245758   11       19       
 1536.78 11      1000     1.78943    1.814      0.0245758   11       19       
 1537.76 12      1050     1.79078    1.81399    0.0232137   10       22       
 1539.04 13      1137     1.79324    1.81399    0.0207582   9        25       
 1539.09 13      1150     1.79324    1.81399    0.0207582   9        25       
 1539.76 14      1225     1.79504    1.81398    0.018948    8        26       
 1539.84 14      1250     1.79504    1.81398    0.018948    7        26       
 1540.12 15      1313     1.79698    1.81398    0.017004    7        26       
 1540.24 15      1350     1.79698    1.81398    0.017004    7        26       
 1540.56 16      1401     1.79796    1.81394    0.015985    7        27       
 1541.46 17      1489     1.79883    1.81393    0.0150978   8        29       
 1541.5  17      1500     1.79883    1.81393    0.0150978   8        29       
 1542.24 18      1577     1.80036    1.81393    0.0135653   8        30       
 1542.33 18      1600     1.80036    1.81393    0.0135653   8        30       
 1543    19      1665     1.80115    1.81393    0.0127795   10       31       
 1543.13 19      1700     1.80115    1.81393    0.0127795   9        31       
 1543.49 20      1753     1.80179    1.81389    0.0120959   9        32       
 1544.39 21      1841     1.80268    1.81387    0.0111925   8        33       
 1544.43 21      1850     1.80268    1.81387    0.0111925   8        33       
 1546.61 22      1931     1.80334    1.81386    0.0105149   8        36       
 1546.68 22      1950     1.80334    1.81386    0.0105149   8        36       
 1546.97 23      2019     1.80439    1.81386    0.00946452  7        36       
 1547.08 23      2050     1.80439    1.81386    0.00946452  7        36       
 1547.33 24      2107     1.80497    1.81386    0.00888521  8        36       
 1547.68 24      2150     1.80497    1.81386    0.00888521  8        37       
 1547.89 25      2200     1.80543    1.81383    0.0083953   10       37       
 1549.47 26      2283     1.80603    1.81382    0.00778441  11       39       
 1549.54 26      2300     1.80603    1.81382    0.00778441  10       39       
 1550.38 27      2371     1.80633    1.81382    0.0074855   10       40       
 1550.5  27      2400     1.80633    1.81382    0.0074855   11       40       
 1552.29 28      2461     1.80712    1.81381    0.00668703  11       42       
 1552.44 28      2500     1.80712    1.81381    0.00668703  10       42       
 1554.52 29      2551     1.80746    1.81379    0.00633003  9        44       
 1555.68 30      2639     1.80778    1.81379    0.00601286  9        45       
 1555.73 30      2650     1.80778    1.81379    0.00601286  10       45       
 1558.16 31      2729     1.80864    1.81379    0.00515297  10       47       
 1558.25 31      2750     1.80864    1.81379    0.00515297  10       47       
 1560.37 32      2817     1.80889    1.81378    0.00488921  10       49       
 1560.5  32      2850     1.80889    1.81378    0.00488921  11       49       
 1560.96 33      2905     1.80909    1.81376    0.00466822  10       50       
 1563.58 34      2950     1.80909    1.81376    0.00466822  11       52       
 1563.82 34      3000     1.80926    1.81374    0.00447718  11       52       
 1566.32 35      3085     1.80954    1.81372    0.00417987  10       54       
 1566.38 35      3100     1.80954    1.81372    0.00417987  12       54       
 1569.8  36      3175     1.80991    1.81371    0.00379942  9        56       
 1569.9  36      3200     1.80991    1.81371    0.00379942  9        56       
 1570.19 37      3263     1.81007    1.81371    0.00363864  9        56       
 1570.33 37      3300     1.81007    1.81371    0.00363864  10       56       
 1572.01 38      3351     1.81023    1.8137     0.00346346  10       57       
 1575    39      3441     1.81057    1.81369    0.00312249  10       59       
 1575.04 39      3450     1.81057    1.81369    0.00312249  10       59       
 1578.79 40      3531     1.81073    1.81368    0.00295121  11       61       
 1578.88 40      3550     1.81073    1.81368    0.00295121  11       61       
 1582.73 41      3621     1.81085    1.81367    0.00282311  10       63       
 1582.85 41      3650     1.81085    1.81367    0.00282311  11       63       
 1589    42      3709     1.81092    1.81364    0.00272099  10       66       
 1589.17 42      3750     1.81092    1.81364    0.00272099  11       66       
 1596.09 43      3800     1.81101    1.81364    0.00263271  11       69       
 1601.31 44      3889     1.81114    1.81364    0.00250035  11       71       
 1601.38 44      3900     1.81114    1.81364    0.00250035  11       71       
 1606.63 45      3979     1.81126    1.81364    0.00237728  11       73       
 1606.74 45      4000     1.81126    1.81364    0.00237728  11       73       
 1612.52 46      4069     1.81133    1.81362    0.0022849   11       76       
 1612.67 46      4100     1.81133    1.81362    0.0022849   11       76       
 1615.79 47      4159     1.81146    1.81361    0.0021592   11       77       
 1615.96 47      4200     1.81146    1.81361    0.0021592   11       77       
 1616.22 48      4250     1.81154    1.81361    0.00207858  10       77       
 1619.51 49      4337     1.81163    1.81361    0.00198091  12       78       
 1619.59 49      4350     1.81163    1.81361    0.00198091  12       78       
 1622.97 50      4427     1.81173    1.81361    0.00188563  12       79       
 1623.08 50      4450     1.81173    1.81361    0.00188563  12       79       
 1629.34 51      4519     1.81191    1.81361    0.0016992   13       81       
 1629.49 51      4550     1.81191    1.81361    0.0016992   12       81       
 1629.82 52      4607     1.81199    1.81361    0.00162344  14       81       
 1630.02 52      4650     1.81199    1.81361    0.00162344  13       81       
 1633.48 53      4700     1.81206    1.81361    0.00155531  13       82       
 1643.06 54      4785     1.81212    1.81361    0.00149014  13       85       
 1643.16 54      4800     1.81212    1.81361    0.00149014  12       85       
 1652.48 55      4875     1.81217    1.81361    0.00143986  13       88       
 1652.61 55      4900     1.81217    1.81361    0.00143986  13       88       
 1656.04 56      4965     1.81223    1.8136     0.00137591  13       89       
 1656.2  56      5000     1.81223    1.8136     0.00137591  13       89       
 1663.03 57      5055     1.81228    1.8136     0.00131641  14       91       
 1666.52 58      5100     1.81228    1.8136     0.00131641  14       92       
 1666.83 58      5150     1.81235    1.8136     0.00125177  14       92       
 1667.68 59      5235     1.81239    1.81359    0.00120269  14       93       
 1667.78 59      5250     1.81239    1.81359    0.00120269  14       93       
 1671.68 60      5325     1.81247    1.81359    0.00112329  14       94       
 1671.81 60      5350     1.81247    1.81359    0.00112329  14       94       
 1672.18 61      5413     1.81252    1.81359    0.0010749   14       94       
 1672.36 61      5450     1.81252    1.81359    0.0010749   14       94       
 1672.67 62      5503     1.81256    1.81359    0.00103186  14       94       
 1683.59 63      5595     1.81263    1.81359    0.000965891 13       97       
 1683.64 63      5600     1.81263    1.81359    0.000965891 13       97       
 1694.73 64      5687     1.81266    1.81359    0.000932021 13       100      
 1694.81 64      5700     1.81266    1.81359    0.000932021 13       100      
 1702.22 65      5777     1.81268    1.81359    0.000905166 13       102      
 1702.34 65      5800     1.81268    1.81359    0.000905166 13       102      
 1716.75 66      5869     1.81273    1.81358    0.000851674 14       106      
 1716.9  66      5900     1.81273    1.81358    0.000851674 14       106      
 1720.62 67      5959     1.81275    1.81358    0.000832202 14       107      
 1720.82 67      6000     1.81275    1.81358    0.000832202 14       107      
 1725.18 68      6050     1.81277    1.81358    0.000810951 14       108      
 1733.21 69      6139     1.81279    1.81358    0.000788378 14       110      
 1733.29 69      6150     1.81279    1.81358    0.000788378 14       110      
 1744.96 70      6231     1.81286    1.81358    0.000719612 14       113      
 1745.08 70      6250     1.81286    1.81358    0.000719612 14       113      
 1745.45 71      6319     1.81289    1.81358    0.000696297 14       113      
 1745.6  71      6350     1.81289    1.81358    0.000696297 14       113      
 1750.16 72      6409     1.81292    1.81358    0.000662243 14       114      
 1750.35 72      6450     1.81292    1.81358    0.000662243 14       114      
 1758.55 73      6500     1.81295    1.81358    0.000631959 14       116      
 1763.64 74      6589     1.81297    1.81358    0.000605813 15       117      
 1763.72 74      6600     1.81297    1.81358    0.000605813 15       117      
 1771.9  75      6681     1.81299    1.81358    0.00058754  15       119      
 1772.01 75      6700     1.81299    1.81358    0.00058754  15       119      
 1777.52 76      6773     1.81301    1.81358    0.000573339 15       121      
 1777.66 76      6800     1.81301    1.81358    0.000573339 15       121      
 1786    77      6863     1.81302    1.81358    0.000560156 15       123      
 1786.2  77      6900     1.81302    1.81358    0.000560156 15       123      
 1790    78      6953     1.81303    1.81358    0.000551561 15       124      
 1799.19 79      7043     1.81305    1.81358    0.00052369  15       126      
 1799.26 79      7050     1.81305    1.81358    0.00052369  15       126      
 1799.68 80      7131     1.81307    1.81358    0.000506272 15       126      
 1799.81 80      7150     1.81307    1.81358    0.000506272 15       126      
 1800.16 81      7219     1.81308    1.81358    0.000492045 15       126      
 1800.33 81      7250     1.81308    1.81358    0.000492045 15       126      
 1804.67 82      7309     1.8131     1.81358    0.000474118 15       127      
 1804.88 82      7350     1.8131     1.81358    0.000474118 15       127      
 1823.51 83      7400     1.81312    1.81358    0.000451439 15       131      
 1971.11 84      7489     1.81315    1.81357    0.000422191 14       165      
 1971.21 84      7500     1.81315    1.81357    0.000422191 15       165      
 1972.2  85      7579     1.81315    1.81357    0.000412902 15       166      
 1972.35 85      7600     1.81315    1.81357    0.000412902 15       166      
 1983.7  86      7671     1.81316    1.81357    0.000404098 15       168      
 1983.84 86      7700     1.81316    1.81357    0.000404098 15       168      
 2004.46 87      7763     1.8132     1.81357    0.00036903  15       172      
 2004.64 87      7800     1.8132     1.81357    0.00036903  15       172      
 2004.94 88      7851     1.81321    1.81357    0.000357586 15       172      
