
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e53055fe74.pomdpx
  loading time : 8.49s 

SARSOP initializing ...
  initialization time : 661.96s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 661.96  0       0        1.55552    2.21145    0.655929    120      1        
 662.51  3       57       2.04581    2.15733    0.111521    21       27       
 662.98  5       109      2.0928     2.15732    0.0645207   67       49       
 663.3   7       155      2.11764    2.15732    0.0396711   76       54       
 663.94  9       201      2.13325    2.15731    0.0240605   107      70       
 664.82  11      250      2.14028    2.15731    0.0170317   152      83       
 666.66  13      300      2.144      2.15729    0.0132944   200      106      
 668.98  15      350      2.14756    2.15727    0.00971665  163      127      
 672.11  17      400      2.14986    2.15727    0.00740432  116      150      
 676.35  19      451      2.15071    2.15725    0.00653649  115      174      
 679.35  21      501      2.15231    2.15724    0.00493791  117      192      
 684.67  23      551      2.15279    2.15723    0.00443376  89       216      
 689.02  25      605      2.15359    2.15722    0.0036334   55       236      
 695.59  27      657      2.15391    2.1572     0.00328302  57       261      
 701.43  29      707      2.15422    2.15719    0.00297592  44       280      
 706.31  31      761      2.15471    2.15719    0.00248088  31       295      
 715.92  33      800      2.15479    2.15719    0.0023981   37       320      
 724.93  34      850      2.15487    2.15718    0.00230658  38       342      
 732     36      900      2.15498    2.15717    0.00219241  36       357      
 741.33  38      950      2.15521    2.15717    0.00195991  31       375      
 752.45  40      1003     2.1553     2.15716    0.0018637   26       396      
 767.47  42      1059     2.15535    2.15716    0.001804    28       419      
 774.23  44      1111     2.15547    2.15715    0.00168177  28       431      
 786.7   45      1150     2.1555     2.15715    0.00165599  30       452      
 793.1   47      1200     2.15555    2.15715    0.0016002   30       466      
 806.63  49      1251     2.15559    2.15714    0.0015546   30       487      
 821.52  51      1307     2.15562    2.15714    0.00152327  32       509      
 835.04  53      1363     2.15571    2.15714    0.00143122  32       529      
 849.01  54      1400     2.15572    2.15714    0.00142217  34       549      
 864.68  56      1450     2.15574    2.15714    0.00139435  36       567      
 892.57  58      1507     2.15575    2.15713    0.00137603  35       594      
 908.87  60      1563     2.15576    2.15713    0.00136326  35       614      
 930.25  61      1600     2.15578    2.15712    0.00134408  34       636      
 938.25  63      1650     2.15579    2.15711    0.00132324  36       644      
 954.22  65      1703     2.15584    2.15711    0.00127171  38       661      
 978.93  67      1759     2.15586    2.15711    0.00124416  33       684      
 991.65  68      1800     2.15587    2.15711    0.001239    38       698      
 1009.99 70      1850     2.15589    2.1571     0.00121074  35       714      
 1029.46 72      1903     2.15593    2.1571     0.00117467  36       732      
 1054.31 74      1961     2.15593    2.1571     0.00116879  36       754      
 1072.36 75      2000     2.15594    2.1571     0.00116046  41       769      
 1092.79 77      2050     2.15595    2.15709    0.00114611  40       784      
