
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e545079eb0.pomdpx
  loading time : 8.24s 

SARSOP initializing ...
  initialization time : 572.30s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 572.3   0       0        1.38387    1.67163    0.287758    120      1        
 574.1   2       59       1.42627    1.5157     0.0894235   40       31       
 575.17  3       100      1.43476    1.5157     0.080937    53       49       
 577.25  5       150      1.4579     1.51556    0.0576534   46       73       
 579.99  7       200      1.47175    1.51546    0.0437062   37       96       
 584.4   9       255      1.48099    1.51536    0.0343649   28       122      
 588.29  11      311      1.48707    1.51529    0.028214    26       142      
 592.2   12      350      1.48836    1.51529    0.0269239   27       160      
 597.05  14      400      1.49114    1.51523    0.0240889   26       178      
 601.64  16      450      1.49511    1.51519    0.0200795   23       191      
 613.8   18      500      1.49744    1.51513    0.0176937   27       213      
 623.98  20      557      1.49906    1.51509    0.0160389   27       234      
 642.56  22      611      1.49978    1.51503    0.0152489   26       260      
 655.51  24      650      1.50029    1.51503    0.014737    23       280      
 678.16  25      700      1.50116    1.51496    0.0138021   28       304      
 687.27  27      750      1.50193    1.51494    0.0130014   24       318      
 711.75  29      801      1.50244    1.5149     0.0124627   28       340      
 745.26  31      855      1.50265    1.51481    0.0121652   30       366      
 766.64  33      911      1.50334    1.51479    0.0114558   35       388      
 802.54  34      950      1.50349    1.51477    0.0112855   32       412      
 839.16  36      1000     1.5036     1.51475    0.0111536   33       434      
 874.98  38      1050     1.50379    1.51472    0.0109356   42       457      
 922.83  40      1105     1.504      1.51467    0.0106687   36       483      
 955.92  42      1161     1.50423    1.51466    0.0104281   40       503      
 1001.82 43      1200     1.50426    1.51461    0.0103466   39       527      
 1044.59 45      1250     1.50435    1.51459    0.0102376   37       546      
 1103.6  47      1303     1.50443    1.51456    0.0101375   41       569      
 1171.08 49      1359     1.50453    1.51455    0.0100162   61       596      
 1244.98 50      1400     1.50456    1.51454    0.00998405  55       621      
 1304.81 52      1450     1.50459    1.51453    0.00993742  54       642      
 1372.27 54      1503     1.50461    1.5145     0.00989694  59       664      
 1418.6  56      1561     1.50477    1.51446    0.00969114  58       682      
 1491.52 57      1600     1.50479    1.51446    0.00966415  54       706      
 1549.54 59      1651     1.50482    1.51444    0.00961822  51       725      
 1637.52 61      1707     1.50484    1.51441    0.00956336  55       752      
 1719.87 63      1763     1.5049     1.5144     0.00949336  50       776      
 1802.45 64      1800     1.50491    1.51439    0.00947778  50       798      
 1854.83 66      1850     1.50493    1.51437    0.0094473   61       811      
 1909.87 68      1903     1.50499    1.51436    0.00936969  71       828      
 2018.04 70      1959     1.50502    1.51435    0.00932551  58       855      
 2120.51 71      2000     1.50503    1.51433    0.00930385  59       880      
 2202.52 73      2050     1.50505    1.5143     0.00924435  54       900      
 2305.58 75      2101     1.50506    1.51427    0.00920655  65       921      
 2408.76 77      2157     1.50508    1.51424    0.00916805  80       944      
 2529.86 79      2213     1.50509    1.51423    0.00914444  72       970      
 2595.06 80      2250     1.50509    1.51423    0.00913581  66       984      
 2670.81 82      2301     1.50515    1.51422    0.00906711  62       1003     
 2809.22 84      2357     1.50516    1.51422    0.00905364  65       1029     
 2937.77 86      2411     1.50518    1.51421    0.0090367   65       1052     
 3038.74 87      2450     1.50522    1.5142     0.00898124  71       1075     
 3133.62 89      2500     1.50523    1.51419    0.00896231  64       1096     
 3239.71 91      2551     1.50524    1.51417    0.00892271  71       1118     
 3305.57 93      2615     1.50528    1.51415    0.00887262  79       1140     
 3386.41 94      2650     1.50528    1.51415    0.00886491  91       1159     
 3466.18 96      2701     1.50529    1.51413    0.00883532  88       1179     
 3516.44 98      2761     1.50531    1.51412    0.00880481  85       1202     
 3651.25 99      2800     1.50531    1.51412    0.00880261  87       1226     
 3750.44 101     2850     1.50532    1.51411    0.00879005  84       1246     
 3843.4  103     2901     1.50533    1.51411    0.00878128  89       1266     
 3903.73 105     2961     1.50534    1.5141     0.00876107  99       1284     
 4008.79 106     3000     1.50534    1.5141     0.0087555   90       1307     
 4114.39 108     3050     1.50535    1.51409    0.00874186  100      1326     
 4262.81 110     3105     1.50536    1.51407    0.00870959  105      1351     
 4400.75 112     3163     1.50537    1.51406    0.00869742  99       1378     
 4432.16 113     3200     1.50537    1.51406    0.00869134  106      1388     
 4468.07 115     3251     1.50538    1.51405    0.00867801  120      1400     
 4609.16 117     3309     1.50538    1.51404    0.00866441  114      1426     
 4692.4  118     3350     1.50538    1.51404    0.00865938  108      1444     
 4745.03 120     3400     1.50539    1.51403    0.00864382  106      1460     
 4841    122     3451     1.50539    1.51402    0.00862786  104      1477     
 4920.22 124     3511     1.5054     1.51401    0.00861835  116      1496     
 5070.77 125     3550     1.5054     1.51401    0.00860911  115      1520     
 5196.52 127     3600     1.5054     1.51399    0.0085872   116      1539     
 5245.88 129     3650     1.50541    1.51398    0.00857458  121      1551     
 5394.94 131     3701     1.50541    1.51398    0.00857097  132      1571     
 5489.91 133     3757     1.50541    1.51397    0.00856414  122      1588     
 5664.43 135     3809     1.50541    1.51397    0.0085547   131      1612     
 5743.07 136     3850     1.50541    1.51396    0.00855066  140      1629     
 5851.26 138     3900     1.50542    1.51396    0.00853937  145      1643     
 5993.33 140     3951     1.50542    1.51395    0.00852859  131      1659     
 6035.26 142     4013     1.50543    1.51394    0.00851758  114      1672     
 6166.48 143     4050     1.50543    1.51394    0.00851583  108      1691     
 6202.7  145     4100     1.50543    1.51394    0.00850755  114      1698     
 6337.84 147     4159     1.50543    1.51393    0.00849966  117      1719     
 6348.13 148     4200     1.50543    1.51393    0.0084972   130      1726     
 6475.59 150     4250     1.50543    1.51393    0.00849143  137      1741     
 6553.03 152     4301     1.50544    1.51392    0.00848535  145      1755     
 6699.83 154     4359     1.50544    1.51392    0.00848022  145      1775     
 6718.79 155     4400     1.50544    1.51392    0.00847706  146      1785     
 6865.01 157     4450     1.50544    1.51391    0.00847258  142      1805     
 7041.51 159     4500     1.50544    1.51391    0.00846592  150      1823     
 7051.15 161     4555     1.50544    1.51391    0.00846387  162      1830     
 7173.21 163     4611     1.50544    1.5139     0.00845784  158      1850     
 7368.8  164     4650     1.50545    1.5139     0.00845277  155      1870     
 7431.08 166     4700     1.50545    1.51389    0.00844347  152      1879     
 7545.29 168     4753     1.50545    1.51389    0.00843829  154      1893     
 7686.36 170     4809     1.50545    1.51388    0.00843448  157      1911     
 7839.43 171     4850     1.50545    1.51388    0.00843356  152      1927     
 8078.32 173     4900     1.50545    1.51388    0.00842885  155      1948     
 8165.47 175     4950     1.50545    1.51387    0.00842057  169      1962     
 8454.46 177     5003     1.50546    1.51387    0.00841448  174      1986     
 8715.39 179     5059     1.50546    1.51387    0.00840657  170      2010     
 8761.94 181     5113     1.50546    1.51385    0.00839113  173      2024     
 9001.06 182     5150     1.50546    1.51385    0.00838869  169      2043     
 9272.45 184     5200     1.50547    1.51384    0.0083729   169      2064     
 9351.98 186     5251     1.50547    1.51384    0.00836865  167      2075     
 9505.82 188     5305     1.50547    1.51384    0.00836542  164      2087     
 9897.85 190     5361     1.50547    1.51383    0.008359    161      2112     
 9910.68 191     5400     1.50547    1.51383    0.00835768  154      2119     
 10112.5 193     5450     1.50547    1.51383    0.00835397  163      2133     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10112.520000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10112.5 193     5450     1.50547    1.51383    0.00835397  163      2133     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ram_pomdp_soln/3e545079eb0.policyx

