
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e548e09910.pomdpx
  loading time : 8.28s 

SARSOP initializing ...
  initialization time : 1423.26s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1423.26 0       0        1.41856    1.54439    0.125825    120      1        
 1435.57 1       77       1.43206    1.43368    0.00161101  16       17       
 1435.69 1       100      1.43206    1.43368    0.00161101  17       17       
 1447.58 2       181      1.43242    1.43361    0.00118805  6        27       
 1447.68 2       200      1.43242    1.43361    0.00118805  6        27       
 1460.8  3       283      1.43268    1.43354    0.000857621 8        34       
 1460.9  3       300      1.43268    1.43354    0.000857621 8        34       
 1480.84 4       387      1.43289    1.4335     0.000606479 9        42       
 1480.93 4       400      1.43289    1.4335     0.000606479 9        42       
 1507.3  5       491      1.43296    1.43347    0.000516554 10       50       
 1507.37 5       500      1.43296    1.43347    0.000516554 9        50       
 1531.15 6       591      1.43304    1.43346    0.000419315 10       56       
 1531.23 6       600      1.43304    1.43346    0.000419315 10       56       
 1553.65 7       687      1.43312    1.43345    0.000335051 12       61       
 1553.76 7       700      1.43312    1.43345    0.000335051 11       61       
 1610.53 8       795      1.43314    1.43344    0.000296119 11       72       
 1610.59 8       800      1.43314    1.43344    0.000296119 11       72       
 1640.35 9       891      1.43322    1.43343    0.00021483  12       77       
 1640.43 9       900      1.43322    1.43343    0.00021483  12       77       
 1696.61 10      993      1.43324    1.43343    0.000190885 13       86       
 1696.69 10      1000     1.43324    1.43343    0.000190885 13       86       
 1752.27 11      1093     1.43328    1.43342    0.000144267 12       94       
 1752.36 11      1100     1.43328    1.43342    0.000144267 13       94       
 1884.21 11      1150     1.43328    1.43342    0.000144267 13       111      
 1896.5  12      1211     1.43329    1.43342    0.000121533 13       112      
 1896.84 12      1250     1.43329    1.43342    0.000121533 12       112      
 2075.72 13      1329     1.43331    1.43341    9.4841e-05  14       131      
 2075.94 13      1350     1.43331    1.43341    9.4841e-05  14       131      
 2237.9  14      1437     1.43332    1.4334     8.41932e-05 15       146      
 2238.07 14      1450     1.43332    1.4334     8.41932e-05 15       146      
 2541.61 14      1500     1.43332    1.4334     8.41932e-05 18       171      
 2601.92 15      1573     1.43332    1.4334     8.09055e-05 19       175      
 2602.25 15      1600     1.43332    1.4334     8.09055e-05 19       175      
 2767.22 16      1675     1.43332    1.4334     7.77296e-05 15       187      
 2767.54 16      1700     1.43332    1.4334     7.77296e-05 15       187      
 2976.8  17      1781     1.43333    1.4334     6.73645e-05 15       201      
 2977.07 17      1800     1.43333    1.4334     6.73645e-05 14       201      
 3336.82 18      1901     1.43333    1.4334     6.52146e-05 17       223      
 3336.95 18      1902     1.43333    1.4334     6.52146e-05 17       223      
 3540.3  18      1950     1.43333    1.4334     6.52146e-05 17       235      
 3803.09 19      2029     1.43334    1.43339    5.25638e-05 15       249      
 3803.44 19      2050     1.43334    1.43339    5.25638e-05 16       249      
 4131.35 20      2139     1.43334    1.43339    4.87092e-05 15       266      
 4131.57 20      2150     1.43334    1.43339    4.87092e-05 15       266      
 4416.01 21      2239     1.43334    1.43339    4.54138e-05 15       280      
 4416.23 21      2250     1.43334    1.43339    4.54138e-05 15       280      
