
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e54ef6d14d.pomdpx
  loading time : 8.67s 

SARSOP initializing ...
  initialization time : 496.15s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 496.15  0       0        1.3785     1.55402    0.175524    120      1        
 496.63  1       79       1.3785     1.39806    0.019557    89       20       
 497.01  1       100      1.3785     1.39806    0.019557    108      41       
 497.61  2       150      1.38418    1.39798    0.0138007   99       57       
 497.96  3       200      1.38441    1.39798    0.0135677   131      69       
 498.21  4       250      1.38561    1.39797    0.0123656   181      75       
 498.74  6       311      1.38648    1.3974     0.0109158   163      87       
 499.29  7       355      1.38648    1.39739    0.0109101   175      98       
 499.57  8       400      1.38702    1.39739    0.0103651   218      105      
 499.89  10      459      1.38729    1.39739    0.0100961   211      109      
 500.85  11      500      1.38805    1.39738    0.00932936  155      128      
 501.82  13      550      1.3897     1.39736    0.00766675  90       145      
 502.79  15      600      1.39076    1.39731    0.00655554  107      159      
 503.9   17      650      1.3917     1.3973     0.00560389  105      173      
 505.15  19      700      1.39209    1.39729    0.00520258  118      188      
 506.57  21      750      1.39307    1.39728    0.00421529  116      200      
 508.49  23      800      1.3935     1.39728    0.00378334  130      216      
 511.48  25      850      1.39399    1.39726    0.00326712  107      237      
 513.39  27      900      1.39433    1.39724    0.00291276  65       254      
 514.27  29      950      1.3946     1.39723    0.00263331  42       263      
 517.79  31      1001     1.39487    1.39721    0.00233654  45       286      
 519.61  33      1055     1.39506    1.3972     0.00214017  38       302      
 521.07  35      1103     1.39518    1.3972     0.00201988  31       310      
 523.84  37      1155     1.39535    1.39719    0.00183854  30       332      
 527.65  39      1207     1.3955     1.39718    0.00167456  32       351      
 533.44  41      1261     1.39561    1.39716    0.00155617  31       376      
 533.88  43      1309     1.39571    1.39716    0.00145192  33       377      
 539.52  44      1350     1.39575    1.39716    0.00140078  33       400      
 540.76  46      1400     1.39582    1.39715    0.00133001  35       404      
 546.11  48      1450     1.39589    1.39715    0.00125129  38       425      
 551.99  50      1503     1.39592    1.39714    0.00121958  42       444      
 560.44  52      1559     1.39596    1.39714    0.00117762  39       469      
 564.32  54      1600     1.39599    1.39714    0.00115142  38       480      
 566.56  56      1659     1.39605    1.39713    0.00108563  37       486      
 572.22  57      1700     1.39606    1.39713    0.00107457  36       502      
 577.4   59      1750     1.39608    1.39713    0.00104556  41       515      
 584.61  61      1801     1.39609    1.39713    0.00103682  46       533      
 593.2   63      1861     1.39613    1.39712    0.000987887 35       556      
 603.93  64      1900     1.39614    1.39712    0.000976514 38       579      
 607.84  66      1951     1.39615    1.39712    0.000963424 38       588      
 615.53  68      2009     1.39617    1.39711    0.000947957 41       604      
 623.65  69      2050     1.39618    1.39711    0.000936883 40       620      
 626.57  71      2100     1.39618    1.39711    0.000928488 42       626      
 635.84  73      2155     1.39619    1.39711    0.000917148 48       643      
 638.05  75      2200     1.3962     1.39711    0.000905799 48       651      
 644.69  77      2255     1.3962     1.3971     0.000898369 44       664      
 656.98  79      2313     1.39621    1.3971     0.000895516 49       686      
 661.32  80      2350     1.39621    1.3971     0.000887443 48       693      
 668.73  82      2400     1.39622    1.3971     0.000872903 47       705      
 673.83  84      2459     1.39623    1.3971     0.000867509 44       714      
 678.94  85      2500     1.39623    1.3971     0.000865626 41       723      
 681.19  87      2550     1.39623    1.3971     0.000861763 41       726      
 684.44  89      2601     1.39624    1.3971     0.000859317 45       733      
 689.71  91      2659     1.39624    1.39709    0.000856814 43       742      
 697.58  92      2700     1.39624    1.39709    0.00085225  47       754      
 705.07  94      2750     1.39625    1.39709    0.000844264 49       764      
 708.35  96      2800     1.39625    1.39709    0.000842633 50       772      
 717.73  98      2850     1.39627    1.39709    0.00082275  52       789      
 723.83  100     2907     1.39627    1.39709    0.000816855 50       799      
 733.25  101     2950     1.39628    1.39709    0.000806713 43       813      
 741.79  103     3000     1.39628    1.39708    0.000803111 49       825      
 754.1   105     3061     1.39628    1.39708    0.000798701 51       842      
 755.76  106     3100     1.39629    1.39708    0.000797103 48       848      
 760.05  108     3150     1.39629    1.39708    0.000794666 53       855      
 765.74  110     3205     1.39629    1.39708    0.000792241 51       863      
 774.07  112     3263     1.39629    1.39708    0.000788686 55       875      
 784.79  113     3300     1.39629    1.39708    0.000786836 55       888      
 795.55  115     3350     1.39629    1.39708    0.000781547 58       901      
 807.36  117     3405     1.3963     1.39708    0.000780384 53       915      
 816.56  119     3450     1.3963     1.39708    0.000779934 51       927      
 818.69  120     3500     1.3963     1.39708    0.000775985 53       930      
 823.68  122     3551     1.3963     1.39708    0.000774987 55       939      
 826.23  124     3609     1.3963     1.39708    0.000774332 53       942      
 829.24  125     3650     1.3963     1.39708    0.0007736   59       946      
 834.58  127     3701     1.3963     1.39707    0.000773145 59       953      
 838.83  129     3757     1.3963     1.39707    0.00077288  53       958      
 842.2   131     3800     1.3963     1.39707    0.000772723 55       963      
 844.24  132     3850     1.3963     1.39707    0.000772316 57       966      
 848.28  134     3901     1.3963     1.39707    0.000771953 63       972      
 852.88  136     3959     1.3963     1.39707    0.00077185  62       980      
 855.57  137     4000     1.3963     1.39707    0.000771691 62       983      
 857.63  139     4050     1.3963     1.39707    0.000771174 66       985      
 862.23  141     4100     1.3963     1.39707    0.00077099  72       993      
 866.58  143     4155     1.3963     1.39707    0.000770724 73       1000     
 870.51  145     4211     1.3963     1.39707    0.000770423 68       1005     
 873.04  146     4250     1.3963     1.39707    0.000770313 69       1008     
 878.03  148     4301     1.3963     1.39707    0.000769785 56       1014     
 883.77  150     4359     1.3963     1.39707    0.00076952  54       1022     
 889.46  151     4400     1.3963     1.39707    0.000768885 56       1029     
 897.19  153     4450     1.39631    1.39707    0.000764576 59       1037     
 911.04  155     4500     1.39631    1.39707    0.000757599 53       1053     
 914.95  157     4557     1.39631    1.39707    0.000756942 52       1061     
 919.06  159     4600     1.39631    1.39707    0.000756791 54       1068     
 920.95  160     4650     1.39631    1.39707    0.000756559 56       1070     
 924.4   162     4700     1.39631    1.39707    0.000756379 55       1074     
 929.22  164     4757     1.39632    1.39707    0.000755728 59       1080     
 932.85  166     4813     1.39632    1.39707    0.000755414 64       1086     
 934.53  167     4850     1.39632    1.39707    0.000755246 63       1088     
 937.38  169     4900     1.39632    1.39707    0.00075513  63       1091     
 941.23  171     4955     1.39632    1.39707    0.000754944 63       1099     
 945.67  173     5013     1.39632    1.39707    0.000754817 66       1108     
 948.97  174     5050     1.39632    1.39707    0.000754749 62       1112     
 953.57  176     5101     1.39632    1.39707    0.000754548 60       1119     
 959.43  178     5155     1.39632    1.39707    0.000754397 64       1126     
 964.26  180     5211     1.39632    1.39707    0.000753989 69       1134     
 967.43  181     5250     1.39632    1.39707    0.000753942 67       1139     
 971.56  183     5300     1.39632    1.39707    0.000753702 66       1143     
 977.18  185     5355     1.39632    1.39707    0.000753488 67       1150     
 982.01  187     5400     1.39632    1.39707    0.000753118 65       1156     
 985.35  188     5450     1.39632    1.39707    0.000752997 70       1159     
 990.04  190     5500     1.39632    1.39707    0.000752865 70       1166     
 993.96  192     5555     1.39632    1.39707    0.000752794 66       1171     
 997.91  194     5609     1.39632    1.39707    0.000752636 76       1176     
 1002.37 195     5650     1.39632    1.39707    0.000752618 73       1180     
 1005.41 197     5700     1.39632    1.39707    0.000752535 77       1183     
 1009.19 199     5750     1.39632    1.39707    0.00075247  75       1187     
 1016.34 201     5807     1.39632    1.39707    0.000752438 78       1195     
 1020.34 203     5863     1.39632    1.39707    0.000752302 88       1202     
 1022.73 204     5900     1.39632    1.39707    0.000752289 87       1204     
 1025.36 206     5950     1.39632    1.39707    0.000752254 85       1207     
 1031.11 208     6005     1.39632    1.39707    0.000752168 82       1214     
 1036.26 210     6061     1.39632    1.39707    0.000752042 77       1219     
 1040.56 211     6100     1.39632    1.39707    0.000751853 79       1228     
 1043.31 213     6150     1.39632    1.39707    0.000751719 78       1231     
 1046.69 215     6200     1.39632    1.39707    0.000751414 77       1235     
 1053.01 217     6255     1.39632    1.39707    0.000751359 77       1244     
 1056.28 219     6309     1.39632    1.39707    0.000751306 78       1248     
 1061.32 221     6350     1.39632    1.39707    0.00075127  73       1253     
 1064.32 222     6400     1.39632    1.39707    0.000751201 73       1257     
 1067.35 224     6450     1.39632    1.39707    0.000751041 76       1260     
 1073.41 226     6503     1.39632    1.39707    0.000750972 79       1266     
 1077.81 228     6557     1.39632    1.39707    0.000750795 75       1275     
 1085.68 229     6600     1.39632    1.39707    0.000750757 79       1285     
 1088.29 231     6650     1.39632    1.39707    0.000750591 85       1291     
 1094.64 233     6700     1.39632    1.39707    0.000750516 84       1298     
 1100.04 235     6751     1.39632    1.39707    0.000750447 80       1304     
 1104.05 237     6807     1.39632    1.39707    0.000750386 79       1307     
 1106.85 239     6859     1.39632    1.39707    0.000750348 81       1311     
 1109.29 241     6911     1.39632    1.39707    0.000750321 88       1313     
 1112.24 242     6950     1.39632    1.39707    0.000750274 83       1317     
 1115.92 244     7000     1.39632    1.39707    0.000750163 77       1321     
 1121.38 246     7050     1.39632    1.39707    0.000750117 83       1328     
 1126.19 248     7105     1.39632    1.39707    0.000749798 80       1332     
 1129.73 250     7157     1.39632    1.39707    0.00074971  79       1335     
 1134.72 252     7211     1.39632    1.39707    0.000749622 74       1339     
 1139.18 253     7250     1.39632    1.39707    0.000749605 78       1343     
 1143.53 255     7300     1.39632    1.39707    0.000749563 80       1347     
 1147.89 257     7350     1.39632    1.39707    0.000749343 86       1352     
 1152.09 259     7403     1.39632    1.39707    0.000747718 73       1356     
 1155.73 261     7455     1.39632    1.39707    0.000747655 74       1359     
 1157.98 263     7511     1.39632    1.39707    0.000747545 71       1361     
 1161.1  264     7550     1.39632    1.39707    0.000747476 73       1364     
 1164.31 266     7600     1.39632    1.39707    0.000747426 78       1367     
 1167.94 268     7650     1.39632    1.39707    0.000747321 79       1372     
 1171.23 270     7700     1.39632    1.39707    0.000747259 89       1379     
 1176.97 272     7755     1.39632    1.39707    0.000747041 85       1387     
 1181.75 274     7811     1.39632    1.39707    0.000746994 78       1392     
 1185.34 275     7850     1.39632    1.39707    0.000746965 73       1395     
 1187.16 277     7900     1.39632    1.39707    0.000746928 74       1397     
 1190.63 279     7950     1.39632    1.39707    0.000746868 76       1400     
 1195.19 281     8001     1.39632    1.39707    0.00074675  75       1404     
 1199.26 283     8057     1.39632    1.39707    0.000746663 78       1408     
 1203.15 285     8113     1.39632    1.39707    0.000746627 86       1412     
 1206.01 286     8150     1.39632    1.39707    0.000746601 80       1414     
 1211.3  288     8200     1.39632    1.39707    0.000746522 80       1420     
 1215.09 290     8250     1.39632    1.39707    0.000746486 75       1424     
 1219.07 292     8303     1.39632    1.39707    0.000746354 76       1428     
 1222.45 294     8355     1.39632    1.39707    0.000746308 85       1434     
 1224.79 296     8407     1.39632    1.39707    0.000746266 83       1436     
 1228.41 298     8459     1.39632    1.39707    0.000746201 82       1439     
 1232.73 299     8500     1.39632    1.39707    0.000746179 79       1443     
 1234.65 301     8550     1.39632    1.39707    0.000746142 80       1444     
 1236.38 303     8600     1.39632    1.39707    0.000746107 87       1446     
 1239.63 305     8650     1.39632    1.39707    0.000746063 88       1451     
 1244.45 307     8700     1.39632    1.39707    0.00074603  89       1457     
 1247.06 309     8753     1.39632    1.39707    0.000745963 87       1460     
 1251.67 311     8807     1.39632    1.39707    0.000745839 90       1466     
 1256.11 313     8861     1.39632    1.39707    0.000745753 86       1471     
 1263.19 314     8900     1.39632    1.39707    0.000745462 83       1480     
 1268.44 316     8950     1.39632    1.39707    0.000745244 87       1486     
 1275.25 318     9000     1.39632    1.39707    0.000745166 82       1492     
 1279.22 320     9050     1.39632    1.39707    0.000745132 82       1496     
 1284.45 322     9100     1.39632    1.39707    0.000745101 82       1502     
 1297.93 324     9153     1.39632    1.39706    0.000740186 77       1513     
 1302.84 326     9205     1.39632    1.39706    0.000739978 71       1522     
 1309.09 328     9259     1.39632    1.39706    0.000739876 71       1531     
 1311.36 330     9311     1.39632    1.39706    0.000739785 71       1533     
 1313.19 331     9350     1.39632    1.39706    0.000739709 75       1534     
 1317.2  333     9400     1.39632    1.39706    0.000739648 77       1538     
 1322.25 335     9450     1.39632    1.39706    0.000739595 74       1543     
 1326.4  337     9501     1.39632    1.39706    0.000739506 79       1546     
