
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e57339572a.pomdpx
  loading time : 8.19s 

SARSOP initializing ...
  initialization time : 263.71s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 263.71  0       0        1.48314    2.03745    0.554309    120      1        
 264.81  3       57       1.88927    1.97491    0.0856427   89       30       
 265.96  6       100      1.91949    1.97461    0.0551155   110      52       
 267.59  8       150      1.93688    1.97411    0.0372315   114      76       
 269.36  11      203      1.94807    1.97407    0.0259997   101      94       
 271.42  13      250      1.95148    1.97394    0.0224552   87       119      
 274.05  16      305      1.9561     1.97392    0.0178189   76       142      
 278.34  18      350      1.95807    1.97381    0.0157475   77       166      
 282.45  21      409      1.95989    1.97377    0.0138864   87       188      
 285.96  24      450      1.96026    1.97372    0.0134605   84       206      
 291.6   26      505      1.96148    1.97371    0.012233    57       229      
 295.58  28      550      1.96153    1.97367    0.0121379   80       256      
 301.16  30      607      1.96235    1.9736     0.011251    85       275      
 308.95  32      653      1.96253    1.97357    0.0110407   84       298      
 318.04  34      700      1.96268    1.97356    0.0108822   69       320      
 325.24  36      750      1.96273    1.97352    0.0107861   71       340      
 336.17  38      800      1.96283    1.97351    0.010684    73       362      
 347.52  41      857      1.9632     1.97346    0.0102623   78       386      
 360.31  43      905      1.9633     1.97343    0.0101289   77       409      
 370.89  45      953      1.96348    1.97343    0.00995206  84       429      
 379.62  47      1001     1.96353    1.9734     0.0098739   88       451      
 395.96  49      1050     1.96355    1.97339    0.00983271  89       476      
 416.39  51      1100     1.96365    1.97336    0.00971137  99       502      
 434.78  53      1150     1.96367    1.97335    0.00967482  121      525      
 456.21  55      1200     1.96382    1.97335    0.00952431  108      550      
 480.51  57      1250     1.96383    1.97333    0.00950012  123      575      
 507.76  60      1311     1.96387    1.97329    0.00941605  130      600      
 537.3   62      1359     1.9639     1.97327    0.00936227  123      624      
 559.56  64      1407     1.96399    1.97325    0.00925361  116      643      
 588.72  66      1455     1.96403    1.97323    0.00920105  113      666      
 611.04  68      1505     1.96407    1.97323    0.00916144  120      684      
 633.15  70      1555     1.96412    1.97322    0.00910841  123      702      
 652.99  72      1611     1.96415    1.97321    0.00906638  119      727      
 672.28  74      1659     1.96419    1.97321    0.00901559  131      741      
 704     76      1707     1.9642     1.9732     0.00900457  136      763      
 737.65  78      1755     1.9642     1.9732     0.00899431  137      785      
 775.56  80      1805     1.96422    1.97319    0.0089718   136      809      
 804.49  82      1853     1.96424    1.97318    0.0089424   144      828      
 822.89  84      1903     1.96426    1.97318    0.0089213   139      840      
 849.32  86      1951     1.96428    1.97318    0.00889762  142      857      
 887.46  88      2000     1.9643     1.97316    0.00885543  145      880      
 927.07  90      2050     1.9643     1.97316    0.00885223  157      902      
 961.34  92      2100     1.96431    1.97315    0.00884791  180      921      
