
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e574a5ae98.pomdpx
  loading time : 8.21s 

SARSOP initializing ...
  initialization time : 352.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 352     0       0        2.05229    2.96705    0.914752    120      1        
 352.53  3       50       2.59505    2.75079    0.155745    83       27       
 353.25  6       100      2.68824    2.75078    0.0625468   114      46       
 354.62  9       159      2.71705    2.75076    0.0337146   166      71       
 356.06  11      200      2.72824    2.75074    0.0225012   203      91       
 359.09  13      250      2.73284    2.75071    0.0178742   185      120      
 361.24  16      305      2.73811    2.7507     0.0125894   84       135      
 363.71  18      353      2.74061    2.75069    0.0100783   74       154      
 367.16  20      401      2.74175    2.75067    0.00891661  61       176      
 370.75  22      450      2.74288    2.75066    0.00777713  37       198      
 374.35  24      500      2.74398    2.75064    0.00666194  40       219      
 379.51  27      550      2.74454    2.75062    0.00607604  35       244      
 384.48  29      611      2.74496    2.75058    0.0056219   33       265      
 391.66  31      661      2.74512    2.75056    0.00544119  32       289      
 398.75  33      709      2.74533    2.75054    0.00520752  36       312      
 406.31  35      757      2.74551    2.75052    0.00501198  39       333      
 414.65  37      807      2.74565    2.75052    0.00486864  29       354      
 422.9   39      855      2.74577    2.75051    0.00474007  36       371      
 432.25  41      903      2.74582    2.7505     0.00468375  37       391      
 441.46  43      951      2.7459     2.7505     0.00460057  39       408      
 452.66  45      1000     2.74593    2.75049    0.0045632   37       429      
 467.77  47      1050     2.74602    2.75047    0.00444794  44       453      
 484     49      1100     2.74603    2.75046    0.00442842  43       476      
 498.58  52      1159     2.74609    2.75045    0.00436584  36       497      
 512.94  54      1203     2.74611    2.75045    0.00433501  36       517      
 527.59  56      1250     2.74618    2.75043    0.00425143  35       537      
 545.7   58      1300     2.74622    2.75042    0.0042078   39       559      
 565.21  61      1350     2.74624    2.75042    0.00418186  34       582      
 583.08  63      1405     2.74626    2.75042    0.00415555  45       601      
 601.4   65      1450     2.74634    2.75041    0.00407233  42       620      
 620.53  68      1509     2.74671    2.7504     0.00369132  46       640      
 642.34  70      1561     2.74672    2.7504     0.00367677  45       663      
 656.49  72      1609     2.74673    2.75039    0.00366789  44       678      
 674.3   74      1657     2.74673    2.75039    0.00365915  47       696      
 692.56  76      1707     2.74674    2.75039    0.00365693  44       714      
 711.25  78      1755     2.74674    2.75039    0.00365231  51       733      
 729.72  80      1803     2.74674    2.75039    0.00364852  46       749      
 752.84  82      1851     2.74676    2.75039    0.0036343   43       768      
 771.11  84      1900     2.74678    2.75038    0.00360643  46       783      
 790.02  86      1950     2.74678    2.75038    0.00360457  49       800      
 819.34  88      2000     2.74678    2.75038    0.00360103  48       823      
 846.04  91      2059     2.74679    2.75038    0.00358804  45       843      
 871.48  93      2107     2.74679    2.75037    0.00357941  47       861      
 899.75  95      2153     2.7468     2.75037    0.00357448  50       881      
 926.54  97      2201     2.7468     2.75037    0.00357203  55       900      
 947.03  99      2250     2.7468     2.75037    0.00357023  52       914      
 974.78  101     2300     2.74681    2.75037    0.00355937  48       935      
 998.99  104     2361     2.74687    2.75035    0.00348146  50       952      
 1032.79 106     2409     2.74687    2.75035    0.00347533  54       972      
 1069.08 108     2455     2.74688    2.75034    0.00345991  59       993      
 1102.89 110     2503     2.74688    2.75034    0.00345549  60       1013     
 1135.56 112     2551     2.74688    2.75033    0.00345003  62       1031     
 1172.92 114     2600     2.74688    2.75033    0.00344624  62       1052     
 1220.22 116     2650     2.74689    2.75033    0.00343957  71       1077     
 1264.19 119     2709     2.74689    2.75032    0.00343043  65       1099     
 1293.15 121     2753     2.74689    2.75032    0.00342764  56       1113     
 1334.64 123     2800     2.74689    2.75031    0.00341782  57       1133     
 1379.34 125     2850     2.7469     2.75031    0.00341404  60       1154     
 1421.51 128     2900     2.7469     2.75031    0.00341252  61       1175     
 1457.06 130     2955     2.7469     2.75031    0.00340816  74       1190     
 1500.41 132     3000     2.7469     2.7503     0.00340235  69       1208     
 1556.65 135     3050     2.7469     2.7503     0.00339911  72       1232     
 1596.92 137     3105     2.7469     2.7503     0.0033944   66       1248     
 1644.14 139     3151     2.7469     2.7503     0.003394    74       1267     
 1687.85 141     3200     2.7469     2.7503     0.00339342  80       1284     
 1742.94 144     3261     2.7469     2.7503     0.00339248  71       1306     
 1780.56 146     3303     2.74691    2.75029    0.0033854   72       1322     
 1834.94 148     3350     2.74691    2.75029    0.00338065  69       1343     
 1895.22 151     3400     2.74691    2.75029    0.00337754  66       1365     
 1940.56 153     3455     2.74691    2.75029    0.00337493  69       1381     
 1989.93 155     3500     2.74692    2.75028    0.00336404  82       1398     
 2051.42 158     3559     2.74692    2.75028    0.00336257  72       1419     
 2091.47 160     3603     2.74692    2.75028    0.0033614   70       1433     
 2156.73 162     3650     2.74692    2.75028    0.00335886  70       1453     
 2216.65 165     3709     2.74692    2.75028    0.00335798  71       1471     
 2271.07 167     3751     2.74692    2.75027    0.00335069  75       1487     
 2338.87 169     3800     2.74692    2.75027    0.00334919  74       1508     
 2386.57 172     3853     2.74692    2.75027    0.00334741  72       1523     
 2448.92 174     3900     2.74692    2.75027    0.00334651  79       1541     
 2522.97 177     3959     2.74692    2.75027    0.00334511  72       1563     
 2574.35 179     4000     2.74694    2.75026    0.00332857  69       1578     
 2644.81 181     4050     2.74694    2.75026    0.00332696  69       1600     
 2705.02 184     4105     2.74694    2.75026    0.00332474  67       1617     
 2773.68 186     4150     2.74694    2.75026    0.00332     72       1636     
 2839.35 189     4205     2.74694    2.75026    0.00331565  82       1654     
 2890.43 191     4250     2.74696    2.75024    0.00328557  85       1668     
 2955.87 194     4303     2.74696    2.75024    0.00328275  87       1685     
 3018.36 196     4350     2.74696    2.75024    0.00328166  82       1702     
 3071.75 199     4400     2.74696    2.75024    0.00328089  84       1716     
 3151.32 202     4453     2.74696    2.75024    0.00327854  87       1737     
 3236.3  205     4500     2.74696    2.75024    0.00327682  94       1760     
 3294.63 207     4550     2.74696    2.75023    0.00327512  93       1776     
 3372.07 210     4601     2.74696    2.75022    0.00325788  100      1795     
 3442.02 212     4650     2.74696    2.75022    0.00325732  94       1813     
 3514.33 215     4703     2.74696    2.75022    0.00325512  92       1831     
 3602.5  217     4750     2.747      2.7502     0.00319289  98       1853     
 3657.34 220     4803     2.747      2.7502     0.00319219  95       1867     
 3740.37 222     4850     2.747      2.75019    0.00319105  86       1887     
 3796.32 225     4900     2.747      2.75019    0.003187    88       1900     
 3864.89 228     4955     2.747      2.75019    0.00318658  94       1916     
 3917.7  230     5000     2.747      2.75019    0.00318647  91       1928     
 4001.54 233     5057     2.74701    2.75019    0.00318219  92       1947     
 4054.62 235     5100     2.74701    2.75019    0.00318186  85       1958     
 4146.2  238     5159     2.74701    2.75019    0.00318095  84       1978     
 4208.82 240     5200     2.74701    2.75019    0.00318085  89       1992     
 4300.67 243     5251     2.74701    2.75019    0.00317867  79       2011     
 4379.39 246     5307     2.74701    2.75018    0.00317039  83       2027     
 4452.64 248     5350     2.74701    2.75018    0.00316821  88       2041     
 4548.6  251     5401     2.74701    2.75018    0.0031635   91       2061     
 4656.66 254     5457     2.74701    2.75017    0.00316012  94       2082     
 4748.69 256     5500     2.74701    2.75017    0.00315892  95       2100     
 4852.43 259     5553     2.74701    2.75017    0.00315551  97       2119     
 4969.36 261     5600     2.74702    2.75015    0.00313872  99       2140     
 5062.58 264     5650     2.74703    2.75013    0.00310831  102      2157     
 5174.87 267     5707     2.74703    2.75013    0.00310573  108      2177     
 5263.46 269     5750     2.74703    2.75013    0.0031049   112      2191     
 5364.44 272     5803     2.74703    2.75013    0.00310426  112      2207     
 5481.29 275     5850     2.74703    2.75013    0.00310024  110      2226     
 5569.2  277     5900     2.74703    2.75013    0.00309986  107      2241     
 5667.68 280     5955     2.74703    2.75013    0.00309906  107      2257     
 5747.59 282     6000     2.74703    2.75013    0.00309771  111      2271     
 5861.64 285     6050     2.74703    2.75012    0.00309658  117      2291     
 5976.05 288     6105     2.74703    2.75012    0.00309479  114      2311     
 6100.09 290     6150     2.74703    2.75012    0.003091    111      2332     
 6196.2  293     6203     2.74705    2.7501     0.00305377  117      2348     
