
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e5a74b019.pomdpx
  loading time : 8.34s 

SARSOP initializing ...
  initialization time : 1185.89s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1185.89 0       0        1.7204     2.67147    0.95107     120      1        
 1188.02 1       67       1.91369    2.09371    0.180019    37       14       
 1188.14 1       100      1.91369    2.09371    0.180019    46       14       
 1188.69 2       150      1.93544    2.09361    0.158163    42       16       
 1189.43 3       227      1.95598    2.09357    0.13759     35       18       
 1189.52 3       250      1.95598    2.09357    0.13759     48       18       
 1190.04 4       307      1.96727    2.09357    0.126301    42       19       
 1191.08 5       387      1.97431    2.09353    0.119217    53       23       
 1191.14 5       400      1.97431    2.09353    0.119217    49       23       
 1191.92 6       467      1.98553    2.09352    0.10799     39       25       
 1192.06 6       500      1.98553    2.09352    0.10799     52       25       
 1192.74 7       550      1.993      2.0935     0.100492    44       27       
 1193.6  8       629      2.00425    2.09349    0.0892449   14       29       
 1193.67 8       650      2.00425    2.09349    0.0892449   16       29       
 1194.35 9       711      2.01408    2.09349    0.079408    13       31       
 1194.66 9       750      2.01408    2.09349    0.079408    9        32       
 1195.09 10      800      2.02229    2.09349    0.0712049   12       33       
 1196.06 11      875      2.0256     2.09349    0.0678868   12       36       
 1196.13 11      900      2.0256     2.09349    0.0678868   11       36       
 1196.93 12      957      2.03095    2.09349    0.0625425   11       38       
 1197.22 13      1039     2.0335     2.09349    0.0599879   11       38       
 1197.27 13      1050     2.0335     2.09349    0.0599879   11       38       
 1197.8  14      1121     2.03559    2.09349    0.0578956   10       39       
 1197.89 14      1150     2.03559    2.09349    0.0578956   11       39       
 1198.76 15      1203     2.03931    2.09349    0.0541742   9        41       
 1199.77 16      1285     2.04156    2.09347    0.0519139   11       43       
 1199.83 16      1300     2.04156    2.09347    0.0519139   10       43       
 1200.81 17      1367     2.04455    2.09347    0.0489259   11       45       
 1200.91 17      1400     2.04455    2.09347    0.0489259   10       45       
 1201.49 18      1450     2.04625    2.09347    0.0472223   9        46       
 1203.13 19      1531     2.0482     2.09346    0.0452566   10       49       
 1203.19 19      1550     2.0482     2.09346    0.0452566   9        49       
 1203.96 20      1613     2.04983    2.09346    0.0436307   11       50       
 1204.08 20      1650     2.04983    2.09346    0.0436307   11       50       
