
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e61e86311d.pomdpx
  loading time : 8.22s 

SARSOP initializing ...
  initialization time : 463.14s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 463.14  0       0        1.44953    2.03717    0.587635    120      1        
 463.49  2       50       1.8492     1.98015    0.130955    51       29       
 463.82  4       100      1.90169    1.98015    0.0784647   64       45       
 464.07  6       150      1.93757    1.98015    0.0425744   63       57       
 464.51  8       200      1.95166    1.98013    0.028467    78       71       
 465.01  11      261      1.96425    1.98012    0.0158771   70       83       
 465.55  13      309      1.96919    1.98012    0.0109333   108      94       
 466.49  15      357      1.97214    1.9801     0.00796404  149      110      
 468.66  17      407      1.97355    1.98008    0.00652949  187      135      
 470.87  19      457      1.97497    1.98006    0.0050907   173      160      
 473.15  21      507      1.97591    1.98006    0.0041547   136      179      
 476.44  23      557      1.9764     1.98003    0.00363841  145      203      
 478.24  25      609      1.97688    1.98003    0.00314755  136      214      
 482.05  27      650      1.97699    1.98002    0.00303498  130      238      
 486.67  28      700      1.97721    1.98       0.00279083  84       261      
 490.04  30      750      1.97744    1.97999    0.00255487  61       281      
 494.89  32      800      1.97756    1.97999    0.00243417  43       304      
 499.93  34      850      1.97766    1.97997    0.00231614  42       325      
 503.3   36      900      1.97789    1.97997    0.00207776  31       339      
 509.58  38      955      1.97793    1.97996    0.00203503  30       364      
 516.67  40      1011     1.97798    1.97996    0.00197604  31       389      
 521.42  41      1050     1.978      1.97995    0.00195774  40       405      
 526.45  43      1100     1.97812    1.97995    0.00183002  31       420      
 532.85  45      1150     1.97814    1.97995    0.00180386  32       436      
 541.47  47      1205     1.97816    1.97994    0.00178451  36       457      
 549.56  49      1261     1.97821    1.97994    0.00172875  30       473      
 558.96  50      1300     1.97822    1.97994    0.00171963  31       493      
 568.58  52      1350     1.97824    1.97994    0.00169891  34       513      
 579.62  54      1401     1.97827    1.97993    0.00165267  38       535      
 591.94  56      1461     1.97828    1.97992    0.0016377   34       558      
 600.31  57      1500     1.97832    1.97992    0.00160273  33       573      
 608.42  59      1550     1.97833    1.97992    0.00159487  36       588      
 617.41  61      1605     1.97835    1.97991    0.00155994  40       605      
 628.13  63      1663     1.97836    1.97991    0.00155446  46       624      
 638.49  64      1700     1.97836    1.97991    0.00155062  45       641      
 644.81  66      1750     1.97838    1.97991    0.00152736  36       651      
 656.79  68      1807     1.97838    1.97991    0.00152474  41       671      
 672.49  70      1850     1.97839    1.9799     0.00150883  49       695      
 682.28  71      1900     1.9784     1.9799     0.00150678  46       709      
 695.14  73      1951     1.97841    1.9799     0.00148408  37       727      
 705.52  75      2009     1.97843    1.9799     0.00146326  38       743      
 720.69  76      2050     1.97844    1.9799     0.00146159  44       766      
