
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e62498218f.pomdpx
  loading time : 8.04s 

SARSOP initializing ...
  initialization time : 1595.71s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1595.71 0       0        1.54837    1.8184     0.270034    120      1        
 1598.52 1       85       1.58298    1.61941    0.0364257   21       9        
 1598.59 1       100      1.58298    1.61941    0.0364257   25       9        
 1598.94 2       171      1.58766    1.61941    0.0317489   22       9        
 1599.07 2       200      1.58766    1.61941    0.0317489   29       9        
 1599.96 3       259      1.59371    1.61941    0.0256968   21       12       
 1600.13 3       300      1.59371    1.61941    0.0256968   29       12       
 1600.58 4       350      1.59697    1.61941    0.0224417   25       13       
 1601.36 5       435      1.59928    1.6194     0.0201204   24       15       
 1601.42 5       450      1.59928    1.6194     0.0201204   28       15       
 1601.76 6       523      1.60076    1.6194     0.0186411   22       15       
 1601.88 6       550      1.60076    1.6194     0.0186411   27       15       
 1602.41 7       613      1.60333    1.6194     0.01607     22       16       
 1602.56 7       650      1.60333    1.6194     0.01607     26       16       
 1603.54 8       701      1.60492    1.6194     0.0144836   8        19       
 1603.91 9       789      1.60602    1.6194     0.0133807   8        19       
 1603.96 9       800      1.60602    1.6194     0.0133807   7        19       
 1605.22 10      879      1.60739    1.6194     0.012003    7        22       
 1605.3  10      900      1.60739    1.6194     0.012003    7        22       
 1605.68 11      969      1.60823    1.61936    0.0111331   7        23       
 1605.79 11      1000     1.60823    1.61936    0.0111331   7        23       
 1606.84 12      1059     1.6097     1.61936    0.00966381  7        25       
 1606.97 12      1100     1.6097     1.61936    0.00966381  7        25       
 1607.17 13      1150     1.61035    1.61936    0.0090065   7        25       
 1608.42 14      1235     1.61104    1.61934    0.0082983   8        28       
 1608.47 14      1250     1.61104    1.61934    0.0082983   8        28       
 1608.94 15      1325     1.61159    1.61932    0.00773088  8        29       
 1609.04 15      1350     1.61159    1.61932    0.00773088  9        29       
 1609.86 16      1415     1.61204    1.6193     0.00726691  9        30       
 1609.98 16      1450     1.61204    1.6193     0.00726691  9        30       
 1611.86 17      1505     1.61238    1.61929    0.00691742  9        33       
 1612.45 18      1550     1.61238    1.61929    0.00691742  9        34       
 1612.69 18      1600     1.61303    1.61929    0.00626727  9        34       
 1613.02 19      1681     1.61339    1.61929    0.00590779  9        34       
