
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e63cf48540.pomdpx
  loading time : 8.44s 

SARSOP initializing ...
  initialization time : 1550.53s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1550.53 0       0        1.45616    1.86933    0.413173    120      1        
 1567.99 1       79       1.49859    1.57456    0.0759689   43       19       
 1568.13 1       100      1.49859    1.57456    0.0759689   59       19       
 1574.51 2       165      1.50693    1.57455    0.0676187   17       24       
 1574.69 2       200      1.50693    1.57455    0.0676187   15       24       
 1575.53 3       251      1.51345    1.57455    0.0611008   12       25       
 1582.45 4       339      1.52121    1.57455    0.0533344   12       30       
 1582.52 4       350      1.52121    1.57455    0.0533344   12       30       
 1587.96 5       425      1.5257     1.57455    0.0488438   10       33       
 1588.12 5       450      1.5257     1.57455    0.0488438   13       33       
 1590.18 6       513      1.53104    1.57454    0.0435026   9        35       
 1590.38 6       550      1.53104    1.57454    0.0435026   11       35       
 1595.77 7       600      1.53403    1.57454    0.0405135   10       37       
 1604.88 8       687      1.53787    1.57454    0.0366648   9        41       
 1604.97 8       700      1.53787    1.57454    0.0366648   11       41       
 1609.85 9       775      1.54121    1.57453    0.0333242   12       44       
 1610    9       800      1.54121    1.57453    0.0333242   10       44       
 1616.39 10      863      1.54405    1.57453    0.0304767   11       47       
 1616.58 10      900      1.54405    1.57453    0.0304767   13       47       
 1620    11      951      1.54586    1.57453    0.0286736   11       49       
 1627.8  12      1039     1.54805    1.57453    0.0264767   11       52       
 1627.89 12      1050     1.54805    1.57453    0.0264767   12       52       
 1636.36 13      1127     1.54977    1.57453    0.0247566   11       55       
 1636.51 13      1150     1.54977    1.57453    0.0247566   12       55       
 1647.16 14      1215     1.55124    1.57453    0.0232885   10       58       
 1647.38 14      1250     1.55124    1.57453    0.0232885   12       58       
 1662.43 15      1303     1.55228    1.57452    0.0222408   12       62       
 1674.3  16      1391     1.5535     1.57452    0.021023    10       65       
 1674.4  16      1400     1.5535     1.57452    0.021023    11       65       
 1681    17      1479     1.55452    1.57452    0.0199987   10       67       
 1681.17 17      1500     1.55452    1.57452    0.0199987   12       67       
 1691.27 18      1567     1.55555    1.57452    0.0189625   10       70       
 1691.47 18      1600     1.55555    1.57452    0.0189625   11       70       
 1703.61 19      1655     1.55647    1.57452    0.0180423   11       73       
 1723.21 20      1743     1.55737    1.57451    0.0171458   13       77       
 1723.29 20      1750     1.55737    1.57451    0.0171458   13       77       
 1735.98 21      1831     1.55799    1.57451    0.0165255   13       80       
 1736.14 21      1850     1.55799    1.57451    0.0165255   13       80       
 1750.74 22      1919     1.55848    1.57451    0.0160363   12       83       
 1750.98 22      1950     1.55848    1.57451    0.0160363   13       83       
 1767.11 23      2007     1.55881    1.57451    0.0157045   14       86       
 1785.05 23      2050     1.55881    1.57451    0.0157045   16       89       
 1785.62 24      2100     1.55897    1.57451    0.0155383   15       89       
 1806.58 25      2183     1.55935    1.57451    0.0151573   16       92       
 1806.75 25      2200     1.55935    1.57451    0.0151573   16       92       
 1822.68 26      2271     1.55976    1.57451    0.0147466   14       95       
 1822.9  26      2300     1.55976    1.57451    0.0147466   14       95       
 1833.57 27      2359     1.56009    1.57451    0.0144182   14       97       
 1841.9  27      2400     1.56009    1.57451    0.0144182   18       98       
 1852.92 28      2450     1.56048    1.5745     0.0140196   11       100      
 1864.95 29      2535     1.56094    1.5745     0.0135647   13       102      
 1865.1  29      2550     1.56094    1.5745     0.0135647   14       102      
 1874.18 30      2623     1.56135    1.5745     0.0131498   13       104      
 1874.4  30      2650     1.56135    1.5745     0.0131498   15       104      
 1884.62 31      2711     1.56173    1.5745     0.0127695   13       106      
 1884.9  31      2750     1.56173    1.5745     0.0127695   13       106      
 1903.63 32      2800     1.56206    1.5745     0.0124415   14       109      
 1938.4  33      2887     1.56225    1.5745     0.0122452   18       113      
 1938.57 33      2900     1.56225    1.5745     0.0122452   17       113      
 1950.13 34      2975     1.56247    1.5745     0.0120251   15       115      
 1950.37 34      3000     1.56247    1.5745     0.0120251   15       115      
 1963.84 35      3063     1.56266    1.5745     0.0118389   15       117      
 1964.17 35      3100     1.56266    1.5745     0.0118389   16       117      
 1996.59 36      3151     1.56277    1.5745     0.0117235   18       121      
 2015.85 37      3239     1.56292    1.57449    0.0115762   18       124      
 2016.05 37      3250     1.56292    1.57449    0.0115762   18       124      
 2034.94 38      3327     1.56305    1.57449    0.0114406   21       126      
 2035.2  38      3350     1.56305    1.57449    0.0114406   21       126      
 2059.95 39      3415     1.56317    1.57449    0.0113244   20       129      
 2060.33 39      3450     1.56317    1.57449    0.0113244   19       129      
 2084.79 40      3503     1.56333    1.57449    0.0111583   16       132      
 2097.16 41      3591     1.56351    1.57449    0.010985    14       134      
 2097.29 41      3600     1.56351    1.57449    0.010985    16       134      
 2125.67 42      3679     1.56364    1.57449    0.0108513   14       137      
 2125.88 42      3700     1.56364    1.57449    0.0108513   14       137      
 2138.95 43      3767     1.56374    1.57449    0.0107465   15       139      
 2139.27 43      3800     1.56374    1.57449    0.0107465   14       139      
 2181.58 44      3855     1.56384    1.57448    0.0106496   16       143      
 2215.52 45      3943     1.56396    1.57448    0.010525    19       146      
 2215.71 45      3950     1.56396    1.57448    0.010525    19       146      
 2230.05 46      4031     1.56413    1.57448    0.0103561   15       148      
 2230.25 46      4050     1.56413    1.57448    0.0103561   18       148      
 2243.96 47      4117     1.56427    1.57448    0.0102147   16       150      
 2244.28 47      4150     1.56427    1.57448    0.0102147   17       150      
 2292.32 48      4205     1.56437    1.57448    0.0101083   20       154      
 2312.92 49      4291     1.56449    1.57448    0.00999248  18       156      
 2313.08 49      4300     1.56449    1.57448    0.00999248  20       156      
 2327.51 50      4377     1.56458    1.57448    0.00989247  20       158      
 2327.78 50      4400     1.56458    1.57448    0.00989247  19       158      
 2336.82 51      4463     1.56467    1.57448    0.00980349  19       159      
 2337.2  51      4500     1.56467    1.57448    0.00980349  19       159      
 2367.97 52      4551     1.56475    1.57447    0.00972143  22       162      
 2392.55 53      4637     1.56482    1.57447    0.00965624  19       164      
 2392.75 53      4650     1.56482    1.57447    0.00965624  19       164      
 2427.94 54      4725     1.56489    1.57447    0.00958737  19       167      
 2428.24 54      4750     1.56489    1.57447    0.00958737  19       167      
 2437.84 55      4811     1.56493    1.57447    0.00953764  19       168      
 2438.26 55      4850     1.56493    1.57447    0.00953764  20       168      
 2503.13 56      4900     1.56499    1.57447    0.00948136  19       172      
 2562.92 57      4987     1.56505    1.57447    0.00942518  20       176      
 2563.16 57      5000     1.56505    1.57447    0.00942518  20       176      
 2611.1  58      5075     1.56512    1.57447    0.00935399  18       179      
 2611.44 58      5100     1.56512    1.57447    0.00935399  19       179      
 2622.27 59      5161     1.56517    1.57447    0.00930173  19       180      
 2622.74 59      5200     1.56517    1.57447    0.00930173  20       180      
 2675.08 60      5250     1.56522    1.57447    0.00924513  18       183      
