
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e64a1ff5bd.pomdpx
  loading time : 8.06s 

SARSOP initializing ...
  initialization time : 1819.15s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1819.15 0       0        1.91411    3.02526    1.11115     120      1        
 1823.21 1       67       2.0989     2.32594    0.227041    36       18       
 1824.48 1       100      2.0989     2.32594    0.227041    37       24       
 1827.27 2       150      2.12959    2.32594    0.196349    46       34       
 1830.98 3       213      2.17113    2.32592    0.154794    15       41       
 1832.44 4       250      2.17113    2.32592    0.154794    13       44       
 1832.68 4       300      2.19486    2.32591    0.131053    8        44       
 1836.85 5       361      2.21968    2.32591    0.106226    11       52       
 1838.28 6       435      2.22992    2.32589    0.0959767   9        54       
 1840.71 6       450      2.22992    2.32589    0.0959767   6        58       
 1849.17 7       509      2.24514    2.32589    0.0807567   10       68       
 1852.03 8       585      2.25665    2.32589    0.0692323   6        71       
 1862.4  8       600      2.25665    2.32589    0.0692323   8        80       
 1876.03 9       659      2.26762    2.32588    0.0582634   10       89       
 1880.01 10      735      2.27503    2.32588    0.0508509   7        91       
 1891.76 10      750      2.27503    2.32588    0.0508509   9        98       
 1911.74 11      811      2.28252    2.32588    0.0433631   9        107      
 1917.02 12      887      2.28753    2.32588    0.0383428   8        109      
 1934.11 12      900      2.28753    2.32588    0.0383428   11       117      
 1954.32 13      963      2.2923     2.32588    0.033581    10       125      
 1959.88 13      1000     2.2923     2.32588    0.033581    12       127      
 1966.57 14      1050     2.29485    2.32587    0.0310233   11       130      
 1987.81 15      1115     2.29772    2.32587    0.0281533   10       138      
 1987.98 15      1150     2.29772    2.32587    0.0281533   12       138      
 2008.6  16      1200     2.30012    2.32587    0.0257497   11       145      
 2063.42 17      1269     2.30319    2.32587    0.0226849   12       163      
 2063.59 17      1300     2.30319    2.32587    0.0226849   12       163      
 2076.11 18      1350     2.30473    2.32587    0.0211458   13       167      
 2123.2  19      1423     2.30702    2.32587    0.0188551   11       180      
 2123.35 19      1450     2.30702    2.32587    0.0188551   11       180      
 2129.71 20      1500     2.30835    2.32587    0.0175197   14       182      
 2164.3  21      1575     2.31019    2.32587    0.015683    13       191      
 2164.46 21      1600     2.31019    2.32587    0.015683    14       191      
 2177.6  22      1653     2.31138    2.32587    0.0144908   13       194      
 2220.48 23      1729     2.31288    2.32587    0.012991    12       206      
 2220.63 23      1750     2.31288    2.32587    0.012991    13       206      
 2221.01 24      1807     2.31384    2.32587    0.0120249   13       206      
 2242.92 25      1883     2.31466    2.32587    0.0112072   14       212      
 2257.12 25      1900     2.31466    2.32587    0.0112072   14       216      
 2300.27 26      1961     2.31552    2.32586    0.010341    13       226      
 2309.59 27      2000     2.31552    2.32586    0.010341    14       228      
 2348.95 27      2050     2.31608    2.32586    0.00978129  14       237      
 2392.91 28      2117     2.31694    2.32586    0.00892038  16       246      
 2393.11 28      2150     2.31694    2.32586    0.00892038  17       246      
 2412.91 29      2200     2.31737    2.32585    0.00848116  17       250      
 2503.86 30      2273     2.3181     2.32585    0.00775153  14       270      
 2504.04 30      2300     2.3181     2.32585    0.00775153  15       270      
 2509.12 31      2351     2.31858    2.32585    0.00727653  16       271      
 2549.97 32      2429     2.31919    2.32585    0.00666801  15       280      
 2550.14 32      2450     2.31919    2.32585    0.00666801  16       280      
 2575.99 33      2507     2.31956    2.32585    0.00629005  16       285      
 2638.45 34      2585     2.32005    2.32585    0.0058031   14       298      
 2656.34 34      2600     2.32005    2.32585    0.0058031   15       302      
 2693.77 35      2661     2.32044    2.32585    0.0054128   15       309      
 2704.47 36      2700     2.32044    2.32585    0.0054128   18       311      
 2727.96 36      2750     2.32064    2.32585    0.00520987  19       316      
 2784.53 37      2817     2.32083    2.32585    0.00501911  17       327      
 2827.06 37      2850     2.32083    2.32585    0.00501911  17       336      
 2852.48 38      2900     2.32119    2.32585    0.00466217  16       340      
 2881.17 39      2971     2.32136    2.32585    0.00449104  21       345      
 2919.18 39      3000     2.32136    2.32585    0.00449104  20       352      
 2941.3  40      3050     2.32153    2.32585    0.00431752  19       356      
 3001.89 41      3127     2.32158    2.32585    0.00427544  18       367      
 3029.82 41      3150     2.32158    2.32585    0.00427544  18       372      
 3060.75 42      3205     2.32171    2.32585    0.00414512  19       377      
 3122.26 43      3285     2.32182    2.32585    0.00402936  19       388      
 3154.09 43      3300     2.32182    2.32585    0.00402936  18       394      
 3226.39 44      3361     2.32221    2.32585    0.00364079  18       406      
 3264.28 45      3400     2.32221    2.32585    0.00364079  22       412      
 3264.77 45      3450     2.32241    2.32585    0.00344327  21       412      
 3297.68 46      3517     2.32251    2.32585    0.00334428  21       417      
 3327.65 46      3550     2.32251    2.32585    0.00334428  20       422      
 3348.73 47      3600     2.32265    2.32585    0.00319526  20       426      
 3375.41 48      3675     2.3227     2.32585    0.00314452  18       430      
 3447.41 48      3700     2.3227     2.32585    0.00314452  19       441      
 3530.47 49      3753     2.32291    2.32585    0.00293879  19       454      
 3595.61 50      3831     2.32301    2.32584    0.00283209  18       464      
 3595.83 50      3850     2.32301    2.32584    0.00283209  19       464      
 3629.58 51      3909     2.32309    2.32584    0.00274586  21       468      
 3664.29 52      3989     2.32313    2.32584    0.00271289  22       473      
 3664.49 52      4000     2.32313    2.32584    0.00271289  22       473      
 3745.76 53      4067     2.32321    2.32584    0.00263058  21       485      
 3768.04 53      4100     2.32321    2.32584    0.00263058  21       488      
 3808.07 54      4150     2.32325    2.32583    0.0025887   21       494      
 3856.09 55      4227     2.32329    2.32583    0.00253957  22       500      
 3890.75 55      4250     2.32329    2.32583    0.00253957  22       505      
 3990.64 56      4305     2.32337    2.32583    0.00245475  22       518      
 4069.22 57      4381     2.32356    2.32582    0.00226563  20       528      
 4069.46 57      4400     2.32356    2.32582    0.00226563  21       528      
 4117.18 58      4459     2.32365    2.32582    0.00217651  22       534      
 4229.65 59      4537     2.32372    2.32582    0.00210585  23       550      
 4265.38 59      4550     2.32372    2.32582    0.00210585  22       555      
 4352.78 60      4615     2.32379    2.32582    0.00202714  21       566      
 4400.92 60      4650     2.32379    2.32582    0.00202714  21       572      
 4426.25 61      4700     2.32382    2.32582    0.00200143  21       575      
 4448.59 62      4771     2.32383    2.32582    0.00199419  21       578      
 4448.92 62      4800     2.32383    2.32582    0.00199419  21       578      
 4460.05 63      4851     2.32386    2.32582    0.00195341  21       580      
 4636.24 64      4927     2.32401    2.32582    0.00180669  20       602      
 4669.65 64      4950     2.32401    2.32582    0.00180669  20       606      
 4748.66 65      5005     2.32405    2.32582    0.00176451  20       615      
 4769.94 66      5083     2.32418    2.32582    0.00164004  23       618      
 4777.25 66      5100     2.32418    2.32582    0.00164004  23       619      
 4873.05 67      5163     2.32421    2.32581    0.00160817  24       630      
 4989.61 67      5200     2.32421    2.32581    0.00160817  23       644      
 5001.19 68      5250     2.32427    2.32581    0.00154471  22       645      
 5136.75 69      5319     2.32429    2.32581    0.00152448  22       660      
 5162.99 69      5350     2.32429    2.32581    0.00152448  22       663      
 5210.07 70      5400     2.32431    2.32581    0.00150214  23       668      
 5294.2  71      5475     2.32432    2.32581    0.0014891   24       677      
 5311.52 71      5500     2.32432    2.32581    0.0014891   23       679      
 5352.05 72      5553     2.32439    2.32581    0.00141428  23       684      
 5456.24 73      5633     2.32441    2.32581    0.00139608  22       696      
 5456.59 73      5650     2.32441    2.32581    0.00139608  22       696      
 5522.54 74      5711     2.32441    2.32581    0.00139254  22       703      
 5575.91 74      5750     2.32441    2.32581    0.00139254  22       708      
 5603.62 75      5800     2.32444    2.32581    0.00137046  22       711      
 5765.12 76      5867     2.32453    2.32581    0.00127751  22       727      
 5792.89 76      5900     2.32453    2.32581    0.00127751  22       730      
 5843.59 77      5950     2.32455    2.32581    0.00125687  22       735      
 5946.87 78      6023     2.32457    2.3258     0.00122935  23       745      
 5947.25 78      6050     2.32457    2.3258     0.00122935  22       745      
 5993.88 79      6101     2.32459    2.3258     0.00121707  23       750      
 6077.69 80      6179     2.32468    2.3258     0.00112026  24       758      
 6078.07 80      6200     2.32468    2.3258     0.00112026  23       758      
 6168.67 81      6259     2.3247     2.3258     0.00110337  23       767      
 6208.52 82      6337     2.3247     2.3258     0.0010991   23       771      
 6208.89 82      6350     2.3247     2.3258     0.0010991   23       771      
 6272.68 83      6415     2.32471    2.3258     0.00109574  23       777      
 6326.83 83      6450     2.32471    2.3258     0.00109574  23       782      
 6395.85 84      6500     2.32471    2.3258     0.00109194  24       788      
 6450.39 85      6571     2.32472    2.32579    0.00106913  24       793      
 6450.88 85      6600     2.32472    2.32579    0.00106913  24       793      
 6489.71 86      6651     2.32475    2.32578    0.00103304  23       797      
 6569.65 87      6731     2.32476    2.32578    0.00102459  24       805      
 6605.22 87      6750     2.32476    2.32578    0.00102459  23       809      
 6710.34 88      6811     2.32476    2.32577    0.00100735  24       818      
 6816.7  88      6850     2.32476    2.32577    0.00100735  24       828      
 6817.38 89      6900     2.32477    2.32577    0.0010046   24       828      
 6854.51 90      6971     2.3248     2.32577    0.000971915 24       832      
 6854.98 90      7000     2.3248     2.32577    0.000971915 24       832      
 6923.43 91      7051     2.3248     2.32577    0.000966523 24       838      
 7068.56 92      7131     2.32482    2.32577    0.000952352 25       851      
 7167.08 92      7150     2.32482    2.32577    0.000952352 25       860      
 7288.23 93      7209     2.32484    2.32577    0.000930876 23       871      
 7406.41 94      7287     2.32485    2.32577    0.000921167 23       882      
 7425.2  94      7300     2.32485    2.32577    0.000921167 23       884      
 7625.43 95      7363     2.3249     2.32577    0.000861722 23       901      
 7691.44 95      7400     2.3249     2.32577    0.000861722 23       907      
 7751.14 96      7450     2.32491    2.32576    0.000852172 23       912      
 7833.09 97      7521     2.32492    2.32576    0.000844375 23       919      
 7833.51 97      7550     2.32492    2.32576    0.000844375 23       919      
 7926.11 98      7600     2.32493    2.32576    0.000837439 23       927      
 7988.91 99      7677     2.32493    2.32576    0.00083296  23       932      
 7989.35 99      7700     2.32493    2.32576    0.00083296  23       932      
 8054.91 100     7755     2.32496    2.32576    0.000803721 23       937      
 8183.64 101     7835     2.32496    2.32576    0.000799429 23       947      
 8184    101     7850     2.32496    2.32576    0.000799429 23       947      
 8318.37 102     7915     2.32497    2.32576    0.000796447 23       957      
 8318.94 102     7950     2.32497    2.32576    0.000796447 23       957      
 8358.75 103     8000     2.32497    2.32576    0.000793848 23       960      
 8418.13 104     8073     2.32498    2.32576    0.000787445 23       966      
 8418.6  104     8100     2.32498    2.32576    0.000787445 23       966      
 8467.31 105     8153     2.32498    2.32576    0.000786553 25       971      
 8507.95 106     8231     2.32501    2.32576    0.00075505  23       974      
 8508.42 106     8250     2.32501    2.32576    0.00075505  23       974      
 8547.71 107     8311     2.32501    2.32576    0.000753841 24       977      
 8635.14 107     8350     2.32501    2.32576    0.000753841 24       985      
 8635.89 108     8400     2.32501    2.32576    0.000746585 25       985      
