
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e64f09718a.pomdpx
  loading time : 8.83s 

SARSOP initializing ...
  initialization time : 1834.05s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1834.05 0       0        1.4894     1.69595    0.206558    120      1        
 1840.07 1       65       1.5084     1.51281    0.00440464  23       9        
 1840.27 1       100      1.5084     1.51281    0.00440464  25       9        
 1854.89 2       165      1.5103     1.51258    0.00227669  13       21       
 1855.09 2       200      1.5103     1.51258    0.00227669  13       21       
 1877.03 3       261      1.51079    1.51249    0.00170477  11       31       
 1877.31 3       300      1.51079    1.51249    0.00170477  11       31       
 1883.41 4       350      1.51126    1.51248    0.00121842  12       33       
 1910.35 5       437      1.51151    1.51246    0.000945106 15       41       
 1910.45 5       450      1.51151    1.51246    0.000945106 16       41       
 1926.24 6       523      1.51173    1.51244    0.000714928 14       45       
 1926.42 6       550      1.51173    1.51244    0.000714928 13       45       
 1931.01 7       600      1.5118     1.51244    0.000637144 13       46       
 1967.02 8       691      1.51187    1.51242    0.000548887 15       54       
 1967.11 8       700      1.51187    1.51242    0.000548887 14       54       
 1973.36 9       769      1.51189    1.51242    0.000528641 14       55       
 1973.6  9       800      1.51189    1.51242    0.000528641 14       55       
 2000.88 10      855      1.512      1.51241    0.000409932 14       60       
 2007.84 11      931      1.51202    1.51241    0.00038439  14       61       
 2008    11      950      1.51202    1.51241    0.00038439  15       61       
 2032.72 12      1013     1.51204    1.5124     0.000362345 15       65       
 2038.61 12      1050     1.51204    1.5124     0.000362345 16       66       
 2040.15 13      1100     1.51205    1.5124     0.000354076 15       66       
 2078.75 14      1175     1.5121     1.51239    0.000285286 15       72       
 2078.96 14      1200     1.5121     1.51239    0.000285286 15       72       
 2086.98 15      1251     1.51211    1.51238    0.000271666 15       73       
 2109.08 16      1331     1.51213    1.51238    0.000245521 15       76       
 2109.26 16      1350     1.51213    1.51238    0.000245521 15       76       
 2162.56 17      1419     1.51217    1.51237    0.000195667 17       83       
 2162.82 17      1450     1.51217    1.51237    0.000195667 17       83       
 2171.77 18      1500     1.51218    1.51236    0.000184904 17       84       
 2180.94 19      1565     1.51218    1.51236    0.000177415 17       85       
 2181.24 19      1600     1.51218    1.51236    0.000177415 17       85       
 2198.26 20      1650     1.51219    1.51235    0.000162324 17       87       
 2216.17 21      1717     1.5122     1.51235    0.000158626 18       89       
 2216.46 21      1750     1.5122     1.51235    0.000158626 17       89       
 2251.65 22      1800     1.5122     1.51235    0.000155846 19       93       
 2279.65 23      1875     1.51221    1.51235    0.000142732 18       96       
 2279.91 23      1900     1.51221    1.51235    0.000142732 18       96       
 2290.29 24      1950     1.51221    1.51234    0.000137375 18       97       
 2347.21 25      2033     1.51222    1.51234    0.00011582  19       103      
 2347.41 25      2050     1.51222    1.51234    0.00011582  19       103      
 2378.34 26      2109     1.51223    1.51234    0.000111406 20       106      
 2448.23 26      2150     1.51223    1.51234    0.000111406 20       113      
 2451.09 27      2200     1.51223    1.51234    0.000105893 20       113      
 2506.07 28      2271     1.51224    1.51234    9.93803e-05 20       118      
 2506.43 28      2300     1.51224    1.51234    9.93803e-05 20       118      
 2562.43 29      2350     1.51224    1.51234    9.21247e-05 20       123      
 2588.79 30      2419     1.51225    1.51234    9.06593e-05 20       125      
 2589.17 30      2450     1.51225    1.51234    9.06593e-05 20       125      
 2602.91 31      2500     1.51225    1.51234    9.01173e-05 20       126      
 2616.42 32      2555     1.51225    1.51234    8.98891e-05 20       127      
 2630.44 33      2623     1.51225    1.51234    8.97922e-05 20       128      
 2630.78 33      2650     1.51225    1.51234    8.97922e-05 20       128      
 2645.3  34      2700     1.51225    1.51234    8.97511e-05 21       129      
 2659.35 35      2755     1.51225    1.51234    8.9733e-05  21       130      
 2673.24 36      2821     1.51225    1.51233    8.74502e-05 21       131      
 2673.59 36      2850     1.51225    1.51233    8.74502e-05 21       131      
 2700.26 37      2900     1.51225    1.51233    7.84947e-05 20       133      
 2740.14 38      2959     1.51226    1.51233    7.3484e-05  19       136      
 2848.37 39      3037     1.51226    1.51233    6.80431e-05 20       144      
 2848.58 39      3050     1.51226    1.51233    6.80431e-05 20       144      
 2878.89 40      3103     1.51226    1.51233    6.65776e-05 20       146      
 3067.85 41      3191     1.51226    1.51232    6.15961e-05 20       159      
 3068.02 41      3200     1.51226    1.51232    6.15961e-05 20       159      
 3085.69 42      3253     1.51226    1.51232    5.98881e-05 20       160      
 3119.2  43      3317     1.51226    1.51232    5.93029e-05 20       162      
 3137.75 44      3379     1.51226    1.51232    5.76262e-05 20       163      
 3138.06 44      3400     1.51226    1.51232    5.76262e-05 20       163      
 3171.19 45      3450     1.51226    1.51232    5.75323e-05 20       165      
 3220.14 46      3507     1.51226    1.51232    5.51673e-05 20       168      
 3253.91 47      3569     1.51227    1.51232    5.38662e-05 21       170      
 3273.11 48      3629     1.51227    1.51232    5.33702e-05 20       171      
 3273.43 48      3650     1.51227    1.51232    5.33702e-05 20       171      
 3307.67 49      3700     1.51227    1.51232    5.2236e-05  20       173      
 3343.4  50      3750     1.51227    1.51232    5.19804e-05 20       175      
 3382.02 51      3809     1.51227    1.51232    5.16999e-05 20       177      
 3419.72 52      3869     1.51227    1.51232    5.15198e-05 20       179      
