
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e657a7016e.pomdpx
  loading time : 7.86s 

SARSOP initializing ...
  initialization time : 738.24s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 738.24  0       0        2.34183    3.06549    0.723654    120      1        
 740.01  1       61       2.3902     2.42724    0.0370471   59       27       
 741.11  2       100      2.3902     2.42724    0.0370471   63       41       
 742.07  2       150      2.39505    2.42722    0.0321701   74       50       
 742.8   3       213      2.40057    2.42718    0.0266063   84       54       
 743.79  4       250      2.40057    2.42718    0.0266063   52       64       
 744.77  4       300      2.4078     2.42717    0.0193699   41       72       
 745.91  5       367      2.40988    2.42711    0.0172297   19       80       
 746.87  5       400      2.40988    2.42711    0.0172297   16       87       
 748.12  6       450      2.41127    2.4271     0.0158336   15       95       
 750.33  7       521      2.41497    2.4271     0.0121294   16       107      
 750.89  7       550      2.41497    2.4271     0.0121294   14       110      
 752.47  8       601      2.41573    2.4271     0.0113667   15       117      
 755.16  9       681      2.41667    2.42709    0.0104266   16       128      
 756.9   9       700      2.41667    2.42709    0.0104266   18       134      
 759.97  10      757      2.41728    2.42709    0.00981268  16       143      
 761.12  11      833      2.41914    2.42709    0.00795546  19       146      
 761.21  11      850      2.41914    2.42709    0.00795546  15       146      
 765.84  12      913      2.41961    2.42709    0.00748573  17       157      
 767.14  12      950      2.41961    2.42709    0.00748573  17       161      
 767.99  13      1000     2.42014    2.42709    0.00694862  14       163      
 775.71  14      1069     2.42062    2.42709    0.00646334  17       180      
 778.8   14      1100     2.42062    2.42709    0.00646334  16       186      
 786.34  15      1150     2.42157    2.42708    0.00551458  16       198      
 789.54  16      1221     2.42183    2.42708    0.00524958  19       204      
 789.66  16      1250     2.42183    2.42708    0.00524958  20       204      
 794.67  17      1300     2.42241    2.42708    0.00467532  17       211      
 802.47  18      1379     2.42254    2.42704    0.00450692  18       222      
 802.58  18      1400     2.42254    2.42704    0.00450692  19       222      
