
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e679f00b51.pomdpx
  loading time : 7.55s 

SARSOP initializing ...
  initialization time : 382.82s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 382.82  0       0        1.85919    2.72525    0.866065    120      1        
 383.25  3       50       2.33353    2.47001    0.136485    75       29       
 383.93  6       101      2.41248    2.46999    0.0575123   84       50       
 385.14  9       150      2.43086    2.46998    0.0391221   104      75       
 386.63  11      203      2.44979    2.46996    0.020175    109      96       
 388.53  13      250      2.45447    2.46995    0.0154824   90       114      
 391.2   15      300      2.45825    2.46994    0.0116907   64       140      
 395.03  17      350      2.46065    2.46992    0.00927254  59       165      
 399.34  19      400      2.4617     2.46991    0.00820717  40       187      
 404.59  22      450      2.46265    2.46989    0.00724058  40       212      
 407.39  24      507      2.46409    2.46987    0.00577917  40       229      
 413.47  26      561      2.46456    2.46985    0.00529419  34       254      
 420.65  27      600      2.46466    2.46984    0.00518082  35       279      
 428.28  29      650      2.46501    2.46982    0.00481945  34       302      
 435.85  31      700      2.46512    2.46982    0.00469403  38       322      
 446.1   33      750      2.46526    2.4698     0.0045418   39       346      
 454.84  35      800      2.46539    2.46979    0.00439769  28       364      
 466.96  37      850      2.46564    2.46978    0.00414515  28       387      
 479.36  39      900      2.46579    2.46977    0.00398322  33       409      
 490.26  41      950      2.46587    2.46976    0.00389017  34       426      
 502.74  43      1000     2.46595    2.46976    0.0038074   34       446      
 516.89  45      1050     2.46599    2.46976    0.00376492  33       468      
 533.89  47      1100     2.46606    2.46973    0.00367009  34       493      
 548.49  49      1150     2.46609    2.46973    0.00363714  34       514      
 565.52  52      1211     2.46616    2.46971    0.00355092  39       537      
 582.51  54      1259     2.46622    2.46969    0.00347753  37       559      
 599.84  56      1309     2.46625    2.46969    0.00344192  35       580      
