
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e7234137ca.pomdpx
  loading time : 8.33s 

SARSOP initializing ...
  initialization time : 2074.78s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2074.78 0       0        1.58363    2.28306    0.699438    120      1        
 2087.03 1       73       1.68029    1.8299     0.149608    36       17       
 2087.23 1       100      1.68029    1.8299     0.149608    62       17       
 2091.38 2       153      1.70261    1.8299     0.127286    36       21       
 2096.35 3       233      1.72032    1.82989    0.109567    15       25       
 2096.46 3       250      1.72032    1.82989    0.109567    12       25       
 2101.58 4       315      1.7354     1.82988    0.094474    10       29       
 2101.81 4       350      1.7354     1.82988    0.094474    11       29       
 2106.01 5       400      1.74593    1.82987    0.0839404   10       32       
 2110.84 6       479      1.75504    1.82986    0.0748121   10       35       
 2110.97 6       500      1.75504    1.82986    0.0748121   11       35       
 2114.33 7       561      1.76185    1.82985    0.0680086   9        37       
 2119.81 7       600      1.76185    1.82985    0.0680086   8        40       
 2122.48 8       650      1.76609    1.82983    0.063736    11       41       
 2127.68 9       725      1.76799    1.82983    0.0618383   11       43       
 2127.84 9       750      1.76799    1.82983    0.0618383   10       43       
 2134.2  10      807      1.77204    1.8298     0.0577601   8        46       
 2140.51 11      889      1.77449    1.82979    0.055305    9        48       
 2140.61 11      900      1.77449    1.82979    0.055305    11       48       
 2149.39 12      971      1.77744    1.82979    0.0523423   11       51       
 2149.58 12      1000     1.77744    1.82979    0.0523423   10       51       
 2156.57 13      1053     1.77925    1.82978    0.050527    12       53       
 2165.44 14      1135     1.78279    1.82974    0.0469505   9        56       
 2165.55 14      1150     1.78279    1.82974    0.0469505   11       56       
 2173.26 15      1217     1.78509    1.82974    0.0446498   9        58       
 2173.48 15      1250     1.78509    1.82974    0.0446498   11       58       
 2184.35 16      1300     1.7872     1.8297     0.0425008   7        61       
 2184.93 17      1381     1.78889    1.8297     0.0408087   10       61       
 2185.06 17      1400     1.78889    1.8297     0.0408087   9        61       
 2196.47 18      1465     1.79158    1.8297     0.0381145   12       64       
