
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e73522e9f3.pomdpx
  loading time : 8.39s 

SARSOP initializing ...
  initialization time : 408.30s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 408.3   0       0        1.40111    1.90806    0.506956    120      1        
 408.59  3       51       1.73274    1.83137    0.0986372   35       21       
 408.87  5       103      1.77281    1.83137    0.0585577   53       43       
 409.34  7       150      1.79779    1.83135    0.0335555   74       61       
 410.1   10      200      1.81057    1.83133    0.0207632   111      81       
 410.43  12      255      1.81775    1.83131    0.013563    145      85       
 411.1   14      301      1.82215    1.83131    0.00915621  184      96       
 412.79  16      350      1.82413    1.83126    0.00713143  231      118      
 414.84  18      400      1.82577    1.83126    0.00548684  192      138      
 417.33  20      450      1.82637    1.83124    0.00487158  178      158      
 420.77  22      500      1.82732    1.83123    0.00390634  158      185      
 422.72  24      550      1.82763    1.83122    0.00359349  162      198      
 425.27  26      600      1.82813    1.83122    0.00308299  130      214      
 428.93  28      650      1.82844    1.83121    0.00276308  67       236      
 432.53  30      700      1.82851    1.8312     0.00268759  68       257      
 435.49  32      751      1.8288     1.83119    0.00239517  51       273      
 439.76  34      805      1.82889    1.83119    0.00230264  46       294      
 445     36      861      1.82894    1.83118    0.00223693  45       317      
 448.67  37      900      1.82906    1.83118    0.00212182  35       334      
 453.99  39      950      1.82911    1.83118    0.00206967  35       355      
 459.8   41      1000     1.82915    1.83116    0.00201095  36       376      
 465.55  43      1050     1.82918    1.83116    0.00197307  30       397      
 471.18  45      1103     1.82933    1.83114    0.00181635  32       415      
 479.02  47      1161     1.82936    1.83114    0.00177734  34       438      
 487.3   48      1200     1.82938    1.83114    0.00175772  36       461      
 491.49  50      1250     1.82941    1.83113    0.00171948  39       472      
 498.52  52      1301     1.82944    1.83113    0.00168666  39       491      
 506.91  54      1361     1.82946    1.83113    0.0016699   36       512      
 514.44  55      1400     1.82947    1.83112    0.00165679  34       530      
 518.17  57      1450     1.82949    1.83112    0.00163523  38       539      
 529.02  59      1507     1.8295     1.83112    0.00161785  37       561      
 537.64  61      1550     1.8295     1.83112    0.00161492  46       577      
 546.78  62      1600     1.82953    1.83112    0.00158845  35       592      
 557.18  64      1653     1.82954    1.83111    0.00157519  36       611      
 568.26  66      1713     1.82956    1.83111    0.00155416  41       629      
 580.6   67      1750     1.82958    1.83111    0.00153202  44       648      
 589.53  69      1801     1.82958    1.83111    0.00152807  45       661      
 599.22  71      1863     1.82959    1.83111    0.001518    43       677      
 609.73  72      1900     1.82959    1.83111    0.00151544  48       692      
 621.88  74      1950     1.8296     1.83111    0.00151052  49       711      
 631.62  76      2005     1.8296     1.83111    0.00150591  47       725      
 646.07  78      2050     1.82961    1.83111    0.00149967  46       747      
 660.28  79      2100     1.82962    1.8311     0.00147784  43       765      
 671.12  81      2150     1.82963    1.8311     0.00146267  45       780      
 679.78  83      2209     1.82965    1.83109    0.00144858  44       794      
 688.27  84      2250     1.82965    1.83109    0.00144592  52       806      
 695.15  86      2300     1.82965    1.83109    0.00143824  53       815      
 709.7   88      2351     1.82966    1.83109    0.0014265   55       834      
 720.89  90      2409     1.82967    1.83109    0.00142056  52       848      
 730.53  91      2450     1.82967    1.83109    0.00141892  52       860      
 735.87  93      2500     1.82967    1.83109    0.00141636  45       868      
 745.68  95      2553     1.82969    1.83108    0.00139784  50       882      
 756.73  97      2611     1.82969    1.83108    0.00139193  52       896      
 767.85  98      2650     1.82969    1.83108    0.00139117  50       910      
 781.45  100     2700     1.8297     1.83108    0.00138372  52       923      
 794.39  102     2750     1.8297     1.83108    0.00137922  53       937      
 807.3   104     2805     1.8297     1.83108    0.00137588  56       952      
 819.29  106     2863     1.82971    1.83108    0.00137393  57       965      
 825.79  107     2900     1.82971    1.83108    0.00137324  57       972      
 833.98  109     2950     1.82971    1.83108    0.00137167  60       980      
 847.91  111     3005     1.82971    1.83108    0.00137088  64       994      
 861.12  113     3059     1.82971    1.83108    0.00136985  78       1009     
 873.15  115     3111     1.82971    1.83108    0.00136899  66       1020     
 885.89  116     3150     1.82971    1.83107    0.00136411  76       1031     
 895.45  118     3200     1.82971    1.83107    0.0013634   72       1039     
 905.42  120     3250     1.82971    1.83107    0.00136264  77       1048     
 913.56  122     3301     1.82971    1.83107    0.00136171  74       1055     
 922.37  124     3357     1.82971    1.83107    0.00136104  76       1063     
 934.86  126     3413     1.82971    1.83107    0.00136024  73       1076     
 941.73  127     3450     1.82971    1.83107    0.00135979  74       1082     
 950.59  129     3500     1.82972    1.83107    0.00135397  67       1090     
 958.81  131     3550     1.82972    1.83107    0.00135285  60       1099     
 967.68  133     3603     1.82972    1.83107    0.00135143  60       1108     
 982.12  135     3661     1.82972    1.83107    0.00134993  65       1124     
 987.24  136     3700     1.82972    1.83107    0.00134938  64       1129     
 997.74  138     3750     1.82972    1.83107    0.00134809  70       1139     
 1012.18 140     3800     1.82972    1.83107    0.0013467   71       1155     
 1024.27 142     3851     1.82972    1.83107    0.00134552  71       1165     
 1038.23 144     3901     1.82973    1.83107    0.00133876  75       1177     
 1051.16 146     3955     1.82973    1.83107    0.0013382   70       1189     
 1064.39 148     4009     1.82973    1.83106    0.00133718  72       1201     
 1072.73 150     4059     1.82973    1.83106    0.00133648  76       1207     
 1081.16 152     4113     1.82973    1.83106    0.00133611  78       1214     
 1090.68 153     4150     1.82973    1.83106    0.00133576  84       1223     
 1098.36 155     4200     1.82973    1.83106    0.00133522  75       1230     
 1106.92 157     4250     1.82973    1.83106    0.0013348   79       1236     
 1114.91 159     4300     1.82973    1.83106    0.00133305  83       1244     
 1126.65 161     4350     1.82973    1.83106    0.0013327   79       1253     
 1141.61 163     4400     1.82973    1.83106    0.00133145  79       1269     
 1152.8  165     4450     1.82973    1.83106    0.00133092  88       1277     
 1167.31 167     4500     1.82973    1.83106    0.00133013  90       1292     
 1181.57 169     4553     1.82973    1.83106    0.00132943  94       1303     
 1194.25 171     4607     1.82973    1.83106    0.00132921  101      1314     
 1208.01 173     4659     1.82973    1.83106    0.00132851  95       1325     
 1219.65 175     4709     1.82973    1.83106    0.00132768  89       1334     
 1231.41 177     4757     1.82973    1.83106    0.00132688  87       1344     
 1245.09 179     4807     1.82974    1.83105    0.00131764  89       1354     
 1256.93 181     4855     1.82974    1.83105    0.0013174   91       1362     
 1264.29 183     4907     1.82974    1.83105    0.00131719  105      1368     
 1275.52 185     4957     1.82974    1.83105    0.00131697  98       1375     
 1284.14 187     5007     1.82974    1.83105    0.00131662  96       1381     
 1298.97 189     5059     1.82974    1.83105    0.00131632  107      1392     
 1312.85 191     5107     1.82974    1.83105    0.00131442  98       1405     
 1327.23 193     5157     1.82974    1.83105    0.00131391  98       1414     
 1341.65 195     5209     1.82974    1.83105    0.00131338  97       1425     
 1354.14 197     5259     1.82974    1.83105    0.00131278  99       1433     
 1369.36 199     5300     1.82974    1.83105    0.00131256  100      1443     
 1382.06 200     5350     1.82974    1.83105    0.00131218  94       1455     
 1397.42 202     5400     1.82974    1.83105    0.00131164  99       1464     
 1415.31 204     5450     1.82974    1.83105    0.00131114  95       1475     
 1429.52 206     5500     1.82974    1.83105    0.00131023  93       1489     
 1444.1  208     5550     1.82974    1.83105    0.00130961  101      1504     
 1456.46 210     5600     1.82974    1.83105    0.00130909  101      1513     
 1472.79 212     5650     1.82974    1.83105    0.00130877  113      1527     
 1486.33 214     5700     1.82974    1.83105    0.00130835  123      1540     
 1496.41 216     5750     1.82974    1.83104    0.00130439  110      1548     
 1510.46 218     5800     1.82974    1.83104    0.00130409  114      1558     
 1524.72 221     5859     1.82974    1.83104    0.00130345  119      1566     
 1537.02 223     5905     1.82974    1.83104    0.00130319  115      1574     
 1549.6  225     5953     1.82974    1.83104    0.00130273  109      1585     
