
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e75e455a96.pomdpx
  loading time : 8.71s 

SARSOP initializing ...
  initialization time : 2020.35s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 2020.35 0       0        1.54521    1.9076     0.36239     120      1        
 2030.41 1       81       1.58205    1.6488     0.0667519   30       15       
 2030.53 1       100      1.58205    1.6488     0.0667519   44       15       
 2032.51 2       167      1.59275    1.64877    0.0560199   32       18       
 2032.71 2       200      1.59275    1.64877    0.0560199   35       18       
 2034.19 3       253      1.60106    1.64877    0.0477067   37       20       
 2036.15 4       339      1.60768    1.64877    0.0410866   13       22       
 2036.21 4       350      1.60768    1.64877    0.0410866   6        22       
 2037.93 5       427      1.61313    1.64876    0.0356377   10       24       
 2038.05 5       450      1.61313    1.64876    0.0356377   10       24       
 2042.5  6       515      1.61717    1.64876    0.0315888   9        28       
 2042.73 6       550      1.61717    1.64876    0.0315888   10       28       
 2046.39 7       603      1.62037    1.64876    0.0283834   8        31       
 2049.56 8       691      1.6219     1.64875    0.0268501   9        33       
 2049.62 8       700      1.6219     1.64875    0.0268501   10       33       
 2055.22 9       779      1.62403    1.64874    0.024707    10       37       
 2055.36 9       800      1.62403    1.64874    0.024707    11       37       
 2059.14 10      867      1.62519    1.64874    0.0235464   9        39       
 2059.34 10      900      1.62519    1.64874    0.0235464   9        39       
 2064.74 11      955      1.62736    1.64874    0.0213827   9        42       
 2069.38 12      1043     1.62844    1.64874    0.0203001   11       44       
 2069.44 12      1050     1.62844    1.64874    0.0203001   10       44       
 2073.26 13      1131     1.62999    1.64873    0.0187342   10       46       
 2073.38 13      1150     1.62999    1.64873    0.0187342   12       46       
 2085.35 14      1223     1.63085    1.64866    0.0178078   10       51       
 2085.54 14      1250     1.63085    1.64866    0.0178078   11       51       
 2096.08 15      1311     1.63171    1.64865    0.0169409   10       55       
 2096.34 15      1350     1.63171    1.64865    0.0169409   12       55       
 2107.64 16      1401     1.63234    1.64865    0.0163047   15       59       
 2123.51 17      1491     1.63269    1.64863    0.0159417   16       64       
 2123.6  17      1500     1.63269    1.64863    0.0159417   17       64       
 2138.46 18      1581     1.63368    1.64863    0.0149484   10       68       
 2138.61 18      1600     1.63368    1.64863    0.0149484   11       68       
 2154.16 19      1669     1.63407    1.64863    0.0145575   13       72       
 2154.38 19      1700     1.63407    1.64863    0.0145575   14       72       
 2161.75 20      1757     1.63494    1.64863    0.0136899   14       74       
 2166.1  20      1800     1.63494    1.64863    0.0136899   13       75       
 2169.89 21      1850     1.63534    1.64862    0.0132797   14       76       
 2188.75 22      1937     1.63552    1.64861    0.013095    15       80       
 2188.89 22      1950     1.63552    1.64861    0.013095    19       80       
 2207.81 23      2027     1.63611    1.64861    0.0125016   12       84       
 2208.01 23      2050     1.63611    1.64861    0.0125016   18       84       
 2226.9  24      2119     1.63642    1.64861    0.0121871   15       88       
 2227.19 24      2150     1.63642    1.64861    0.0121871   14       88       
 2249.79 25      2209     1.63656    1.6486     0.0120366   17       92       
 2250.13 25      2250     1.63656    1.6486     0.0120366   19       92       
 2266.28 26      2300     1.63671    1.6486     0.0118902   17       95       
 2283.46 27      2389     1.63728    1.6486     0.0113163   16       98       
 2283.61 27      2400     1.63728    1.6486     0.0113163   17       98       
 2299.91 28      2479     1.63782    1.64859    0.0107771   13       101      
 2300.1  28      2500     1.63782    1.64859    0.0107771   14       101      
 2310.79 29      2569     1.63822    1.64858    0.0103553   12       103      
 2311.04 29      2600     1.63822    1.64858    0.0103553   14       103      
 2334.22 30      2659     1.63834    1.64857    0.0102311   15       107      
 2334.55 30      2700     1.63834    1.64857    0.0102311   14       107      
 2351.31 31      2751     1.6388     1.64857    0.00977232  14       110      
 2382.18 32      2845     1.63899    1.64854    0.00955051  17       115      
 2382.29 32      2850     1.63899    1.64854    0.00955051  18       115      
 2402.65 33      2935     1.63911    1.64852    0.00941523  21       118      
 2402.84 33      2950     1.63911    1.64852    0.00941523  19       118      
 2438.38 34      3027     1.63947    1.64851    0.00903912  16       123      
 2438.6  34      3050     1.63947    1.64851    0.00903912  15       123      
 2472.87 35      3117     1.63963    1.64849    0.00886181  13       128      
 2473.17 35      3150     1.63963    1.64849    0.00886181  13       128      
 2520.22 36      3207     1.63985    1.64849    0.0086406   16       134      
 2537.17 36      3250     1.63985    1.64849    0.0086406   21       136      
 2546.37 37      3300     1.63991    1.64849    0.00858225  21       137      
 2594.52 38      3389     1.64009    1.64848    0.00838927  20       143      
 2594.68 38      3400     1.64009    1.64848    0.00838927  19       143      
 2617.89 39      3479     1.64021    1.64847    0.00825886  16       146      
 2618.13 39      3500     1.64021    1.64847    0.00825886  19       146      
 2650.59 40      3569     1.64036    1.64846    0.00810766  19       150      
 2650.91 40      3600     1.64036    1.64846    0.00810766  18       150      
 2696.89 41      3661     1.64052    1.64846    0.00794391  18       155      
 2697.27 41      3700     1.64052    1.64846    0.00794391  17       155      
 2743.18 42      3751     1.64067    1.64842    0.00774743  16       160      
 2761.79 43      3841     1.6407     1.64842    0.00772275  20       162      
 2761.95 43      3850     1.6407     1.64842    0.00772275  20       162      
 2803.66 44      3931     1.64071    1.64841    0.00770902  22       166      
 2803.9  44      3950     1.64071    1.64841    0.00770902  23       166      
 2845.64 45      4021     1.64072    1.64841    0.00769688  23       170      
 2845.97 45      4050     1.64072    1.64841    0.00769688  22       170      
 2885.87 46      4111     1.64083    1.64841    0.00758345  20       174      
 2886.29 46      4150     1.64083    1.64841    0.00758345  21       174      
 2929.36 47      4203     1.64105    1.64841    0.00736191  18       178      
 2974.42 48      4291     1.64119    1.64838    0.00718772  19       182      
 2974.59 48      4300     1.64119    1.64838    0.00718772  18       182      
 3028.03 49      4381     1.64127    1.64837    0.00709641  21       187      
 3028.31 49      4400     1.64127    1.64837    0.00709641  20       187      
 3062.3  50      4471     1.64139    1.64836    0.00697147  19       190      
 3062.63 50      4500     1.64139    1.64836    0.00697147  19       190      
 3138.04 51      4565     1.64147    1.64836    0.00689415  21       197      
 3138.44 51      4600     1.64147    1.64836    0.00689415  25       197      
 3183.11 52      4655     1.64153    1.64836    0.00682842  21       201      
 3221.12 53      4700     1.64153    1.64836    0.00682842  22       204      
 3221.88 53      4750     1.64156    1.64836    0.00679764  24       204      
 3271.57 54      4837     1.64176    1.64836    0.00659228  18       208      
 3271.76 54      4850     1.64176    1.64836    0.00659228  19       208      
 3316.91 55      4927     1.64193    1.64836    0.00642964  18       212      
 3317.19 55      4950     1.64193    1.64836    0.00642964  17       212      
 3354.72 56      5017     1.64207    1.64836    0.00629004  16       215      
 3355.09 56      5050     1.64207    1.64836    0.00629004  16       215      
 3403.49 57      5107     1.64215    1.64835    0.00620092  19       219      
 3429.27 57      5150     1.64215    1.64835    0.00620092  24       221      
 3450.9  58      5200     1.64224    1.64834    0.00610386  22       223      
 3500.96 59      5289     1.64234    1.64834    0.00600443  19       227      
 3501.18 59      5300     1.64234    1.64834    0.00600443  19       227      
 3553.06 60      5379     1.64237    1.64834    0.00597059  22       231      
 3553.37 60      5400     1.64237    1.64834    0.00597059  21       231      
 3594.24 61      5469     1.64244    1.64834    0.00589707  22       234      
 3594.62 61      5500     1.64244    1.64834    0.00589707  21       234      
 3651.08 62      5559     1.64248    1.64834    0.00586119  20       238      
 3651.55 62      5600     1.64248    1.64834    0.00586119  20       238      
 3691.31 63      5650     1.64252    1.64834    0.00581696  21       241      
 3786.02 64      5743     1.64254    1.64833    0.00579702  22       248      
 3786.21 64      5750     1.64254    1.64833    0.00579702  25       248      
 3829.22 65      5833     1.64257    1.64833    0.0057608   23       251      
 3829.51 65      5850     1.64257    1.64833    0.0057608   25       251      
 3894.86 66      5923     1.64258    1.64833    0.00574975  29       255      
 3895.27 66      5950     1.64258    1.64833    0.00574975  27       255      
 3937.65 67      6013     1.64259    1.64833    0.00573742  26       258      
 3938.12 67      6050     1.64259    1.64833    0.00573742  26       258      
 3983.82 68      6105     1.64267    1.64833    0.0056584   24       261      
 4037.51 68      6150     1.64267    1.64833    0.0056584   24       265      
 4050.33 69      6200     1.64274    1.64833    0.00558594  24       266      
 4095.73 70      6289     1.64284    1.64833    0.00548996  22       269      
 4095.98 70      6300     1.64284    1.64833    0.00548996  23       269      
 4147.01 71      6379     1.64288    1.64832    0.00544037  24       272      
 4147.35 71      6400     1.64288    1.64832    0.00544037  24       272      
 4230.97 72      6473     1.64291    1.64832    0.00540967  23       278      
 4231.4  72      6500     1.64291    1.64832    0.00540967  23       278      
 4279.78 73      6561     1.64296    1.64832    0.00535672  22       281      
 4280.28 73      6600     1.64296    1.64832    0.00535672  23       281      
 4311.99 74      6651     1.64303    1.64832    0.00528475  23       283      
 4360.98 75      6741     1.64307    1.64832    0.00524364  24       286      
 4361.2  75      6750     1.64307    1.64832    0.00524364  24       286      
 4415.39 76      6831     1.64313    1.64832    0.00518199  24       289      
 4415.74 76      6850     1.64313    1.64832    0.00518199  24       289      
 4483.16 77      6921     1.64317    1.64832    0.00514414  25       293      
 4483.59 77      6950     1.64317    1.64832    0.00514414  24       293      
 4543.54 78      7013     1.64323    1.64831    0.00508643  26       297      
 4544.11 78      7050     1.64323    1.64831    0.00508643  26       297      
 4615.87 79      7103     1.64327    1.6483     0.00502742  25       301      
 4650.67 80      7193     1.64334    1.6483     0.00496274  22       303      
 4650.89 80      7200     1.64334    1.6483     0.00496274  22       303      
 4787.92 81      7287     1.64335    1.6483     0.00494326  22       311      
 4788.2  81      7300     1.64335    1.6483     0.00494326  21       311      
