
Loading the model ...
  input file   : /home/rstudio/projects/pomdp-ram/notebook/ram_pomdp_soln/3e776527840.pomdpx
  loading time : 7.73s 

SARSOP initializing ...
  initialization time : 786.86s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 786.86  0       0        1.72611    2.41204    0.685926    120      1        
 787.58  1       75       1.84638    1.95872    0.112342    29       13       
 788.27  1       100      1.84638    1.95872    0.112342    30       22       
 789.1   2       155      1.8718     1.95872    0.0869179   27       28       
 789.6   3       237      1.88592    1.9587     0.0727815   31       32       
 789.64  3       250      1.88592    1.9587     0.0727815   32       32       
 790.3   4       321      1.9008     1.9587     0.0578958   29       36       
 790.36  4       350      1.9008     1.9587     0.0578958   37       36       
 790.89  5       405      1.91121    1.95867    0.0474613   30       40       
 793.79  6       489      1.9208     1.95867    0.0378723   12       59       
 793.83  6       500      1.9208     1.95867    0.0378723   10       59       
 794.73  7       575      1.9274     1.95866    0.0312615   12       64       
 794.79  7       600      1.9274     1.95866    0.0312615   12       64       
 796.44  8       659      1.93252    1.95866    0.026146    10       72       
 796.97  8       700      1.93252    1.95866    0.026146    13       74       
 797.51  9       750      1.93643    1.95866    0.022236    11       76       
 799.15  10      829      1.93915    1.95866    0.0195147   11       82       
 799.22  10      850      1.93915    1.95866    0.0195147   10       82       
 801.52  11      913      1.94203    1.95866    0.0166271   11       89       
 801.6   11      950      1.94203    1.95866    0.0166271   12       89       
 802.65  12      1000     1.94399    1.95866    0.014668    11       92       
 812.03  13      1083     1.94583    1.95865    0.0128251   10       109      
 814.41  13      1100     1.94583    1.95865    0.0128251   12       114      
 818.64  14      1169     1.94743    1.95865    0.0112264   11       121      
 819.64  14      1200     1.94743    1.95865    0.0112264   11       123      
 827     15      1253     1.94894    1.95865    0.00971071  10       132      
 830.48  16      1339     1.94974    1.95865    0.00890687  13       136      
 838.03  16      1350     1.94974    1.95865    0.00890687  12       145      
 854.6   17      1423     1.95072    1.95865    0.00792539  14       163      
 862.37  17      1450     1.95072    1.95865    0.00792539  14       172      
 871.4   18      1509     1.95111    1.95864    0.00752078  15       180      
 892.27  19      1550     1.95111    1.95864    0.00752078  14       198      
 892.51  19      1600     1.95235    1.95863    0.00628878  18       198      
 896.49  20      1677     1.95283    1.95863    0.00580458  18       201      
 904.97  20      1700     1.95283    1.95863    0.00580458  15       208      
 923.51  21      1765     1.95336    1.95863    0.00527359  17       222      
 939.22  21      1800     1.95336    1.95863    0.00527359  15       234      
 948.18  22      1850     1.95369    1.95863    0.00494096  15       240      
 963.07  23      1933     1.95441    1.95863    0.00422129  14       249      
 963.16  23      1950     1.95441    1.95863    0.00422129  15       249      
 966.74  24      2019     1.95477    1.95863    0.00386015  18       251      
 980.24  24      2050     1.95477    1.95863    0.00386015  18       260      
 998.74  25      2103     1.95513    1.95863    0.00349349  17       270      
 1019.31 26      2189     1.95535    1.95863    0.00327439  15       281      
