
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/ffb3157e1b.pomdpx
  loading time : 4.03s 

SARSOP initializing ...
  initialization time : 308.94s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 308.94  0       0        2.51304    4.24008    1.72704     100      1        
 309.49  3       50       3.85209    4.06586    0.213765    127      29       
 310.22  6       100      3.95556    4.06559    0.110032    140      52       
 311.24  8       150      3.99026    4.0655     0.0752417   161      79       
 312.51  11      205      4.01524    4.06513    0.0498872   185      101      
 313.93  13      250      4.02382    4.06509    0.0412721   203      123      
 316.21  16      309      4.034      4.06499    0.0309904   95       149      
 318.22  18      351      4.03812    4.06482    0.0267041   78       169      
 320.81  20      400      4.04082    4.06478    0.0239663   62       196      
 323.03  23      457      4.04418    4.0647     0.0205203   63       217      
 325.17  25      501      4.04527    4.06467    0.019394    56       235      
 328.14  27      550      4.04679    4.06459    0.0177943   53       259      
 331.14  30      609      4.04804    4.06455    0.0165064   42       281      
 333.71  32      650      4.04927    4.06453    0.0152622   41       300      
 337.79  34      700      4.05022    4.06452    0.0142928   33       326      
 341.64  37      761      4.0516     4.06443    0.0128335   33       350      
 345.23  39      805      4.0519     4.06439    0.0124936   38       370      
 348.78  41      850      4.05226    4.06437    0.0121126   45       389      
 353.22  43      900      4.05269    4.06436    0.0116689   37       412      
 358.58  45      950      4.05337    4.06425    0.0108773   40       438      
 362.98  48      1011     4.05383    4.06423    0.0103983   43       457      
 368.03  50      1059     4.05401    4.06421    0.0101964   39       478      
 373.35  52      1107     4.05415    4.0642     0.0100499   41       499      
 378.52  54      1155     4.05434    4.06417    0.00983043  44       518      
 384.38  56      1201     4.05444    4.06415    0.00971164  55       539      
 389.59  58      1250     4.05459    4.06414    0.00955031  61       558      
 396.46  60      1300     4.05463    4.06413    0.00949778  56       581      
 404.03  62      1350     4.05478    4.06412    0.00934717  55       606      
 410.83  65      1411     4.0549     4.06411    0.0092133   58       628      
 417.36  67      1455     4.05494    4.0641     0.00916791  54       647      
 424.05  69      1500     4.05498    4.0641     0.00912174  68       666      
 433.12  71      1550     4.05505    4.06409    0.0090386   59       691      
 441.7   74      1611     4.05519    4.06408    0.00888386  66       714      
 449.06  76      1655     4.05526    4.06406    0.00880861  69       733      
 457.45  78      1703     4.05535    4.06403    0.00867929  74       755      
 466.24  80      1750     4.05546    4.06397    0.00851125  68       777      
 474.75  82      1800     4.05549    4.06396    0.00847419  66       797      
 484.49  84      1850     4.05555    4.06395    0.00839734  66       820      
 495.37  86      1900     4.05558    4.06394    0.00836109  73       845      
 505.11  89      1959     4.05562    4.06393    0.00831301  69       866      
 513.51  91      2003     4.05566    4.06392    0.00826005  65       883      
 522.97  93      2051     4.05568    4.06392    0.00823368  76       903      
 531.97  95      2100     4.05569    4.06391    0.00821564  81       922      
 544.21  97      2150     4.05577    4.0639     0.00813318  77       946      
 552.86  100     2209     4.05582    4.0639     0.00808018  81       963      
 563.04  102     2253     4.0559     4.06388    0.00797801  75       982      
 573.4   104     2300     4.05592    4.06387    0.00795222  80       1002     
 585.98  106     2350     4.05593    4.06386    0.00793274  76       1025     
 599.31  108     2400     4.05598    4.06383    0.00784702  83       1049     
 608.1   111     2457     4.056      4.06382    0.0078241   86       1064     
 619.21  113     2505     4.05603    4.06381    0.00777991  79       1084     
 629.46  115     2550     4.05605    4.0638     0.0077594   79       1102     
 641.63  117     2600     4.05608    4.06379    0.00770655  86       1123     
 656.41  119     2650     4.05609    4.06379    0.00769293  84       1147     
 668.56  122     2711     4.05612    4.06377    0.00765249  97       1167     
 678.34  124     2755     4.05616    4.06375    0.00759367  93       1182     
 690.11  126     2800     4.05618    4.06374    0.00755937  94       1200     
 704.57  128     2850     4.05622    4.06374    0.0075195   90       1223     
 718.7   130     2900     4.05624    4.06374    0.00749867  100      1245     
 731.21  133     2957     4.05625    4.06373    0.00747315  109      1263     
 742.17  135     3003     4.05626    4.06372    0.00746705  102      1279     
 754.98  137     3050     4.05626    4.06372    0.00745935  100      1297     
 770.14  139     3100     4.05627    4.06372    0.00745238  97       1319     
 783.86  142     3159     4.05627    4.06372    0.00744418  106      1338     
 796.08  144     3203     4.05628    4.06372    0.00744009  95       1354     
 808.99  146     3250     4.05628    4.06371    0.00743041  102      1370     
 825.82  148     3300     4.05629    4.06371    0.0074197   103      1393     
 843.23  151     3361     4.05633    4.06369    0.00736169  95       1415     
 858.25  153     3405     4.05634    4.06369    0.00735463  99       1433     
 873.38  155     3450     4.05635    4.06369    0.00734377  103      1452     
 889.68  157     3500     4.05636    4.06368    0.00732578  105      1472     
 908.84  160     3550     4.05637    4.06368    0.00731368  103      1494     
 924.62  162     3605     4.05637    4.06368    0.00730801  105      1512     
 939.26  164     3651     4.05637    4.06368    0.00730282  105      1529     
 958.57  166     3700     4.05639    4.06367    0.0072808   98       1551     
 978.03  168     3750     4.05639    4.06367    0.00727309  97       1572     
 991.74  171     3807     4.0564     4.06366    0.00726499  93       1587     
 1008.03 173     3853     4.0564     4.06366    0.00726126  90       1605     
 1027.21 175     3900     4.05641    4.06366    0.0072491   100      1626     
 1050.92 178     3950     4.05641    4.06365    0.00724419  111      1651     
 1066.73 180     4003     4.05644    4.06363    0.00718847  110      1667     
 1084.91 182     4050     4.05645    4.06363    0.00718476  106      1685     
 1111.77 184     4100     4.05645    4.06363    0.00718293  121      1711     
 1130.76 187     4155     4.05645    4.06363    0.00718074  114      1729     
 1149.42 189     4200     4.05645    4.06362    0.00717013  117      1746     
 1170.57 192     4250     4.05646    4.06362    0.00716801  121      1765     
 1188.37 194     4305     4.05646    4.06362    0.0071565   113      1781     
 1210.72 196     4350     4.05647    4.06361    0.00714856  118      1801     
 1232.69 199     4409     4.05647    4.06361    0.00714496  123      1820     
 1250.59 201     4451     4.05647    4.06361    0.0071414   123      1835     
 1270.74 203     4500     4.05648    4.0636     0.00711427  131      1854     
 1293.67 206     4559     4.05653    4.06358    0.00705606  132      1874     
 1312.15 208     4603     4.05653    4.06358    0.00705068  128      1891     
 1333.81 210     4650     4.05653    4.06358    0.00704724  130      1910     
 1359.01 213     4700     4.05654    4.06358    0.00704401  127      1932     
 1379.58 215     4753     4.05654    4.06358    0.00703726  125      1948     
 1404.38 217     4800     4.05654    4.06358    0.00703335  121      1968     
 1427.55 220     4859     4.05656    4.06356    0.0069999   116      1987     
 1447.48 222     4903     4.05661    4.06352    0.00690257  114      2004     
 1465.38 224     4951     4.05662    4.06351    0.00689586  118      2020     
 1487.72 226     5000     4.05662    4.06351    0.00688974  116      2039     
 1513.79 229     5050     4.05662    4.06351    0.00688579  112      2060     
 1532.5  231     5103     4.05662    4.06351    0.00688277  117      2075     
 1557.87 233     5150     4.05663    4.0635     0.00687233  125      2095     
 1583.55 236     5207     4.05668    4.06348    0.00680708  129      2116     
 1603.61 238     5250     4.05668    4.06348    0.00680422  131      2132     
 1628.33 240     5300     4.05668    4.06348    0.00679991  134      2152     
 1650.04 243     5357     4.05669    4.06347    0.00678004  134      2169     
 1667.99 245     5400     4.05669    4.06347    0.00677728  133      2183     
 1701    247     5450     4.05669    4.06347    0.00677599  131      2207     
 1723.08 250     5505     4.05669    4.06347    0.00677372  130      2223     
 1746.07 252     5550     4.0567     4.06347    0.00677159  134      2240     
 1768.92 254     5600     4.05702    4.06345    0.00642421  148      2259     
 1793.93 257     5661     4.05704    4.06345    0.00640901  164      2278     
 1818.52 259     5709     4.05704    4.06344    0.00640732  161      2296     
 1844.78 261     5759     4.05704    4.06344    0.00640351  165      2316     
 1866.65 263     5809     4.05704    4.06344    0.0064021   171      2333     
 1894.05 265     5857     4.05704    4.06344    0.00639537  164      2353     
 1919.09 267     5905     4.05704    4.06343    0.00639171  163      2372     
 1946.79 269     5951     4.05704    4.06343    0.00638407  169      2391     
 1975.36 271     6000     4.05705    4.06343    0.0063791   171      2411     
 2004.58 273     6050     4.05705    4.06342    0.00637544  175      2431     
 2035.39 275     6100     4.05705    4.06342    0.00637482  169      2452     
 2069.59 277     6150     4.05705    4.06342    0.006371    158      2475     
 2095.67 280     6209     4.05705    4.06342    0.00636662  158      2492     
 2118.27 282     6253     4.05705    4.06342    0.00636588  160      2506     
 2146.09 284     6300     4.05705    4.06342    0.0063647   159      2523     
 2178.74 286     6350     4.05705    4.06342    0.00636378  162      2542     
 2210.11 289     6409     4.05705    4.06342    0.00636159  164      2560     
 2241.38 291     6457     4.05706    4.06341    0.00635343  168      2578     
 2268.89 293     6505     4.05707    4.06341    0.00633299  171      2596     
 2297.85 295     6551     4.05709    4.0634     0.00631963  172      2614     
 2333.55 297     6600     4.05709    4.0634     0.00631594  174      2636     
 2364.4  299     6650     4.0571     4.06338    0.00627938  172      2655     
 2391.37 302     6711     4.0571     4.06338    0.00627813  181      2671     
 2419.25 304     6757     4.0571     4.06338    0.00627652  174      2687     
 2446.91 306     6801     4.0571     4.06338    0.00627546  175      2703     
 2479.81 308     6850     4.0571     4.06338    0.00627482  182      2722     
 2509.02 310     6900     4.0571     4.06337    0.00627109  186      2739     
 2545.37 313     6961     4.0571     4.06337    0.00626636  183      2760     
 2576.73 315     7009     4.0571     4.06337    0.00626525  178      2778     
 2608.29 317     7057     4.05711    4.06337    0.00626223  178      2796     
 2646.74 319     7101     4.05711    4.06337    0.00626111  172      2814     
 2677.88 321     7150     4.05711    4.06337    0.00625911  175      2828     
 2725.74 323     7200     4.05711    4.06337    0.00625731  178      2851     
 2760.64 326     7250     4.05711    4.06336    0.00625691  179      2869     
 2795.7  328     7309     4.05711    4.06336    0.006255    174      2886     
 2833.56 330     7353     4.05711    4.06336    0.00625434  184      2903     
 2867.2  332     7400     4.05711    4.06336    0.0062528   185      2918     
 2911.18 334     7450     4.05711    4.06336    0.00625074  174      2939     
 2950.11 336     7500     4.05711    4.06336    0.00624796  179      2959     
 2985.59 339     7559     4.05711    4.06335    0.00623947  187      2976     
 3019.53 341     7603     4.05711    4.06335    0.00623467  186      2993     
 3055.49 343     7650     4.05711    4.06335    0.00623421  188      3011     
 3101.26 345     7700     4.05712    4.06334    0.00622629  195      3034     
 3137.93 348     7750     4.05712    4.06334    0.00622545  203      3053     
 3175.22 350     7805     4.05712    4.06334    0.00622268  200      3070     
 3203.71 352     7850     4.05712    4.06334    0.006219    196      3084     
 3242.64 354     7900     4.05718    4.06331    0.00612452  192      3104     
 3279.15 356     7950     4.05718    4.0633     0.00612     191      3122     
 3323.65 358     8000     4.05718    4.0633     0.00611918  199      3142     
 3369.6  361     8050     4.05719    4.06329    0.00610579  207      3163     
 3401.34 363     8107     4.05719    4.06329    0.00610459  208      3178     
 3432.84 365     8153     4.05719    4.06329    0.00610313  206      3192     
 3463.56 367     8200     4.0572     4.06328    0.00608358  204      3206     
 3498.71 369     8250     4.0572     4.06328    0.00608329  209      3223     
 3536.27 371     8300     4.0572     4.06328    0.00608133  204      3239     
 3584.26 373     8350     4.0572     4.06328    0.00607964  210      3260     
 3633.54 376     8407     4.0572     4.06328    0.00607647  203      3279     
 3675.16 378     8451     4.05721    4.06324    0.00603739  208      3296     
 3720.46 380     8500     4.05721    4.06324    0.00603163  204      3314     
 3774.39 382     8550     4.05721    4.06324    0.00603061  210      3336     
 3818.52 385     8609     4.05721    4.06324    0.00602854  215      3354     
 3860.26 387     8657     4.05721    4.06324    0.00602823  210      3371     
 3896.07 389     8705     4.05721    4.06324    0.00602808  208      3386     
 3931.95 391     8753     4.05721    4.06324    0.0060272   204      3402     
 3966.47 393     8800     4.05721    4.06324    0.00602596  216      3416     
 4010.18 395     8850     4.05721    4.06324    0.00602576  209      3434     
 4053.5  397     8900     4.05721    4.06324    0.0060256   216      3451     
 4093.05 399     8950     4.05721    4.06323    0.00602458  221      3468     
 4135.15 402     9011     4.05721    4.06323    0.00602432  214      3485     
 4172.06 404     9055     4.05721    4.06323    0.00602427  224      3500     
 4207.45 406     9100     4.05721    4.06323    0.00602195  239      3514     
 4249.84 408     9150     4.05721    4.06323    0.00602181  225      3532     
 4295.85 410     9200     4.05721    4.06323    0.00601726  213      3551     
 4335.7  413     9250     4.05721    4.06323    0.00601562  213      3567     
 4366.8  415     9305     4.05721    4.06323    0.00601556  211      3579     
 4398.85 417     9350     4.05721    4.06323    0.00601551  219      3592     
