
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/ffd4b5a005a.pomdpx
  loading time : 4.33s 

SARSOP initializing ...
  initialization time : 598.24s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 598.24  0       0        1.48607    2.3485     0.86243     100      1        
 600.58  4       50       2.08574    2.25156    0.165818    25       27       
 602.51  7       113      2.16207    2.25152    0.0894493   32       46       
 606.63  9       151      2.18685    2.25145    0.0645989   35       65       
 616.67  12      207      2.212      2.25134    0.0393411   35       93       
 627.14  14      250      2.22036    2.25127    0.0309108   36       117      
 638.28  17      300      2.22885    2.25116    0.0223125   32       139      
 654.01  20      357      2.23355    2.25111    0.0175516   27       166      
 668.48  22      401      2.2365     2.25104    0.0145465   30       188      
 689.76  25      450      2.23824    2.25097    0.0127251   29       218      
 706.38  27      500      2.23996    2.25084    0.0108768   25       238      
 730.03  30      557      2.24161    2.25075    0.00913405  25       265      
 740.99  32      603      2.24192    2.25071    0.00879156  25       276      
 764.44  34      650      2.24237    2.25067    0.00830513  20       300      
 791.13  37      700      2.24283    2.25064    0.00781395  27       327      
 814.35  38      755      2.24363    2.25061    0.0069792   36       347      
 834.48  40      800      2.2439     2.25059    0.00669432  36       366      
 865.17  42      850      2.24416    2.25056    0.00639264  41       392      
 894.85  45      907      2.24438    2.25053    0.00615117  41       415      
 923.52  47      953      2.24469    2.2505     0.00580874  44       437      
 957.26  49      1001     2.24489    2.25047    0.00557861  33       460      
 994.66  51      1050     2.24503    2.25045    0.00542146  26       485      
 1026.52 53      1101     2.24523    2.25042    0.00519458  35       506      
 1063.97 55      1150     2.24539    2.25041    0.00502082  36       530      
 1106.66 57      1200     2.24549    2.2504     0.00490727  38       556      
 1145.97 60      1261     2.24567    2.25037    0.00469282  48       579      
 1177.85 62      1305     2.24573    2.25036    0.00463167  47       596      
 1215.38 64      1351     2.24578    2.25033    0.00455588  38       616      
 1258.36 66      1400     2.24583    2.25033    0.00449655  44       638      
 1304.72 68      1450     2.24588    2.25032    0.00444323  45       661      
 1363.47 70      1500     2.2459     2.25031    0.00441031  52       688      
 1411.62 73      1561     2.246      2.25028    0.004279    45       710      
 1458.89 75      1607     2.24602    2.25027    0.00424495  52       731      
 1509.3  77      1651     2.24604    2.25027    0.00422127  56       752      
 1564.67 79      1703     2.24608    2.25024    0.00416294  51       775      
 1627.1  81      1750     2.24612    2.25023    0.00411383  49       799      
 1686.69 83      1800     2.24617    2.25021    0.00403639  58       823      
 1749.27 85      1850     2.24621    2.2502     0.00399487  63       848      
 1807.7  88      1900     2.24624    2.2502     0.00396234  53       870      
 1867.2  90      1957     2.24626    2.25019    0.00392802  48       891      
 1930.74 92      2005     2.24627    2.25019    0.00391713  57       913      
 1994.83 94      2050     2.2463     2.25017    0.00386481  52       934      
 2069.32 96      2100     2.24633    2.25016    0.00383094  51       957      
 2152.95 98      2150     2.24635    2.25015    0.0037989   52       981      
 2235.81 101     2211     2.24638    2.25014    0.00376658  67       1005     
 2313.28 103     2257     2.2464     2.25014    0.00374154  73       1026     
 2400.65 105     2313     2.24642    2.25013    0.00370929  65       1049     
 2492.97 107     2359     2.24644    2.25013    0.00369045  57       1070     
 2576.55 109     2405     2.24645    2.25012    0.00366987  62       1091     
 2665.36 111     2453     2.24647    2.25011    0.00364253  63       1113     
 2773.8  113     2515     2.24649    2.2501     0.00360792  76       1138     
 2861.78 115     2550     2.2465     2.2501     0.00359568  68       1159     
 2959.18 117     2611     2.24652    2.25008    0.00356026  72       1182     
 3051.58 119     2659     2.24653    2.25008    0.00354883  67       1201     
 3151.14 121     2705     2.24654    2.25007    0.00353306  72       1221     
 3252.5  123     2751     2.24655    2.25007    0.00352355  71       1242     
 3364.36 125     2801     2.24655    2.25007    0.00351492  74       1263     
 3476.66 127     2850     2.24656    2.25006    0.00350284  70       1285     
 3624.54 129     2900     2.24657    2.25006    0.00349312  75       1311     
 3757.54 131     2950     2.24657    2.25005    0.00347428  82       1336     
 3868.7  134     3009     2.24658    2.25004    0.00346714  79       1355     
 3991.05 136     3057     2.24662    2.25002    0.00340568  73       1377     
 4115.28 138     3105     2.24662    2.25002    0.00339977  81       1398     
 4252.15 140     3153     2.24663    2.25002    0.0033902   82       1421     
 4391.83 142     3200     2.24663    2.25       0.00337289  76       1443     
 4541.03 144     3250     2.24664    2.25       0.00336152  84       1466     
