
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/ffe3157e1b.pomdpx
  loading time : 4.27s 

SARSOP initializing ...
  initialization time : 795.37s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 795.37  0       0        0.760026   1.95072    1.1907      100      1        
 795.61  3       57       1.46535    1.86135    0.396003    10       15       
 795.77  5       100      1.59691    1.86129    0.264383    17       26       
 795.92  8       150      1.69301    1.86118    0.168164    26       31       
 796.09  11      205      1.75228    1.86106    0.108783    43       37       
 796.38  13      250      1.77194    1.86096    0.0890195   57       46       
 796.79  16      305      1.79756    1.86076    0.0632092   55       57       
 797.1   18      350      1.80586    1.8607     0.0548334   78       64       
 797.82  21      405      1.81611    1.8606     0.0444895   116      75       
 798.42  23      450      1.82397    1.86056    0.0365869   141      82       
 799.52  26      507      1.82883    1.86051    0.0316816   160      95       
 800.45  28      550      1.83278    1.86044    0.0276531   171      103      
 801.92  30      600      1.83448    1.8604     0.0259238   124      114      
 803.16  33      653      1.83938    1.8603     0.0209214   101      122      
 803.92  35      700      1.84062    1.86029    0.0196623   87       127      
 805.57  38      753      1.84296    1.86022    0.0172613   67       136      
 807.08  40      800      1.84482    1.86016    0.0153433   51       146      
 808.29  43      851      1.84653    1.86012    0.01359     49       153      
 810.04  45      900      1.84748    1.86007    0.0125982   38       163      
 811.16  48      950      1.84903    1.86002    0.0109949   41       169      
 813.4   51      1007     1.8501     1.85997    0.0098782   37       180      
 815.01  53      1050     1.85077    1.8599     0.00913244  37       188      
 817.11  56      1107     1.85168    1.85981    0.00812523  38       198      
 818.31  58      1150     1.85212    1.85976    0.0076399   37       203      
 820.79  61      1203     1.85275    1.85971    0.00695626  39       213      
 823.89  64      1259     1.85348    1.85962    0.00614345  42       225      
 826.62  66      1300     1.8538     1.85957    0.00577032  42       235      
 829.97  69      1359     1.85415    1.85949    0.00534168  46       247      
 832.57  71      1400     1.85446    1.85945    0.00498997  46       256      
 835.61  74      1459     1.8548     1.85937    0.00456806  48       265      
 839.58  76      1500     1.85501    1.85932    0.00431162  49       276      
 843.02  79      1559     1.85524    1.85926    0.0040224   51       286      
 847.34  81      1600     1.85536    1.85923    0.00387285  52       299      
 851.57  84      1655     1.85554    1.85916    0.00362025  53       310      
 855.97  86      1700     1.85575    1.8591     0.003351    55       322      
 861.67  89      1753     1.85587    1.85903    0.00315603  55       333      
 866.8   92      1800     1.85599    1.85901    0.00301894  55       345      
 872.34  94      1850     1.85625    1.85899    0.00274559  58       357      
 877.42  97      1909     1.85647    1.85897    0.00250126  61       369      
 881.37  99      1951     1.85653    1.85896    0.00243902  61       378      
 887.78  101     2000     1.85661    1.85896    0.00234144  61       389      
 896.88  104     2055     1.85669    1.85894    0.00224439  64       402      
 903.85  106     2100     1.85674    1.8589     0.00215561  62       412      
 913.23  109     2157     1.85682    1.85889    0.00207494  61       425      
 920.56  111     2200     1.85686    1.85889    0.00202993  64       436      
 930.12  114     2257     1.85693    1.85888    0.00195492  64       449      
