
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4d4144f8be5.pomdpx
  loading time : 4.20s 

SARSOP initializing ...
  initialization time : 521.01s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 521.01  0       0        0.768087   1.46283    0.694743    100      1        
 521.28  4       50       1.12322    1.39705    0.273831    130      20       
 521.49  7       100      1.26012    1.39701    0.136893    168      30       
 521.79  9       150      1.31012    1.39696    0.086835    195      43       
 522.34  12      200      1.33946    1.39689    0.0574294   235      53       
 522.85  15      250      1.35385    1.39683    0.0429817   271      61       
 523.48  19      307      1.36666    1.39674    0.0300811   291      72       
 524.15  22      351      1.37309    1.39668    0.0235855   306      82       
 524.79  25      400      1.37806    1.39665    0.0185882   335      91       
 525.68  28      450      1.38063    1.39659    0.0159578   347      103      
 526.72  31      500      1.38335    1.39652    0.0131717   165      113      
 527.33  34      550      1.38505    1.39648    0.011427    202      120      
 528.45  37      600      1.38669    1.39642    0.0097243   162      134      
 529.49  40      650      1.38787    1.39633    0.00845972  135      145      
 530.44  43      700      1.38853    1.39628    0.00775744  106      156      
 531.5   46      750      1.38959    1.39622    0.0066276   83       166      
 532.57  49      800      1.39027    1.39617    0.00590547  69       177      
 533.65  52      851      1.39072    1.3961     0.00538274  53       190      
 534.23  55      900      1.3911     1.39609    0.00499307  51       197      
 534.82  58      950      1.39152    1.39606    0.00454227  43       205      
 536.44  61      1000     1.3919     1.39602    0.00412019  43       219      
 537.46  64      1050     1.39219    1.39599    0.00380058  42       230      
 538.82  68      1107     1.39264    1.39593    0.00329719  45       242      
 539.27  71      1157     1.39288    1.39593    0.00304896  48       246      
 540.93  74      1205     1.39305    1.3959     0.00284667  52       259      
 542.27  77      1253     1.39324    1.39585    0.00261117  52       271      
 543.63  80      1301     1.39338    1.39584    0.00246194  53       283      
 544.94  83      1350     1.39349    1.39584    0.0023463   53       293      
 546.34  87      1400     1.39366    1.39583    0.00216683  56       305      
 547.54  90      1450     1.39379    1.3958     0.00201275  60       313      
 548.81  94      1505     1.39393    1.39579    0.00186446  63       323      
 549.9   97      1550     1.39401    1.39578    0.00176972  63       332      
 551.15  101     1603     1.39411    1.39578    0.00166444  63       340      
 553.39  104     1650     1.39421    1.39577    0.0015618   64       354      
 554.6   108     1707     1.39433    1.39573    0.0013959   74       368      
 556.29  111     1757     1.39439    1.39572    0.00133114  73       380      
 557.8   114     1805     1.39445    1.39572    0.00126844  72       388      
 559.86  117     1855     1.39451    1.39572    0.0012095   70       399      
 561.83  120     1903     1.39456    1.3957     0.00113548  75       411      
 563.92  123     1955     1.39459    1.39568    0.0010873   75       425      
 565.55  126     2005     1.39464    1.39567    0.00103197  74       435      
 568.65  129     2053     1.39467    1.39566    0.000989451 77       454      
 570.51  132     2101     1.39469    1.39565    0.000953515 74       465      
 573.2   135     2151     1.39471    1.39563    0.000921398 75       481      
 576.11  138     2201     1.39473    1.39562    0.000887822 77       496      
 579.22  141     2250     1.39475    1.39561    0.000855383 77       511      
 582.35  144     2300     1.39478    1.3956     0.000820971 76       527      
 585.86  147     2350     1.3948     1.39559    0.00078949  78       543      
 588.96  150     2400     1.39482    1.39559    0.000766526 80       558      
 592.14  153     2450     1.39484    1.39558    0.000739518 79       574      
 595.45  156     2507     1.39487    1.39558    0.000710638 85       588      
 599.36  158     2550     1.39487    1.39556    0.000692721 78       605      
 603.49  161     2600     1.39489    1.39556    0.000665879 78       622      
 607.76  164     2653     1.39491    1.39555    0.000641881 77       640      
 611.43  167     2709     1.39492    1.39555    0.000621179 79       655      
 613.75  169     2750     1.39493    1.39554    0.000607195 79       665      
 617.97  172     2801     1.39495    1.39554    0.00059297  80       680      
 622.22  175     2850     1.39495    1.39553    0.00058015  81       698      
 626.06  177     2901     1.39496    1.39552    0.000566595 81       712      
 631.38  179     2950     1.39496    1.39552    0.000556761 77       730      
 634.63  182     3001     1.39497    1.39551    0.000543872 81       743      
 639.68  184     3050     1.39497    1.39551    0.000535564 82       761      
 642.99  187     3101     1.39498    1.39551    0.000525764 83       772      
 648.74  189     3150     1.39499    1.3955     0.000517984 82       792      
 652.76  192     3207     1.39499    1.3955     0.000506946 83       808      
 655.23  194     3251     1.395      1.3955     0.00049859  85       819      
 662     196     3300     1.395      1.3955     0.000492128 84       841      
 665.24  199     3357     1.39502    1.39549    0.000474721 84       852      
 670.99  201     3400     1.39502    1.39549    0.000468412 82       870      
 676.36  203     3450     1.39502    1.39549    0.000461733 83       886      
 680.79  206     3501     1.39503    1.39548    0.000455754 84       899      
 684.95  208     3550     1.39503    1.39548    0.000450976 81       911      
 690.24  210     3600     1.39503    1.39548    0.000445056 85       929      
 695.57  213     3657     1.39503    1.39547    0.000439475 85       947      
 698.77  215     3701     1.39504    1.39547    0.000436708 84       957      
 704.71  217     3750     1.39504    1.39547    0.000434176 84       975      
 709.82  220     3809     1.39504    1.39547    0.000430251 84       990      
 712.87  222     3851     1.39504    1.39547    0.000426897 86       999      
 721.22  224     3900     1.39504    1.39547    0.000422043 86       1024     
 724.98  227     3957     1.39504    1.39546    0.000420892 87       1035     
 727.99  229     4000     1.39504    1.39546    0.000420506 88       1046     
 733.2   231     4050     1.39505    1.39546    0.000416513 88       1062     
 739.34  234     4105     1.39505    1.39546    0.000413425 85       1077     
 743.39  236     4150     1.39505    1.39546    0.000413092 88       1087     
 749.13  239     4207     1.39505    1.39546    0.000410557 88       1102     
 753.63  241     4250     1.39505    1.39546    0.00040888  88       1114     
 759.23  243     4300     1.39505    1.39546    0.00040754  86       1127     
 763.27  246     4355     1.39505    1.39546    0.000403    89       1137     
 767.79  248     4400     1.39505    1.39546    0.00040139  88       1148     
 772.53  251     4459     1.39506    1.39546    0.000401071 90       1159     
 779.25  253     4500     1.39506    1.39545    0.000398624 88       1175     
