
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4da144f8be5.pomdpx
  loading time : 4.29s 

SARSOP initializing ...
  initialization time : 732.50s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 732.5   0       0        0.586462   1.45598    0.869519    100      1        
 732.7   3       55       1.05462    1.38603    0.331419    9        14       
 732.81  6       105      1.19958    1.386      0.186422    11       21       
 732.97  9       155      1.28221    1.38596    0.103749    21       28       
 733.15  12      209      1.3212     1.38591    0.0647092   29       34       
 733.33  14      250      1.33211    1.3859     0.0537897   44       41       
 733.66  17      300      1.34387    1.38584    0.0419622   68       50       
 734.03  20      359      1.35716    1.38582    0.0286513   79       58       
 734.31  22      400      1.35945    1.38579    0.0263429   98       65       
 734.69  25      450      1.36174    1.38578    0.0240412   120      72       
 735.13  28      500      1.36558    1.38576    0.0201783   123      77       
 735.52  31      550      1.36926    1.38573    0.016464    135      81       
 736.04  34      601      1.3717     1.38571    0.014011    154      87       
 736.98  37      657      1.37347    1.38569    0.012223    183      97       
 737.7   39      700      1.37402    1.38569    0.0116626   211      104      
 738.99  42      750      1.37613    1.38563    0.00950314  189      115      
 740.37  45      807      1.3771     1.38561    0.00851174  145      125      
 741.55  47      850      1.37753    1.3856     0.00807664  98       134      
 742.6   50      900      1.37827    1.38558    0.00730983  78       141      
 744.04  53      950      1.37908    1.38555    0.00646854  59       151      
 745.54  56      1000     1.37966    1.38552    0.00585317  55       160      
 747.52  60      1057     1.38033    1.38548    0.00514259  53       172      
 749.19  63      1107     1.38076    1.38544    0.0046875   45       181      
 750.92  65      1150     1.38117    1.38541    0.00423554  42       191      
 752.3   68      1200     1.38153    1.38538    0.00385449  41       197      
 754.22  71      1250     1.38182    1.38535    0.00352729  43       208      
 756.29  75      1300     1.38209    1.38531    0.00322147  42       218      
 759.76  78      1357     1.38246    1.38526    0.0027942   40       231      
 762.41  81      1405     1.38273    1.38522    0.00248529  43       243      
 764.95  84      1457     1.3829     1.38518    0.00228783  47       252      
 767.52  87      1505     1.38305    1.38514    0.00208732  47       260      
 770.69  90      1553     1.3832     1.38509    0.00188971  49       269      
 773.44  93      1601     1.38331    1.38506    0.00175419  51       279      
 776.14  96      1650     1.38342    1.38504    0.0016261   49       288      
 779.54  99      1700     1.38351    1.38501    0.0015034   51       297      
 782.49  103     1757     1.38365    1.385      0.00134461  54       309      
 785.34  106     1805     1.38373    1.38499    0.00125359  54       319      
 788.04  109     1851     1.3838     1.38497    0.00117341  55       327      
 792.17  112     1900     1.38386    1.38496    0.00109711  62       340      
 794.66  115     1950     1.38393    1.38495    0.00101943  64       347      
 797.91  119     2003     1.384      1.38494    0.000941522 63       356      
 801.19  122     2051     1.38404    1.38493    0.000889748 65       366      
 806.68  125     2100     1.38408    1.38491    0.000828452 66       381      
 810.16  129     2151     1.38413    1.3849     0.00077274  69       390      
 815.6   132     2200     1.38416    1.38489    0.000729397 71       406      
 820.53  136     2255     1.3842     1.38488    0.000680279 71       418      
 825.65  139     2300     1.38423    1.38487    0.000642847 76       429      
 830.95  142     2350     1.38425    1.38486    0.000608799 80       442      
 838.97  145     2400     1.38428    1.38485    0.000569983 83       459      
 845.48  148     2450     1.38429    1.38484    0.000546378 80       473      
 850.96  152     2507     1.38433    1.38484    0.000510291 85       485      
 857.69  155     2555     1.38435    1.38483    0.000481005 88       498      
 861.86  158     2603     1.38436    1.38482    0.000458763 86       506      
 868.06  161     2651     1.38438    1.38482    0.000437439 88       518      
 876.65  164     2701     1.38439    1.38481    0.000418454 86       533      
 885.07  167     2753     1.38441    1.38481    0.000403304 93       551      
 891.95  170     2801     1.38442    1.38481    0.00038629  91       565      
 898.25  173     2851     1.38443    1.3848     0.000372876 96       577      
 908.5   176     2901     1.38444    1.3848     0.000361211 95       595      
 916.17  179     2951     1.38445    1.3848     0.00034885  91       609      
 923.86  182     3000     1.38445    1.38479    0.000337197 89       622      
 932.8   185     3050     1.38446    1.38479    0.000328415 94       638      
 943.25  188     3100     1.38447    1.38478    0.000317886 89       656      
 953.12  191     3150     1.38447    1.38478    0.000309071 91       671      
 963.62  194     3200     1.38448    1.38478    0.000301807 91       687      
 973.5   197     3251     1.38449    1.38478    0.000293446 93       703      
 982.7   200     3301     1.38449    1.38478    0.000284906 96       718      
 992.23  203     3351     1.3845     1.38477    0.000277003 97       733      
 1006.69 206     3405     1.3845     1.38477    0.000269083 93       754      
 1016.56 209     3457     1.38451    1.38477    0.000261417 90       767      
 1026.82 211     3500     1.38451    1.38477    0.00025738  92       781      
 1038.05 215     3557     1.38451    1.38476    0.000250655 90       795      
 1050.52 218     3607     1.38451    1.38476    0.000246726 91       812      
 1060.24 221     3655     1.38452    1.38476    0.000240715 95       825      
 1076.18 224     3705     1.38452    1.38476    0.000235472 91       843      
 1092.09 227     3757     1.38453    1.38475    0.0002287   91       861      
 1106.92 229     3800     1.38453    1.38475    0.000226814 93       878      
 1121.92 232     3853     1.38453    1.38475    0.000221409 99       896      
 1134.48 235     3907     1.38453    1.38475    0.000217547 96       911      
 1150.37 237     3950     1.38454    1.38475    0.00021276  95       931      
 1163.92 240     4000     1.38454    1.38475    0.000207311 92       945      
 1177.96 243     4053     1.38454    1.38475    0.000202092 95       959      
 1194.56 246     4107     1.38455    1.38474    0.000196934 92       975      
 1210.38 248     4150     1.38455    1.38474    0.000194764 93       991      
 1226.8  251     4200     1.38455    1.38474    0.000192563 92       1007     
 1243.21 254     4253     1.38455    1.38474    0.000189328 95       1025     
 1257.79 257     4307     1.38455    1.38474    0.000186559 98       1042     
 1273.86 259     4350     1.38456    1.38474    0.000183602 93       1058     
 1290.19 262     4400     1.38456    1.38474    0.000181536 95       1074     
 1310.3  265     4453     1.38456    1.38474    0.00017923  92       1092     
 1328.93 268     4507     1.38456    1.38474    0.000177061 92       1109     
 1350.51 270     4550     1.38456    1.38474    0.000175813 93       1128     
 1365.47 273     4601     1.38456    1.38474    0.000173497 95       1141     
 1387.71 276     4655     1.38456    1.38474    0.000171329 97       1162     
 1408.83 279     4700     1.38457    1.38473    0.00016946  91       1181     
 1428.17 281     4750     1.38457    1.38473    0.00016755  91       1196     
 1446.59 284     4800     1.38457    1.38473    0.000164149 91       1211     
 1473.77 287     4855     1.38457    1.38473    0.000161179 90       1232     
 1493.69 290     4900     1.38457    1.38473    0.000159216 90       1249     
 1513.7  292     4950     1.38457    1.38473    0.000157095 96       1267     
 1537.14 295     5001     1.38457    1.38473    0.000156695 94       1285     
 1562.15 298     5057     1.38457    1.38473    0.000156016 92       1302     
 1584.11 300     5100     1.38458    1.38473    0.00015557  90       1318     
 1609.76 303     5150     1.38458    1.38473    0.000154756 93       1338     
 1628.77 306     5200     1.38458    1.38473    0.00015314  94       1351     
 1652.43 309     5251     1.38458    1.38473    0.00015154  96       1368     
 1676.79 312     5303     1.38458    1.38473    0.000150162 94       1385     
 1700.72 315     5355     1.38458    1.38473    0.000148718 95       1402     
 1725.77 318     5405     1.38458    1.38473    0.000148336 95       1419     
 1754.76 321     5457     1.38458    1.38473    0.000146788 97       1439     
 1783.34 324     5507     1.38458    1.38473    0.000145204 95       1456     
 1812.36 326     5550     1.38458    1.38473    0.00014369  96       1474     
 1837.01 329     5600     1.38458    1.38472    0.00014244  95       1489     
 1862.8  332     5651     1.38458    1.38472    0.000141955 94       1505     
 1892.31 335     5705     1.38458    1.38472    0.000140526 94       1523     
 1922.74 338     5755     1.38458    1.38472    0.000139326 94       1542     
 1947.79 341     5807     1.38459    1.38472    0.000137706 93       1557     
 1978.44 344     5855     1.38459    1.38472    0.000136523 95       1575     
 2013.13 347     5900     1.38459    1.38472    0.000135299 97       1596     
 2040.21 349     5950     1.38459    1.38472    0.000134395 96       1612     
 2066.92 352     6000     1.38459    1.38472    0.000133996 87       1627     
 2099.78 355     6050     1.38459    1.38472    0.000131674 89       1645     
 2124.18 358     6100     1.38459    1.38472    0.000130704 91       1659     
 2152.87 361     6151     1.38459    1.38472    0.000129561 91       1674     
 2190.65 364     6205     1.38459    1.38472    0.000129313 91       1694     
 2225.34 367     6255     1.38459    1.38472    0.000128992 92       1713     
 2258.95 369     6300     1.38459    1.38472    0.000128263 95       1732     
 2293.6  372     6350     1.38459    1.38472    0.000127227 98       1752     
 2318.62 375     6400     1.38459    1.38472    0.000125984 100      1765     
 2354.38 378     6451     1.38459    1.38472    0.000125808 97       1783     
 2386.5  381     6500     1.38459    1.38472    0.000124924 96       1799     
 2422.26 384     6550     1.38459    1.38472    0.000124685 94       1817     
 2459.67 387     6603     1.38459    1.38472    0.000123581 92       1837     
 2493.86 390     6655     1.38459    1.38472    0.00012248  90       1854     
 2524.15 393     6703     1.3846     1.38472    0.000121251 92       1870     
 2552.18 396     6753     1.3846     1.38472    0.000121028 94       1885     
 2593.12 399     6807     1.3846     1.38472    0.000119645 99       1906     
 2628.18 401     6850     1.3846     1.38472    0.000119546 101      1924     
 2654.67 404     6900     1.3846     1.38472    0.000119347 98       1936     
 2687.85 407     6950     1.3846     1.38472    0.00011917  96       1951     
 2716.97 410     7000     1.3846     1.38471    0.000118112 99       1966     
Writing policy file: ./4da144f8be5_413_2754.5.policy
Intermediate policy written(interval: 2000)
 2754.5  413     7051     1.3846     1.38471    0.00011721  98       1983     
 2790.88 416     7101     1.3846     1.38471    0.000117087 100      2001     
 2829.84 419     7151     1.3846     1.38471    0.000116166 97       2019     
 2865.12 422     7203     1.3846     1.38471    0.000116047 100      2038     
 2904.42 425     7255     1.3846     1.38471    0.000115    99       2058     
 2946.16 428     7305     1.3846     1.38471    0.00011408  97       2077     
 2987.56 431     7357     1.3846     1.38471    0.000113111 97       2095     
 3029.44 433     7400     1.3846     1.38471    0.00011305  97       2114     
 3065.98 436     7450     1.3846     1.38471    0.000112163 96       2130     
 3104.72 439     7500     1.3846     1.38471    0.000111186 97       2147     
 3155.66 442     7551     1.3846     1.38471    0.000110362 94       2168     
 3203.28 445     7603     1.3846     1.38471    0.0001103   92       2187     
 3247.63 448     7655     1.3846     1.38471    0.000110224 94       2205     
 3286.71 451     7705     1.3846     1.38471    0.00010926  95       2221     
 3329    454     7755     1.3846     1.38471    0.000109151 92       2238     
 3372.3  457     7807     1.3846     1.38471    0.000108262 97       2256     
 3424.02 460     7850     1.3846     1.38471    0.000107292 98       2277     
 3461.31 462     7900     1.3846     1.38471    0.000107212 96       2292     
 3501.19 465     7950     1.3846     1.38471    0.000106844 94       2308     
 3553.56 468     8000     1.3846     1.38471    0.000105399 93       2329     
 3596.24 471     8050     1.3846     1.38471    0.000104573 91       2346     
 3636.4  474     8100     1.3846     1.38471    0.000104419 93       2363     
 3678.44 477     8150     1.3846     1.38471    0.000103522 94       2380     
 3728.77 480     8200     1.3846     1.38471    0.000102818 97       2399     
 3777.68 483     8251     1.3846     1.38471    0.000102759 98       2418     
 3822.06 486     8303     1.3846     1.38471    0.000101906 97       2436     
 3868.37 489     8353     1.3846     1.38471    0.000101769 97       2454     
 3908.11 492     8405     1.3846     1.38471    0.000100924 96       2468     
 3959.15 495     8457     1.3846     1.3847     0.000100265 95       2487     
 4005.92 498     8507     1.3846     1.3847     0.000100196 95       2504     
 4055.43 501     8550     1.3846     1.3847     9.93996e-05 93       2521     
 4096.94 503     8600     1.38461    1.3847     9.92929e-05 95       2535     
 4145.98 506     8650     1.38461    1.3847     9.87164e-05 93       2552     
 4185.14 509     8700     1.38461    1.3847     9.73881e-05 95       2566     
 4233.18 512     8750     1.38461    1.3847     9.73017e-05 95       2582     
 4281.32 515     8801     1.38461    1.3847     9.68228e-05 93       2599     
 4336.57 518     8853     1.38461    1.3847     9.67332e-05 95       2618     
 4383.27 521     8903     1.38461    1.3847     9.64217e-05 97       2634     
 4432.51 524     8955     1.38461    1.3847     9.57426e-05 96       2650     
 4497.13 526     9000     1.38461    1.3847     9.54718e-05 103      2672     
 4545.81 529     9050     1.38461    1.3847     9.47569e-05 101      2688     
 4587.1  532     9100     1.38461    1.3847     9.46425e-05 97       2701     
 4642.23 535     9150     1.38461    1.3847     9.457e-05   98       2718     
 4700.19 538     9200     1.38461    1.3847     9.39172e-05 100      2735     
 4741.91 541     9250     1.38461    1.3847     9.38456e-05 101      2747     
Writing policy file: ./4da144f8be5_544_4793.81.policy
Intermediate policy written(interval: 2000)
 4793.81 544     9300     1.38461    1.3847     9.30306e-05 102      2763     
 4853.82 547     9350     1.38461    1.3847     9.29649e-05 100      2781     
 4908.52 550     9401     1.38461    1.3847     9.22542e-05 100      2798     
 4957.6  553     9450     1.38461    1.3847     9.21851e-05 103      2815     
 5012.56 556     9503     1.38461    1.3847     9.15499e-05 103      2833     
 5066.81 559     9557     1.38461    1.3847     9.14892e-05 107      2852     
 5125.83 562     9600     1.38461    1.3847     9.07722e-05 108      2871     
 5179.66 564     9650     1.38461    1.3847     9.01344e-05 100      2887     
 5234.06 567     9701     1.38461    1.3847     9.00376e-05 101      2903     
 5296.35 570     9755     1.38461    1.3847     8.94371e-05 102      2922     
 5363.13 573     9809     1.38461    1.3847     8.93864e-05 103      2942     
 5410.22 575     9850     1.38461    1.3847     8.87685e-05 101      2956     
 5468.2  578     9903     1.38461    1.3847     8.86853e-05 102      2973     
 5545.23 581     9957     1.38461    1.3847     8.83175e-05 101      2995     
 5597.28 584     10007    1.38461    1.3847     8.82409e-05 103      3010     
 5647.27 586     10050    1.38461    1.3847     8.82032e-05 99       3024     
 5704.27 589     10100    1.38461    1.3847     8.7572e-05  100      3041     
 5763.04 592     10150    1.38461    1.3847     8.75267e-05 100      3058     
 5836.58 595     10205    1.38461    1.3847     8.69388e-05 102      3080     
 5892.07 598     10257    1.38461    1.3847     8.68647e-05 102      3095     
 5955.59 600     10300    1.38461    1.3847     8.68511e-05 103      3113     
 6022.04 603     10350    1.38461    1.3847     8.61592e-05 103      3132     
 6067.57 606     10401    1.38461    1.3847     8.60716e-05 106      3145     
 6130.89 609     10451    1.38461    1.3847     8.55695e-05 106      3163     
 6191.91 612     10505    1.38461    1.3847     8.55294e-05 104      3180     
 6250.52 614     10550    1.38461    1.3847     8.49622e-05 112      3199     
 6305.93 617     10600    1.38461    1.38469    8.43259e-05 111      3215     
 6367.55 620     10651    1.38461    1.38469    8.42879e-05 106      3231     
 6435.61 623     10705    1.38461    1.38469    8.37117e-05 104      3250     
 6502.21 626     10757    1.38461    1.38469    8.36656e-05 106      3269     
 6573.02 629     10800    1.38461    1.38469    8.36355e-05 105      3289     
 6635.29 631     10850    1.38461    1.38469    8.31038e-05 105      3306     
 6691.57 634     10900    1.38461    1.38469    8.30163e-05 102      3321     
 6747.07 637     10950    1.38461    1.38469    8.29784e-05 103      3336     
Writing policy file: ./4da144f8be5_640_6814.87.policy
Intermediate policy written(interval: 2000)
 6814.87 640     11001    1.38461    1.38469    8.23686e-05 105      3355     
 6879.71 643     11055    1.38461    1.38469    8.22566e-05 107      3372     
 6939.2  646     11107    1.38461    1.38469    8.21848e-05 106      3388     
 6986.78 649     11155    1.38461    1.38469    8.21599e-05 105      3400     
 7056.92 651     11200    1.38461    1.38469    8.21478e-05 108      3419     
 7129.24 655     11250    1.38461    1.38469    8.16116e-05 110      3438     
 7190    657     11300    1.38461    1.38469    8.15572e-05 107      3454     
 7252.06 660     11350    1.38461    1.38469    8.14993e-05 109      3470     
 7330.01 663     11400    1.38461    1.38469    8.09973e-05 104      3490     
 7390.39 666     11450    1.38461    1.38469    8.09771e-05 105      3506     
 7452.58 669     11500    1.38461    1.38469    8.08193e-05 103      3523     
 7521.76 672     11551    1.38461    1.38469    8.07943e-05 104      3541     
 7602.25 675     11605    1.38461    1.38469    8.07551e-05 104      3561     
 7668.87 678     11653    1.38461    1.38469    8.05531e-05 102      3577     
 7741.13 681     11707    1.38461    1.38469    8.05192e-05 101      3593     
 7805.93 684     11757    1.38461    1.38469    8.02634e-05 103      3607     
 7873.16 687     11805    1.38461    1.38469    7.96574e-05 103      3623     
 7948.85 690     11855    1.38461    1.38469    7.96264e-05 103      3640     
 8015.86 693     11903    1.38461    1.38469    7.91118e-05 103      3657     
 8076.41 696     11953    1.38461    1.38469    7.90909e-05 101      3671     
 8150.9  699     12009    1.38461    1.38469    7.90508e-05 104      3689     
 8218.77 701     12050    1.38461    1.38469    7.85568e-05 103      3705     
 8282.45 704     12100    1.38461    1.38469    7.85376e-05 103      3720     
 8370.76 707     12150    1.38461    1.38469    7.80945e-05 106      3740     
 8444.91 710     12200    1.38461    1.38469    7.80529e-05 105      3756     
 8506.77 713     12250    1.38461    1.38469    7.80259e-05 105      3771     
 8583.96 716     12300    1.38461    1.38469    7.80139e-05 106      3789     
 8634.08 719     12350    1.38461    1.38469    7.75912e-05 108      3802     
 8700.26 722     12400    1.38461    1.38469    7.7565e-05  111      3817     
 8766.82 725     12450    1.38461    1.38469    7.753e-05   110      3831     
Writing policy file: ./4da144f8be5_728_8858.84.policy
Intermediate policy written(interval: 2000)
 8858.84 728     12500    1.38461    1.38469    7.709e-05   113      3852     
 8936.6  732     12550    1.38461    1.38469    7.66084e-05 112      3870     
 9004.03 734     12600    1.38461    1.38469    7.61261e-05 106      3885     
 9076.84 737     12650    1.38461    1.38469    7.61029e-05 107      3902     
 9147.55 740     12700    1.38461    1.38469    7.56027e-05 111      3918     
 9218.81 743     12751    1.38461    1.38469    7.55893e-05 110      3935     
 9281.87 746     12805    1.38461    1.38469    7.55349e-05 112      3951     
 9357.51 749     12857    1.38461    1.38469    7.55145e-05 110      3968     
 9434.73 751     12900    1.38461    1.38469    7.50983e-05 110      3986     
 9497.52 754     12950    1.38461    1.38469    7.46078e-05 110      4000     
 9563.94 757     13000    1.38461    1.38469    7.45842e-05 110      4015     
 9660.82 760     13051    1.38461    1.38469    7.44867e-05 109      4035     
 9731.83 763     13103    1.38461    1.38469    7.44711e-05 109      4051     
 9791.33 766     13153    1.38461    1.38469    7.39842e-05 109      4065     
 9871.18 769     13207    1.38461    1.38469    7.39745e-05 107      4083     
 9937.44 771     13250    1.38461    1.38469    7.35551e-05 107      4099     
 9999.66 775     13307    1.38461    1.38469    7.34922e-05 106      4113     
 10080.2 777     13350    1.38461    1.38469    7.34815e-05 108      4131     
 10151.6 781     13400    1.38461    1.38469    7.34346e-05 110      4148     
 10228.7 783     13450    1.38461    1.38469    7.30491e-05 109      4166     
 10309.8 786     13500    1.38461    1.38469    7.30295e-05 110      4183     
 10398.5 790     13550    1.38461    1.38469    7.26186e-05 109      4201     
 10456.5 792     13600    1.38461    1.38469    7.26051e-05 105      4213     
 10536.8 795     13650    1.38461    1.38469    7.22063e-05 107      4230     
 10605.1 798     13700    1.38461    1.38469    7.21824e-05 108      4245     
 10689.3 801     13750    1.38461    1.38469    7.16723e-05 107      4264     
 10756.1 804     13800    1.38461    1.38469    7.16683e-05 105      4279     
 10829.6 807     13851    1.38461    1.38469    7.16323e-05 108      4296     
Writing policy file: ./4da144f8be5_810_10896.2.policy
Intermediate policy written(interval: 2000)
 10896.2 810     13901    1.38461    1.38469    7.15954e-05 106      4310     
-------------------------------------------------------------------------------

SARSOP finishing ...
  Preset timeout reached
  Timeout     : 10000.000000s
  Actual Time : 10896.190000s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 10896.2 810     13901    1.38461    1.38469    7.15954e-05 106      4310     
-------------------------------------------------------------------------------

Writing out policy ...
  output file : ./4da144f8be5.policyx

