
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4da5459ee17.pomdpx
  loading time : 4.33s 

SARSOP initializing ...
  initialization time : 491.56s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 491.56  0       0        0.504724   0.617133   0.112408    100      1        
 492.3   1       50       0.53501    0.573081   0.0380715   114      22       
 493.11  3       113      0.552665   0.572945   0.02028     126      34       
 493.66  4       151      0.555893   0.572848   0.0169551   147      41       
 494.36  5       200      0.560166   0.572794   0.0126284   183      52       
 495.4   7       263      0.563794   0.572707   0.00891283  220      64       
 496.69  8       301      0.56477    0.57268    0.00790933  228      71       
 498.95  9       350      0.565732   0.572666   0.00693447  101      85       
 501.31  11      413      0.567046   0.572619   0.00557333  84       96       
 503.73  12      453      0.567328   0.572604   0.00527601  81       105      
 506.29  13      500      0.567639   0.572594   0.00495517  72       114      
 509.66  15      567      0.568266   0.572571   0.00430432  64       127      
 511.8   16      605      0.568498   0.572565   0.00406682  47       133      
 515.72  17      650      0.568648   0.572561   0.00391293  46       144      
 522.36  19      717      0.569031   0.572527   0.00349621  50       159      
 525.39  20      750      0.569261   0.572505   0.00324354  44       167      
 533.33  22      813      0.569422   0.572496   0.00307389  48       182      
 538.41  23      851      0.569527   0.57249    0.00296298  51       193      
 545.07  24      900      0.569596   0.572487   0.0028913   52       208      
 555.93  26      963      0.569793   0.572463   0.00267005  54       225      
 562.64  27      1001     0.569874   0.572445   0.00257036  55       235      
 569.69  29      1050     0.569991   0.572442   0.00245096  47       247      
 577.12  30      1107     0.570128   0.572425   0.00229744  50       259      
 585.05  31      1150     0.570195   0.57241    0.00221483  52       273      
 598.42  33      1217     0.570294   0.572388   0.00209418  51       288      
 608.55  34      1253     0.570323   0.572372   0.00204968  60       301      
 619.95  35      1300     0.570351   0.572363   0.00201214  61       315      
 636.18  36      1350     0.570378   0.572349   0.00197099  59       336      
 651.53  37      1400     0.570505   0.572312   0.0018071   60       352      
 665.18  38      1450     0.57055    0.572303   0.00175307  65       365      
 687.57  39      1500     0.570586   0.572286   0.00170009  61       385      
 701.1   40      1550     0.570614   0.572273   0.00165879  76       397      
 724.33  41      1609     0.570636   0.572258   0.00162175  81       416      
 735.88  42      1650     0.570665   0.57225    0.00158552  83       428      
 764.77  43      1709     0.570681   0.572237   0.00155641  81       451      
 777.59  44      1750     0.570695   0.572223   0.00152821  74       460      
 795.48  45      1800     0.570753   0.572208   0.00145432  69       476      
 819.53  46      1850     0.570782   0.572202   0.00141967  72       492      
 851.86  47      1909     0.570813   0.572183   0.00137036  83       515      
 884.17  48      1967     0.57083    0.57217    0.00134019  76       535      
