
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4da54af9f12.pomdpx
  loading time : 4.85s 

SARSOP initializing ...
  initialization time : 1295.17s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1295.17 0       0        0.504832   0.66767    0.162839    100      1        
 1314.74 1       50       0.53467    0.617335   0.0826649   116      32       
 1333.83 3       100      0.558393   0.617277   0.0588844   35       53       
 1368.41 5       150      0.576361   0.61721    0.0408484   28       72       
 1397.09 7       201      0.584955   0.617035   0.0320799   16       92       
 1437.37 9       251      0.591237   0.616878   0.0256412   20       115      
 1491.06 11      300      0.595912   0.616641   0.0207296   18       139      
 1533.99 13      350      0.599585   0.616562   0.0169767   18       166      
 1601.82 16      407      0.602304   0.616391   0.0140877   22       192      
 1680.1  18      457      0.604071   0.616311   0.0122398   22       217      
 1815.84 19      500      0.605295   0.616283   0.0109883   24       242      
 1898.24 21      550      0.606658   0.616235   0.00957681  23       266      
 1959.12 23      600      0.608055   0.616163   0.0081081   24       288      
 2054.1  25      650      0.609168   0.616141   0.00697357  24       312      
 2093.57 28      709      0.609993   0.616067   0.00607447  24       334      
 2178.99 30      753      0.610545   0.616048   0.00550306  25       353      
 2198.57 32      803      0.610707   0.615989   0.00528222  29       377      
 2303.24 34      850      0.611094   0.615962   0.00486844  29       402      
 2495.74 36      900      0.611536   0.615936   0.00440057  32       429      
 2573.48 39      959      0.611994   0.615867   0.00387295  30       452      
 2696.96 41      1009     0.612264   0.615824   0.00356064  30       474      
 2709.87 43      1050     0.612301   0.615777   0.00347609  29       495      
 2883.54 45      1100     0.612513   0.615757   0.00324325  31       522      
 2939.79 48      1150     0.612574   0.615733   0.00315842  31       542      
 3038.68 51      1209     0.612801   0.615694   0.00289313  29       565      
 3196.82 53      1255     0.612957   0.615688   0.00273131  31       584      
 3222.1  55      1303     0.61298    0.615685   0.00270486  33       606      
 3242.31 58      1355     0.612993   0.615668   0.00267557  35       629      
Writing policy file: ./4da54af9f12_60_3437.19.policy
Intermediate policy written(interval: 2000)
 3437.19 60      1400     0.613146   0.615634   0.00248808  41       653      
 3454.33 62      1450     0.61316    0.615619   0.00245912  41       678      
 3684.7  65      1511     0.613262   0.615576   0.00231489  45       701      
 3906.96 67      1559     0.613351   0.615561   0.00220967  46       724      
 3950.22 69      1603     0.613369   0.615552   0.00218308  40       744      
 4196.83 71      1653     0.613455   0.615524   0.00206846  40       768      
 4220.39 73      1703     0.613469   0.615518   0.00204918  41       791      
 4256.46 75      1751     0.613472   0.615504   0.00203185  45       813      
 4517.33 77      1800     0.613544   0.615488   0.00194356  47       834      
 4535.71 79      1850     0.613551   0.615482   0.00193065  47       855      
 4829.13 81      1900     0.613603   0.615461   0.00185785  48       877      
 4851.7  83      1955     0.613612   0.615455   0.00184363  46       899      
 4873.08 85      2007     0.613612   0.615453   0.00184056  51       922      
 4897.89 87      2055     0.613613   0.615442   0.00182923  51       944      
 5201.41 89      2105     0.613673   0.615433   0.00175959  50       965      
 5221.49 91      2151     0.613681   0.615424   0.0017423   50       979      
 5254.37 93      2200     0.613686   0.615424   0.00173761  47       1001     
 5270.61 95      2250     0.613688   0.615423   0.00173592  47       1017     
