
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/4db4fe4ce9d.pomdpx
  loading time : 4.02s 

SARSOP initializing ...
  initialization time : 313.94s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 313.94  0       0        2.51304    4.24008    1.72704     100      1        
 314.49  3       50       3.85209    4.06586    0.213765    127      29       
 315.21  6       100      3.95556    4.06559    0.110032    140      52       
 316.21  8       150      3.99026    4.0655     0.0752417   161      79       
 317.44  11      205      4.01524    4.06513    0.0498872   185      101      
 318.85  13      250      4.02382    4.06509    0.0412721   203      123      
 321.1   16      309      4.034      4.06499    0.0309904   95       149      
 323.14  18      351      4.03812    4.06482    0.0267041   78       169      
 325.82  20      400      4.04082    4.06478    0.0239663   62       196      
 328.12  23      457      4.04418    4.0647     0.0205203   63       217      
 330.38  25      501      4.04527    4.06467    0.019394    56       235      
 333.45  27      550      4.04679    4.06459    0.0177943   53       259      
 336.54  30      609      4.04804    4.06455    0.0165064   42       281      
 339.18  32      650      4.04927    4.06453    0.0152622   41       300      
 343.23  34      700      4.05022    4.06452    0.0142928   33       326      
 347.06  37      761      4.0516     4.06443    0.0128335   33       350      
 350.64  39      805      4.0519     4.06439    0.0124936   38       370      
 354.21  41      850      4.05226    4.06437    0.0121126   45       389      
 358.6   43      900      4.05269    4.06436    0.0116689   37       412      
 364.01  45      950      4.05337    4.06425    0.0108773   40       438      
 368.49  48      1011     4.05383    4.06423    0.0103983   43       457      
 373.72  50      1059     4.05401    4.06421    0.0101964   39       478      
 379.2   52      1107     4.05415    4.0642     0.0100499   41       499      
 384.54  54      1155     4.05434    4.06417    0.00983043  44       518      
 390.74  56      1201     4.05444    4.06415    0.00971164  55       539      
 396.27  58      1250     4.05459    4.06414    0.00955031  61       558      
 403.49  60      1300     4.05463    4.06413    0.00949778  56       581      
 411.34  62      1350     4.05478    4.06412    0.00934717  55       606      
 418.3   65      1411     4.0549     4.06411    0.0092133   58       628      
 425.02  67      1455     4.05494    4.0641     0.00916791  54       647      
 431.91  69      1500     4.05498    4.0641     0.00912174  68       666      
 441.33  71      1550     4.05505    4.06409    0.0090386   59       691      
 450.3   74      1611     4.05519    4.06408    0.00888386  66       714      
 457.96  76      1655     4.05526    4.06406    0.00880861  69       733      
 466.59  78      1703     4.05535    4.06403    0.00867929  74       755      
 475.42  80      1750     4.05546    4.06397    0.00851125  68       777      
 483.96  82      1800     4.05549    4.06396    0.00847419  66       797      
 493.75  84      1850     4.05555    4.06395    0.00839734  66       820      
 504.66  86      1900     4.05558    4.06394    0.00836109  73       845      
 514.37  89      1959     4.05562    4.06393    0.00831301  69       866      
 522.8   91      2003     4.05566    4.06392    0.00826005  65       883      
 532.25  93      2051     4.05568    4.06392    0.00823368  76       903      
 541.21  95      2100     4.05569    4.06391    0.00821564  81       922      
 553.43  97      2150     4.05577    4.0639     0.00813318  77       946      
 562.24  100     2209     4.05582    4.0639     0.00808018  81       963      
 572.9   102     2253     4.0559     4.06388    0.00797801  75       982      
 583.62  104     2300     4.05592    4.06387    0.00795222  80       1002     
 596.57  106     2350     4.05593    4.06386    0.00793274  76       1025     
 609.86  108     2400     4.05598    4.06383    0.00784702  83       1049     
 618.49  111     2457     4.056      4.06382    0.0078241   86       1064     
 629.39  113     2505     4.05603    4.06381    0.00777991  79       1084     
 639.57  115     2550     4.05605    4.0638     0.0077594   79       1102     
 651.69  117     2600     4.05608    4.06379    0.00770655  86       1123     
 666.44  119     2650     4.05609    4.06379    0.00769293  84       1147     
 678.77  122     2711     4.05612    4.06377    0.00765249  97       1167     
 688.74  124     2755     4.05616    4.06375    0.00759367  93       1182     
 700.89  126     2800     4.05618    4.06374    0.00755937  94       1200     
 715.98  128     2850     4.05622    4.06374    0.0075195   90       1223     
 730.62  130     2900     4.05624    4.06374    0.00749867  100      1245     
 743.64  133     2957     4.05625    4.06373    0.00747315  109      1263     
 754.93  135     3003     4.05626    4.06372    0.00746705  102      1279     
 767.81  137     3050     4.05626    4.06372    0.00745935  100      1297     
 783.31  139     3100     4.05627    4.06372    0.00745238  97       1319     
 797.91  142     3159     4.05627    4.06372    0.00744418  106      1338     
 810.5   144     3203     4.05628    4.06372    0.00744009  95       1354     
 823.86  146     3250     4.05628    4.06371    0.00743041  102      1370     
 841.05  148     3300     4.05629    4.06371    0.0074197   103      1393     
 859.02  151     3361     4.05633    4.06369    0.00736169  95       1415     
 874.41  153     3405     4.05634    4.06369    0.00735463  99       1433     
 890.03  155     3450     4.05635    4.06369    0.00734377  103      1452     
 906.58  157     3500     4.05636    4.06368    0.00732578  105      1472     
 926.33  160     3550     4.05637    4.06368    0.00731368  103      1494     
 942.72  162     3605     4.05637    4.06368    0.00730801  105      1512     
 957.73  164     3651     4.05637    4.06368    0.00730282  105      1529     
 978.27  166     3700     4.05639    4.06367    0.0072808   98       1551     
 999.47  168     3750     4.05639    4.06367    0.00727309  97       1572     
 1014.64 171     3807     4.0564     4.06366    0.00726499  93       1587     
 1033.09 173     3853     4.0564     4.06366    0.00726126  90       1605     
 1053.9  175     3900     4.05641    4.06366    0.0072491   100      1626     
 1078.7  178     3950     4.05641    4.06365    0.00724419  111      1651     
 1095.01 180     4003     4.05644    4.06363    0.00718847  110      1667     
 1112.98 182     4050     4.05645    4.06363    0.00718476  106      1685     
 1140.29 184     4100     4.05645    4.06363    0.00718293  121      1711     
 1159.78 187     4155     4.05645    4.06363    0.00718074  114      1729     
 1178.32 189     4200     4.05645    4.06362    0.00717013  117      1746     
 1198.73 192     4250     4.05646    4.06362    0.00716801  121      1765     
 1216.02 194     4305     4.05646    4.06362    0.0071565   113      1781     
 1237.76 196     4350     4.05647    4.06361    0.00714856  118      1801     
 1259.64 199     4409     4.05647    4.06361    0.00714496  123      1820     
 1277.23 201     4451     4.05647    4.06361    0.0071414   123      1835     
 1296.67 203     4500     4.05648    4.0636     0.00711427  131      1854     
 1318.89 206     4559     4.05653    4.06358    0.00705606  132      1874     
 1337.06 208     4603     4.05653    4.06358    0.00705068  128      1891     
 1358.55 210     4650     4.05653    4.06358    0.00704724  130      1910     
 1382.43 213     4700     4.05654    4.06358    0.00704401  127      1932     
 1401.79 215     4753     4.05654    4.06358    0.00703726  125      1948     
 1424.76 217     4800     4.05654    4.06358    0.00703335  121      1968     
 1447.48 220     4859     4.05656    4.06356    0.0069999   116      1987     
 1466.84 222     4903     4.05661    4.06352    0.00690257  114      2004     
 1483.93 224     4951     4.05662    4.06351    0.00689586  118      2020     
 1506.29 226     5000     4.05662    4.06351    0.00688974  116      2039     
 1530.65 229     5050     4.05662    4.06351    0.00688579  112      2060     
 1548.42 231     5103     4.05662    4.06351    0.00688277  117      2075     
 1574.01 233     5150     4.05663    4.0635     0.00687233  125      2095     
 1599.38 236     5207     4.05668    4.06348    0.00680708  129      2116     
 1619.96 238     5250     4.05668    4.06348    0.00680422  131      2132     
 1645.18 240     5300     4.05668    4.06348    0.00679991  134      2152     
 1667.27 243     5357     4.05669    4.06347    0.00678004  134      2169     
 1685.25 245     5400     4.05669    4.06347    0.00677728  133      2183     
 1716.58 247     5450     4.05669    4.06347    0.00677599  131      2207     
 1737.9  250     5505     4.05669    4.06347    0.00677372  130      2223     
 1760.67 252     5550     4.0567     4.06347    0.00677159  134      2240     
 1783.21 254     5600     4.05702    4.06345    0.00642421  148      2259     
 1807.49 257     5661     4.05704    4.06345    0.00640901  164      2278     
 1830.99 259     5709     4.05704    4.06344    0.00640732  161      2296     
 1856.65 261     5759     4.05704    4.06344    0.00640351  165      2316     
 1877.41 263     5809     4.05704    4.06344    0.0064021   171      2333     
 1903.74 265     5857     4.05704    4.06344    0.00639537  164      2353     
 1928.36 267     5905     4.05704    4.06343    0.00639171  163      2372     
 1953.57 269     5951     4.05704    4.06343    0.00638407  169      2391     
 1979.84 271     6000     4.05705    4.06343    0.0063791   171      2411     
 2007.39 273     6050     4.05705    4.06342    0.00637544  175      2431     
 2035.88 275     6100     4.05705    4.06342    0.00637482  169      2452     
 2066.53 277     6150     4.05705    4.06342    0.006371    158      2475     
 2089.95 280     6209     4.05705    4.06342    0.00636662  158      2492     
 2110.83 282     6253     4.05705    4.06342    0.00636588  160      2506     
 2135.91 284     6300     4.05705    4.06342    0.0063647   159      2523     
 2164.28 286     6350     4.05705    4.06342    0.00636378  162      2542     
 2191.92 289     6409     4.05705    4.06342    0.00636159  164      2560     
 2219.94 291     6457     4.05706    4.06341    0.00635343  168      2578     
 2246.24 293     6505     4.05707    4.06341    0.00633299  171      2596     
 2273.49 295     6551     4.05709    4.0634     0.00631963  172      2614     
 2307.74 297     6600     4.05709    4.0634     0.00631594  174      2636     
Writing policy file: ./4db4fe4ce9d_299_2337.43.policy
Intermediate policy written(interval: 2000)
 2337.43 299     6650     4.0571     4.06338    0.00627938  172      2655     
 2362.94 302     6711     4.0571     4.06338    0.00627813  181      2671     
 2389.94 304     6757     4.0571     4.06338    0.00627652  174      2687     
 2417.13 306     6801     4.0571     4.06338    0.00627546  175      2703     
 2449.64 308     6850     4.0571     4.06338    0.00627482  182      2722     
 2477.69 310     6900     4.0571     4.06337    0.00627109  186      2739     
 2511.59 313     6961     4.0571     4.06337    0.00626636  183      2760     
 2540.02 315     7009     4.0571     4.06337    0.00626525  178      2778     
 2569.94 317     7057     4.05711    4.06337    0.00626223  178      2796     
 2600.95 319     7101     4.05711    4.06337    0.00626111  172      2814     
 2625.77 321     7150     4.05711    4.06337    0.00625911  175      2828     
 2666.73 323     7200     4.05711    4.06337    0.00625731  178      2851     
 2699    326     7250     4.05711    4.06336    0.00625691  179      2869     
 2728.41 328     7309     4.05711    4.06336    0.006255    174      2886     
 2759.12 330     7353     4.05711    4.06336    0.00625434  184      2903     
 2787.5  332     7400     4.05711    4.06336    0.0062528   185      2918     
 2826.54 334     7450     4.05711    4.06336    0.00625074  174      2939     
 2866.26 336     7500     4.05711    4.06336    0.00624796  179      2959     
 2903.27 339     7559     4.05711    4.06335    0.00623947  187      2976     
 2939.26 341     7603     4.05711    4.06335    0.00623467  186      2993     
 2976.94 343     7650     4.05711    4.06335    0.00623421  188      3011     
 3024.99 345     7700     4.05712    4.06334    0.00622629  195      3034     
 3067.08 348     7750     4.05712    4.06334    0.00622545  203      3053     
 3103.49 350     7805     4.05712    4.06334    0.00622268  200      3070     
 3133.41 352     7850     4.05712    4.06334    0.006219    196      3084     
