
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9e4b52578a.pomdpx
  loading time : 5.28s 

SARSOP initializing ...
  initialization time : 1494.87s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 1494.87 0       0        0.504887   0.669015   0.164128    100      1        
 1532.62 2       50       0.536263   0.618569   0.082306    116      33       
 1562.16 4       113      0.573779   0.618485   0.0447063   17       54       
 1605.1  5       150      0.581453   0.618453   0.0369999   15       73       
 1667.73 7       200      0.592267   0.618238   0.0259711   13       95       
 1736.11 10      263      0.600615   0.617904   0.0172892   18       123      
 1811.96 12      309      0.603716   0.61775    0.0140336   23       145      
 1844.6  14      350      0.605373   0.617615   0.0122419   21       167      
 1998.86 16      403      0.608448   0.617556   0.00910749  24       190      
 2107.23 18      455      0.610015   0.617499   0.00748394  26       215      
 2126.35 20      505      0.610831   0.617422   0.00659136  20       238      
 2178.53 22      550      0.61114    0.617386   0.00624584  23       262      
 2307.38 24      600      0.611842   0.617354   0.00551142  23       286      
 2486.39 27      650      0.612193   0.617311   0.00511819  29       311      
 2525.19 29      700      0.612585   0.61725    0.00466458  28       330      
 2657.73 31      750      0.613159   0.61722    0.00406171  30       354      
 2689.21 33      800      0.613272   0.617183   0.00391151  31       377      
 2830.88 35      850      0.613502   0.617151   0.00364925  29       401      
 2855.5  38      900      0.613587   0.617102   0.00351496  32       422      
 3049.23 41      959      0.613801   0.617047   0.00324548  29       450      
 3224.21 43      1011     0.614109   0.617005   0.00289584  36       474      
 3406.78 45      1050     0.614134   0.617001   0.002867    38       498      
Writing policy file: ./2a9e4b52578a_47_3598.39.policy
Intermediate policy written(interval: 2000)
 3598.39 47      1107     0.614343   0.61696    0.00261687  40       519      
 3630.87 49      1153     0.614375   0.616941   0.00256587  40       541      
 3667.09 51      1205     0.614395   0.616933   0.0025372   36       565      
 3769.39 53      1250     0.61441    0.616927   0.00251754  37       588      
 3937.77 55      1300     0.614511   0.616899   0.00238811  37       613      
 4127.71 57      1350     0.61453    0.616886   0.00235613  41       638      
 4379.13 59      1400     0.614717   0.616866   0.00214879  42       661      
 4414.94 61      1450     0.614749   0.616855   0.00210587  42       681      
 4443.65 64      1500     0.614752   0.616826   0.00207411  44       706      
 4462.67 66      1561     0.614756   0.616774   0.00201769  45       723      
 4716.04 68      1609     0.614856   0.616755   0.00189945  41       746      
 4769.06 70      1657     0.61487    0.616749   0.00187892  41       764      
 5019.65 72      1700     0.614903   0.616735   0.00183228  45       792      
 5037.71 73      1750     0.614923   0.616729   0.00180662  44       805      
 5363.94 75      1800     0.614954   0.61671    0.00175602  49       825      
Writing policy file: ./2a9e4b52578a_77_5662.65.policy
Intermediate policy written(interval: 2000)
 5662.65 77      1850     0.615018   0.61669    0.00167289  49       845      
 5810.04 79      1900     0.615052   0.616674   0.00162151  51       860      
 5845.42 81      1959     0.615056   0.616668   0.00161133  53       879      
 5999.59 82      2000     0.615063   0.616667   0.00160406  50       897      
 6144.29 84      2051     0.615099   0.61665    0.00155027  48       913      
 6178.6  85      2100     0.615103   0.616648   0.00154409  48       928      
 6245.65 87      2155     0.615106   0.616645   0.0015385   50       942      
 6506.61 89      2207     0.615135   0.616631   0.00149503  52       959      
 6516.85 90      2250     0.615136   0.616622   0.00148521  52       968      
 6545.34 92      2303     0.615137   0.616613   0.00147593  52       980      
 6592.89 93      2350     0.615137   0.61661    0.0014725   56       1000     
 6872.03 95      2400     0.615161   0.616597   0.00143566  53       1017     
 6921.71 97      2461     0.615169   0.616594   0.00142564  55       1030     
 6951.05 98      2500     0.615169   0.616591   0.00142213  56       1042     
 7000.33 99      2550     0.615169   0.616589   0.00141936  55       1053     
 7027.76 101     2607     0.615172   0.616583   0.00141079  57       1063     
 7040.83 102     2650     0.615172   0.616582   0.00140994  57       1070     
 7063.52 104     2707     0.615173   0.616577   0.00140417  58       1079     
 7091.37 105     2750     0.615174   0.616576   0.00140237  58       1090     
 7118.1  107     2813     0.615174   0.616576   0.00140154  59       1097     
 7125.77 108     2850     0.615174   0.616576   0.00140149  59       1099     
 7136.62 110     2911     0.615174   0.616576   0.00140141  60       1103     
 7161.53 111     2950     0.615175   0.616576   0.00140117  59       1107     
 7217.04 113     3000     0.615175   0.616576   0.00140115  59       1115     
 7223.41 114     3053     0.615175   0.616576   0.00140097  61       1117     
 7241.92 115     3100     0.615175   0.616576   0.00140089  62       1122     
 7269.81 117     3157     0.615175   0.616576   0.00140084  65       1127     
 7272.51 118     3200     0.615175   0.616576   0.00140083  61       1128     
 7297.11 120     3259     0.615175   0.616576   0.00140054  63       1135     
 7323.57 121     3300     0.615175   0.616576   0.00140048  63       1139     
 7343.59 123     3355     0.615175   0.616574   0.00139858  65       1145     
