
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9e5b9973ea.pomdpx
  loading time : 3.22s 

SARSOP initializing ...
  initialization time : 507.54s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 507.54  0       0        0.768087   1.46283    0.694743    100      1        
 507.76  4       50       1.12322    1.39705    0.273831    130      20       
 507.93  7       100      1.26012    1.39701    0.136893    168      30       
 508.18  9       150      1.31012    1.39695    0.0868349   195      43       
 508.65  12      200      1.33946    1.39689    0.0574294   235      53       
 509.08  15      250      1.35385    1.39683    0.0429817   271      61       
 509.6   19      307      1.36666    1.39674    0.0300811   291      72       
 510.18  22      351      1.37309    1.39668    0.0235854   306      82       
 510.73  25      400      1.37806    1.39665    0.0185882   335      91       
 511.48  28      450      1.38063    1.39659    0.0159578   347      103      
 512.25  31      500      1.38335    1.39652    0.0131716   373      113      
 513.02  34      550      1.38505    1.39648    0.011427    185      120      
 513.95  37      600      1.38669    1.39642    0.00972427  163      134      
 514.83  40      650      1.38787    1.39633    0.00845968  135      145      
 515.62  43      700      1.38851    1.39628    0.00776981  106      156      
 516.6   46      750      1.38948    1.39622    0.00674421  83       168      
 517.57  49      801      1.3902     1.39617    0.00596747  67       181      
 518.35  52      855      1.39068    1.3961     0.00542546  51       192      
 518.98  55      905      1.39108    1.39609    0.00501439  46       202      
 519.73  58      953      1.39151    1.39608    0.0045738   40       211      
 520.75  61      1003     1.39187    1.39602    0.00414601  42       222      
 521.57  64      1051     1.39213    1.39599    0.00385858  41       233      
 522.35  67      1100     1.39244    1.39598    0.00354248  44       241      
 522.83  70      1150     1.39278    1.39595    0.00317286  42       247      
 523.94  73      1200     1.39299    1.3959     0.00291386  46       258      
 524.67  76      1250     1.39316    1.39587    0.00271296  50       265      
 525.56  79      1300     1.39333    1.39587    0.00254232  54       275      
 526.25  83      1355     1.39351    1.39586    0.00235017  56       283      
 527.23  86      1400     1.39363    1.39584    0.00220949  56       291      
 528.05  90      1453     1.39379    1.39583    0.00204108  62       299      
 529.16  93      1501     1.39389    1.39581    0.00191587  64       310      
 530.35  96      1550     1.39398    1.3958     0.00181772  64       322      
 531.58  100     1605     1.3941     1.39579    0.0016956   65       334      
 533.28  103     1650     1.39421    1.39577    0.00156006  68       348      
 535.07  106     1700     1.39427    1.39575    0.00147966  74       364      
 537.09  110     1757     1.39437    1.39573    0.00135232  75       378      
 538.79  113     1805     1.39443    1.39572    0.001288    75       389      
 541.2   116     1851     1.39447    1.3957     0.00123136  76       404      
 542.99  119     1900     1.39453    1.3957     0.00117066  75       415      
 545.57  123     1957     1.39458    1.39568    0.00109677  73       428      
 547.98  126     2005     1.39462    1.39567    0.00104889  77       442      
 549.95  129     2053     1.39466    1.39566    0.00100146  78       457      
 551.77  132     2105     1.39469    1.39565    0.000964865 74       471      
 553.66  135     2155     1.39472    1.39564    0.000922532 75       484      
 555.69  138     2203     1.39473    1.39563    0.000890627 78       498      
 558.45  141     2255     1.39476    1.39561    0.000850213 77       516      
 560.14  144     2303     1.39478    1.3956     0.00081839  78       526      
 562.34  147     2351     1.39481    1.3956     0.000786321 77       539      
 565.32  150     2403     1.39483    1.39559    0.000759028 78       557      
 567.49  153     2455     1.39485    1.39558    0.000735537 80       570      
 570.31  155     2500     1.39488    1.39558    0.000702362 78       586      
 572.43  158     2550     1.39489    1.39557    0.0006765   78       597      
 576.61  161     2603     1.3949     1.39556    0.00065538  78       615      
 581.46  163     2650     1.39491    1.39555    0.000641318 79       635      
 584.14  166     2700     1.39492    1.39555    0.000625852 80       648      
 586.97  169     2759     1.39493    1.39554    0.000609788 81       659      
 590.15  171     2800     1.39494    1.39554    0.000598529 82       672      
 595.52  174     2855     1.39495    1.39553    0.000582278 83       692      
 599.06  176     2900     1.39495    1.39553    0.000571839 82       708      
 604.13  178     2950     1.39496    1.39552    0.000561875 82       728      
 607.1   181     3001     1.39497    1.39552    0.000552471 82       739      
 611.91  183     3050     1.39497    1.39551    0.000544372 88       760      
 615.36  186     3103     1.39498    1.39551    0.00053278  85       773      
 618.17  188     3150     1.39499    1.39551    0.000523236 86       785      
 621.68  191     3205     1.39499    1.3955     0.000512705 85       800      
 627.23  193     3250     1.39499    1.3955     0.000509216 86       821      
 632.36  196     3300     1.395      1.3955     0.000503109 85       840      
 636.01  198     3353     1.39501    1.3955     0.000489251 87       854      
 641.42  200     3400     1.39501    1.39549    0.000477322 89       872      
 646.75  202     3450     1.39501    1.39549    0.000473894 86       888      
 651.13  205     3511     1.39502    1.39549    0.000468458 87       902      
 655.14  207     3555     1.39502    1.39548    0.000463995 87       914      
 659.11  209     3600     1.39502    1.39548    0.000461024 95       926      
 664.75  211     3650     1.39502    1.39548    0.000454293 90       941      
 670.95  214     3703     1.39503    1.39548    0.000446288 86       958      
 675.69  216     3750     1.39503    1.39547    0.000441671 88       978      
 681.95  219     3809     1.39503    1.39547    0.000435469 98       996      
 686.91  221     3851     1.39504    1.39547    0.000433404 92       1010     
 692.36  223     3900     1.39504    1.39547    0.000427837 91       1025     
 698.63  226     3957     1.39504    1.39546    0.000424151 89       1042     
 703.4   228     4001     1.39504    1.39546    0.000420642 91       1055     
 708.72  230     4050     1.39504    1.39546    0.000420021 92       1068     
 712.42  233     4107     1.39505    1.39546    0.000415199 93       1079     
 716.29  235     4151     1.39505    1.39546    0.000413194 92       1088     
 721     237     4200     1.39505    1.39546    0.000411282 91       1100     
 727.69  240     4255     1.39505    1.39546    0.000406868 87       1116     
 732.64  242     4300     1.39505    1.39546    0.000405133 85       1130     
 737.01  244     4350     1.39505    1.39545    0.000402943 85       1141     
 742.46  247     4409     1.39505    1.39545    0.000399386 89       1154     
 747.74  249     4450     1.39505    1.39545    0.000398693 90       1167     
 754.54  252     4509     1.39506    1.39545    0.000395253 85       1182     
 760.38  254     4550     1.39506    1.39545    0.000393679 85       1195     
 767.52  257     4609     1.39506    1.39545    0.000390859 87       1210     
 773.19  259     4655     1.39506    1.39545    0.000388846 95       1224     
 781.64  261     4700     1.39506    1.39545    0.000387369 89       1245     
 785.84  264     4750     1.39506    1.39545    0.0003854   89       1256     
 788.12  266     4801     1.39506    1.39545    0.000383099 90       1262     
 795.85  268     4850     1.39506    1.39544    0.000381021 89       1279     
 803.72  270     4900     1.39506    1.39544    0.00038056  85       1295     
 806.2   273     4951     1.39506    1.39544    0.000378799 86       1301     
 810.77  275     5000     1.39506    1.39544    0.000378641 88       1312     
 814.1   278     5057     1.39507    1.39544    0.000376289 88       1323     
 820.14  280     5100     1.39507    1.39544    0.000373677 86       1338     
 829.91  283     5157     1.39507    1.39544    0.000370568 85       1359     
 837.41  285     5201     1.39507    1.39544    0.000367884 87       1375     
 843.56  287     5250     1.39507    1.39544    0.000366194 89       1387     
 851.05  290     5305     1.39507    1.39543    0.000364214 85       1404     
 857     292     5350     1.39507    1.39543    0.000362839 84       1418     
 865.12  295     5409     1.39507    1.39543    0.000357783 87       1435     
 872.62  297     5453     1.39507    1.39543    0.000355953 86       1450     
 878.18  299     5500     1.39507    1.39543    0.000353959 87       1465     
 885.07  301     5550     1.39507    1.39543    0.000350677 89       1480     
 893.15  304     5607     1.39508    1.39542    0.00034939  88       1496     
 899.6   306     5653     1.39508    1.39542    0.000348242 92       1511     
 908.3   308     5700     1.39508    1.39542    0.000346241 92       1532     
 919.5   311     5759     1.39508    1.39542    0.000343344 91       1553     
 925.52  313     5803     1.39508    1.39542    0.000342461 92       1566     
 931.9   315     5850     1.39508    1.39542    0.000341493 91       1578     
 939.81  318     5900     1.39508    1.39542    0.000340447 92       1595     
 946.62  320     5951     1.39508    1.39542    0.000337779 93       1605     
 957.72  322     6000     1.39508    1.39541    0.000335031 93       1623     
 967.43  324     6050     1.39508    1.39541    0.000334078 95       1642     
 973.32  327     6105     1.39508    1.39541    0.000332816 95       1654     
 981.23  329     6151     1.39508    1.39541    0.000330303 93       1670     
 990.41  331     6200     1.39508    1.39541    0.000329263 95       1684     
 1002.36 333     6250     1.39508    1.39541    0.000328018 96       1705     
 1012.68 336     6305     1.39508    1.39541    0.000325539 92       1720     
 1022.91 338     6350     1.39508    1.3954     0.000323263 95       1736     
 1034.55 340     6400     1.39508    1.3954     0.000322199 95       1754     
 1042.15 343     6453     1.39508    1.3954     0.000321234 94       1769     
 1051.21 345     6500     1.39508    1.3954     0.00031893  95       1784     
 1056.71 347     6550     1.39508    1.3954     0.00031873  99       1795     
 1060.49 350     6603     1.39508    1.3954     0.000317587 99       1802     
 1066.23 352     6650     1.39508    1.3954     0.000317523 97       1814     
 1077.53 355     6709     1.39508    1.3954     0.000316413 96       1833     
 1085.12 357     6753     1.39508    1.3954     0.000315301 96       1845     
 1091.84 359     6800     1.39508    1.3954     0.000314285 97       1855     
 1102.1  362     6859     1.39508    1.3954     0.00031248  100      1872     
 1110.31 364     6900     1.39508    1.3954     0.00031137  98       1883     
 1119.97 366     6950     1.39508    1.3954     0.000311306 100      1896     
 1130.93 369     7009     1.39508    1.3954     0.000311164 98       1912     
 1140.46 371     7051     1.39508    1.3954     0.000311139 99       1925     
 1144.56 373     7100     1.39508    1.39539    0.000310118 102      1931     
 1152.82 376     7161     1.39508    1.39539    0.000308941 101      1943     
 1162.48 378     7205     1.39509    1.39539    0.000307767 101      1957     
 1169.9  380     7250     1.39509    1.39539    0.000307666 98       1969     
 1179.13 382     7300     1.39509    1.39539    0.000304847 100      1984     
 1182.53 385     7353     1.39509    1.39539    0.000304178 97       1989     
 1187.69 387     7400     1.39509    1.39539    0.000304124 97       1998     
 1199.75 389     7450     1.39509    1.39539    0.000304108 96       2014     
 1205.19 392     7505     1.39509    1.39539    0.000304026 95       2021     
 1214.08 394     7550     1.39509    1.39539    0.000303913 96       2031     
 1223.76 397     7600     1.39509    1.39539    0.000302497 100      2046     
 1232.8  399     7653     1.39509    1.39539    0.000302325 100      2059     
 1241.85 401     7700     1.39509    1.39539    0.000302287 97       2069     
 1248.7  404     7757     1.39509    1.39539    0.000301191 98       2080     
 1257.17 406     7800     1.39509    1.39539    0.000300212 97       2090     
 1271.09 408     7850     1.39509    1.39539    0.000299561 100      2107     
 1276.57 411     7905     1.39509    1.39539    0.000298851 102      2112     
 1285    413     7950     1.39509    1.39539    0.000298687 103      2122     
 1292.16 416     8007     1.39509    1.39539    0.000298    102      2132     
 1298.21 418     8050     1.39509    1.39539    0.000297915 103      2140     
 1310.39 421     8109     1.39509    1.39539    0.00029784  99       2153     
 1321.08 423     8155     1.39509    1.39538    0.000296517 103      2168     
 1325.97 425     8200     1.39509    1.39538    0.000296443 102      2173     
 1332.79 428     8255     1.39509    1.39538    0.000296331 104      2182     
 1342.72 430     8300     1.39509    1.39538    0.000296289 100      2195     
 1351.15 433     8359     1.39509    1.39538    0.00029621  100      2206     
 1360.91 435     8400     1.39509    1.39538    0.000296184 102      2218     
 1374.02 438     8450     1.39509    1.39538    0.000295371 99       2234     
 1384.63 440     8500     1.39509    1.39538    0.000294729 99       2248     
 1396.26 443     8559     1.39509    1.39538    0.000294023 97       2263     
 1401.26 445     8601     1.39509    1.39538    0.000293442 96       2270     
 1409.91 447     8650     1.39509    1.39538    0.00029337  98       2281     
 1417.78 450     8707     1.39509    1.39538    0.000293316 99       2291     
 1425.2  452     8750     1.39509    1.39538    0.000293299 105      2303     
 1437.4  454     8800     1.39509    1.39538    0.00029137  98       2320     
 1446.76 457     8850     1.39509    1.39538    0.000289578 94       2331     
 1462.19 459     8900     1.39509    1.39538    0.00028932  95       2349     
 1470.85 462     8951     1.39509    1.39538    0.000287776 94       2357     
 1478.92 464     9000     1.39509    1.39538    0.000287721 100      2366     
 1489.44 467     9053     1.39509    1.39538    0.000287591 96       2378     
 1504.79 469     9100     1.39509    1.39538    0.000286548 97       2392     
 1509.32 472     9157     1.39509    1.39538    0.000286408 94       2398     
 1515.94 474     9200     1.39509    1.39538    0.000286336 96       2406     
 1529.45 477     9257     1.39509    1.39538    0.000284445 96       2423     
 1541.76 479     9300     1.39509    1.39538    0.000284312 97       2436     
 1563.91 482     9357     1.39509    1.39537    0.000283066 96       2459     
 1574.72 484     9400     1.39509    1.39537    0.000282921 96       2470     
 1585.65 487     9457     1.39509    1.39537    0.000282732 95       2479     
 1603.52 489     9500     1.39509    1.39537    0.000280525 95       2498     
 1617.23 492     9553     1.39509    1.39537    0.000279474 97       2511     
 1629.29 494     9600     1.39509    1.39537    0.000279297 91       2525     
 1640.53 497     9653     1.39509    1.39537    0.000277964 95       2539     
 1654.8  500     9700     1.39509    1.39537    0.000277179 94       2555     
 1662.78 502     9750     1.39509    1.39537    0.000276263 92       2563     
 1672.01 505     9809     1.39509    1.39537    0.000276128 92       2572     
 1682.5  507     9850     1.39509    1.39537    0.000276086 91       2582     
 1699.23 510     9905     1.39509    1.39537    0.000275996 92       2598     
 1713.84 512     9950     1.39509    1.39537    0.000275007 94       2612     
 1731.45 515     10005    1.39509    1.39537    0.000274061 92       2629     
 1748.88 517     10050    1.39509    1.39537    0.000273449 94       2646     
 1760.86 520     10100    1.39509    1.39537    0.000273325 93       2656     
 1774.72 523     10155    1.39509    1.39537    0.000272215 94       2668     
 1789.27 525     10200    1.39509    1.39537    0.000271606 96       2683     
 1805.33 528     10250    1.39509    1.39536    0.000271119 96       2698     
 1825.99 531     10307    1.39509    1.39536    0.00026975  94       2719     
 1836.27 533     10350    1.39509    1.39536    0.000269178 97       2729     
 1853.22 536     10403    1.39509    1.39536    0.000268327 100      2745     
 1865.41 538     10450    1.39509    1.39536    0.000267227 103      2759     
 1873.74 541     10503    1.39509    1.39536    0.000267201 102      2766     
 1889.55 543     10550    1.39509    1.39536    0.000266182 97       2780     
 1897.68 546     10600    1.39509    1.39536    0.000266082 97       2786     
 1916.6  549     10657    1.39509    1.39536    0.00026539  96       2803     
 1929.95 551     10701    1.39509    1.39536    0.000264847 99       2818     
 1949.78 554     10759    1.39509    1.39536    0.000264306 97       2836     
 1971.07 556     10801    1.39509    1.39536    0.000263314 97       2854     
 1986.74 559     10857    1.39509    1.39536    0.000263181 98       2870     
 2004.6  561     10900    1.39509    1.39536    0.000261792 99       2887     
 2021.5  564     10955    1.39509    1.39536    0.000260736 95       2901     
 2038.38 566     11000    1.39509    1.39535    0.000259975 100      2918     
 2048.67 569     11051    1.39509    1.39535    0.000259882 99       2926     
 2058.91 572     11109    1.3951     1.39535    0.000259799 98       2933     
 2074.58 574     11151    1.3951     1.39535    0.000258673 102      2950     
 2089.16 577     11209    1.3951     1.39535    0.000257638 99       2964     
 2106.36 579     11251    1.3951     1.39535    0.000256807 101      2981     
 2112.09 581     11300    1.3951     1.39535    0.000256755 99       2986     
 2123.67 584     11353    1.3951     1.39535    0.000255906 105      2999     
 2132.32 586     11400    1.3951     1.39535    0.000255847 103      3005     
 2149.12 589     11451    1.3951     1.39535    0.000255004 97       3018     
 2173.82 592     11507    1.3951     1.39535    0.000254388 98       3038     
 2189.6  594     11550    1.3951     1.39535    0.000254347 98       3052     
 2207.43 597     11605    1.3951     1.39535    0.000253668 98       3065     
 2224.15 599     11650    1.3951     1.39535    0.000253608 104      3080     
 2247.05 602     11703    1.3951     1.39535    0.000251612 102      3099     
 2265.26 604     11750    1.3951     1.39535    0.000251603 101      3111     
 2275.82 607     11805    1.3951     1.39535    0.000250917 101      3120     
 2287.7  609     11850    1.3951     1.39535    0.000250881 100      3130     
 2305.48 612     11907    1.3951     1.39535    0.000249925 100      3149     
 2322.22 614     11950    1.3951     1.39535    0.000249454 103      3166     
 2352.23 617     12007    1.3951     1.39534    0.000248167 99       3188     
 2369.01 619     12051    1.3951     1.39534    0.000246577 102      3203     
 2382.69 622     12100    1.3951     1.39534    0.000246504 99       3213     
 2404.08 624     12151    1.3951     1.39534    0.000245852 95       3231     
 2426.3  627     12207    1.3951     1.39534    0.000244839 94       3248     
 2440.96 629     12250    1.3951     1.39534    0.000244806 96       3261     
 2464.78 632     12309    1.3951     1.39534    0.000243474 102      3279     
 2473.5  634     12350    1.3951     1.39534    0.000243346 98       3284     
 2486.68 637     12409    1.3951     1.39534    0.000243279 99       3293     
 2501.79 639     12453    1.3951     1.39534    0.000242821 98       3305     
Writing policy file: ./2a9e5b9973ea_641_2523.76.policy
Intermediate policy written(interval: 2000)
 2523.76 641     12500    1.3951     1.39534    0.000242807 98       3323     
 2537.4  644     12553    1.3951     1.39534    0.000241737 98       3332     
 2553    646     12600    1.3951     1.39534    0.000241694 100      3343     
 2568.57 649     12655    1.3951     1.39534    0.00024168  101      3356     
 2583.29 651     12700    1.3951     1.39534    0.000241672 103      3367     
 2602.43 654     12755    1.3951     1.39534    0.000240904 98       3380     
 2614.81 656     12800    1.3951     1.39534    0.000240873 101      3389     
 2631.99 659     12857    1.3951     1.39534    0.000240803 101      3402     
 2655.31 661     12900    1.3951     1.39534    0.000240446 105      3422     
 2674.89 664     12955    1.3951     1.39534    0.00023922  100      3436     
 2687.84 666     13000    1.3951     1.39534    0.000239198 102      3445     
