
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9e69275b76.pomdpx
  loading time : 5.00s 

SARSOP initializing ...
  initialization time : 648.15s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 648.15  0       0        0.915162   1.46469    0.54953     100      1        
 649.7   4       51       1.25735    1.39965    0.1423      20       26       
 652.22  7       100      1.32457    1.39962    0.0750457   32       54       
 656.66  11      153      1.3641     1.39953    0.0354342   31       77       
 663.88  14      200      1.37698    1.39948    0.0224991   37       102      
 669.85  17      250      1.38392    1.39944    0.0155223   36       120      
 678.91  20      300      1.3877     1.39939    0.0116878   34       144      
 691.24  23      350      1.39066    1.39934    0.00868019  28       170      
 701.05  26      400      1.39224    1.39931    0.00706823  27       192      
 715.9   29      450      1.39302    1.39925    0.00622918  25       218      
 730.96  32      500      1.39404    1.39919    0.00514523  27       242      
 746.41  35      551      1.39454    1.39915    0.00460524  24       265      
 762.7   38      607      1.39487    1.39911    0.00423739  24       290      
 781.22  40      650      1.39508    1.39909    0.00401012  25       315      
 797.83  43      701      1.39542    1.39905    0.00362397  28       336      
 817.81  45      750      1.39557    1.39903    0.00346016  27       362      
 838.11  48      807      1.39577    1.39901    0.00323484  29       386      
 854.74  50      851      1.39589    1.39899    0.00310257  27       406      
 880.43  52      900      1.39601    1.39898    0.0029706   30       434      
 901.97  55      955      1.39616    1.39896    0.00280416  30       456      
 923.21  57      1001     1.39623    1.39895    0.00272232  33       478      
 947.81  59      1050     1.39628    1.39894    0.00266038  34       503      
 973.54  61      1100     1.39633    1.39893    0.0026026   35       528      
 998.42  64      1157     1.39639    1.39892    0.002521    34       549      
 1022.69 66      1201     1.39644    1.3989     0.00246411  34       570      
 1050.44 68      1250     1.39648    1.3989     0.00241311  40       594      
 1085.59 70      1300     1.39654    1.39888    0.00234515  50       621      
 1115.37 73      1361     1.39659    1.39887    0.00228374  47       645      
 1142.81 75      1407     1.39662    1.39887    0.00224568  46       666      
 1171.41 77      1457     1.39664    1.39886    0.00222018  48       687      
 1200.26 79      1507     1.39666    1.39885    0.00219354  53       707      
 1230.85 81      1553     1.39668    1.39885    0.00217378  49       728      
 1264.01 83      1601     1.39669    1.39885    0.0021514   45       750      
 1305.5  85      1650     1.39671    1.39883    0.00211699  52       775      
 1342.32 87      1700     1.39674    1.39882    0.0020816   49       798      
 1374.22 89      1750     1.39676    1.39882    0.00205836  51       818      
 1412.75 91      1800     1.39678    1.39882    0.00204332  56       841      
 1447.02 93      1850     1.3968     1.39882    0.00201873  52       862      
 1487.42 95      1900     1.39681    1.39881    0.00200183  51       885      
 1529.99 97      1950     1.39683    1.39881    0.00198305  53       909      
 1576.92 99      2000     1.39684    1.3988     0.00196668  52       934      
 1620.45 101     2050     1.39684    1.3988     0.00195794  57       957      
 1666.93 103     2100     1.39685    1.3988     0.00194438  59       980      
 1714.78 105     2150     1.39687    1.3988     0.00192283  56       1003     
 1756.32 108     2200     1.39688    1.3988     0.00191663  59       1023     
 1807.45 110     2250     1.39689    1.39879    0.00190579  61       1046     
 1852.45 111     2300     1.39689    1.39879    0.00189837  62       1068     
 1905.99 114     2361     1.39691    1.39879    0.00188138  69       1090     
 1958.45 116     2409     1.39693    1.39878    0.00185149  79       1112     
 2015.78 118     2459     1.39693    1.39878    0.00184477  86       1135     
 2074.14 120     2509     1.39694    1.39877    0.00183211  74       1157     
