
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9e72e9e89.pomdpx
  loading time : 3.76s 

SARSOP initializing ...
  initialization time : 804.73s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 804.73  0       0        0.760028   1.95072    1.1907      100      1        
 804.99  3       57       1.46535    1.86135    0.396002    10       15       
 805.19  5       100      1.59691    1.8613     0.264383    17       26       
 805.38  8       150      1.69302    1.86118    0.168163    26       31       
 805.59  11      205      1.75228    1.86107    0.108783    43       37       
 805.93  13      250      1.77194    1.86096    0.0890193   57       46       
 806.41  16      305      1.79756    1.86077    0.0632091   55       57       
 806.78  18      350      1.80586    1.8607     0.0548332   78       64       
 807.68  21      407      1.8163     1.86061    0.0443012   118      76       
 808.35  23      450      1.82416    1.86056    0.0364002   141      83       
 809.49  26      509      1.82916    1.86051    0.0313497   160      94       
 810.51  28      551      1.83318    1.86044    0.027258    93       102      
 811.43  31      600      1.83473    1.86042    0.0256918   82       108      
 812.52  33      650      1.83865    1.86036    0.0217125   72       115      
 813.68  36      709      1.84149    1.86031    0.0188157   68       123      
 814.59  38      750      1.84312    1.86024    0.017117    62       129      
 816.07  41      807      1.84513    1.86018    0.0150463   45       138      
 817.79  43      850      1.84589    1.86017    0.0142759   38       149      
 819.56  46      907      1.84751    1.86012    0.0126097   37       158      
 820.84  48      950      1.84843    1.86008    0.0116464   33       163      
 823.15  51      1001     1.8496     1.86003    0.0104255   35       171      
 826.09  54      1059     1.85112    1.85993    0.00880284  34       183      
 827.88  56      1100     1.85169    1.85987    0.0081816   40       190      
 831.37  58      1150     1.85213    1.85982    0.00769687  44       202      
 833.57  61      1200     1.85278    1.85973    0.00694893  42       209      
 838.02  64      1257     1.85335    1.85968    0.00632433  46       221      
 840.68  66      1300     1.85368    1.85963    0.00595518  46       228      
 845.49  69      1357     1.85418    1.85955    0.00536272  49       241      
 848.07  71      1400     1.85447    1.85947    0.00499476  47       247      
