
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9f2b9c8d62.pomdpx
  loading time : 3.69s 

SARSOP initializing ...
  initialization time : 675.39s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 675.39  0       0        0.525117   1.20834    0.683221    100      1        
 676.15  2       55       0.84164    1.09815    0.256508    118      18       
 677.12  4       107      0.938387   1.09779    0.159401    126      32       
 678.55  6       161      0.992917   1.09747    0.104553    148      46       
 679.97  7       200      1.01066    1.09729    0.086628    166      57       
 681.62  9       250      1.03701    1.09714    0.0601301   36       64       
 683.31  11      301      1.05657    1.09694    0.0403751   30       72       
 685.38  13      359      1.06772    1.09683    0.0291146   24       81       
 689.8   14      400      1.07081    1.09679    0.025977    24       96       
 693.77  16      450      1.07617    1.0967     0.0205219   22       106      
 699.65  18      507      1.08033    1.09662    0.0162834   28       120      
 706.56  19      550      1.0816     1.09659    0.0149953   33       132      
 710.93  21      600      1.08384    1.09656    0.0127282   33       139      
 718.89  23      657      1.08539    1.09653    0.0111351   32       150      
 728.13  24      700      1.08602    1.09651    0.010484    34       163      
 732.2   26      750      1.08752    1.09646    0.00893693  39       168      
 742.5   28      807      1.08864    1.0964     0.00775981  40       181      
 754.58  29      850      1.08905    1.09639    0.00734108  40       195      
 767.04  31      900      1.08969    1.09631    0.00661621  44       207      
 780.17  33      957      1.0904     1.0962     0.00579353  42       219      
 789.34  34      1000     1.09058    1.09619    0.00560307  44       230      
 805.65  36      1053     1.09105    1.09611    0.00505376  44       244      
 821.95  37      1100     1.09126    1.09607    0.00481024  47       257      
 834.39  39      1150     1.0916     1.09601    0.00441147  45       266      
 854.41  41      1213     1.09196    1.09595    0.00398397  46       281      
 868.08  42      1250     1.09211    1.09593    0.00382438  48       291      
 892.2   44      1309     1.09234    1.0959     0.0035673   48       309      
 905.98  45      1350     1.09241    1.09589    0.00347014  50       319      
 925.78  47      1407     1.09258    1.09587    0.00329343  58       332      
 947.42  48      1450     1.09265    1.09586    0.00321241  62       345      
 972.82  50      1505     1.0928     1.09585    0.0030466   57       360      
 999.03  51      1550     1.09287    1.09584    0.00297136  57       374      
 1018.55 53      1601     1.09299    1.0958     0.00281033  57       385      
 1048.73 55      1665     1.09308    1.09578    0.00269324  55       401      
 1068.94 56      1700     1.09312    1.09576    0.00264655  60       411      
 1108.03 58      1761     1.09319    1.09574    0.00255519  57       430      
 1138.55 59      1800     1.09322    1.09574    0.0025202   58       446      
 1180.32 61      1859     1.0933     1.09574    0.00244145  64       465      
 1207.58 62      1900     1.09333    1.09573    0.00240649  65       477      
 1247.09 64      1955     1.09338    1.09573    0.00235202  62       493      
 1288.89 65      2000     1.0934     1.09573    0.0023299   65       511      
 1319.17 67      2051     1.09346    1.09572    0.00225316  61       523      
 1368.28 69      2115     1.0935     1.0957     0.00220564  63       542      
 1394.79 70      2150     1.09352    1.0957     0.00218123  67       553      
 1439.75 72      2211     1.09355    1.0957     0.00214537  64       569      
 1474.98 73      2250     1.09357    1.09569    0.00212492  70       582      
 1519.79 75      2307     1.09361    1.09567    0.00206265  67       599      
 1557.35 76      2350     1.09363    1.09567    0.00204523  64       613      
 1603.9  78      2405     1.09366    1.09567    0.00201082  74       631      
 1654.5  79      2450     1.09367    1.09566    0.0019946   76       650      
