
Loading the model ...
  input file   : /home/rstudio/pomdp-solutions-library/2a9f6f7e45e1.pomdpx
  loading time : 3.91s 

SARSOP initializing ...
  initialization time : 830.38s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 830.38  0       0        0.951762   2.36634    1.41457     100      1        
 830.72  3       57       1.77733    2.26657    0.489241    10       17       
 830.91  5       100      1.95976    2.2665     0.306734    14       27       
 831.16  8       153      2.07032    2.26638    0.196068    19       38       
 831.39  11      207      2.12885    2.26628    0.13743     42       44       
 831.74  13      250      2.16113    2.26616    0.105023    61       51       
 832.24  16      303      2.18379    2.26605    0.0822586   47       61       
 832.75  18      350      2.20082    2.26597    0.0651557   78       71       
 833.32  21      403      2.21522    2.26587    0.0506499   70       79       
 833.83  23      450      2.21909    2.26582    0.0467334   100      87       
 834.6   26      505      2.22749    2.26572    0.0382353   131      96       
 835.59  28      550      2.23249    2.26566    0.0331673   168      106      
 836.4   31      607      2.2352     2.26561    0.0304176   168      110      
 837.37  33      650      2.23863    2.26554    0.026916    90       117      
 838.5   36      707      2.24176    2.26549    0.0237365   89       124      
 839.15  38      750      2.24334    2.26544    0.0221061   76       127      
 840.59  41      809      2.24514    2.26538    0.020246    59       138      
 841.86  43      851      2.2469     2.26532    0.0184264   56       146      
 842.87  46      900      2.24765    2.26531    0.0176616   49       151      
 843.54  48      950      2.24955    2.26525    0.0157012   41       154      
 845.54  51      1009     2.25124    2.26519    0.0139465   35       163      
 846.7   53      1051     2.25226    2.26513    0.0128659   37       169      
 848.97  55      1100     2.25303    2.26508    0.0120508   39       179      
 851.4   58      1155     2.25413    2.26503    0.010897    36       188      
 853.07  60      1200     2.25492    2.26497    0.0100478   37       195      
 855.02  63      1257     2.25563    2.2649     0.00926715  39       202      
 857.54  65      1300     2.25618    2.26484    0.0086528   40       213      
 859.55  68      1357     2.25674    2.26473    0.00798809  47       220      
 861.13  70      1400     2.25709    2.26468    0.00758885  48       225      
 864.8   73      1453     2.25758    2.26458    0.00700176  53       238      
 867.13  75      1500     2.25812    2.2645     0.00638222  53       247      
 871.53  78      1555     2.25851    2.26442    0.00590866  51       261      
 874.46  80      1600     2.25876    2.26436    0.00560592  53       270      
 877.89  83      1659     2.25917    2.26426    0.00508719  54       281      
 880.09  85      1700     2.2594     2.26422    0.00481516  50       287      
